Geo,Event Year,Date,Day,Name,Type
central-african-republic,2015,1 Jan,Thursday,New Year,Public Holiday
central-african-republic,2015,20 Mar,Friday,March Equinox,Season
central-african-republic,2015,29 Mar,Sunday,Commemoration of Boganda,Public Holiday
central-african-republic,2015,6 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2015,1 May,Friday,Labour Day,Public Holiday
central-african-republic,2015,14 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2015,25 May,Monday,Whit Monday,Public Holiday
central-african-republic,2015,21 Jun,Sunday,June Solstice,Season
central-african-republic,2015,30 Jun,Tuesday,National Payer Day,Public Holiday
central-african-republic,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
central-african-republic,2015,13 Aug,Thursday,Independence Day,Public Holiday
central-african-republic,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
central-african-republic,2015,23 Sep,Wednesday,September Equinox,Season
central-african-republic,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
central-african-republic,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
central-african-republic,2015,1 Dec,Tuesday,Republic Day,Public Holiday
central-african-republic,2015,22 Dec,Tuesday,December Solstice,Season
central-african-republic,2015,25 Dec,Friday,Christmas Day,Public Holiday
central-african-republic,2016,1 Jan,Friday,New Year,Public Holiday
central-african-republic,2016,20 Mar,Sunday,March Equinox,Season
central-african-republic,2016,28 Mar,Monday,Easter Monday,Public Holiday
central-african-republic,2016,29 Mar,Tuesday,Commemoration of Boganda,Public Holiday
central-african-republic,2016,1 May,Sunday,Labour Day,Public Holiday
central-african-republic,2016,5 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2016,16 May,Monday,Whit Monday,Public Holiday
central-african-republic,2016,20 Jun,Monday,June Solstice,Season
central-african-republic,2016,30 Jun,Thursday,National Payer Day,Public Holiday
central-african-republic,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
central-african-republic,2016,13 Aug,Saturday,Independence Day,Public Holiday
central-african-republic,2016,15 Aug,Monday,Assumption of Mary,Public Holiday
central-african-republic,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
central-african-republic,2016,22 Sep,Thursday,September Equinox,Season
central-african-republic,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
central-african-republic,2016,1 Dec,Thursday,Republic Day,Public Holiday
central-african-republic,2016,21 Dec,Wednesday,December Solstice,Season
central-african-republic,2016,25 Dec,Sunday,Christmas Day,Public Holiday
central-african-republic,2017,1 Jan,Sunday,New Year,Public Holiday
central-african-republic,2017,20 Mar,Monday,March Equinox,Season
central-african-republic,2017,29 Mar,Wednesday,Commemoration of Boganda,Public Holiday
central-african-republic,2017,17 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2017,1 May,Monday,Labour Day,Public Holiday
central-african-republic,2017,25 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2017,5 Jun,Monday,Whit Monday,Public Holiday
central-african-republic,2017,21 Jun,Wednesday,June Solstice,Season
central-african-republic,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
central-african-republic,2017,30 Jun,Friday,National Payer Day,Public Holiday
central-african-republic,2017,13 Aug,Sunday,Independence Day,Public Holiday
central-african-republic,2017,15 Aug,Tuesday,Assumption of Mary,Public Holiday
central-african-republic,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
central-african-republic,2017,22 Sep,Friday,September Equinox,Season
central-african-republic,2017,1 Nov,Wednesday,All Saints' Day,Public Holiday
central-african-republic,2017,1 Dec,Friday,Republic Day,Public Holiday
central-african-republic,2017,21 Dec,Thursday,December Solstice,Season
central-african-republic,2017,25 Dec,Monday,Christmas Day,Public Holiday
central-african-republic,2018,1 Jan,Monday,New Year,Public Holiday
central-african-republic,2018,20 Mar,Tuesday,March Equinox,Season
central-african-republic,2018,29 Mar,Thursday,Commemoration of Boganda,Public Holiday
central-african-republic,2018,2 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2018,1 May,Tuesday,Labour Day,Public Holiday
central-african-republic,2018,10 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2018,21 May,Monday,Whit Monday,Public Holiday
central-african-republic,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
central-african-republic,2018,21 Jun,Thursday,June Solstice,Season
central-african-republic,2018,30 Jun,Saturday,National Payer Day,Public Holiday
central-african-republic,2018,13 Aug,Monday,Independence Day,Public Holiday
central-african-republic,2018,15 Aug,Wednesday,Assumption of Mary,Public Holiday
central-african-republic,2018,21 Aug,Tuesday,Eid al-Adha,Public Holiday
central-african-republic,2018,23 Sep,Sunday,September Equinox,Season
central-african-republic,2018,1 Nov,Thursday,All Saints' Day,Public Holiday
central-african-republic,2018,1 Dec,Saturday,Republic Day,Public Holiday
central-african-republic,2018,21 Dec,Friday,December Solstice,Season
central-african-republic,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
central-african-republic,2019,1 Jan,Tuesday,New Year,Public Holiday
central-african-republic,2019,20 Mar,Wednesday,March Equinox,Season
central-african-republic,2019,29 Mar,Friday,Commemoration of Boganda,Public Holiday
central-african-republic,2019,22 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2019,1 May,Wednesday,Labour Day,Public Holiday
central-african-republic,2019,30 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2019,4 Jun,Tuesday,Eid al-Fitr,Public Holiday
central-african-republic,2019,10 Jun,Monday,Whit Monday,Public Holiday
central-african-republic,2019,21 Jun,Friday,June Solstice,Season
central-african-republic,2019,30 Jun,Sunday,National Payer Day,Public Holiday
central-african-republic,2019,11 Aug,Sunday,Eid al-Adha,Public Holiday
central-african-republic,2019,13 Aug,Tuesday,Independence Day,Public Holiday
central-african-republic,2019,15 Aug,Thursday,Assumption of Mary,Public Holiday
central-african-republic,2019,23 Sep,Monday,September Equinox,Season
central-african-republic,2019,1 Nov,Friday,All Saints' Day,Public Holiday
central-african-republic,2019,1 Dec,Sunday,Republic Day,Public Holiday
central-african-republic,2019,22 Dec,Sunday,December Solstice,Season
central-african-republic,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
central-african-republic,2020,1 Jan,Wednesday,New Year,Public Holiday
central-african-republic,2020,20 Mar,Friday,March Equinox,Season
central-african-republic,2020,29 Mar,Sunday,Commemoration of Boganda,Public Holiday
central-african-republic,2020,13 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2020,1 May,Friday,Labour Day,Public Holiday
central-african-republic,2020,21 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2020,24 May,Sunday,Eid al-Fitr,Public Holiday
central-african-republic,2020,1 Jun,Monday,Whit Monday,Public Holiday
central-african-republic,2020,20 Jun,Saturday,June Solstice,Season
central-african-republic,2020,30 Jun,Tuesday,National Payer Day,Public Holiday
central-african-republic,2020,31 Jul,Friday,Eid al-Adha,Public Holiday
central-african-republic,2020,13 Aug,Thursday,Independence Day,Public Holiday
central-african-republic,2020,15 Aug,Saturday,Assumption of Mary,Public Holiday
central-african-republic,2020,22 Sep,Tuesday,September Equinox,Season
central-african-republic,2020,1 Nov,Sunday,All Saints' Day,Public Holiday
central-african-republic,2020,1 Dec,Tuesday,Republic Day,Public Holiday
central-african-republic,2020,21 Dec,Monday,December Solstice,Season
central-african-republic,2020,25 Dec,Friday,Christmas Day,Public Holiday
central-african-republic,2021,1 Jan,Friday,New Year,Public Holiday
central-african-republic,2021,20 Mar,Saturday,March Equinox,Season
central-african-republic,2021,29 Mar,Monday,Commemoration of Boganda,Public Holiday
central-african-republic,2021,30 Mar,Tuesday,Investiture Ceremony Day,Public Holiday
central-african-republic,2021,5 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2021,1 May,Saturday,Labour Day,Public Holiday
central-african-republic,2021,13 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2021,13 May,Thursday,Eid al-Fitr,Public Holiday
central-african-republic,2021,24 May,Monday,Whit Monday,Public Holiday
central-african-republic,2021,21 Jun,Monday,June Solstice,Season
central-african-republic,2021,30 Jun,Wednesday,National Payer Day,Public Holiday
central-african-republic,2021,20 Jul,Tuesday,Eid al-Adha,Public Holiday
central-african-republic,2021,13 Aug,Friday,Independence Day,Public Holiday
central-african-republic,2021,15 Aug,Sunday,Assumption of Mary,Public Holiday
central-african-republic,2021,22 Sep,Wednesday,September Equinox,Season
central-african-republic,2021,1 Nov,Monday,All Saints' Day,Public Holiday
central-african-republic,2021,1 Dec,Wednesday,Republic Day,Public Holiday
central-african-republic,2021,21 Dec,Tuesday,December Solstice,Season
central-african-republic,2021,25 Dec,Saturday,Christmas Day,Public Holiday
central-african-republic,2022,1 Jan,Saturday,New Year,Public Holiday
central-african-republic,2022,20 Mar,Sunday,March Equinox,Season
central-african-republic,2022,29 Mar,Tuesday,Commemoration of Boganda,Public Holiday
central-african-republic,2022,18 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2022,1 May,Sunday,Labour Day,Public Holiday
central-african-republic,2022,2 May,Monday,Eid al-Fitr,Public Holiday
central-african-republic,2022,26 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2022,6 Jun,Monday,Whit Monday,Public Holiday
central-african-republic,2022,21 Jun,Tuesday,June Solstice,Season
central-african-republic,2022,30 Jun,Thursday,National Payer Day,Public Holiday
central-african-republic,2022,9 Jul,Saturday,Eid al-Adha,Public Holiday
central-african-republic,2022,13 Aug,Saturday,Independence Day,Public Holiday
central-african-republic,2022,15 Aug,Monday,Assumption of Mary,Public Holiday
central-african-republic,2022,23 Sep,Friday,September Equinox,Season
central-african-republic,2022,1 Nov,Tuesday,All Saints' Day,Public Holiday
central-african-republic,2022,1 Dec,Thursday,Republic Day,Public Holiday
central-african-republic,2022,21 Dec,Wednesday,December Solstice,Season
central-african-republic,2022,25 Dec,Sunday,Christmas Day,Public Holiday
central-african-republic,2023,1 Jan,Sunday,New Year,Public Holiday
central-african-republic,2023,20 Mar,Monday,March Equinox,Season
central-african-republic,2023,29 Mar,Wednesday,Commemoration of Boganda,Public Holiday
central-african-republic,2023,10 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2023,21 Apr,Friday,Eid al-Fitr,Public Holiday
central-african-republic,2023,1 May,Monday,Labour Day,Public Holiday
central-african-republic,2023,18 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2023,29 May,Monday,Whit Monday,Public Holiday
central-african-republic,2023,21 Jun,Wednesday,June Solstice,Season
central-african-republic,2023,28 Jun,Wednesday,Eid al-Adha,Public Holiday
central-african-republic,2023,30 Jun,Friday,National Payer Day,Public Holiday
central-african-republic,2023,13 Aug,Sunday,Independence Day,Public Holiday
central-african-republic,2023,15 Aug,Tuesday,Assumption of Mary,Public Holiday
central-african-republic,2023,23 Sep,Saturday,September Equinox,Season
central-african-republic,2023,1 Nov,Wednesday,All Saints' Day,Public Holiday
central-african-republic,2023,1 Dec,Friday,Republic Day,Public Holiday
central-african-republic,2023,22 Dec,Friday,December Solstice,Season
central-african-republic,2023,25 Dec,Monday,Christmas Day,Public Holiday
central-african-republic,2024,1 Jan,Monday,New Year,Public Holiday
central-african-republic,2024,11 Mar,Monday,Ramadan Start,Observance
central-african-republic,2024,20 Mar,Wednesday,March Equinox,Season
central-african-republic,2024,29 Mar,Friday,Commemoration of Boganda,Public Holiday
central-african-republic,2024,1 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2024,10 Apr,Wednesday,Eid al-Fitr (Tentative Date),Public Holiday
central-african-republic,2024,1 May,Wednesday,Labour Day,Public Holiday
central-african-republic,2024,9 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2024,20 May,Monday,Whit Monday,Public Holiday
central-african-republic,2024,17 Jun,Monday,Eid al-Adha (Tentative Date),Public Holiday
central-african-republic,2024,20 Jun,Thursday,June Solstice,Season
central-african-republic,2024,30 Jun,Sunday,National Payer Day,Public Holiday
central-african-republic,2024,13 Aug,Tuesday,Independence Day,Public Holiday
central-african-republic,2024,15 Aug,Thursday,Assumption of Mary,Public Holiday
central-african-republic,2024,22 Sep,Sunday,September Equinox,Season
central-african-republic,2024,1 Nov,Friday,All Saints' Day,Public Holiday
central-african-republic,2024,1 Dec,Sunday,Republic Day,Public Holiday
central-african-republic,2024,21 Dec,Saturday,December Solstice,Season
central-african-republic,2024,25 Dec,Wednesday,Christmas Day,Public Holiday
central-african-republic,2025,1 Jan,Wednesday,New Year,Public Holiday
central-african-republic,2025,1 Mar,Saturday,Ramadan Start (Tentative Date),Observance
central-african-republic,2025,20 Mar,Thursday,March Equinox,Season
central-african-republic,2025,29 Mar,Saturday,Commemoration of Boganda,Public Holiday
central-african-republic,2025,31 Mar,Monday,Eid al-Fitr (Tentative Date),Public Holiday
central-african-republic,2025,21 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2025,1 May,Thursday,Labour Day,Public Holiday
central-african-republic,2025,29 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2025,7 Jun,Saturday,Eid al-Adha (Tentative Date),Public Holiday
central-african-republic,2025,9 Jun,Monday,Whit Monday,Public Holiday
central-african-republic,2025,21 Jun,Saturday,June Solstice,Season
central-african-republic,2025,30 Jun,Monday,National Payer Day,Public Holiday
central-african-republic,2025,13 Aug,Wednesday,Independence Day,Public Holiday
central-african-republic,2025,15 Aug,Friday,Assumption of Mary,Public Holiday
central-african-republic,2025,22 Sep,Monday,September Equinox,Season
central-african-republic,2025,1 Nov,Saturday,All Saints' Day,Public Holiday
central-african-republic,2025,1 Dec,Monday,Republic Day,Public Holiday
central-african-republic,2025,21 Dec,Sunday,December Solstice,Season
central-african-republic,2025,25 Dec,Thursday,Christmas Day,Public Holiday
central-african-republic,2026,1 Jan,Thursday,New Year,Public Holiday
central-african-republic,2026,18 Feb,Wednesday,Ramadan Start (Tentative Date),Observance
central-african-republic,2026,20 Mar,Friday,Eid al-Fitr (Tentative Date),Public Holiday
central-african-republic,2026,20 Mar,Friday,March Equinox,Season
central-african-republic,2026,29 Mar,Sunday,Commemoration of Boganda,Public Holiday
central-african-republic,2026,6 Apr,Monday,Easter Monday,Public Holiday
central-african-republic,2026,1 May,Friday,Labour Day,Public Holiday
central-african-republic,2026,14 May,Thursday,Ascension Day,Public Holiday
central-african-republic,2026,25 May,Monday,Whit Monday,Public Holiday
central-african-republic,2026,27 May,Wednesday,Eid al-Adha (Tentative Date),Public Holiday
central-african-republic,2026,21 Jun,Sunday,June Solstice,Season
central-african-republic,2026,30 Jun,Tuesday,National Payer Day,Public Holiday
central-african-republic,2026,13 Aug,Thursday,Independence Day,Public Holiday
central-african-republic,2026,15 Aug,Saturday,Assumption of Mary,Public Holiday
