Geo,Event Year,Date,Day,Name,Type
chad,2015,1 Jan,Thursday,New Year,Public Holiday
chad,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
chad,2015,20 Mar,Friday,March Equinox,Season
chad,2015,6 Apr,Monday,Easter Monday,Public Holiday
chad,2015,1 May,Friday,May Day,Public Holiday
chad,2015,8 May,Friday,End of the Second World War,Public Holiday
chad,2015,10 May,Sunday,Mother's Day,Observance
chad,2015,21 Jun,Sunday,Father's Day,Observance
chad,2015,21 Jun,Sunday,June Solstice,Season
chad,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
chad,2015,11 Aug,Tuesday,Independence Day,Public Holiday
chad,2015,23 Sep,Wednesday,September Equinox,Season
chad,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
chad,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
chad,2015,28 Nov,Saturday,Proclamation of the Republic,Public Holiday
chad,2015,1 Dec,Tuesday,Freedom and Democracy Day,Public Holiday
chad,2015,22 Dec,Tuesday,December Solstice,Season
chad,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
chad,2015,25 Dec,Friday,Christmas Day,Public Holiday
chad,2016,1 Jan,Friday,New Year,Public Holiday
chad,2016,20 Mar,Sunday,March Equinox,Season
chad,2016,28 Mar,Monday,Easter Monday,Public Holiday
chad,2016,1 May,Sunday,May Day,Public Holiday
chad,2016,2 May,Monday,May Day observed,Public Holiday
chad,2016,8 May,Sunday,Mother's Day,Observance
chad,2016,8 May,Sunday,End of the Second World War,Public Holiday
chad,2016,19 Jun,Sunday,Father's Day,Observance
chad,2016,20 Jun,Monday,June Solstice,Season
chad,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
chad,2016,11 Aug,Thursday,Independence Day,Public Holiday
chad,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
chad,2016,22 Sep,Thursday,September Equinox,Season
chad,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
chad,2016,28 Nov,Monday,Proclamation of the Republic,Public Holiday
chad,2016,1 Dec,Thursday,Freedom and Democracy Day,Public Holiday
chad,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
chad,2016,21 Dec,Wednesday,December Solstice,Season
chad,2016,25 Dec,Sunday,Christmas Day,Public Holiday
chad,2017,1 Jan,Sunday,New Year,Public Holiday
chad,2017,2 Jan,Monday,New Year observed,Public Holiday
chad,2017,20 Mar,Monday,March Equinox,Season
chad,2017,17 Apr,Monday,Easter Monday,Public Holiday
chad,2017,1 May,Monday,May Day,Public Holiday
chad,2017,8 May,Monday,End of the Second World War,Public Holiday
chad,2017,14 May,Sunday,Mother's Day,Observance
chad,2017,18 Jun,Sunday,Father's Day,Observance
chad,2017,21 Jun,Wednesday,June Solstice,Season
chad,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
chad,2017,11 Aug,Friday,Independence Day,Public Holiday
chad,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
chad,2017,22 Sep,Friday,September Equinox,Season
chad,2017,1 Nov,Wednesday,All Saints' Day,Public Holiday
chad,2017,28 Nov,Tuesday,Proclamation of the Republic,Public Holiday
chad,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
chad,2017,1 Dec,Friday,Freedom and Democracy Day,Public Holiday
chad,2017,21 Dec,Thursday,December Solstice,Season
chad,2017,25 Dec,Monday,Christmas Day,Public Holiday
chad,2018,1 Jan,Monday,New Year,Public Holiday
