Geo,Event Year,Date,Day,Name,Type
comores,2014,1 Jan,Wednesday,New Year,Public Holiday
comores,2014,14 Jan,Tuesday,The Prophet's Birthday,Public Holiday
comores,2014,18 Mar,Tuesday,Cheikh Al Maarouf Day,Observance
comores,2014,20 Mar,Thursday,March Equinox,Season
comores,2014,1 May,Thursday,Labour Day,Public Holiday
comores,2014,27 May,Tuesday,Isra and Mi'raj,Public Holiday
comores,2014,21 Jun,Saturday,June Solstice,Season
comores,2014,6 Jul,Sunday,National Day,Public Holiday
comores,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
comores,2014,30 Jul,Wednesday,Eid al-Fitr Holiday,Public Holiday
comores,2014,31 Jul,Thursday,Eid al-Fitr Holiday,Public Holiday
comores,2014,23 Sep,Tuesday,September Equinox,Season
comores,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
comores,2014,6 Oct,Monday,Eid al-Adha Holiday,Public Holiday
comores,2014,25 Oct,Saturday,Muharram,Public Holiday
comores,2014,12 Nov,Wednesday,Maore Day,Public Holiday
comores,2014,22 Dec,Monday,December Solstice,Season
comores,2015,1 Jan,Thursday,New Year,Public Holiday
comores,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
comores,2015,18 Mar,Wednesday,Cheikh Al Maarouf Day,Observance
comores,2015,21 Mar,Saturday,March Equinox,Season
comores,2015,1 May,Friday,Labour Day,Public Holiday
comores,2015,16 May,Saturday,Isra and Mi'raj,Public Holiday
comores,2015,21 Jun,Sunday,June Solstice,Season
comores,2015,6 Jul,Monday,National Day,Public Holiday
comores,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
comores,2015,19 Jul,Sunday,Eid al-Fitr Holiday,Public Holiday
comores,2015,20 Jul,Monday,Eid al-Fitr Holiday,Public Holiday
comores,2015,23 Sep,Wednesday,September Equinox,Season
comores,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
comores,2015,25 Sep,Friday,Eid al-Adha Holiday,Public Holiday
comores,2015,14 Oct,Wednesday,Muharram,Public Holiday
comores,2015,12 Nov,Thursday,Maore Day,Public Holiday
comores,2015,22 Dec,Tuesday,December Solstice,Season
comores,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
comores,2016,1 Jan,Friday,New Year,Public Holiday
comores,2016,18 Mar,Friday,Cheikh Al Maarouf Day,Observance
comores,2016,20 Mar,Sunday,March Equinox,Season
comores,2016,1 May,Sunday,Labour Day,Public Holiday
comores,2016,5 May,Thursday,Isra and Mi'raj,Public Holiday
comores,2016,21 Jun,Tuesday,June Solstice,Season
comores,2016,6 Jul,Wednesday,National Day,Public Holiday
comores,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
comores,2016,8 Jul,Friday,Eid al-Fitr Holiday,Public Holiday
comores,2016,9 Jul,Saturday,Eid al-Fitr Holiday,Public Holiday
comores,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
comores,2016,14 Sep,Wednesday,Eid al-Adha Holiday,Public Holiday
comores,2016,22 Sep,Thursday,September Equinox,Season
comores,2016,3 Oct,Monday,Muharram,Public Holiday
comores,2016,12 Nov,Saturday,Maore Day,Public Holiday
comores,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
comores,2016,21 Dec,Wednesday,December Solstice,Season
comores,2017,1 Jan,Sunday,New Year,Public Holiday
comores,2017,18 Mar,Saturday,Cheikh Al Maarouf Day,Observance
comores,2017,20 Mar,Monday,March Equinox,Season
comores,2017,24 Apr,Monday,Isra and Mi'raj,Public Holiday
comores,2017,1 May,Monday,Labour Day,Public Holiday
comores,2017,21 Jun,Wednesday,June Solstice,Season
comores,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
comores,2017,27 Jun,Tuesday,Eid al-Fitr Holiday,Public Holiday
comores,2017,28 Jun,Wednesday,Eid al-Fitr Holiday,Public Holiday
comores,2017,6 Jul,Thursday,National Day,Public Holiday
comores,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
comores,2017,3 Sep,Sunday,Eid al-Adha Holiday,Public Holiday
comores,2017,22 Sep,Friday,Muharram,Public Holiday
comores,2017,22 Sep,Friday,September Equinox,Season
comores,2017,12 Nov,Sunday,Maore Day,Public Holiday
comores,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
comores,2017,21 Dec,Thursday,December Solstice,Season
comores,2018,1 Jan,Monday,New Year,Public Holiday
comores,2018,18 Mar,Sunday,Cheikh Al Maarouf Day,Public Holiday
comores,2018,20 Mar,Tuesday,March Equinox,Season
comores,2018,13 Apr,Friday,Isra and Mi'raj,Public Holiday
comores,2018,1 May,Tuesday,Labour Day,Public Holiday
comores,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
comores,2018,16 Jun,Saturday,Eid al-Fitr Holiday,Public Holiday
comores,2018,17 Jun,Sunday,Eid al-Fitr Holiday,Public Holiday
comores,2018,21 Jun,Thursday,June Solstice,Season
comores,2018,6 Jul,Friday,National Day,Public Holiday
comores,2018,22 Aug,Wednesday,Eid al-Adha,Public Holiday
comores,2018,23 Aug,Thursday,Eid al-Adha Holiday,Public Holiday
comores,2018,12 Sep,Wednesday,Muharram,Public Holiday
comores,2018,23 Sep,Sunday,September Equinox,Season
comores,2018,12 Nov,Monday,Maore Day,Public Holiday
comores,2018,21 Nov,Wednesday,The Prophet's Birthday,Public Holiday
comores,2018,22 Dec,Saturday,December Solstice,Season
comores,2019,1 Jan,Tuesday,New Year,Public Holiday
comores,2019,18 Mar,Monday,Cheikh Al Maarouf Day,Public Holiday
comores,2019,21 Mar,Thursday,March Equinox,Season
comores,2019,3 Apr,Wednesday,Isra and Mi'raj,Public Holiday
comores,2019,1 May,Wednesday,Labour Day,Public Holiday
comores,2019,4 Jun,Tuesday,Eid al-Fitr,Public Holiday
comores,2019,5 Jun,Wednesday,Eid al-Fitr Holiday,Public Holiday
comores,2019,6 Jun,Thursday,Eid al-Fitr Holiday,Public Holiday
comores,2019,21 Jun,Friday,June Solstice,Season
comores,2019,6 Jul,Saturday,National Day,Public Holiday
comores,2019,11 Aug,Sunday,Eid al-Adha,Public Holiday
comores,2019,12 Aug,Monday,Eid al-Adha Holiday,Public Holiday
comores,2019,1 Sep,Sunday,Muharram,Public Holiday
comores,2019,23 Sep,Monday,September Equinox,Season
comores,2019,10 Nov,Sunday,The Prophet's Birthday,Public Holiday
comores,2019,12 Nov,Tuesday,Maore Day,Public Holiday
comores,2019,22 Dec,Sunday,December Solstice,Season
comores,2020,1 Jan,Wednesday,New Year,Public Holiday
comores,2020,18 Mar,Wednesday,Cheikh Al Maarouf Day,Public Holiday
comores,2020,20 Mar,Friday,March Equinox,Season
comores,2020,22 Mar,Sunday,Isra and Mi'raj,Public Holiday
comores,2020,1 May,Friday,Labour Day,Public Holiday
comores,2020,24 May,Sunday,Eid al-Fitr,Public Holiday
comores,2020,25 May,Monday,Eid al-Fitr Holiday,Public Holiday
comores,2020,26 May,Tuesday,Eid al-Fitr Holiday,Public Holiday
comores,2020,21 Jun,Sunday,June Solstice,Season
comores,2020,6 Jul,Monday,National Day,Public Holiday
comores,2020,31 Jul,Friday,Eid al-Adha,Public Holiday
comores,2020,1 Aug,Saturday,Eid al-Adha Holiday,Public Holiday
comores,2020,21 Aug,Friday,Muharram,Public Holiday
comores,2020,22 Sep,Tuesday,September Equinox,Season
comores,2020,29 Oct,Thursday,The Prophet's Birthday,Public Holiday
comores,2020,12 Nov,Thursday,Maore Day,Public Holiday
comores,2020,21 Dec,Monday,December Solstice,Season
comores,2021,1 Jan,Friday,New Year,Public Holiday
comores,2021,11 Mar,Thursday,Isra and Mi'raj,Public Holiday
comores,2021,18 Mar,Thursday,Cheikh Al Maarouf Day,Public Holiday
comores,2021,20 Mar,Saturday,March Equinox,Season
comores,2021,1 May,Saturday,Labour Day,Public Holiday
comores,2021,13 May,Thursday,Eid al-Fitr,Public Holiday
comores,2021,14 May,Friday,Eid al-Fitr Holiday,Public Holiday
comores,2021,15 May,Saturday,Eid al-Fitr Holiday,Public Holiday
comores,2021,21 Jun,Monday,June Solstice,Season
comores,2021,6 Jul,Tuesday,National Day,Public Holiday
comores,2021,21 Jul,Wednesday,Eid al-Adha,Public Holiday
comores,2021,10 Aug,Tuesday,Muharram,Public Holiday
comores,2021,22 Sep,Wednesday,September Equinox,Season
comores,2021,19 Oct,Tuesday,The Prophet's Birthday,Public Holiday
comores,2021,12 Nov,Friday,Maore Day,Public Holiday
comores,2021,21 Dec,Tuesday,December Solstice,Season
