Geo,Event Year,Date,Day,Name,Type
cook-islands,2000,1 Jan,Saturday,New Year's Day,Public Holiday
cook-islands,2000,2 Jan,Sunday,Day After New Year's Day,Public Holiday
cook-islands,2000,3 Jan,Monday,New Year's Day observed,Public Holiday
cook-islands,2000,4 Jan,Tuesday,Day After New Year's Day observed,Public Holiday
cook-islands,2000,19 Mar,Sunday,March Equinox,Season
cook-islands,2000,21 Apr,Friday,Good Friday,Public Holiday
cook-islands,2000,23 Apr,Sunday,Easter Sunday,Observance
cook-islands,2000,24 Apr,Monday,Easter Monday,Public Holiday
cook-islands,2000,25 Apr,Tuesday,ANZAC Day,Public Holiday
cook-islands,2000,5 Jun,Monday,Sovereign's Birthday,Public Holiday
cook-islands,2000,20 Jun,Tuesday,June Solstice,Season
cook-islands,2000,4 Aug,Friday,Constitution Day,Public Holiday
cook-islands,2000,22 Sep,Friday,September Equinox,Season
cook-islands,2000,26 Oct,Thursday,Gospel Day,Public Holiday
cook-islands,2000,21 Dec,Thursday,December Solstice,Season
cook-islands,2000,25 Dec,Monday,Christmas Day,Public Holiday
cook-islands,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
cook-islands,2001,1 Jan,Monday,New Year's Day,Public Holiday
cook-islands,2001,2 Jan,Tuesday,Day After New Year's Day,Public Holiday
cook-islands,2001,20 Mar,Tuesday,March Equinox,Season
cook-islands,2001,13 Apr,Friday,Good Friday,Public Holiday
cook-islands,2001,15 Apr,Sunday,Easter Sunday,Observance
cook-islands,2001,16 Apr,Monday,Easter Monday,Public Holiday
cook-islands,2001,25 Apr,Wednesday,ANZAC Day,Public Holiday
cook-islands,2001,4 Jun,Monday,Sovereign's Birthday,Public Holiday
cook-islands,2001,20 Jun,Wednesday,June Solstice,Season
cook-islands,2001,4 Aug,Saturday,Constitution Day,Public Holiday
cook-islands,2001,6 Aug,Monday,Constitution Day observed,Public Holiday
cook-islands,2001,22 Sep,Saturday,September Equinox,Season
cook-islands,2001,26 Oct,Friday,Gospel Day,Public Holiday
cook-islands,2001,21 Dec,Friday,December Solstice,Season
cook-islands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
cook-islands,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
cook-islands,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
cook-islands,2002,2 Jan,Wednesday,Day After New Year's Day,Public Holiday
cook-islands,2002,20 Mar,Wednesday,March Equinox,Season
cook-islands,2002,29 Mar,Friday,Good Friday,Public Holiday
cook-islands,2002,31 Mar,Sunday,Easter Sunday,Observance
cook-islands,2002,1 Apr,Monday,Easter Monday,Public Holiday
cook-islands,2002,25 Apr,Thursday,ANZAC Day,Public Holiday
cook-islands,2002,3 Jun,Monday,Sovereign's Birthday,Public Holiday
cook-islands,2002,21 Jun,Friday,June Solstice,Season
cook-islands,2002,4 Aug,Sunday,Constitution Day,Public Holiday
cook-islands,2002,5 Aug,Monday,Constitution Day observed,Public Holiday
cook-islands,2002,22 Sep,Sunday,September Equinox,Season
cook-islands,2002,26 Oct,Saturday,Gospel Day,Public Holiday
cook-islands,2002,28 Oct,Monday,Gospel Day observed,Public Holiday
cook-islands,2002,21 Dec,Saturday,December Solstice,Season
cook-islands,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
cook-islands,2002,26 Dec,Thursday,Boxing Day,Public Holiday
cook-islands,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
cook-islands,2003,2 Jan,Thursday,Day After New Year's Day,Public Holiday
cook-islands,2003,20 Mar,Thursday,March Equinox,Season
cook-islands,2003,18 Apr,Friday,Good Friday,Public Holiday
cook-islands,2003,20 Apr,Sunday,Easter Sunday,Observance
cook-islands,2003,21 Apr,Monday,Easter Monday,Public Holiday
cook-islands,2003,25 Apr,Friday,ANZAC Day,Public Holiday
cook-islands,2003,2 Jun,Monday,Sovereign's Birthday,Public Holiday
cook-islands,2003,21 Jun,Saturday,June Solstice,Season
