Geo,Event Year,Date,Day,Name,Type
cuba,2000,1 Jan,Saturday,Liberation Day,National holiday
cuba,2000,6 Jan,Thursday,Epiphany,Observance
cuba,2000,28 Jan,Friday,José Martí's Birthday Memorial,Observance
cuba,2000,20 Mar,Monday,March Equinox,Season
cuba,2000,2 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cuba,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
cuba,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
cuba,2000,21 Apr,Friday,Good Friday,"Observance, Christian"
cuba,2000,1 May,Monday,Labor Day / May Day,National holiday
cuba,2000,14 May,Sunday,Mother's Day,Observance
cuba,2000,20 May,Saturday,Independence Day,Observance
cuba,2000,20 Jun,Tuesday,June Solstice,Season
cuba,2000,25 Jul,Tuesday,Revolution Anniversary,National holiday
cuba,2000,26 Jul,Wednesday,Day of the Rebellion,National holiday
cuba,2000,27 Jul,Thursday,Revolution Anniversary Celebration,National holiday
cuba,2000,22 Sep,Friday,September Equinox,Season
cuba,2000,10 Oct,Tuesday,Beginning of the War of Independence,National holiday
cuba,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cuba,2000,21 Dec,Thursday,December Solstice,Season
cuba,2000,25 Dec,Monday,Christmas Day,National holiday
cuba,2000,31 Dec,Sunday,New Year's Eve,National holiday
cuba,2001,1 Jan,Monday,Liberation Day,National holiday
cuba,2001,6 Jan,Saturday,Epiphany,Observance
cuba,2001,28 Jan,Sunday,José Martí's Birthday Memorial,Observance
cuba,2001,20 Mar,Tuesday,March Equinox,Season
cuba,2001,1 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cuba,2001,8 Apr,Sunday,Palm Sunday,"Observance, Christian"
cuba,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
cuba,2001,13 Apr,Friday,Good Friday,"Observance, Christian"
cuba,2001,1 May,Tuesday,Labor Day / May Day,National holiday
cuba,2001,13 May,Sunday,Mother's Day,Observance
cuba,2001,20 May,Sunday,Independence Day,Observance
cuba,2001,21 Jun,Thursday,June Solstice,Season
cuba,2001,25 Jul,Wednesday,Revolution Anniversary,National holiday
cuba,2001,26 Jul,Thursday,Day of the Rebellion,National holiday
cuba,2001,27 Jul,Friday,Revolution Anniversary Celebration,National holiday
cuba,2001,22 Sep,Saturday,September Equinox,Season
cuba,2001,10 Oct,Wednesday,Beginning of the War of Independence,National holiday
cuba,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cuba,2001,21 Dec,Friday,December Solstice,Season
cuba,2001,25 Dec,Tuesday,Christmas Day,National holiday
cuba,2001,31 Dec,Monday,New Year's Eve,National holiday
cuba,2002,1 Jan,Tuesday,Liberation Day,National holiday
cuba,2002,6 Jan,Sunday,Epiphany,Observance
cuba,2002,28 Jan,Monday,José Martí's Birthday Memorial,Observance
cuba,2002,20 Mar,Wednesday,March Equinox,Season
cuba,2002,24 Mar,Sunday,Palm Sunday,"Observance, Christian"
cuba,2002,28 Mar,Thursday,Maundy Thursday,"Observance, Christian"
cuba,2002,29 Mar,Friday,Good Friday,"Observance, Christian"
cuba,2002,7 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cuba,2002,1 May,Wednesday,Labor Day / May Day,National holiday
cuba,2002,12 May,Sunday,Mother's Day,Observance
cuba,2002,20 May,Monday,Independence Day,Observance
cuba,2002,21 Jun,Friday,June Solstice,Season
cuba,2002,25 Jul,Thursday,Revolution Anniversary,National holiday
cuba,2002,26 Jul,Friday,Day of the Rebellion,National holiday
cuba,2002,27 Jul,Saturday,Revolution Anniversary Celebration,National holiday
cuba,2002,23 Sep,Monday,September Equinox,Season
cuba,2002,10 Oct,Thursday,Beginning of the War of Independence,National holiday
cuba,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cuba,2002,21 Dec,Saturday,December Solstice,Season
cuba,2002,25 Dec,Wednesday,Christmas Day,National holiday
cuba,2002,31 Dec,Tuesday,New Year's Eve,National holiday
cuba,2003,1 Jan,Wednesday,Liberation Day,National holiday
cuba,2003,6 Jan,Monday,Epiphany,Observance
cuba,2003,28 Jan,Tuesday,José Martí's Birthday Memorial,Observance
cuba,2003,20 Mar,Thursday,March Equinox,Season
cuba,2003,6 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cuba,2003,13 Apr,Sunday,Palm Sunday,"Observance, Christian"
cuba,2003,17 Apr,Thursday,Maundy Thursday,"Observance, Christian"
cuba,2003,18 Apr,Friday,Good Friday,"Observance, Christian"
cuba,2003,1 May,Thursday,Labor Day / May Day,National holiday
cuba,2003,11 May,Sunday,Mother's Day,Observance
cuba,2003,20 May,Tuesday,Independence Day,Observance
cuba,2003,21 Jun,Saturday,June Solstice,Season
cuba,2003,25 Jul,Friday,Revolution Anniversary,National holiday
cuba,2003,26 Jul,Saturday,Day of the Rebellion,National holiday
cuba,2003,27 Jul,Sunday,Revolution Anniversary Celebration,National holiday
cuba,2003,23 Sep,Tuesday,September Equinox,Season
cuba,2003,10 Oct,Friday,Beginning of the War of Independence,National holiday
cuba,2003,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cuba,2003,22 Dec,Monday,December Solstice,Season
cuba,2003,25 Dec,Thursday,Christmas Day,National holiday
cuba,2003,31 Dec,Wednesday,New Year's Eve,National holiday
cuba,2004,1 Jan,Thursday,Liberation Day,National holiday
cuba,2004,6 Jan,Tuesday,Epiphany,Observance
cuba,2004,28 Jan,Wednesday,José Martí's Birthday Memorial,Observance
cuba,2004,20 Mar,Saturday,March Equinox,Season
cuba,2004,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cuba,2004,4 Apr,Sunday,Palm Sunday,"Observance, Christian"
cuba,2004,8 Apr,Thursday,Maundy Thursday,"Observance, Christian"
cuba,2004,9 Apr,Friday,Good Friday,"Observance, Christian"
cuba,2004,1 May,Saturday,Labor Day / May Day,National holiday
cuba,2004,9 May,Sunday,Mother's Day,Observance
cuba,2004,20 May,Thursday,Independence Day,Observance
cuba,2004,20 Jun,Sunday,June Solstice,Season
cuba,2004,25 Jul,Sunday,Revolution Anniversary,National holiday
cuba,2004,26 Jul,Monday,Day of the Rebellion,National holiday
cuba,2004,27 Jul,Tuesday,Revolution Anniversary Celebration,National holiday
cuba,2004,22 Sep,Wednesday,September Equinox,Season
cuba,2004,10 Oct,Sunday,Beginning of the War of Independence,National holiday
cuba,2004,21 Dec,Tuesday,December Solstice,Season
cuba,2004,25 Dec,Saturday,Christmas Day,National holiday
cuba,2004,31 Dec,Friday,New Year's Eve,National holiday
