Geo,Event Year,Date,Day,Name,Type
cyprus,2010,1 Jan,Friday,New Year's Day,National holiday
cyprus,2010,6 Jan,Wednesday,Epiphany,National holiday
cyprus,2010,15 Feb,Monday,Green Monday,National holiday
cyprus,2010,20 Mar,Saturday,March Equinox,Season
cyprus,2010,25 Mar,Thursday,Greek Independence Day,National holiday
cyprus,2010,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cyprus,2010,1 Apr,Thursday,Cyprus National Holiday,National holiday
cyprus,2010,2 Apr,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
cyprus,2010,3 Apr,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
cyprus,2010,4 Apr,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
cyprus,2010,5 Apr,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
cyprus,2010,6 Apr,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
cyprus,2010,1 May,Saturday,Labour Day/May Day,National holiday
cyprus,2010,24 May,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
cyprus,2010,21 Jun,Monday,June Solstice,Season
cyprus,2010,15 Aug,Sunday,Assumption of the Virgin Mary,National holiday
cyprus,2010,23 Sep,Thursday,September Equinox,Season
cyprus,2010,1 Oct,Friday,Cyprus Independence Day,National holiday
cyprus,2010,28 Oct,Thursday,Ochi Day,National holiday
cyprus,2010,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cyprus,2010,22 Dec,Wednesday,December Solstice,Season
cyprus,2010,24 Dec,Friday,Christmas Eve,Observance
cyprus,2010,25 Dec,Saturday,Christmas Day,National holiday
cyprus,2010,26 Dec,Sunday,Boxing Day,National holiday
cyprus,2010,31 Dec,Friday,New Year's Eve,Observance
cyprus,2011,1 Jan,Saturday,New Year's Day,National holiday
cyprus,2011,6 Jan,Thursday,Epiphany,National holiday
cyprus,2011,7 Mar,Monday,Green Monday,National holiday
cyprus,2011,21 Mar,Monday,March Equinox,Season
cyprus,2011,25 Mar,Friday,Greek Independence Day,National holiday
cyprus,2011,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cyprus,2011,1 Apr,Friday,Cyprus National Holiday,National holiday
cyprus,2011,22 Apr,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
cyprus,2011,23 Apr,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
cyprus,2011,24 Apr,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
cyprus,2011,25 Apr,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
cyprus,2011,26 Apr,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
cyprus,2011,1 May,Sunday,Labour Day/May Day,National holiday
cyprus,2011,13 Jun,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
cyprus,2011,21 Jun,Tuesday,June Solstice,Season
cyprus,2011,15 Aug,Monday,Assumption of the Virgin Mary,National holiday
cyprus,2011,23 Sep,Friday,September Equinox,Season
cyprus,2011,1 Oct,Saturday,Cyprus Independence Day,National holiday
cyprus,2011,28 Oct,Friday,Ochi Day,National holiday
cyprus,2011,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cyprus,2011,22 Dec,Thursday,December Solstice,Season
cyprus,2011,24 Dec,Saturday,Christmas Eve,Observance
cyprus,2011,25 Dec,Sunday,Christmas Day,National holiday
cyprus,2011,26 Dec,Monday,Boxing Day,National holiday
cyprus,2011,31 Dec,Saturday,New Year's Eve,Observance
cyprus,2012,1 Jan,Sunday,New Year's Day,National holiday
cyprus,2012,6 Jan,Friday,Epiphany,National holiday
cyprus,2012,27 Feb,Monday,Green Monday,National holiday
cyprus,2012,20 Mar,Tuesday,March Equinox,Season
cyprus,2012,25 Mar,Sunday,Greek Independence Day,National holiday
cyprus,2012,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
cyprus,2012,1 Apr,Sunday,Cyprus National Holiday,National holiday
cyprus,2012,13 Apr,Friday,Good Friday (Orthodox),"National holiday, Orthodox"
cyprus,2012,14 Apr,Saturday,Holy Saturday (Orthodox),"Observance, Orthodox"
cyprus,2012,15 Apr,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
cyprus,2012,16 Apr,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
cyprus,2012,17 Apr,Tuesday,Orthodox Easter Tuesday (banks only),Bank holiday
cyprus,2012,1 May,Tuesday,Labour Day/May Day,National holiday
cyprus,2012,4 Jun,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
cyprus,2012,21 Jun,Thursday,June Solstice,Season
cyprus,2012,15 Aug,Wednesday,Assumption of the Virgin Mary,National holiday
cyprus,2012,22 Sep,Saturday,September Equinox,Season
cyprus,2012,1 Oct,Monday,Cyprus Independence Day,National holiday
cyprus,2012,28 Oct,Sunday,Ochi Day,National holiday
cyprus,2012,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
cyprus,2012,21 Dec,Friday,December Solstice,Season
cyprus,2012,24 Dec,Monday,Christmas Eve,Observance
cyprus,2012,25 Dec,Tuesday,Christmas Day,National holiday
cyprus,2012,26 Dec,Wednesday,Boxing Day,National holiday
cyprus,2012,31 Dec,Monday,New Year's Eve,Observance
