Geo,Event Year,Date,Day,Name,Type
czech,2000,1 Jan,Saturday,New Year's Day,National holiday
czech,2000,1 Jan,Saturday,Restoration of the Czech Independence Day,National holiday
czech,2000,14 Feb,Monday,St. Valentine's Day,Observance
czech,2000,8 Mar,Wednesday,Carnival / Ash Wednesday,Christian
czech,2000,8 Mar,Wednesday,International Women's Day,Observance
czech,2000,20 Mar,Monday,March Equinox,Season
czech,2000,16 Apr,Sunday,Palm Sunday,Christian
czech,2000,20 Apr,Thursday,Maundy Thursday,Christian
czech,2000,21 Apr,Friday,Good Friday,Christian
czech,2000,22 Apr,Saturday,Holy Saturday,Christian
czech,2000,23 Apr,Sunday,Easter Sunday,Christian
czech,2000,24 Apr,Monday,Easter Monday,National holiday
czech,2000,1 May,Monday,Labor Day / May Day,National holiday
czech,2000,8 May,Monday,Victory in Europe Day,National holiday
czech,2000,14 May,Sunday,Mother's Day,Observance
czech,2000,1 Jun,Thursday,Ascension Day,Christian
czech,2000,1 Jun,Thursday,Children's Day,Observance
czech,2000,11 Jun,Sunday,Whit Sunday,Christian
czech,2000,12 Jun,Monday,Whit Monday,Christian
czech,2000,18 Jun,Sunday,Trinity,Christian
czech,2000,18 Jun,Sunday,Father's Day,Observance
czech,2000,21 Jun,Wednesday,June Solstice,Season
czech,2000,5 Jul,Wednesday,Day of Saints Cyril and Methodius,National holiday
czech,2000,6 Jul,Thursday,Jan Hus Day,National holiday
czech,2000,22 Sep,Friday,September Equinox,Season
czech,2000,28 Sep,Thursday,St. Wenceslas Day,National holiday
czech,2000,28 Oct,Saturday,Independent Czechoslovak State Day,National holiday
czech,2000,17 Nov,Friday,Struggle for Freedom and Democracy Day,National holiday
czech,2000,21 Dec,Thursday,December Solstice,Season
czech,2000,24 Dec,Sunday,Christmas Eve,National holiday
czech,2000,25 Dec,Monday,Christmas Day,National holiday
czech,2000,26 Dec,Tuesday,St. Stephen's Day,National holiday
czech,2001,1 Jan,Monday,New Year's Day,National holiday
czech,2001,1 Jan,Monday,Restoration of the Czech Independence Day,National holiday
czech,2001,14 Feb,Wednesday,St. Valentine's Day,Observance
czech,2001,28 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2001,8 Mar,Thursday,International Women's Day,Observance
czech,2001,20 Mar,Tuesday,March Equinox,Season
czech,2001,8 Apr,Sunday,Palm Sunday,Christian
czech,2001,12 Apr,Thursday,Maundy Thursday,Christian
czech,2001,13 Apr,Friday,Good Friday,Christian
czech,2001,14 Apr,Saturday,Holy Saturday,Christian
czech,2001,15 Apr,Sunday,Easter Sunday,Christian
czech,2001,16 Apr,Monday,Easter Monday,National holiday
czech,2001,1 May,Tuesday,Labor Day / May Day,National holiday
czech,2001,8 May,Tuesday,Victory in Europe Day,National holiday
czech,2001,13 May,Sunday,Mother's Day,Observance
czech,2001,24 May,Thursday,Ascension Day,Christian
czech,2001,1 Jun,Friday,Children's Day,Observance
czech,2001,3 Jun,Sunday,Whit Sunday,Christian
czech,2001,4 Jun,Monday,Whit Monday,Christian
czech,2001,10 Jun,Sunday,Trinity,Christian
czech,2001,17 Jun,Sunday,Father's Day,Observance
czech,2001,21 Jun,Thursday,June Solstice,Season
czech,2001,5 Jul,Thursday,Day of Saints Cyril and Methodius,National holiday
czech,2001,6 Jul,Friday,Jan Hus Day,National holiday
czech,2001,23 Sep,Sunday,September Equinox,Season
czech,2001,28 Sep,Friday,St. Wenceslas Day,National holiday
czech,2001,28 Oct,Sunday,Independent Czechoslovak State Day,National holiday
czech,2001,17 Nov,Saturday,Struggle for Freedom and Democracy Day,National holiday
czech,2001,21 Dec,Friday,December Solstice,Season
czech,2001,24 Dec,Monday,Christmas Eve,National holiday
czech,2001,25 Dec,Tuesday,Christmas Day,National holiday
czech,2001,26 Dec,Wednesday,St. Stephen's Day,National holiday
czech,2002,1 Jan,Tuesday,New Year's Day,National holiday
czech,2002,1 Jan,Tuesday,Restoration of the Czech Independence Day,National holiday
czech,2002,13 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2002,14 Feb,Thursday,St. Valentine's Day,Observance
czech,2002,8 Mar,Friday,International Women's Day,Observance
czech,2002,20 Mar,Wednesday,March Equinox,Season
czech,2002,24 Mar,Sunday,Palm Sunday,Christian
czech,2002,28 Mar,Thursday,Maundy Thursday,Christian
czech,2002,29 Mar,Friday,Good Friday,Christian
czech,2002,30 Mar,Saturday,Holy Saturday,Christian
czech,2002,31 Mar,Sunday,Easter Sunday,Christian
czech,2002,1 Apr,Monday,Easter Monday,National holiday
czech,2002,1 May,Wednesday,Labor Day / May Day,National holiday
czech,2002,8 May,Wednesday,Victory in Europe Day,National holiday
czech,2002,9 May,Thursday,Ascension Day,Christian
czech,2002,12 May,Sunday,Mother's Day,Observance
czech,2002,19 May,Sunday,Whit Sunday,Christian
czech,2002,20 May,Monday,Whit Monday,Christian
czech,2002,26 May,Sunday,Trinity,Christian
czech,2002,1 Jun,Saturday,Children's Day,Observance
czech,2002,16 Jun,Sunday,Father's Day,Observance
czech,2002,21 Jun,Friday,June Solstice,Season
czech,2002,5 Jul,Friday,Day of Saints Cyril and Methodius,National holiday
czech,2002,6 Jul,Saturday,Jan Hus Day,National holiday
czech,2002,23 Sep,Monday,September Equinox,Season
czech,2002,28 Sep,Saturday,St. Wenceslas Day,National holiday
czech,2002,28 Oct,Monday,Independent Czechoslovak State Day,National holiday
czech,2002,17 Nov,Sunday,Struggle for Freedom and Democracy Day,National holiday
czech,2002,22 Dec,Sunday,December Solstice,Season
czech,2002,24 Dec,Tuesday,Christmas Eve,National holiday
czech,2002,25 Dec,Wednesday,Christmas Day,National holiday
czech,2002,26 Dec,Thursday,St. Stephen's Day,National holiday
czech,2003,1 Jan,Wednesday,New Year's Day,National holiday
czech,2003,1 Jan,Wednesday,Restoration of the Czech Independence Day,National holiday
czech,2003,14 Feb,Friday,St. Valentine's Day,Observance
czech,2003,5 Mar,Wednesday,Carnival / Ash Wednesday,Christian
czech,2003,8 Mar,Saturday,International Women's Day,Observance
czech,2003,21 Mar,Friday,March Equinox,Season
czech,2003,13 Apr,Sunday,Palm Sunday,Christian
czech,2003,17 Apr,Thursday,Maundy Thursday,Christian
czech,2003,18 Apr,Friday,Good Friday,Christian
czech,2003,19 Apr,Saturday,Holy Saturday,Christian
czech,2003,20 Apr,Sunday,Easter Sunday,Christian
czech,2003,21 Apr,Monday,Easter Monday,National holiday
czech,2003,1 May,Thursday,Labor Day / May Day,National holiday
czech,2003,8 May,Thursday,Victory in Europe Day,National holiday
czech,2003,11 May,Sunday,Mother's Day,Observance
czech,2003,29 May,Thursday,Ascension Day,Christian
czech,2003,1 Jun,Sunday,Children's Day,Observance
czech,2003,8 Jun,Sunday,Whit Sunday,Christian
czech,2003,9 Jun,Monday,Whit Monday,Christian
czech,2003,15 Jun,Sunday,Trinity,Christian
czech,2003,15 Jun,Sunday,Father's Day,Observance
czech,2003,21 Jun,Saturday,June Solstice,Season
czech,2003,5 Jul,Saturday,Day of Saints Cyril and Methodius,National holiday
czech,2003,6 Jul,Sunday,Jan Hus Day,National holiday
czech,2003,23 Sep,Tuesday,September Equinox,Season
czech,2003,28 Sep,Sunday,St. Wenceslas Day,National holiday
czech,2003,28 Oct,Tuesday,Independent Czechoslovak State Day,National holiday
czech,2003,17 Nov,Monday,Struggle for Freedom and Democracy Day,National holiday
czech,2003,22 Dec,Monday,December Solstice,Season
czech,2003,24 Dec,Wednesday,Christmas Eve,National holiday
czech,2003,25 Dec,Thursday,Christmas Day,National holiday
czech,2003,26 Dec,Friday,St. Stephen's Day,National holiday
czech,2004,1 Jan,Thursday,New Year's Day,National holiday
czech,2004,1 Jan,Thursday,Restoration of the Czech Independence Day,National holiday
czech,2004,14 Feb,Saturday,St. Valentine's Day,Observance
czech,2004,25 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2004,8 Mar,Monday,International Women's Day,Observance
czech,2004,20 Mar,Saturday,March Equinox,Season
czech,2004,4 Apr,Sunday,Palm Sunday,Christian
czech,2004,8 Apr,Thursday,Maundy Thursday,Christian
czech,2004,9 Apr,Friday,Good Friday,Christian
czech,2004,10 Apr,Saturday,Holy Saturday,Christian
czech,2004,11 Apr,Sunday,Easter Sunday,Christian
czech,2004,12 Apr,Monday,Easter Monday,National holiday
czech,2004,1 May,Saturday,Labor Day / May Day,National holiday
czech,2004,8 May,Saturday,Victory in Europe Day,National holiday
czech,2004,9 May,Sunday,Mother's Day,Observance
czech,2004,20 May,Thursday,Ascension Day,Christian
czech,2004,30 May,Sunday,Whit Sunday,Christian
czech,2004,31 May,Monday,Whit Monday,Christian
czech,2004,1 Jun,Tuesday,Children's Day,Observance
czech,2004,6 Jun,Sunday,Trinity,Christian
czech,2004,20 Jun,Sunday,Father's Day,Observance
czech,2004,21 Jun,Monday,June Solstice,Season
czech,2004,5 Jul,Monday,Day of Saints Cyril and Methodius,National holiday
czech,2004,6 Jul,Tuesday,Jan Hus Day,National holiday
czech,2004,22 Sep,Wednesday,September Equinox,Season
czech,2004,28 Sep,Tuesday,St. Wenceslas Day,National holiday
czech,2004,28 Oct,Thursday,Independent Czechoslovak State Day,National holiday
czech,2004,17 Nov,Wednesday,Struggle for Freedom and Democracy Day,National holiday
czech,2004,21 Dec,Tuesday,December Solstice,Season
czech,2004,24 Dec,Friday,Christmas Eve,National holiday
czech,2004,25 Dec,Saturday,Christmas Day,National holiday
czech,2004,26 Dec,Sunday,St. Stephen's Day,National holiday
czech,2005,1 Jan,Saturday,New Year's Day,National holiday
czech,2005,1 Jan,Saturday,Restoration of the Czech Independence Day,National holiday
czech,2005,9 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2005,14 Feb,Monday,St. Valentine's Day,Observance
czech,2005,8 Mar,Tuesday,International Women's Day,Observance
czech,2005,20 Mar,Sunday,Palm Sunday,Christian
czech,2005,20 Mar,Sunday,March Equinox,Season
czech,2005,24 Mar,Thursday,Maundy Thursday,Christian
czech,2005,25 Mar,Friday,Good Friday,Christian
czech,2005,26 Mar,Saturday,Holy Saturday,Christian
czech,2005,27 Mar,Sunday,Easter Sunday,Christian
czech,2005,28 Mar,Monday,Easter Monday,National holiday
czech,2005,1 May,Sunday,Labor Day / May Day,National holiday
czech,2005,5 May,Thursday,Ascension Day,Christian
czech,2005,8 May,Sunday,Victory in Europe Day,National holiday
czech,2005,8 May,Sunday,Mother's Day,Observance
czech,2005,15 May,Sunday,Whit Sunday,Christian
czech,2005,16 May,Monday,Whit Monday,Christian
czech,2005,22 May,Sunday,Trinity,Christian
czech,2005,1 Jun,Wednesday,Children's Day,Observance
czech,2005,19 Jun,Sunday,Father's Day,Observance
czech,2005,21 Jun,Tuesday,June Solstice,Season
czech,2005,5 Jul,Tuesday,Day of Saints Cyril and Methodius,National holiday
czech,2005,6 Jul,Wednesday,Jan Hus Day,National holiday
czech,2005,23 Sep,Friday,September Equinox,Season
czech,2005,28 Sep,Wednesday,St. Wenceslas Day,National holiday
czech,2005,28 Oct,Friday,Independent Czechoslovak State Day,National holiday
czech,2005,17 Nov,Thursday,Struggle for Freedom and Democracy Day,National holiday
czech,2005,21 Dec,Wednesday,December Solstice,Season
czech,2005,24 Dec,Saturday,Christmas Eve,National holiday
czech,2005,25 Dec,Sunday,Christmas Day,National holiday
czech,2005,26 Dec,Monday,St. Stephen's Day,National holiday
czech,2006,1 Jan,Sunday,New Year's Day,National holiday
czech,2006,1 Jan,Sunday,Restoration of the Czech Independence Day,National holiday
czech,2006,14 Feb,Tuesday,St. Valentine's Day,Observance
czech,2006,1 Mar,Wednesday,Carnival / Ash Wednesday,Christian
czech,2006,8 Mar,Wednesday,International Women's Day,Observance
czech,2006,20 Mar,Monday,March Equinox,Season
czech,2006,9 Apr,Sunday,Palm Sunday,Christian
czech,2006,13 Apr,Thursday,Maundy Thursday,Christian
czech,2006,14 Apr,Friday,Good Friday,Christian
czech,2006,15 Apr,Saturday,Holy Saturday,Christian
czech,2006,16 Apr,Sunday,Easter Sunday,Christian
czech,2006,17 Apr,Monday,Easter Monday,National holiday
czech,2006,1 May,Monday,Labor Day / May Day,National holiday
czech,2006,8 May,Monday,Victory in Europe Day,National holiday
czech,2006,14 May,Sunday,Mother's Day,Observance
czech,2006,25 May,Thursday,Ascension Day,Christian
czech,2006,1 Jun,Thursday,Children's Day,Observance
czech,2006,4 Jun,Sunday,Whit Sunday,Christian
czech,2006,5 Jun,Monday,Whit Monday,Christian
czech,2006,11 Jun,Sunday,Trinity,Christian
czech,2006,18 Jun,Sunday,Father's Day,Observance
czech,2006,21 Jun,Wednesday,June Solstice,Season
czech,2006,5 Jul,Wednesday,Day of Saints Cyril and Methodius,National holiday
czech,2006,6 Jul,Thursday,Jan Hus Day,National holiday
czech,2006,23 Sep,Saturday,September Equinox,Season
czech,2006,28 Sep,Thursday,St. Wenceslas Day,National holiday
czech,2006,28 Oct,Saturday,Independent Czechoslovak State Day,National holiday
czech,2006,17 Nov,Friday,Struggle for Freedom and Democracy Day,National holiday
czech,2006,22 Dec,Friday,December Solstice,Season
czech,2006,24 Dec,Sunday,Christmas Eve,National holiday
czech,2006,25 Dec,Monday,Christmas Day,National holiday
czech,2006,26 Dec,Tuesday,St. Stephen's Day,National holiday
czech,2007,1 Jan,Monday,New Year's Day,National holiday
czech,2007,1 Jan,Monday,Restoration of the Czech Independence Day,National holiday
czech,2007,14 Feb,Wednesday,St. Valentine's Day,Observance
czech,2007,21 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2007,8 Mar,Thursday,International Women's Day,Observance
czech,2007,21 Mar,Wednesday,March Equinox,Season
czech,2007,1 Apr,Sunday,Palm Sunday,Christian
czech,2007,5 Apr,Thursday,Maundy Thursday,Christian
czech,2007,6 Apr,Friday,Good Friday,Christian
czech,2007,7 Apr,Saturday,Holy Saturday,Christian
czech,2007,8 Apr,Sunday,Easter Sunday,Christian
czech,2007,9 Apr,Monday,Easter Monday,National holiday
czech,2007,1 May,Tuesday,Labor Day / May Day,National holiday
czech,2007,8 May,Tuesday,Victory in Europe Day,National holiday
czech,2007,13 May,Sunday,Mother's Day,Observance
czech,2007,17 May,Thursday,Ascension Day,Christian
czech,2007,27 May,Sunday,Whit Sunday,Christian
czech,2007,28 May,Monday,Whit Monday,Christian
czech,2007,1 Jun,Friday,Children's Day,Observance
czech,2007,3 Jun,Sunday,Trinity,Christian
czech,2007,17 Jun,Sunday,Father's Day,Observance
czech,2007,21 Jun,Thursday,June Solstice,Season
czech,2007,5 Jul,Thursday,Day of Saints Cyril and Methodius,National holiday
czech,2007,6 Jul,Friday,Jan Hus Day,National holiday
czech,2007,23 Sep,Sunday,September Equinox,Season
czech,2007,28 Sep,Friday,St. Wenceslas Day,National holiday
czech,2007,28 Oct,Sunday,Independent Czechoslovak State Day,National holiday
czech,2007,17 Nov,Saturday,Struggle for Freedom and Democracy Day,National holiday
czech,2007,22 Dec,Saturday,December Solstice,Season
czech,2007,24 Dec,Monday,Christmas Eve,National holiday
czech,2007,25 Dec,Tuesday,Christmas Day,National holiday
czech,2007,26 Dec,Wednesday,St. Stephen's Day,National holiday
czech,2008,1 Jan,Tuesday,New Year's Day,National holiday
czech,2008,1 Jan,Tuesday,Restoration of the Czech Independence Day,National holiday
czech,2008,6 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2008,14 Feb,Thursday,St. Valentine's Day,Observance
czech,2008,8 Mar,Saturday,International Women's Day,Observance
czech,2008,16 Mar,Sunday,Palm Sunday,Christian
czech,2008,20 Mar,Thursday,Maundy Thursday,Christian
czech,2008,20 Mar,Thursday,March Equinox,Season
czech,2008,21 Mar,Friday,Good Friday,Christian
czech,2008,22 Mar,Saturday,Holy Saturday,Christian
czech,2008,23 Mar,Sunday,Easter Sunday,Christian
czech,2008,24 Mar,Monday,Easter Monday,National holiday
czech,2008,1 May,Thursday,Ascension Day,Christian
czech,2008,1 May,Thursday,Labor Day / May Day,National holiday
czech,2008,8 May,Thursday,Victory in Europe Day,National holiday
czech,2008,11 May,Sunday,Whit Sunday,Christian
czech,2008,11 May,Sunday,Mother's Day,Observance
czech,2008,12 May,Monday,Whit Monday,Christian
czech,2008,18 May,Sunday,Trinity,Christian
czech,2008,1 Jun,Sunday,Children's Day,Observance
czech,2008,15 Jun,Sunday,Father's Day,Observance
czech,2008,21 Jun,Saturday,June Solstice,Season
czech,2008,5 Jul,Saturday,Day of Saints Cyril and Methodius,National holiday
czech,2008,6 Jul,Sunday,Jan Hus Day,National holiday
czech,2008,22 Sep,Monday,September Equinox,Season
czech,2008,28 Sep,Sunday,St. Wenceslas Day,National holiday
czech,2008,28 Oct,Tuesday,Independent Czechoslovak State Day,National holiday
czech,2008,17 Nov,Monday,Struggle for Freedom and Democracy Day,National holiday
czech,2008,21 Dec,Sunday,December Solstice,Season
czech,2008,24 Dec,Wednesday,Christmas Eve,National holiday
czech,2008,25 Dec,Thursday,Christmas Day,National holiday
czech,2008,26 Dec,Friday,St. Stephen's Day,National holiday
czech,2009,1 Jan,Thursday,New Year's Day,National holiday
czech,2009,1 Jan,Thursday,Restoration of the Czech Independence Day,National holiday
czech,2009,14 Feb,Saturday,St. Valentine's Day,Observance
czech,2009,25 Feb,Wednesday,Carnival / Ash Wednesday,Christian
czech,2009,8 Mar,Sunday,International Women's Day,Observance
czech,2009,20 Mar,Friday,March Equinox,Season
czech,2009,5 Apr,Sunday,Palm Sunday,Christian
czech,2009,9 Apr,Thursday,Maundy Thursday,Christian
czech,2009,10 Apr,Friday,Good Friday,Christian
czech,2009,11 Apr,Saturday,Holy Saturday,Christian
czech,2009,12 Apr,Sunday,Easter Sunday,Christian
czech,2009,13 Apr,Monday,Easter Monday,National holiday
czech,2009,1 May,Friday,Labor Day / May Day,National holiday
czech,2009,8 May,Friday,Victory in Europe Day,National holiday
czech,2009,10 May,Sunday,Mother's Day,Observance
czech,2009,21 May,Thursday,Ascension Day,Christian
czech,2009,31 May,Sunday,Whit Sunday,Christian
czech,2009,1 Jun,Monday,Whit Monday,Christian
czech,2009,1 Jun,Monday,Children's Day,Observance
czech,2009,7 Jun,Sunday,Trinity,Christian
czech,2009,21 Jun,Sunday,Father's Day,Observance
czech,2009,21 Jun,Sunday,June Solstice,Season
czech,2009,5 Jul,Sunday,Day of Saints Cyril and Methodius,National holiday
czech,2009,6 Jul,Monday,Jan Hus Day,National holiday
czech,2009,22 Sep,Tuesday,September Equinox,Season
czech,2009,28 Sep,Monday,St. Wenceslas Day,National holiday
czech,2009,28 Oct,Wednesday,Independent Czechoslovak State Day,National holiday
czech,2009,17 Nov,Tuesday,Struggle for Freedom and Democracy Day,National holiday
czech,2009,21 Dec,Monday,December Solstice,Season
czech,2009,24 Dec,Thursday,Christmas Eve,National holiday
