Geo,Event Year,Date,Day,Name,Type
denmark,2000,1 Jan,Saturday,New Year's Day,National holiday
denmark,2000,14 Feb,Monday,Valentine's Day,Observance
denmark,2000,5 Mar,Sunday,Carnival,Observance
denmark,2000,20 Mar,Monday,March Equinox,Season
denmark,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
denmark,2000,16 Apr,Sunday,Palm Sunday,Observance
denmark,2000,20 Apr,Thursday,Maundy Thursday,National holiday
denmark,2000,21 Apr,Friday,Good Friday,National holiday
denmark,2000,23 Apr,Sunday,Easter Sunday,National holiday
denmark,2000,24 Apr,Monday,Easter Monday,National holiday
denmark,2000,1 May,Monday,Labor Day / May Day,Private Sector Holiday
denmark,2000,5 May,Friday,Liberation Day,Observance
denmark,2000,14 May,Sunday,Mother’s Day,Observance
denmark,2000,19 May,Friday,Great Prayer Day,National holiday
denmark,2000,1 Jun,Thursday,Ascension Day,National holiday
denmark,2000,5 Jun,Monday,Father’s Day,Observance
denmark,2000,5 Jun,Monday,Constitution Day,Private Sector Holiday
denmark,2000,11 Jun,Sunday,Whit Sunday,National holiday
denmark,2000,12 Jun,Monday,Whit Monday,National holiday
denmark,2000,21 Jun,Wednesday,June Solstice,Season
denmark,2000,22 Sep,Friday,September Equinox,Season
denmark,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
denmark,2000,21 Dec,Thursday,December Solstice,Season
denmark,2000,24 Dec,Sunday,Christmas Eve,Observance
denmark,2000,25 Dec,Monday,Christmas Day,National holiday
denmark,2000,26 Dec,Tuesday,2nd Christmas Day,National holiday
denmark,2000,31 Dec,Sunday,New Year's Eve,Observance
denmark,2001,1 Jan,Monday,New Year's Day,National holiday
denmark,2001,14 Feb,Wednesday,Valentine's Day,Observance
denmark,2001,25 Feb,Sunday,Carnival,Observance
denmark,2001,20 Mar,Tuesday,March Equinox,Season
denmark,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
denmark,2001,8 Apr,Sunday,Palm Sunday,Observance
denmark,2001,12 Apr,Thursday,Maundy Thursday,National holiday
denmark,2001,13 Apr,Friday,Good Friday,National holiday
denmark,2001,15 Apr,Sunday,Easter Sunday,National holiday
denmark,2001,16 Apr,Monday,Easter Monday,National holiday
denmark,2001,1 May,Tuesday,Labor Day / May Day,Private Sector Holiday
denmark,2001,5 May,Saturday,Liberation Day,Observance
denmark,2001,11 May,Friday,Great Prayer Day,National holiday
