Geo,Event Year,Date,Day,Name,Type
dominica,2000,1 Jan,Saturday,New Year's Day,Public Holiday
dominica,2000,3 Jan,Monday,New Year's Day observed,Public Holiday
dominica,2000,6 Mar,Monday,Carnival Monday,Public Holiday
dominica,2000,7 Mar,Tuesday,Carnival Tuesday,Public Holiday
dominica,2000,20 Mar,Monday,March Equinox,Season
dominica,2000,21 Apr,Friday,Good Friday,Public Holiday
dominica,2000,24 Apr,Monday,Easter Monday,Public Holiday
dominica,2000,1 May,Monday,Labor Day / May Day,Public Holiday
dominica,2000,12 Jun,Monday,Whit Monday,Public Holiday
dominica,2000,20 Jun,Tuesday,June Solstice,Season
dominica,2000,7 Aug,Monday,Emancipation Day,Public Holiday
dominica,2000,22 Sep,Friday,September Equinox,Season
dominica,2000,3 Nov,Friday,Independence Day,Public Holiday
dominica,2000,4 Nov,Saturday,Community Service Day,Public Holiday
dominica,2000,12 Nov,Sunday,Remembrance Sunday,Observance
dominica,2000,21 Dec,Thursday,December Solstice,Season
dominica,2000,25 Dec,Monday,Christmas Day,Public Holiday
dominica,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
dominica,2001,1 Jan,Monday,New Year's Day,Public Holiday
dominica,2001,26 Feb,Monday,Carnival Monday,Public Holiday
dominica,2001,27 Feb,Tuesday,Carnival Tuesday,Public Holiday
dominica,2001,20 Mar,Tuesday,March Equinox,Season
dominica,2001,13 Apr,Friday,Good Friday,Public Holiday
dominica,2001,16 Apr,Monday,Easter Monday,Public Holiday
dominica,2001,7 May,Monday,Labor Day / May Day,Public Holiday
dominica,2001,4 Jun,Monday,Whit Monday,Public Holiday
dominica,2001,21 Jun,Thursday,June Solstice,Season
dominica,2001,6 Aug,Monday,Emancipation Day,Public Holiday
dominica,2001,22 Sep,Saturday,September Equinox,Season
dominica,2001,3 Nov,Saturday,Independence Day,Public Holiday
dominica,2001,4 Nov,Sunday,Community Service Day,Public Holiday
dominica,2001,5 Nov,Monday,Community Service Day observed,Public Holiday
dominica,2001,11 Nov,Sunday,Remembrance Sunday,Observance
dominica,2001,21 Dec,Friday,December Solstice,Season
dominica,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
dominica,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
dominica,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
dominica,2002,11 Feb,Monday,Carnival Monday,Public Holiday
dominica,2002,12 Feb,Tuesday,Carnival Tuesday,Public Holiday
dominica,2002,20 Mar,Wednesday,March Equinox,Season
dominica,2002,29 Mar,Friday,Good Friday,Public Holiday
dominica,2002,1 Apr,Monday,Easter Monday,Public Holiday
dominica,2002,6 May,Monday,Labor Day / May Day,Public Holiday
dominica,2002,20 May,Monday,Whit Monday,Public Holiday
dominica,2002,21 Jun,Friday,June Solstice,Season
dominica,2002,5 Aug,Monday,Emancipation Day,Public Holiday
dominica,2002,23 Sep,Monday,September Equinox,Season
dominica,2002,3 Nov,Sunday,Independence Day,Public Holiday
dominica,2002,4 Nov,Monday,Independence Day observed,Public Holiday
dominica,2002,4 Nov,Monday,Community Service Day,Public Holiday
dominica,2002,5 Nov,Tuesday,Community Service Day observed,Public Holiday
dominica,2002,10 Nov,Sunday,Remembrance Sunday,Observance
dominica,2002,21 Dec,Saturday,December Solstice,Season
dominica,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
dominica,2002,26 Dec,Thursday,Boxing Day,Public Holiday
dominica,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
