Geo,Event Year,Date,Day,Name,Type
dominican-republic,2000,1 Jan,Saturday,New Year's Day,National holiday
dominican-republic,2000,10 Jan,Monday,Epiphany,National holiday
dominican-republic,2000,21 Jan,Friday,Our Lady of Altagracia,National holiday
dominican-republic,2000,24 Jan,Monday,Day off for Duarte's Day,National holiday
dominican-republic,2000,26 Jan,Wednesday,Duarte's Day,National holiday
dominican-republic,2000,27 Feb,Sunday,Independence Day,National holiday
dominican-republic,2000,20 Mar,Monday,March Equinox,Season
dominican-republic,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
dominican-republic,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
dominican-republic,2000,1 May,Monday,Labor Day,National holiday
dominican-republic,2000,28 May,Sunday,Mother's Day,Observance
dominican-republic,2000,20 Jun,Tuesday,June Solstice,Season
dominican-republic,2000,22 Jun,Thursday,Corpus Christi,National holiday
dominican-republic,2000,30 Jul,Sunday,Father's Day,Observance
dominican-republic,2000,16 Aug,Wednesday,Restoration Day,National holiday
dominican-republic,2000,22 Sep,Friday,September Equinox,Season
dominican-republic,2000,24 Sep,Sunday,Feast of Our Lady of Mercy,National holiday
dominican-republic,2000,6 Nov,Monday,Constitution Day,National holiday
dominican-republic,2000,21 Dec,Thursday,December Solstice,Season
dominican-republic,2000,24 Dec,Sunday,Christmas Eve,Observance
dominican-republic,2000,25 Dec,Monday,Christmas Day,National holiday
dominican-republic,2000,31 Dec,Sunday,New Year's Eve,Observance
dominican-republic,2001,1 Jan,Monday,New Year's Day,National holiday
dominican-republic,2001,6 Jan,Saturday,Epiphany,National holiday
dominican-republic,2001,21 Jan,Sunday,Our Lady of Altagracia,National holiday
dominican-republic,2001,26 Jan,Friday,Duarte's Day,National holiday
dominican-republic,2001,29 Jan,Monday,Day off for Duarte's Day,National holiday
dominican-republic,2001,27 Feb,Tuesday,Independence Day,National holiday
dominican-republic,2001,20 Mar,Tuesday,March Equinox,Season
dominican-republic,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
dominican-republic,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
dominican-republic,2001,1 May,Tuesday,Labor Day,National holiday
dominican-republic,2001,27 May,Sunday,Mother's Day,Observance
dominican-republic,2001,14 Jun,Thursday,Corpus Christi,National holiday
dominican-republic,2001,21 Jun,Thursday,June Solstice,Season
dominican-republic,2001,29 Jul,Sunday,Father's Day,Observance
dominican-republic,2001,16 Aug,Thursday,Restoration Day,National holiday
dominican-republic,2001,22 Sep,Saturday,September Equinox,Season
dominican-republic,2001,24 Sep,Monday,Feast of Our Lady of Mercy,National holiday
dominican-republic,2001,5 Nov,Monday,Day off for Constitution Day,National holiday
dominican-republic,2001,6 Nov,Tuesday,Constitution Day,National holiday
dominican-republic,2001,21 Dec,Friday,December Solstice,Season
dominican-republic,2001,24 Dec,Monday,Christmas Eve,Observance
dominican-republic,2001,25 Dec,Tuesday,Christmas Day,National holiday
dominican-republic,2001,31 Dec,Monday,New Year's Eve,Observance
dominican-republic,2002,1 Jan,Tuesday,New Year's Day,National holiday
dominican-republic,2002,6 Jan,Sunday,Epiphany,National holiday
dominican-republic,2002,21 Jan,Monday,Our Lady of Altagracia,National holiday
dominican-republic,2002,26 Jan,Saturday,Duarte's Day,National holiday
dominican-republic,2002,27 Feb,Wednesday,Independence Day,National holiday
dominican-republic,2002,20 Mar,Wednesday,March Equinox,Season
dominican-republic,2002,28 Mar,Thursday,Maundy Thursday,"Observance, Christian"
dominican-republic,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
dominican-republic,2002,1 May,Wednesday,Labor Day,National holiday
dominican-republic,2002,26 May,Sunday,Mother's Day,Observance
dominican-republic,2002,30 May,Thursday,Corpus Christi,National holiday
dominican-republic,2002,21 Jun,Friday,June Solstice,Season
dominican-republic,2002,28 Jul,Sunday,Father's Day,Observance
dominican-republic,2002,16 Aug,Friday,Restoration Day,National holiday
dominican-republic,2002,23 Sep,Monday,September Equinox,Season
dominican-republic,2002,24 Sep,Tuesday,Feast of Our Lady of Mercy,National holiday
dominican-republic,2002,4 Nov,Monday,Day off for Constitution Day,National holiday
dominican-republic,2002,6 Nov,Wednesday,Constitution Day,National holiday
dominican-republic,2002,21 Dec,Saturday,December Solstice,Season
dominican-republic,2002,24 Dec,Tuesday,Christmas Eve,Observance
dominican-republic,2002,25 Dec,Wednesday,Christmas Day,National holiday
dominican-republic,2002,31 Dec,Tuesday,New Year's Eve,Observance
dominican-republic,2003,1 Jan,Wednesday,New Year's Day,National holiday
dominican-republic,2003,6 Jan,Monday,Epiphany,National holiday
dominican-republic,2003,21 Jan,Tuesday,Our Lady of Altagracia,National holiday
dominican-republic,2003,26 Jan,Sunday,Duarte's Day,National holiday
dominican-republic,2003,27 Feb,Thursday,Independence Day,National holiday
dominican-republic,2003,20 Mar,Thursday,March Equinox,Season
dominican-republic,2003,17 Apr,Thursday,Maundy Thursday,"Observance, Christian"
dominican-republic,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
dominican-republic,2003,1 May,Thursday,Labor Day,National holiday
dominican-republic,2003,25 May,Sunday,Mother's Day,Observance
dominican-republic,2003,19 Jun,Thursday,Corpus Christi,National holiday
dominican-republic,2003,21 Jun,Saturday,June Solstice,Season
dominican-republic,2003,27 Jul,Sunday,Father's Day,Observance
dominican-republic,2003,16 Aug,Saturday,Restoration Day,National holiday
dominican-republic,2003,23 Sep,Tuesday,September Equinox,Season
dominican-republic,2003,24 Sep,Wednesday,Feast of Our Lady of Mercy,National holiday
dominican-republic,2003,6 Nov,Thursday,Constitution Day,National holiday
dominican-republic,2003,10 Nov,Monday,Day off for Constitution Day,National holiday
