Geo,Event Year,Date,Day,Name,Type
ecuador,2000,1 Jan,Saturday,New Year's Day,National holiday
ecuador,2000,6 Mar,Monday,Carnival,National holiday
ecuador,2000,7 Mar,Tuesday,Carnival,National holiday
ecuador,2000,11 Mar,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2000,18 Mar,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2000,20 Mar,Monday,March Equinox,Season
ecuador,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
ecuador,2000,22 Apr,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2000,1 May,Monday,Labor Day / May Day,National holiday
ecuador,2000,20 Jun,Tuesday,June Solstice,Season
ecuador,2000,24 Jul,Monday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2000,10 Aug,Thursday,Independence Day,National holiday
ecuador,2000,22 Sep,Friday,September Equinox,Season
ecuador,2000,9 Oct,Monday,Independence of Guayaquil,National holiday
ecuador,2000,2 Nov,Thursday,All Souls' Day,National holiday
ecuador,2000,3 Nov,Friday,Independence of Cuenca,National holiday
ecuador,2000,6 Dec,Wednesday,Foundation of Quito,Local holiday
ecuador,2000,21 Dec,Thursday,December Solstice,Season
ecuador,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
ecuador,2000,31 Dec,Sunday,New Year's Eve,Observance
ecuador,2001,1 Jan,Monday,New Year's Day,National holiday
ecuador,2001,26 Feb,Monday,Carnival,National holiday
ecuador,2001,27 Feb,Tuesday,Carnival,National holiday
ecuador,2001,3 Mar,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2001,10 Mar,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2001,20 Mar,Tuesday,March Equinox,Season
ecuador,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
ecuador,2001,14 Apr,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2001,30 Apr,Monday,Day off for Labor Day / May Day,National holiday
ecuador,2001,1 May,Tuesday,Labor Day / May Day,National holiday
ecuador,2001,21 Jun,Thursday,June Solstice,Season
ecuador,2001,24 Jul,Tuesday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2001,10 Aug,Friday,Independence Day,National holiday
ecuador,2001,22 Sep,Saturday,September Equinox,Season
ecuador,2001,9 Oct,Tuesday,Independence of Guayaquil,National holiday
ecuador,2001,2 Nov,Friday,All Souls' Day,National holiday
ecuador,2001,3 Nov,Saturday,Independence of Cuenca,National holiday
ecuador,2001,6 Dec,Thursday,Foundation of Quito,Local holiday
ecuador,2001,21 Dec,Friday,December Solstice,Season
ecuador,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
ecuador,2001,31 Dec,Monday,New Year's Eve,Observance
ecuador,2002,1 Jan,Tuesday,New Year's Day,National holiday
ecuador,2002,11 Feb,Monday,Carnival,National holiday
ecuador,2002,12 Feb,Tuesday,Carnival,National holiday
ecuador,2002,16 Feb,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2002,23 Feb,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2002,20 Mar,Wednesday,March Equinox,Season
ecuador,2002,28 Mar,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
ecuador,2002,30 Mar,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2002,1 May,Wednesday,Labor Day / May Day,National holiday
ecuador,2002,3 May,Friday,Day off for Labor Day / May Day,National holiday
ecuador,2002,21 Jun,Friday,June Solstice,Season
ecuador,2002,24 Jul,Wednesday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2002,10 Aug,Saturday,Independence Day,National holiday
ecuador,2002,22 Sep,Sunday,September Equinox,Season
ecuador,2002,9 Oct,Wednesday,Independence of Guayaquil,National holiday
ecuador,2002,2 Nov,Saturday,All Souls' Day,National holiday
ecuador,2002,3 Nov,Sunday,Independence of Cuenca,National holiday
ecuador,2002,6 Dec,Friday,Foundation of Quito,Local holiday
ecuador,2002,21 Dec,Saturday,December Solstice,Season
ecuador,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
ecuador,2002,31 Dec,Tuesday,New Year's Eve,Observance
ecuador,2003,1 Jan,Wednesday,New Year's Day,National holiday
ecuador,2003,3 Mar,Monday,Carnival,National holiday
ecuador,2003,4 Mar,Tuesday,Carnival,National holiday
ecuador,2003,8 Mar,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2003,15 Mar,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2003,20 Mar,Thursday,March Equinox,Season
ecuador,2003,17 Apr,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
ecuador,2003,19 Apr,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2003,1 May,Thursday,Labor Day / May Day,National holiday
ecuador,2003,2 May,Friday,Day off for Labor Day / May Day,National holiday
ecuador,2003,21 Jun,Saturday,June Solstice,Season
ecuador,2003,24 Jul,Thursday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2003,10 Aug,Sunday,Independence Day,National holiday
ecuador,2003,23 Sep,Tuesday,September Equinox,Season
ecuador,2003,9 Oct,Thursday,Independence of Guayaquil,National holiday
ecuador,2003,2 Nov,Sunday,All Souls' Day,National holiday
ecuador,2003,3 Nov,Monday,Independence of Cuenca,National holiday
ecuador,2003,6 Dec,Saturday,Foundation of Quito,Local holiday
ecuador,2003,22 Dec,Monday,December Solstice,Season
ecuador,2003,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
ecuador,2003,31 Dec,Wednesday,New Year's Eve,Observance
ecuador,2004,1 Jan,Thursday,New Year's Day,National holiday
ecuador,2004,23 Feb,Monday,Carnival,National holiday
ecuador,2004,24 Feb,Tuesday,Carnival,National holiday
ecuador,2004,28 Feb,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2004,6 Mar,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2004,20 Mar,Saturday,March Equinox,Season
ecuador,2004,8 Apr,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2004,9 Apr,Friday,Good Friday,"National holiday, Christian"
ecuador,2004,10 Apr,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2004,1 May,Saturday,Labor Day / May Day,National holiday
ecuador,2004,20 Jun,Sunday,June Solstice,Season
ecuador,2004,24 Jul,Saturday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2004,10 Aug,Tuesday,Independence Day,National holiday
ecuador,2004,22 Sep,Wednesday,September Equinox,Season
ecuador,2004,9 Oct,Saturday,Independence of Guayaquil,National holiday
ecuador,2004,2 Nov,Tuesday,All Souls' Day,National holiday
ecuador,2004,3 Nov,Wednesday,Independence of Cuenca,National holiday
ecuador,2004,6 Dec,Monday,Foundation of Quito,Local holiday
ecuador,2004,21 Dec,Tuesday,December Solstice,Season
ecuador,2004,25 Dec,Saturday,Christmas Day,"National holiday, Christian"
ecuador,2004,31 Dec,Friday,New Year's Eve,Observance
ecuador,2005,1 Jan,Saturday,New Year's Day,National holiday
ecuador,2005,7 Feb,Monday,Carnival,National holiday
ecuador,2005,8 Feb,Tuesday,Carnival,National holiday
ecuador,2005,12 Feb,Saturday,Special working day (compensation for Carnival Monday),Observance
ecuador,2005,19 Feb,Saturday,Special working day (compensation for Carnival Tuesday),Observance
ecuador,2005,20 Mar,Sunday,March Equinox,Season
ecuador,2005,24 Mar,Thursday,Maundy Thursday,"Observance, Christian"
ecuador,2005,25 Mar,Friday,Good Friday,"National holiday, Christian"
ecuador,2005,26 Mar,Saturday,Holy Saturday,"Observance, Christian"
ecuador,2005,27 Mar,Sunday,Easter Sunday,"Observance, Christian"
ecuador,2005,1 May,Sunday,Labor Day / May Day,National holiday
ecuador,2005,21 Jun,Tuesday,June Solstice,Season
ecuador,2005,24 Jul,Sunday,Simón Bolívar's Birthday Memorial,Observance
ecuador,2005,10 Aug,Wednesday,Independence Day,National holiday
ecuador,2005,22 Sep,Thursday,September Equinox,Season
ecuador,2005,9 Oct,Sunday,Independence of Guayaquil,National holiday
ecuador,2005,2 Nov,Wednesday,All Souls' Day,National holiday
ecuador,2005,3 Nov,Thursday,Independence of Cuenca,National holiday
ecuador,2005,6 Dec,Tuesday,Foundation of Quito,Local holiday
ecuador,2005,21 Dec,Wednesday,December Solstice,Season
ecuador,2005,25 Dec,Sunday,Christmas Day,"National holiday, Christian"
ecuador,2005,31 Dec,Saturday,New Year's Eve,Observance
