Geo,Event Year,Date,Day,Name,Type
egypt,2005,1 Jan,Saturday,January 1 Bank Holiday,Bank Holiday
egypt,2005,7 Jan,Friday,Coptic Christmas Day,National holiday
egypt,2005,21 Jan,Friday,Eid al-Adha,National holiday
egypt,2005,22 Jan,Saturday,Eid al-Adha Holiday,National holiday
egypt,2005,23 Jan,Sunday,Eid al-Adha Holiday,National holiday
egypt,2005,24 Jan,Monday,Eid al-Adha Holiday,Bank Holiday
egypt,2005,10 Feb,Thursday,Muharram,National holiday
egypt,2005,19 Feb,Saturday,Ashura,Observance
egypt,2005,20 Mar,Sunday,March Equinox,Season
egypt,2005,21 Apr,Thursday,Prophet Mohamed's Birthday,National holiday
egypt,2005,25 Apr,Monday,Sinai Liberation Day,National holiday
egypt,2005,29 Apr,Friday,Coptic Good Friday,Observance
egypt,2005,30 Apr,Saturday,Coptic Holy Saturday,Observance
egypt,2005,1 May,Sunday,Coptic Easter Sunday,National holiday
egypt,2005,1 May,Sunday,Labor Day,National holiday
egypt,2005,2 May,Monday,Spring Festival,National holiday
egypt,2005,21 Jun,Tuesday,June Solstice,Season
egypt,2005,1 Jul,Friday,July 1 Bank Holiday,Bank Holiday
egypt,2005,23 Jul,Saturday,Revolution Day July 23,National holiday
egypt,2005,15 Aug,Monday,Flooding of the Nile,Observance
egypt,2005,11 Sep,Sunday,Nayrouz,Observance
egypt,2005,23 Sep,Friday,September Equinox,Season
egypt,2005,6 Oct,Thursday,Armed Forces Day,National holiday
egypt,2005,4 Nov,Friday,Eid el Fitr,National holiday
egypt,2005,5 Nov,Saturday,Eid el Fitr Holiday,National holiday
egypt,2005,6 Nov,Sunday,Eid el Fitr Holiday,National holiday
egypt,2005,21 Dec,Wednesday,December Solstice,Season
egypt,2006,1 Jan,Sunday,January 1 Bank Holiday,Bank Holiday
egypt,2006,7 Jan,Saturday,Coptic Christmas Day,National holiday
egypt,2006,10 Jan,Tuesday,Eid al-Adha,National holiday
egypt,2006,11 Jan,Wednesday,Eid al-Adha Holiday,National holiday
egypt,2006,12 Jan,Thursday,Eid al-Adha Holiday,National holiday
egypt,2006,13 Jan,Friday,Eid al-Adha Holiday,Bank Holiday
egypt,2006,31 Jan,Tuesday,Muharram,National holiday
egypt,2006,9 Feb,Thursday,Ashura,Observance
egypt,2006,20 Mar,Monday,March Equinox,Season
egypt,2006,11 Apr,Tuesday,Prophet Mohamed's Birthday,National holiday
egypt,2006,21 Apr,Friday,Coptic Good Friday,Observance
egypt,2006,22 Apr,Saturday,Coptic Holy Saturday,Observance
egypt,2006,23 Apr,Sunday,Coptic Easter Sunday,National holiday
egypt,2006,24 Apr,Monday,Spring Festival,National holiday
egypt,2006,25 Apr,Tuesday,Sinai Liberation Day,National holiday
egypt,2006,1 May,Monday,Labor Day,National holiday
egypt,2006,21 Jun,Wednesday,June Solstice,Season
egypt,2006,1 Jul,Saturday,July 1 Bank Holiday,Bank Holiday
egypt,2006,23 Jul,Sunday,Revolution Day July 23,National holiday
egypt,2006,15 Aug,Tuesday,Flooding of the Nile,Observance
egypt,2006,11 Sep,Monday,Nayrouz,Observance
egypt,2006,23 Sep,Saturday,September Equinox,Season
egypt,2006,6 Oct,Friday,Armed Forces Day,National holiday
egypt,2006,24 Oct,Tuesday,Eid el Fitr,National holiday
egypt,2006,25 Oct,Wednesday,Eid el Fitr Holiday,National holiday
egypt,2006,26 Oct,Thursday,Eid el Fitr Holiday,National holiday
egypt,2006,22 Dec,Friday,December Solstice,Season
egypt,2006,29 Dec,Friday,Arafat Day,National holiday
egypt,2006,31 Dec,Sunday,Eid al-Adha,National holiday
egypt,2007,1 Jan,Monday,Eid al-Adha Holiday,National holiday
egypt,2007,1 Jan,Monday,January 1 Bank Holiday,Bank Holiday
egypt,2007,2 Jan,Tuesday,Eid al-Adha Holiday,National holiday
egypt,2007,3 Jan,Wednesday,Eid al-Adha Holiday,Bank Holiday
egypt,2007,7 Jan,Sunday,Coptic Christmas Day,National holiday
egypt,2007,20 Jan,Saturday,Muharram,National holiday
egypt,2007,29 Jan,Monday,Ashura,Observance
egypt,2007,21 Mar,Wednesday,March Equinox,Season
egypt,2007,31 Mar,Saturday,Prophet Mohamed's Birthday,National holiday
egypt,2007,6 Apr,Friday,Coptic Good Friday,Observance
egypt,2007,7 Apr,Saturday,Coptic Holy Saturday,Observance
egypt,2007,8 Apr,Sunday,Coptic Easter Sunday,National holiday
egypt,2007,9 Apr,Monday,Spring Festival,National holiday
egypt,2007,25 Apr,Wednesday,Sinai Liberation Day,National holiday
egypt,2007,1 May,Tuesday,Labor Day,National holiday
egypt,2007,21 Jun,Thursday,June Solstice,Season
egypt,2007,1 Jul,Sunday,July 1 Bank Holiday,Bank Holiday
egypt,2007,23 Jul,Monday,Revolution Day July 23,National holiday
egypt,2007,15 Aug,Wednesday,Flooding of the Nile,Observance
egypt,2007,12 Sep,Wednesday,Nayrouz,Observance
egypt,2007,23 Sep,Sunday,September Equinox,Season
egypt,2007,6 Oct,Saturday,Armed Forces Day,National holiday
egypt,2007,13 Oct,Saturday,Eid el Fitr,National holiday
egypt,2007,14 Oct,Sunday,Eid el Fitr Holiday,National holiday
egypt,2007,15 Oct,Monday,Eid el Fitr Holiday,National holiday
egypt,2007,19 Dec,Wednesday,Arafat Day,National holiday
egypt,2007,20 Dec,Thursday,Eid al-Adha,National holiday
egypt,2007,21 Dec,Friday,Eid al-Adha Holiday,National holiday
egypt,2007,22 Dec,Saturday,Eid al-Adha Holiday,National holiday
egypt,2007,22 Dec,Saturday,December Solstice,Season
egypt,2007,23 Dec,Sunday,Eid al-Adha Holiday,Bank Holiday
egypt,2008,1 Jan,Tuesday,January 1 Bank Holiday,Bank Holiday
egypt,2008,7 Jan,Monday,Coptic Christmas Day,National holiday
egypt,2008,10 Jan,Thursday,Muharram,National holiday
egypt,2008,19 Jan,Saturday,Ashura,Observance
egypt,2008,20 Mar,Thursday,Prophet Mohamed's Birthday,National holiday
egypt,2008,20 Mar,Thursday,March Equinox,Season
egypt,2008,25 Apr,Friday,Coptic Good Friday,Observance
egypt,2008,25 Apr,Friday,Sinai Liberation Day,National holiday
egypt,2008,26 Apr,Saturday,Coptic Holy Saturday,Observance
egypt,2008,27 Apr,Sunday,Coptic Easter Sunday,National holiday
egypt,2008,28 Apr,Monday,Spring Festival,National holiday
egypt,2008,1 May,Thursday,Labor Day,National holiday
egypt,2008,21 Jun,Saturday,June Solstice,Season
egypt,2008,1 Jul,Tuesday,July 1 Bank Holiday,Bank Holiday
egypt,2008,23 Jul,Wednesday,Revolution Day July 23,National holiday
egypt,2008,15 Aug,Friday,Flooding of the Nile,Observance
egypt,2008,11 Sep,Thursday,Nayrouz,Observance
egypt,2008,22 Sep,Monday,September Equinox,Season
egypt,2008,2 Oct,Thursday,Eid el Fitr,National holiday
egypt,2008,3 Oct,Friday,Eid el Fitr Holiday,National holiday
egypt,2008,4 Oct,Saturday,Eid el Fitr Holiday,National holiday
egypt,2008,6 Oct,Monday,Armed Forces Day,National holiday
egypt,2008,7 Dec,Sunday,Arafat Day,National holiday
egypt,2008,9 Dec,Tuesday,Eid al-Adha,National holiday
egypt,2008,10 Dec,Wednesday,Eid al-Adha Holiday,National holiday
egypt,2008,11 Dec,Thursday,Eid al-Adha Holiday,National holiday
egypt,2008,12 Dec,Friday,Eid al-Adha Holiday,Bank Holiday
egypt,2008,21 Dec,Sunday,December Solstice,Season
egypt,2008,29 Dec,Monday,Muharram,National holiday
egypt,2009,1 Jan,Thursday,January 1 Bank Holiday,Bank Holiday
egypt,2009,7 Jan,Wednesday,Coptic Christmas Day,National holiday
egypt,2009,7 Jan,Wednesday,Ashura,Observance
egypt,2009,9 Mar,Monday,Prophet Mohamed's Birthday,National holiday
egypt,2009,20 Mar,Friday,March Equinox,Season
egypt,2009,17 Apr,Friday,Coptic Good Friday,Observance
egypt,2009,18 Apr,Saturday,Coptic Holy Saturday,Observance
egypt,2009,19 Apr,Sunday,Coptic Easter Sunday,National holiday
