Geo,Event Year,Date,Day,Name,Type
eritrea,2015,1 Jan,Thursday,New Year,Public Holiday
eritrea,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
eritrea,2015,7 Jan,Wednesday,Orthodox Christmas Day,Public Holiday
eritrea,2015,19 Jan,Monday,Timket,Public Holiday
eritrea,2015,8 Mar,Sunday,Women's Day,Public Holiday
eritrea,2015,21 Mar,Saturday,March Equinox,Season
eritrea,2015,10 Apr,Friday,Coptic Good Friday,Public Holiday
eritrea,2015,12 Apr,Sunday,Coptic Easter,Public Holiday
eritrea,2015,1 May,Friday,International Workers' Day,Public Holiday
eritrea,2015,24 May,Sunday,Independence Day,Public Holiday
eritrea,2015,20 Jun,Saturday,Martyrs' Day,Public Holiday
eritrea,2015,21 Jun,Sunday,June Solstice,Season
eritrea,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
eritrea,2015,1 Sep,Tuesday,Commencement Day of Eritrean Armed Struggle,Public Holiday
eritrea,2015,11 Sep,Friday,Orthodox New Year,"Observance, Orthodox"
eritrea,2015,12 Sep,Saturday,St. John the Baptist Day,Public Holiday
eritrea,2015,12 Sep,Saturday,Geez New Year,Public Holiday
eritrea,2015,23 Sep,Wednesday,September Equinox,Season
eritrea,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
eritrea,2015,27 Sep,Sunday,Meskel,Public Holiday
eritrea,2015,22 Dec,Tuesday,December Solstice,Season
eritrea,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
eritrea,2015,25 Dec,Friday,Christmas Day,Public Holiday
eritrea,2016,1 Jan,Friday,New Year,Public Holiday
eritrea,2016,7 Jan,Thursday,Orthodox Christmas Day,Public Holiday
eritrea,2016,20 Jan,Wednesday,Timket,Public Holiday
eritrea,2016,8 Mar,Tuesday,Women's Day,Public Holiday
eritrea,2016,20 Mar,Sunday,March Equinox,Season
eritrea,2016,29 Apr,Friday,Coptic Good Friday,Public Holiday
eritrea,2016,1 May,Sunday,International Workers' Day,Public Holiday
eritrea,2016,1 May,Sunday,Coptic Easter,Public Holiday
eritrea,2016,24 May,Tuesday,Independence Day,Public Holiday
eritrea,2016,20 Jun,Monday,Martyrs' Day,Public Holiday
eritrea,2016,21 Jun,Tuesday,June Solstice,Season
eritrea,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
eritrea,2016,1 Sep,Thursday,Commencement Day of Eritrean Armed Struggle,Public Holiday
eritrea,2016,11 Sep,Sunday,St. John the Baptist Day,Public Holiday
eritrea,2016,11 Sep,Sunday,Geez New Year,Public Holiday
eritrea,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
eritrea,2016,22 Sep,Thursday,September Equinox,Season
eritrea,2016,27 Sep,Tuesday,Meskel,Public Holiday
eritrea,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
eritrea,2016,21 Dec,Wednesday,December Solstice,Season
eritrea,2016,25 Dec,Sunday,Christmas Day,Public Holiday
eritrea,2017,1 Jan,Sunday,New Year,Public Holiday
eritrea,2017,7 Jan,Saturday,Orthodox Christmas Day,Public Holiday
eritrea,2017,19 Jan,Thursday,Timket,Public Holiday
eritrea,2017,8 Mar,Wednesday,Women's Day,Public Holiday
eritrea,2017,20 Mar,Monday,March Equinox,Season
eritrea,2017,14 Apr,Friday,Coptic Good Friday,Public Holiday
eritrea,2017,16 Apr,Sunday,Coptic Easter,Public Holiday
eritrea,2017,1 May,Monday,International Workers' Day,Public Holiday
eritrea,2017,24 May,Wednesday,Independence Day,Public Holiday
eritrea,2017,20 Jun,Tuesday,Martyrs' Day,Public Holiday
eritrea,2017,21 Jun,Wednesday,June Solstice,Season
eritrea,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
eritrea,2017,1 Sep,Friday,Commencement Day of Eritrean Armed Struggle,Public Holiday
