Geo,Event Year,Date,Day,Name,Type
estonia,2005,1 Jan,Saturday,New Year's Day,National holiday
estonia,2005,6 Jan,Thursday,Epiphany,Observance
estonia,2005,2 Feb,Wednesday,Anniversary of Tartu Peace Treaty,Observance
estonia,2005,24 Feb,Thursday,Independence Day,National holiday
estonia,2005,14 Mar,Monday,Mother Tongue Day,Observance
estonia,2005,20 Mar,Sunday,March Equinox,Season
estonia,2005,25 Mar,Friday,Good Friday,National holiday
estonia,2005,27 Mar,Sunday,Easter Sunday,National holiday
estonia,2005,1 May,Sunday,Labor Day,National holiday
estonia,2005,8 May,Sunday,Mothers' Day,Observance
estonia,2005,15 May,Sunday,Pentecost,National holiday
estonia,2005,4 Jun,Saturday,Flag Day,Observance
estonia,2005,14 Jun,Tuesday,Day of Mourning,Observance
estonia,2005,21 Jun,Tuesday,June Solstice,Season
estonia,2005,23 Jun,Thursday,Victory Day,National holiday
estonia,2005,24 Jun,Friday,Midsummer Day,National holiday
estonia,2005,20 Aug,Saturday,Independence Restoration Day,National holiday
estonia,2005,23 Sep,Friday,September Equinox,Season
estonia,2005,2 Nov,Wednesday,All Soul's Day,Observance
estonia,2005,13 Nov,Sunday,Father's Day,Observance
estonia,2005,16 Nov,Wednesday,Day of Declaration of Sovereignty,Observance
estonia,2005,21 Dec,Wednesday,December Solstice,Season
estonia,2005,24 Dec,Saturday,Christmas Eve,National holiday
estonia,2005,25 Dec,Sunday,Christmas Day,National holiday
estonia,2005,26 Dec,Monday,Boxing Day,National holiday
estonia,2006,1 Jan,Sunday,New Year's Day,National holiday
estonia,2006,6 Jan,Friday,Epiphany,Observance
estonia,2006,2 Feb,Thursday,Anniversary of Tartu Peace Treaty,Observance
estonia,2006,24 Feb,Friday,Independence Day,National holiday
estonia,2006,14 Mar,Tuesday,Mother Tongue Day,Observance
estonia,2006,20 Mar,Monday,March Equinox,Season
estonia,2006,14 Apr,Friday,Good Friday,National holiday
estonia,2006,16 Apr,Sunday,Easter Sunday,National holiday
estonia,2006,1 May,Monday,Labor Day,National holiday
estonia,2006,14 May,Sunday,Mothers' Day,Observance
estonia,2006,4 Jun,Sunday,Flag Day,Observance
estonia,2006,4 Jun,Sunday,Pentecost,National holiday
estonia,2006,14 Jun,Wednesday,Day of Mourning,Observance
estonia,2006,21 Jun,Wednesday,June Solstice,Season
estonia,2006,23 Jun,Friday,Victory Day,National holiday
estonia,2006,24 Jun,Saturday,Midsummer Day,National holiday
estonia,2006,20 Aug,Sunday,Independence Restoration Day,National holiday
estonia,2006,23 Sep,Saturday,September Equinox,Season
estonia,2006,2 Nov,Thursday,All Soul's Day,Observance
estonia,2006,12 Nov,Sunday,Father's Day,Observance
estonia,2006,16 Nov,Thursday,Day of Declaration of Sovereignty,Observance
estonia,2006,22 Dec,Friday,December Solstice,Season
estonia,2006,24 Dec,Sunday,Christmas Eve,National holiday
estonia,2006,25 Dec,Monday,Christmas Day,National holiday
estonia,2006,26 Dec,Tuesday,Boxing Day,National holiday
estonia,2007,1 Jan,Monday,New Year's Day,National holiday
estonia,2007,6 Jan,Saturday,Epiphany,Observance
estonia,2007,2 Feb,Friday,Anniversary of Tartu Peace Treaty,Observance
estonia,2007,24 Feb,Saturday,Independence Day,National holiday
estonia,2007,14 Mar,Wednesday,Mother Tongue Day,Observance
estonia,2007,21 Mar,Wednesday,March Equinox,Season
estonia,2007,6 Apr,Friday,Good Friday,National holiday
estonia,2007,8 Apr,Sunday,Easter Sunday,National holiday
estonia,2007,1 May,Tuesday,Labor Day,National holiday
estonia,2007,13 May,Sunday,Mothers' Day,Observance
estonia,2007,27 May,Sunday,Pentecost,National holiday
estonia,2007,4 Jun,Monday,Flag Day,Observance
estonia,2007,14 Jun,Thursday,Day of Mourning,Observance
estonia,2007,21 Jun,Thursday,June Solstice,Season
estonia,2007,23 Jun,Saturday,Victory Day,National holiday
estonia,2007,24 Jun,Sunday,Midsummer Day,National holiday
estonia,2007,20 Aug,Monday,Independence Restoration Day,National holiday
estonia,2007,23 Sep,Sunday,September Equinox,Season
estonia,2007,2 Nov,Friday,All Soul's Day,Observance
estonia,2007,11 Nov,Sunday,Father's Day,Observance
estonia,2007,16 Nov,Friday,Day of Declaration of Sovereignty,Observance
estonia,2007,22 Dec,Saturday,December Solstice,Season
estonia,2007,24 Dec,Monday,Christmas Eve,National holiday
estonia,2007,25 Dec,Tuesday,Christmas Day,National holiday
estonia,2007,26 Dec,Wednesday,Boxing Day,National holiday
estonia,2008,1 Jan,Tuesday,New Year's Day,National holiday
estonia,2008,6 Jan,Sunday,Epiphany,Observance
estonia,2008,2 Feb,Saturday,Anniversary of Tartu Peace Treaty,Observance
estonia,2008,24 Feb,Sunday,Independence Day,National holiday
estonia,2008,14 Mar,Friday,Mother Tongue Day,Observance
estonia,2008,20 Mar,Thursday,March Equinox,Season
estonia,2008,21 Mar,Friday,Good Friday,National holiday
estonia,2008,23 Mar,Sunday,Easter Sunday,National holiday
estonia,2008,1 May,Thursday,Labor Day,National holiday
estonia,2008,11 May,Sunday,Mothers' Day,Observance
estonia,2008,11 May,Sunday,Pentecost,National holiday
estonia,2008,4 Jun,Wednesday,Flag Day,Observance
estonia,2008,14 Jun,Saturday,Day of Mourning,Observance
estonia,2008,21 Jun,Saturday,June Solstice,Season
estonia,2008,23 Jun,Monday,Victory Day,National holiday
estonia,2008,24 Jun,Tuesday,Midsummer Day,National holiday
estonia,2008,20 Aug,Wednesday,Independence Restoration Day,National holiday
estonia,2008,22 Sep,Monday,September Equinox,Season
estonia,2008,2 Nov,Sunday,All Soul's Day,Observance
estonia,2008,9 Nov,Sunday,Father's Day,Observance
estonia,2008,16 Nov,Sunday,Day of Declaration of Sovereignty,Observance
estonia,2008,21 Dec,Sunday,December Solstice,Season
estonia,2008,24 Dec,Wednesday,Christmas Eve,National holiday
estonia,2008,25 Dec,Thursday,Christmas Day,National holiday
estonia,2008,26 Dec,Friday,Boxing Day,National holiday
estonia,2009,1 Jan,Thursday,New Year's Day,National holiday
estonia,2009,6 Jan,Tuesday,Epiphany,Observance
estonia,2009,2 Feb,Monday,Anniversary of Tartu Peace Treaty,Observance
estonia,2009,24 Feb,Tuesday,Independence Day,National holiday
estonia,2009,14 Mar,Saturday,Mother Tongue Day,Observance
estonia,2009,20 Mar,Friday,March Equinox,Season
estonia,2009,10 Apr,Friday,Good Friday,National holiday
estonia,2009,12 Apr,Sunday,Easter Sunday,National holiday
estonia,2009,1 May,Friday,Labor Day,National holiday
estonia,2009,10 May,Sunday,Mothers' Day,Observance
estonia,2009,31 May,Sunday,Pentecost,National holiday
estonia,2009,4 Jun,Thursday,Flag Day,Observance
estonia,2009,14 Jun,Sunday,Day of Mourning,Observance
estonia,2009,21 Jun,Sunday,June Solstice,Season
estonia,2009,23 Jun,Tuesday,Victory Day,National holiday
estonia,2009,24 Jun,Wednesday,Midsummer Day,National holiday
estonia,2009,20 Aug,Thursday,Independence Restoration Day,National holiday
estonia,2009,23 Aug,Sunday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2009,23 Sep,Wednesday,September Equinox,Season
estonia,2009,2 Nov,Monday,All Soul's Day,Observance
estonia,2009,8 Nov,Sunday,Father's Day,Observance
estonia,2009,16 Nov,Monday,Day of Declaration of Sovereignty,Observance
estonia,2009,21 Dec,Monday,December Solstice,Season
estonia,2009,24 Dec,Thursday,Christmas Eve,National holiday
estonia,2009,25 Dec,Friday,Christmas Day,National holiday
estonia,2009,26 Dec,Saturday,Boxing Day,National holiday
estonia,2010,1 Jan,Friday,New Year's Day,National holiday
estonia,2010,6 Jan,Wednesday,Epiphany,Observance
estonia,2010,2 Feb,Tuesday,Anniversary of Tartu Peace Treaty,Observance
estonia,2010,24 Feb,Wednesday,Independence Day,National holiday
estonia,2010,14 Mar,Sunday,Mother Tongue Day,Observance
estonia,2010,20 Mar,Saturday,March Equinox,Season
estonia,2010,2 Apr,Friday,Good Friday,National holiday
estonia,2010,4 Apr,Sunday,Easter Sunday,National holiday
estonia,2010,1 May,Saturday,Labor Day,National holiday
estonia,2010,9 May,Sunday,Mothers' Day,Observance
estonia,2010,23 May,Sunday,Pentecost,National holiday
estonia,2010,4 Jun,Friday,Flag Day,Observance
estonia,2010,14 Jun,Monday,Day of Mourning,Observance
estonia,2010,21 Jun,Monday,June Solstice,Season
estonia,2010,23 Jun,Wednesday,Victory Day,National holiday
estonia,2010,24 Jun,Thursday,Midsummer Day,National holiday
estonia,2010,20 Aug,Friday,Independence Restoration Day,National holiday
estonia,2010,23 Aug,Monday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2010,12 Sep,Sunday,Grandparents' Day,Observance
estonia,2010,22 Sep,Wednesday,Resistance Day,Observance
estonia,2010,23 Sep,Thursday,September Equinox,Season
estonia,2010,2 Nov,Tuesday,All Soul's Day,Observance
estonia,2010,14 Nov,Sunday,Father's Day,Observance
estonia,2010,16 Nov,Tuesday,Day of Declaration of Sovereignty,Observance
estonia,2010,22 Dec,Wednesday,December Solstice,Season
estonia,2010,24 Dec,Friday,Christmas Eve,National holiday
estonia,2010,25 Dec,Saturday,Christmas Day,National holiday
estonia,2010,26 Dec,Sunday,Boxing Day,National holiday
estonia,2011,1 Jan,Saturday,New Year's Day,National holiday
estonia,2011,6 Jan,Thursday,Epiphany,Observance
estonia,2011,2 Feb,Wednesday,Anniversary of Tartu Peace Treaty,Observance
estonia,2011,24 Feb,Thursday,Independence Day,National holiday
estonia,2011,14 Mar,Monday,Mother Tongue Day,Observance
estonia,2011,21 Mar,Monday,March Equinox,Season
estonia,2011,22 Apr,Friday,Good Friday,National holiday
estonia,2011,24 Apr,Sunday,Easter Sunday,National holiday
estonia,2011,1 May,Sunday,Labor Day,National holiday
estonia,2011,8 May,Sunday,Mothers' Day,Observance
estonia,2011,4 Jun,Saturday,Flag Day,Observance
estonia,2011,12 Jun,Sunday,Pentecost,National holiday
estonia,2011,14 Jun,Tuesday,Day of Mourning,Observance
estonia,2011,21 Jun,Tuesday,June Solstice,Season
estonia,2011,23 Jun,Thursday,Victory Day,National holiday
estonia,2011,24 Jun,Friday,Midsummer Day,National holiday
estonia,2011,20 Aug,Saturday,Independence Restoration Day,National holiday
estonia,2011,23 Aug,Tuesday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2011,11 Sep,Sunday,Grandparents' Day,Observance
estonia,2011,22 Sep,Thursday,Resistance Day,Observance
estonia,2011,23 Sep,Friday,September Equinox,Season
estonia,2011,15 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2011,2 Nov,Wednesday,All Soul's Day,Observance
estonia,2011,13 Nov,Sunday,Father's Day,Observance
estonia,2011,16 Nov,Wednesday,Day of Declaration of Sovereignty,Observance
estonia,2011,22 Dec,Thursday,December Solstice,Season
estonia,2011,24 Dec,Saturday,Christmas Eve,National holiday
estonia,2011,25 Dec,Sunday,Christmas Day,National holiday
estonia,2011,26 Dec,Monday,Boxing Day,National holiday
estonia,2012,1 Jan,Sunday,New Year's Day,National holiday
estonia,2012,6 Jan,Friday,Epiphany,Observance
estonia,2012,2 Feb,Thursday,Anniversary of Tartu Peace Treaty,Observance
estonia,2012,24 Feb,Friday,Independence Day,National holiday
estonia,2012,14 Mar,Wednesday,Mother Tongue Day,Observance
estonia,2012,20 Mar,Tuesday,March Equinox,Season
estonia,2012,6 Apr,Friday,Good Friday,National holiday
estonia,2012,8 Apr,Sunday,Easter Sunday,National holiday
estonia,2012,1 May,Tuesday,Labor Day,National holiday
estonia,2012,13 May,Sunday,Mothers' Day,Observance
estonia,2012,27 May,Sunday,Pentecost,National holiday
estonia,2012,4 Jun,Monday,Flag Day,Observance
estonia,2012,14 Jun,Thursday,Day of Mourning,Observance
estonia,2012,21 Jun,Thursday,June Solstice,Season
estonia,2012,23 Jun,Saturday,Victory Day,National holiday
estonia,2012,24 Jun,Sunday,Midsummer Day,National holiday
estonia,2012,20 Aug,Monday,Independence Restoration Day,National holiday
estonia,2012,23 Aug,Thursday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2012,9 Sep,Sunday,Grandparents' Day,Observance
estonia,2012,22 Sep,Saturday,Resistance Day,Observance
estonia,2012,22 Sep,Saturday,September Equinox,Season
estonia,2012,20 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2012,2 Nov,Friday,All Soul's Day,Observance
estonia,2012,11 Nov,Sunday,Father's Day,Observance
estonia,2012,16 Nov,Friday,Day of Declaration of Sovereignty,Observance
estonia,2012,21 Dec,Friday,December Solstice,Season
estonia,2012,24 Dec,Monday,Christmas Eve,National holiday
estonia,2012,25 Dec,Tuesday,Christmas Day,National holiday
estonia,2012,26 Dec,Wednesday,Boxing Day,National holiday
estonia,2013,1 Jan,Tuesday,New Year's Day,National holiday
estonia,2013,6 Jan,Sunday,Epiphany,Observance
estonia,2013,2 Feb,Saturday,Anniversary of Tartu Peace Treaty,Observance
estonia,2013,24 Feb,Sunday,Independence Day,National holiday
estonia,2013,14 Mar,Thursday,Mother Tongue Day,Observance
estonia,2013,20 Mar,Wednesday,March Equinox,Season
estonia,2013,29 Mar,Friday,Good Friday,National holiday
estonia,2013,31 Mar,Sunday,Easter Sunday,National holiday
estonia,2013,1 May,Wednesday,Labor Day,National holiday
estonia,2013,12 May,Sunday,Mothers' Day,Observance
estonia,2013,19 May,Sunday,Pentecost,National holiday
estonia,2013,4 Jun,Tuesday,Flag Day,Observance
estonia,2013,14 Jun,Friday,Day of Mourning,Observance
estonia,2013,21 Jun,Friday,June Solstice,Season
estonia,2013,23 Jun,Sunday,Victory Day,National holiday
estonia,2013,24 Jun,Monday,Midsummer Day,National holiday
estonia,2013,20 Aug,Tuesday,Independence Restoration Day,National holiday
estonia,2013,23 Aug,Friday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2013,8 Sep,Sunday,Grandparents' Day,Observance
estonia,2013,22 Sep,Sunday,Resistance Day,Observance
estonia,2013,22 Sep,Sunday,September Equinox,Season
estonia,2013,19 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2013,2 Nov,Saturday,All Soul's Day,Observance
estonia,2013,10 Nov,Sunday,Father's Day,Observance
estonia,2013,16 Nov,Saturday,Day of Declaration of Sovereignty,Observance
estonia,2013,21 Dec,Saturday,December Solstice,Season
estonia,2013,24 Dec,Tuesday,Christmas Eve,National holiday
estonia,2013,25 Dec,Wednesday,Christmas Day,National holiday
estonia,2013,26 Dec,Thursday,Boxing Day,National holiday
estonia,2014,1 Jan,Wednesday,New Year's Day,National holiday
estonia,2014,6 Jan,Monday,Epiphany,Observance
estonia,2014,2 Feb,Sunday,Anniversary of Tartu Peace Treaty,Observance
estonia,2014,24 Feb,Monday,Independence Day,National holiday
estonia,2014,14 Mar,Friday,Mother Tongue Day,Observance
estonia,2014,20 Mar,Thursday,March Equinox,Season
estonia,2014,18 Apr,Friday,Good Friday,National holiday
estonia,2014,20 Apr,Sunday,Easter Sunday,National holiday
estonia,2014,1 May,Thursday,Labor Day,National holiday
estonia,2014,11 May,Sunday,Mothers' Day,Observance
estonia,2014,4 Jun,Wednesday,Flag Day,Observance
estonia,2014,8 Jun,Sunday,Pentecost,National holiday
estonia,2014,14 Jun,Saturday,Day of Mourning,Observance
estonia,2014,21 Jun,Saturday,June Solstice,Season
estonia,2014,23 Jun,Monday,Victory Day,National holiday
estonia,2014,24 Jun,Tuesday,Midsummer Day,National holiday
estonia,2014,20 Aug,Wednesday,Independence Restoration Day,National holiday
estonia,2014,23 Aug,Saturday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2014,14 Sep,Sunday,Grandparents' Day,Observance
estonia,2014,22 Sep,Monday,Resistance Day,Observance
estonia,2014,23 Sep,Tuesday,September Equinox,Season
estonia,2014,18 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2014,2 Nov,Sunday,All Soul's Day,Observance
estonia,2014,9 Nov,Sunday,Father's Day,Observance
estonia,2014,16 Nov,Sunday,Day of Declaration of Sovereignty,Observance
estonia,2014,22 Dec,Monday,December Solstice,Season
estonia,2014,24 Dec,Wednesday,Christmas Eve,National holiday
estonia,2014,25 Dec,Thursday,Christmas Day,National holiday
estonia,2014,26 Dec,Friday,Boxing Day,National holiday
estonia,2015,1 Jan,Thursday,New Year's Day,National holiday
estonia,2015,6 Jan,Tuesday,Epiphany,Observance
estonia,2015,2 Feb,Monday,Anniversary of Tartu Peace Treaty,Observance
estonia,2015,24 Feb,Tuesday,Independence Day,National holiday
estonia,2015,14 Mar,Saturday,Mother Tongue Day,Observance
estonia,2015,21 Mar,Saturday,March Equinox,Season
estonia,2015,3 Apr,Friday,Good Friday,National holiday
estonia,2015,5 Apr,Sunday,Easter Sunday,National holiday
estonia,2015,1 May,Friday,Labor Day,National holiday
estonia,2015,10 May,Sunday,Mothers' Day,Observance
estonia,2015,24 May,Sunday,Pentecost,National holiday
estonia,2015,4 Jun,Thursday,Flag Day,Observance
estonia,2015,14 Jun,Sunday,Day of Mourning,Observance
estonia,2015,21 Jun,Sunday,June Solstice,Season
estonia,2015,23 Jun,Tuesday,Victory Day,National holiday
estonia,2015,24 Jun,Wednesday,Midsummer Day,National holiday
estonia,2015,20 Aug,Thursday,Independence Restoration Day,National holiday
estonia,2015,23 Aug,Sunday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2015,13 Sep,Sunday,Grandparents' Day,Observance
estonia,2015,22 Sep,Tuesday,Resistance Day,Observance
estonia,2015,23 Sep,Wednesday,September Equinox,Season
estonia,2015,17 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2015,2 Nov,Monday,All Soul's Day,Observance
estonia,2015,8 Nov,Sunday,Father's Day,Observance
estonia,2015,16 Nov,Monday,Day of Declaration of Sovereignty,Observance
estonia,2015,22 Dec,Tuesday,December Solstice,Season
estonia,2015,24 Dec,Thursday,Christmas Eve,National holiday
estonia,2015,25 Dec,Friday,Christmas Day,National holiday
estonia,2015,26 Dec,Saturday,Boxing Day,National holiday
estonia,2016,1 Jan,Friday,New Year's Day,National holiday
estonia,2016,6 Jan,Wednesday,Epiphany,Observance
estonia,2016,2 Feb,Tuesday,Anniversary of Tartu Peace Treaty,Observance
estonia,2016,24 Feb,Wednesday,Independence Day,National holiday
estonia,2016,14 Mar,Monday,Mother Tongue Day,Observance
estonia,2016,20 Mar,Sunday,March Equinox,Season
estonia,2016,25 Mar,Friday,Good Friday,National holiday
estonia,2016,27 Mar,Sunday,Easter Sunday,National holiday
estonia,2016,1 May,Sunday,Labor Day,National holiday
estonia,2016,8 May,Sunday,Mothers' Day,Observance
estonia,2016,15 May,Sunday,Pentecost,National holiday
estonia,2016,4 Jun,Saturday,Flag Day,Observance
estonia,2016,14 Jun,Tuesday,Day of Mourning,Observance
estonia,2016,21 Jun,Tuesday,June Solstice,Season
estonia,2016,23 Jun,Thursday,Victory Day,National holiday
estonia,2016,24 Jun,Friday,Midsummer Day,National holiday
estonia,2016,20 Aug,Saturday,Independence Restoration Day,National holiday
estonia,2016,23 Aug,Tuesday,Day of Remembrance for Victims of Communism and Nazism,Observance
estonia,2016,11 Sep,Sunday,Grandparents' Day,Observance
estonia,2016,22 Sep,Thursday,Resistance Day,Observance
estonia,2016,22 Sep,Thursday,September Equinox,Season
estonia,2016,15 Oct,Saturday,Finno-Ugric Day,Observance
estonia,2016,2 Nov,Wednesday,All Soul's Day,Observance
estonia,2016,13 Nov,Sunday,Father's Day,Observance
