Geo,Event Year,Date,Day,Name,Type
fiji,2015,1 Jan,Thursday,New Year,Public Holiday
fiji,2015,5 Jan,Monday,The Prophet's Birthday,Public Holiday
fiji,2015,18 Jan,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
fiji,2015,21 Mar,Saturday,March Equinox,Season
fiji,2015,3 Apr,Friday,Good Friday,Public Holiday
fiji,2015,4 Apr,Saturday,Holy Saturday,Public Holiday
fiji,2015,6 Apr,Monday,Easter Monday,Public Holiday
fiji,2015,22 Jun,Monday,June Solstice,Season
fiji,2015,26 Jun,Friday,National Sports Day,Public Holiday
fiji,2015,23 Sep,Wednesday,September Equinox,Season
fiji,2015,10 Oct,Saturday,Fiji Day,Public Holiday
fiji,2015,1 Nov,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
fiji,2015,11 Nov,Wednesday,Diwali,Public Holiday
fiji,2015,22 Dec,Tuesday,December Solstice,Season
fiji,2015,25 Dec,Friday,Christmas Day,Public Holiday
fiji,2015,26 Dec,Saturday,Boxing Day,Public Holiday
fiji,2015,28 Dec,Monday,Day off for Boxing Day,Public Holiday
fiji,2015,28 Dec,Monday,Boxing Day Holiday,Public Holiday
fiji,2016,1 Jan,Friday,New Year,Public Holiday
fiji,2016,17 Jan,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
fiji,2016,20 Mar,Sunday,March Equinox,Season
fiji,2016,25 Mar,Friday,Good Friday,Public Holiday
fiji,2016,26 Mar,Saturday,Holy Saturday,Public Holiday
fiji,2016,28 Mar,Monday,Easter Monday,Public Holiday
fiji,2016,21 Jun,Tuesday,June Solstice,Season
fiji,2016,26 Jun,Sunday,National Sports Day,Public Holiday
fiji,2016,22 Aug,Monday,First Gold Medal Special Holiday,Public Holiday
fiji,2016,7 Sep,Wednesday,Constitution Day,Public Holiday
fiji,2016,23 Sep,Friday,September Equinox,Season
fiji,2016,10 Oct,Monday,Fiji Day,Public Holiday
fiji,2016,27 Oct,Thursday,Diwali,Public Holiday
fiji,2016,6 Nov,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
fiji,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
fiji,2016,21 Dec,Wednesday,December Solstice,Season
fiji,2016,25 Dec,Sunday,Christmas Day,Public Holiday
fiji,2016,26 Dec,Monday,Day off for Christmas Day,Public Holiday
fiji,2016,26 Dec,Monday,Boxing Day,Public Holiday
fiji,2016,27 Dec,Tuesday,Day off for Boxing Day,Public Holiday
fiji,2017,1 Jan,Sunday,New Year,Public Holiday
fiji,2017,2 Jan,Monday,Day off for New Year,Public Holiday
fiji,2017,15 Jan,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
fiji,2017,20 Mar,Monday,March Equinox,Season
fiji,2017,14 Apr,Friday,Good Friday,Public Holiday
