Geo,Event Year,Date,Day,Name,Type
finland,2000,1 Jan,Saturday,New Year's Day,National holiday
finland,2000,6 Jan,Thursday,Epiphany,National holiday
finland,2000,14 Feb,Monday,Valentine’s Day,Observance
finland,2000,20 Mar,Monday,March Equinox,Season
finland,2000,21 Apr,Friday,Good Friday,National holiday
finland,2000,23 Apr,Sunday,Easter Sunday,Observance
finland,2000,24 Apr,Monday,Easter Monday,National holiday
finland,2000,1 May,Monday,May Day,National holiday
finland,2000,14 May,Sunday,Mother's Day,Observance
finland,2000,1 Jun,Thursday,Ascension Day,National holiday
finland,2000,11 Jun,Sunday,Whit Sunday,Observance
finland,2000,21 Jun,Wednesday,June Solstice,Season
finland,2000,23 Jun,Friday,Midsummer Eve,De facto and Bank holiday
finland,2000,24 Jun,Saturday,Midsummer,National holiday
finland,2000,22 Sep,Friday,September Equinox,Season
finland,2000,4 Nov,Saturday,All Saints' Day,National holiday
finland,2000,12 Nov,Sunday,Father's Day,Observance
finland,2000,6 Dec,Wednesday,Independence Day,National holiday
finland,2000,21 Dec,Thursday,December Solstice,Season
finland,2000,24 Dec,Sunday,Christmas Eve,De facto and Bank holiday
finland,2000,25 Dec,Monday,Christmas Day,National holiday
finland,2000,26 Dec,Tuesday,Boxing Day,National holiday
finland,2000,31 Dec,Sunday,New Year's Eve,Observance
finland,2001,1 Jan,Monday,New Year's Day,National holiday
finland,2001,6 Jan,Saturday,Epiphany,National holiday
finland,2001,14 Feb,Wednesday,Valentine’s Day,Observance
finland,2001,20 Mar,Tuesday,March Equinox,Season
finland,2001,13 Apr,Friday,Good Friday,National holiday
finland,2001,15 Apr,Sunday,Easter Sunday,Observance
finland,2001,16 Apr,Monday,Easter Monday,National holiday
finland,2001,1 May,Tuesday,May Day,National holiday
finland,2001,13 May,Sunday,Mother's Day,Observance
finland,2001,24 May,Thursday,Ascension Day,National holiday
finland,2001,3 Jun,Sunday,Whit Sunday,Observance
finland,2001,21 Jun,Thursday,June Solstice,Season
finland,2001,22 Jun,Friday,Midsummer Eve,De facto and Bank holiday
finland,2001,23 Jun,Saturday,Midsummer,National holiday
finland,2001,23 Sep,Sunday,September Equinox,Season
finland,2001,3 Nov,Saturday,All Saints' Day,National holiday
finland,2001,11 Nov,Sunday,Father's Day,Observance
finland,2001,6 Dec,Thursday,Independence Day,National holiday
finland,2001,21 Dec,Friday,December Solstice,Season
finland,2001,24 Dec,Monday,Christmas Eve,De facto and Bank holiday
finland,2001,25 Dec,Tuesday,Christmas Day,National holiday
finland,2001,26 Dec,Wednesday,Boxing Day,National holiday
finland,2001,31 Dec,Monday,New Year's Eve,Observance
finland,2002,1 Jan,Tuesday,New Year's Day,National holiday
finland,2002,6 Jan,Sunday,Epiphany,National holiday
finland,2002,14 Feb,Thursday,Valentine’s Day,Observance
finland,2002,20 Mar,Wednesday,March Equinox,Season
finland,2002,29 Mar,Friday,Good Friday,National holiday
finland,2002,31 Mar,Sunday,Easter Sunday,Observance
finland,2002,1 Apr,Monday,Easter Monday,National holiday
finland,2002,1 May,Wednesday,May Day,National holiday
finland,2002,9 May,Thursday,Ascension Day,National holiday
finland,2002,12 May,Sunday,Mother's Day,Observance
finland,2002,19 May,Sunday,Whit Sunday,Observance
finland,2002,21 Jun,Friday,Midsummer Eve,De facto and Bank holiday
finland,2002,21 Jun,Friday,June Solstice,Season
finland,2002,22 Jun,Saturday,Midsummer,National holiday
finland,2002,23 Sep,Monday,September Equinox,Season
finland,2002,2 Nov,Saturday,All Saints' Day,National holiday
finland,2002,10 Nov,Sunday,Father's Day,Observance
finland,2002,6 Dec,Friday,Independence Day,National holiday
finland,2002,22 Dec,Sunday,December Solstice,Season
finland,2002,24 Dec,Tuesday,Christmas Eve,De facto and Bank holiday
finland,2002,25 Dec,Wednesday,Christmas Day,National holiday
finland,2002,26 Dec,Thursday,Boxing Day,National holiday
finland,2002,31 Dec,Tuesday,New Year's Eve,Observance
finland,2003,1 Jan,Wednesday,New Year's Day,National holiday
finland,2003,6 Jan,Monday,Epiphany,National holiday
finland,2003,14 Feb,Friday,Valentine’s Day,Observance
finland,2003,21 Mar,Friday,March Equinox,Season
finland,2003,18 Apr,Friday,Good Friday,National holiday
finland,2003,20 Apr,Sunday,Easter Sunday,Observance
finland,2003,21 Apr,Monday,Easter Monday,National holiday
finland,2003,1 May,Thursday,May Day,National holiday
finland,2003,11 May,Sunday,Mother's Day,Observance
finland,2003,29 May,Thursday,Ascension Day,National holiday
finland,2003,8 Jun,Sunday,Whit Sunday,Observance
finland,2003,20 Jun,Friday,Midsummer Eve,De facto and Bank holiday
finland,2003,21 Jun,Saturday,Midsummer,National holiday
finland,2003,21 Jun,Saturday,June Solstice,Season
finland,2003,23 Sep,Tuesday,September Equinox,Season
finland,2003,1 Nov,Saturday,All Saints' Day,National holiday
finland,2003,9 Nov,Sunday,Father's Day,Observance
finland,2003,6 Dec,Saturday,Independence Day,National holiday
finland,2003,22 Dec,Monday,December Solstice,Season
finland,2003,24 Dec,Wednesday,Christmas Eve,De facto and Bank holiday
finland,2003,25 Dec,Thursday,Christmas Day,National holiday
finland,2003,26 Dec,Friday,Boxing Day,National holiday
finland,2003,31 Dec,Wednesday,New Year's Eve,Observance
finland,2004,1 Jan,Thursday,New Year's Day,National holiday
finland,2004,6 Jan,Tuesday,Epiphany,National holiday
finland,2004,14 Feb,Saturday,Valentine’s Day,Observance
finland,2004,20 Mar,Saturday,March Equinox,Season
finland,2004,9 Apr,Friday,Good Friday,National holiday
finland,2004,11 Apr,Sunday,Easter Sunday,Observance
finland,2004,12 Apr,Monday,Easter Monday,National holiday
finland,2004,1 May,Saturday,May Day,National holiday
finland,2004,9 May,Sunday,Mother's Day,Observance
finland,2004,20 May,Thursday,Ascension Day,National holiday
finland,2004,30 May,Sunday,Whit Sunday,Observance
finland,2004,21 Jun,Monday,June Solstice,Season
finland,2004,25 Jun,Friday,Midsummer Eve,De facto and Bank holiday
finland,2004,26 Jun,Saturday,Midsummer,National holiday
finland,2004,22 Sep,Wednesday,September Equinox,Season
finland,2004,6 Nov,Saturday,All Saints' Day,National holiday
finland,2004,14 Nov,Sunday,Father's Day,Observance
finland,2004,6 Dec,Monday,Independence Day,National holiday
finland,2004,21 Dec,Tuesday,December Solstice,Season
