Geo,Event Year,Date,Day,Name,Type
gabon,2000,1 Jan,Saturday,New Year,Public Holiday
gabon,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
gabon,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
gabon,2000,20 Mar,Monday,March Equinox,Season
gabon,2000,17 Apr,Monday,Women's Rights Day,Public Holiday
gabon,2000,23 Apr,Sunday,Easter Sunday,Public Holiday
gabon,2000,24 Apr,Monday,Easter Monday,Public Holiday
gabon,2000,1 May,Monday,Labour Day,Public Holiday
gabon,2000,14 May,Sunday,Mother's Day,Observance
gabon,2000,1 Jun,Thursday,Ascension Day,Observance
gabon,2000,12 Jun,Monday,Whit Monday,Public Holiday
gabon,2000,18 Jun,Sunday,Father's Day,Observance
gabon,2000,21 Jun,Wednesday,June Solstice,Season
gabon,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
gabon,2000,16 Aug,Wednesday,Independence Day,Public Holiday
gabon,2000,17 Aug,Thursday,Independence Day,Public Holiday
gabon,2000,22 Sep,Friday,September Equinox,Season
gabon,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
gabon,2000,21 Dec,Thursday,December Solstice,Season
gabon,2000,25 Dec,Monday,Christmas Day,Public Holiday
gabon,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
gabon,2001,1 Jan,Monday,New Year,Public Holiday
gabon,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
gabon,2001,20 Mar,Tuesday,March Equinox,Season
gabon,2001,15 Apr,Sunday,Easter Sunday,Public Holiday
gabon,2001,16 Apr,Monday,Easter Monday,Public Holiday
gabon,2001,17 Apr,Tuesday,Women's Rights Day,Public Holiday
gabon,2001,1 May,Tuesday,Labour Day,Public Holiday
gabon,2001,13 May,Sunday,Mother's Day,Observance
gabon,2001,24 May,Thursday,Ascension Day,Observance
gabon,2001,4 Jun,Monday,Whit Monday,Public Holiday
gabon,2001,17 Jun,Sunday,Father's Day,Observance
gabon,2001,21 Jun,Thursday,June Solstice,Season
gabon,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
gabon,2001,16 Aug,Thursday,Independence Day,Public Holiday
gabon,2001,17 Aug,Friday,Independence Day,Public Holiday
gabon,2001,23 Sep,Sunday,September Equinox,Season
gabon,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
gabon,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
gabon,2001,21 Dec,Friday,December Solstice,Season
gabon,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
gabon,2002,1 Jan,Tuesday,New Year,Public Holiday
gabon,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
gabon,2002,20 Mar,Wednesday,March Equinox,Season
gabon,2002,31 Mar,Sunday,Easter Sunday,Public Holiday
gabon,2002,1 Apr,Monday,Easter Monday,Public Holiday
gabon,2002,17 Apr,Wednesday,Women's Rights Day,Public Holiday
gabon,2002,1 May,Wednesday,Labour Day,Public Holiday
gabon,2002,9 May,Thursday,Ascension Day,Observance
gabon,2002,12 May,Sunday,Mother's Day,Observance
gabon,2002,20 May,Monday,Whit Monday,Public Holiday
gabon,2002,16 Jun,Sunday,Father's Day,Observance
gabon,2002,21 Jun,Friday,June Solstice,Season
gabon,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
gabon,2002,16 Aug,Friday,Independence Day,Public Holiday
gabon,2002,17 Aug,Saturday,Independence Day,Public Holiday
gabon,2002,23 Sep,Monday,September Equinox,Season
gabon,2002,1 Nov,Friday,All Saints' Day,Public Holiday
gabon,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
gabon,2002,22 Dec,Sunday,December Solstice,Season
gabon,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
gabon,2003,1 Jan,Wednesday,New Year,Public Holiday
gabon,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
gabon,2003,21 Mar,Friday,March Equinox,Season
gabon,2003,17 Apr,Thursday,Women's Rights Day,Public Holiday
gabon,2003,20 Apr,Sunday,Easter Sunday,Public Holiday
gabon,2003,21 Apr,Monday,Easter Monday,Public Holiday
gabon,2003,1 May,Thursday,Labour Day,Public Holiday
gabon,2003,11 May,Sunday,Mother's Day,Observance
gabon,2003,29 May,Thursday,Ascension Day,Observance
gabon,2003,9 Jun,Monday,Whit Monday,Public Holiday
gabon,2003,15 Jun,Sunday,Father's Day,Observance
gabon,2003,21 Jun,Saturday,June Solstice,Season
gabon,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
gabon,2003,16 Aug,Saturday,Independence Day,Public Holiday
gabon,2003,17 Aug,Sunday,Independence Day,Public Holiday
gabon,2003,23 Sep,Tuesday,September Equinox,Season
gabon,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
gabon,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
gabon,2003,22 Dec,Monday,December Solstice,Season
gabon,2003,25 Dec,Thursday,Christmas Day,Public Holiday
gabon,2004,1 Jan,Thursday,New Year,Public Holiday
gabon,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
gabon,2004,20 Mar,Saturday,March Equinox,Season
gabon,2004,11 Apr,Sunday,Easter Sunday,Public Holiday
gabon,2004,12 Apr,Monday,Easter Monday,Public Holiday
gabon,2004,17 Apr,Saturday,Women's Rights Day,Public Holiday
gabon,2004,1 May,Saturday,Labour Day,Public Holiday
gabon,2004,9 May,Sunday,Mother's Day,Observance
gabon,2004,20 May,Thursday,Ascension Day,Observance
gabon,2004,31 May,Monday,Whit Monday,Public Holiday
gabon,2004,20 Jun,Sunday,Father's Day,Observance
gabon,2004,21 Jun,Monday,June Solstice,Season
gabon,2004,15 Aug,Sunday,Assumption of Mary,Public Holiday
gabon,2004,16 Aug,Monday,Independence Day,Public Holiday
gabon,2004,17 Aug,Tuesday,Independence Day,Public Holiday
gabon,2004,22 Sep,Wednesday,September Equinox,Season
gabon,2004,1 Nov,Monday,All Saints' Day,Public Holiday
gabon,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
gabon,2004,21 Dec,Tuesday,December Solstice,Season
gabon,2004,25 Dec,Saturday,Christmas Day,Public Holiday
gabon,2005,1 Jan,Saturday,New Year,Public Holiday
gabon,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
gabon,2005,20 Mar,Sunday,March Equinox,Season
gabon,2005,27 Mar,Sunday,Easter Sunday,Public Holiday
gabon,2005,28 Mar,Monday,Easter Monday,Public Holiday
gabon,2005,17 Apr,Sunday,Women's Rights Day,Public Holiday
