Geo,Event Year,Date,Day,Name,Type
gambia,2015,1 Jan,Thursday,New Year,Public Holiday
gambia,2015,18 Feb,Wednesday,Independence Day,Public Holiday
gambia,2015,20 Mar,Friday,March Equinox,Season
gambia,2015,3 Apr,Friday,Good Friday,Public Holiday
gambia,2015,6 Apr,Monday,Easter Monday,Public Holiday
gambia,2015,1 May,Friday,Labour Day,Public Holiday
gambia,2015,25 May,Monday,Africa Day,Public Holiday
gambia,2015,21 Jun,Sunday,June Solstice,Season
gambia,2015,13 Jul,Monday,Lailat al-Qadr,Public Holiday
gambia,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
gambia,2015,22 Jul,Wednesday,Revolution Day,Public Holiday
gambia,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
gambia,2015,23 Sep,Wednesday,September Equinox,Season
gambia,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
gambia,2015,25 Sep,Friday,Eid al-Adha,Public Holiday
gambia,2015,26 Sep,Saturday,Eid al-Adha,Public Holiday
gambia,2015,27 Sep,Sunday,Eid al-Adha,Public Holiday
gambia,2015,24 Oct,Saturday,Ashura,Public Holiday
gambia,2015,22 Dec,Tuesday,December Solstice,Season
gambia,2015,25 Dec,Friday,Christmas Day,Public Holiday
gambia,2016,1 Jan,Friday,New Year,Public Holiday
gambia,2016,18 Feb,Thursday,Independence Day,Public Holiday
gambia,2016,20 Mar,Sunday,March Equinox,Season
gambia,2016,25 Mar,Friday,Good Friday,Public Holiday
gambia,2016,28 Mar,Monday,Easter Monday,Public Holiday
gambia,2016,1 May,Sunday,Labour Day,Public Holiday
gambia,2016,25 May,Wednesday,Africa Day,Public Holiday
gambia,2016,20 Jun,Monday,June Solstice,Season
gambia,2016,2 Jul,Saturday,Lailat al-Qadr,Public Holiday
gambia,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
gambia,2016,22 Jul,Friday,Revolution Day,Public Holiday
gambia,2016,15 Aug,Monday,Assumption of Mary,Public Holiday
gambia,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
gambia,2016,22 Sep,Thursday,September Equinox,Season
gambia,2016,12 Oct,Wednesday,Ashura,Public Holiday
gambia,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
gambia,2016,21 Dec,Wednesday,December Solstice,Season
gambia,2016,25 Dec,Sunday,Christmas Day,Public Holiday
gambia,2017,1 Jan,Sunday,New Year,Public Holiday
gambia,2017,18 Feb,Saturday,Independence Day,Public Holiday
gambia,2017,20 Mar,Monday,March Equinox,Season
gambia,2017,14 Apr,Friday,Good Friday,Public Holiday
gambia,2017,17 Apr,Monday,Easter Monday,Public Holiday
gambia,2017,1 May,Monday,Labour Day,Public Holiday
gambia,2017,25 May,Thursday,Africa Day,Public Holiday
gambia,2017,21 Jun,Wednesday,Lailat al-Qadr,Public Holiday
gambia,2017,21 Jun,Wednesday,June Solstice,Season
gambia,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
gambia,2017,22 Jul,Saturday,Revolution Day,Public Holiday
gambia,2017,15 Aug,Tuesday,Assumption of Mary,Public Holiday
gambia,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
gambia,2017,22 Sep,Friday,September Equinox,Season
gambia,2017,1 Oct,Sunday,Ashura,Public Holiday
gambia,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
gambia,2017,21 Dec,Thursday,December Solstice,Season
gambia,2017,25 Dec,Monday,Christmas Day,Public Holiday
gambia,2018,1 Jan,Monday,New Year,Public Holiday
gambia,2018,18 Feb,Sunday,Independence Day,Public Holiday
gambia,2018,19 Feb,Monday,Day off for Independence Day,Public Holiday
gambia,2018,20 Mar,Tuesday,March Equinox,Season
gambia,2018,30 Mar,Friday,Good Friday,Public Holiday
gambia,2018,2 Apr,Monday,Easter Monday,Public Holiday
gambia,2018,1 May,Tuesday,Labour Day,Public Holiday
gambia,2018,25 May,Friday,Africa Day,Public Holiday
gambia,2018,10 Jun,Sunday,Lailat al-Qadr,Public Holiday
gambia,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
gambia,2018,21 Jun,Thursday,June Solstice,Season
gambia,2018,22 Jul,Sunday,Revolution Day,Public Holiday
gambia,2018,15 Aug,Wednesday,Assumption of Mary,Public Holiday
gambia,2018,22 Aug,Wednesday,Eid al-Adha,Public Holiday
