Geo,Event Year,Date,Day,Name,Type
georgia,2013,1 Jan,Tuesday,New Year's Day,Public holiday
georgia,2013,2 Jan,Wednesday,New Year's (Day 2),Public holiday
georgia,2013,7 Jan,Monday,Orthodox Christmas Day,Public holiday
georgia,2013,19 Jan,Saturday,Orthodox Epiphany,Public holiday
georgia,2013,14 Feb,Thursday,Valentine's Day,Observance
georgia,2013,3 Mar,Sunday,Mothers' Day,Public holiday
georgia,2013,8 Mar,Friday,International Women's Day,Public holiday
georgia,2013,20 Mar,Wednesday,March Equinox,Season
georgia,2013,21 Mar,Thursday,Nowruz,Observance
georgia,2013,9 Apr,Tuesday,Independence Restoration Day,Public holiday
georgia,2013,3 May,Friday,Orthodox Good Friday,Public holiday
georgia,2013,4 May,Saturday,Orthodox Holy Saturday,Public holiday
georgia,2013,5 May,Sunday,Orthodox Easter Sunday,Public holiday
georgia,2013,6 May,Monday,Orthodox Easter Monday,Public holiday
georgia,2013,9 May,Thursday,Victory Day,Public holiday
georgia,2013,12 May,Sunday,St Andrew's Day,Public holiday
georgia,2013,26 May,Sunday,Independence Day,Public holiday
georgia,2013,21 Jun,Friday,June Solstice,Season
georgia,2013,28 Aug,Wednesday,Day of the Assumption of Mary,Public holiday
georgia,2013,23 Sep,Monday,September Equinox,Season
georgia,2013,14 Oct,Monday,Svetitskhovloba,Public holiday
georgia,2013,27 Oct,Sunday,Presidential Election Day,Public holiday
georgia,2013,23 Nov,Saturday,St George's Day,Public holiday
georgia,2013,21 Dec,Saturday,December Solstice,Season
georgia,2013,31 Dec,Tuesday,New Year's Eve,Observance
georgia,2014,1 Jan,Wednesday,New Year's Day,Public holiday
georgia,2014,2 Jan,Thursday,New Year's (Day 2),Public holiday
georgia,2014,7 Jan,Tuesday,Orthodox Christmas Day,Public holiday
georgia,2014,19 Jan,Sunday,Orthodox Epiphany,Public holiday
georgia,2014,14 Feb,Friday,Valentine's Day,Observance
georgia,2014,3 Mar,Monday,Mothers' Day,Public holiday
georgia,2014,8 Mar,Saturday,International Women's Day,Public holiday
georgia,2014,20 Mar,Thursday,March Equinox,Season
georgia,2014,21 Mar,Friday,Nowruz,Observance
georgia,2014,9 Apr,Wednesday,Independence Restoration Day,Public holiday
georgia,2014,18 Apr,Friday,Orthodox Good Friday,Public holiday
georgia,2014,19 Apr,Saturday,Orthodox Holy Saturday,Public holiday
georgia,2014,20 Apr,Sunday,Orthodox Easter Sunday,Public holiday
georgia,2014,21 Apr,Monday,Orthodox Easter Monday,Public holiday
georgia,2014,9 May,Friday,Victory Day,Public holiday
georgia,2014,12 May,Monday,St Andrew's Day,Public holiday
georgia,2014,26 May,Monday,Independence Day,Public holiday
