Geo,Event Year,Date,Day,Name,Type
germany,2000,1 Jan,Saturday,New Year's Day,National holiday
germany,2000,6 Jan,Thursday,Epiphany,"Observance, Christian"
germany,2000,6 Jan,Thursday,Epiphany,Common local holiday
germany,2000,8 Jan,Saturday,Eid ul Fitr,"Observance, Muslim"
germany,2000,22 Jan,Saturday,Franco-German Day,Observance
germany,2000,27 Jan,Thursday,Remembrance Day for the Victims of National Socialism,Observance
germany,2000,14 Feb,Monday,Valentine's Day,Observance
germany,2000,6 Mar,Monday,Shrove Monday,Observance
germany,2000,7 Mar,Tuesday,Carnival Tuesday,Observance
germany,2000,8 Mar,Wednesday,Carnival / Ash Wednesday,Silent Day
germany,2000,8 Mar,Wednesday,International Women's Day,Observance
germany,2000,16 Mar,Thursday,Eid al-Adha,"Observance, Muslim"
germany,2000,17 Mar,Friday,St. Patrick's Day,"Observance, Christian"
germany,2000,20 Mar,Monday,March Equinox,Season
germany,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
germany,2000,15 Apr,Saturday,Ashura,"Observance, Muslim"
germany,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
germany,2000,20 Apr,Thursday,Maundy Thursday,Silent Day
germany,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
germany,2000,20 Apr,Thursday,First Day of Passover,"Observance, Hebrew"
germany,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
germany,2000,21 Apr,Friday,Second Day of Passover,"Observance, Hebrew"
germany,2000,22 Apr,Saturday,Holy Saturday,Silent Day
germany,2000,23 Apr,Sunday,Easter Sunday,"Christian, Common local holiday"
germany,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
germany,2000,23 Apr,Sunday,German Beer Day,Observance
germany,2000,24 Apr,Monday,Easter Monday,"National holiday, Christian"
germany,2000,25 Apr,Tuesday,Sixth Day of Passover,"Observance, Hebrew"
germany,2000,26 Apr,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
germany,2000,30 Apr,Sunday,Walpurgis Night,Observance
germany,2000,1 May,Monday,May Day,National holiday
germany,2000,5 May,Friday,Europe Day (Council of Europe),Observance
germany,2000,8 May,Monday,Anniversary of the End of World War II,Observance
germany,2000,9 May,Tuesday,Europe Day (European Union),Observance
germany,2000,14 May,Sunday,Mothers' Day,Observance
germany,2000,23 May,Tuesday,Constitution Day,Observance
germany,2000,1 Jun,Thursday,Fathers' Day,Observance
