Geo,Event Year,Date,Day,Name,Type
greece,2000,1 Jan,Saturday,New Year's Day,De facto holiday
greece,2000,6 Jan,Thursday,Epiphany,De facto holiday
greece,2000,30 Jan,Sunday,The Three Holy Hierarchs,Observance
greece,2000,14 Feb,Monday,Valentine's Day,Observance
greece,2000,13 Mar,Monday,Clean Monday,De facto holiday
greece,2000,20 Mar,Monday,March Equinox,Season
greece,2000,25 Mar,Saturday,Greek Independence Day,National holiday
greece,2000,25 Mar,Saturday,Annunciation of the Virgin Mary,National holiday
greece,2000,28 Apr,Friday,Orthodox Good Friday,De facto holiday
greece,2000,30 Apr,Sunday,Orthodox Easter Sunday,Observance
greece,2000,1 May,Monday,Labor Day / May Day,De facto holiday
greece,2000,1 May,Monday,Orthodox Easter Monday,National holiday
greece,2000,14 May,Sunday,Mother’s Day,Observance
greece,2000,18 Jun,Sunday,Orthodox Holy Spirit Sunday,Observance
greece,2000,18 Jun,Sunday,Father's Day,Observance
greece,2000,19 Jun,Monday,Orthodox Holy Spirit Monday,De facto holiday
greece,2000,21 Jun,Wednesday,June Solstice,Season
greece,2000,24 Jul,Monday,The Restoration of Democracy,Observance
greece,2000,15 Aug,Tuesday,Dormition of the Holy Virgin,National holiday
greece,2000,22 Sep,Friday,September Equinox,Season
greece,2000,28 Oct,Saturday,The Ochi day,De facto holiday
greece,2000,17 Nov,Friday,Polytechneio,Observance
greece,2000,21 Nov,Tuesday,Armed Forces Day,Observance
greece,2000,21 Dec,Thursday,December Solstice,Season
greece,2000,25 Dec,Monday,Christmas Day,National holiday
greece,2000,26 Dec,Tuesday,Synaxis of the Mother of God,De facto holiday
greece,2001,1 Jan,Monday,New Year's Day,De facto holiday
greece,2001,6 Jan,Saturday,Epiphany,De facto holiday
greece,2001,30 Jan,Tuesday,The Three Holy Hierarchs,Observance
greece,2001,14 Feb,Wednesday,Valentine's Day,Observance
greece,2001,26 Feb,Monday,Clean Monday,De facto holiday
greece,2001,20 Mar,Tuesday,March Equinox,Season
greece,2001,25 Mar,Sunday,Greek Independence Day,National holiday
greece,2001,25 Mar,Sunday,Annunciation of the Virgin Mary,National holiday
greece,2001,13 Apr,Friday,Orthodox Good Friday,De facto holiday
greece,2001,15 Apr,Sunday,Orthodox Easter Sunday,Observance
greece,2001,16 Apr,Monday,Orthodox Easter Monday,National holiday
greece,2001,1 May,Tuesday,Labor Day / May Day,De facto holiday
greece,2001,13 May,Sunday,Mother’s Day,Observance
greece,2001,3 Jun,Sunday,Orthodox Holy Spirit Sunday,Observance
greece,2001,4 Jun,Monday,Orthodox Holy Spirit Monday,De facto holiday
greece,2001,17 Jun,Sunday,Father's Day,Observance
greece,2001,21 Jun,Thursday,June Solstice,Season
