Geo,Event Year,Date,Day,Name,Type
grenada,2000,1 Jan,Saturday,New Year,Public Holiday
grenada,2000,7 Feb,Monday,Independence Day,Public Holiday
grenada,2000,20 Mar,Monday,March Equinox,Season
grenada,2000,21 Apr,Friday,Good Friday,Public Holiday
grenada,2000,23 Apr,Sunday,Easter Sunday,Observance
grenada,2000,24 Apr,Monday,Easter Monday,Public Holiday
grenada,2000,1 May,Monday,Labour Day,Public Holiday
grenada,2000,14 May,Sunday,Mother's Day,Observance
grenada,2000,12 Jun,Monday,Whit Monday,Public Holiday
grenada,2000,20 Jun,Tuesday,June Solstice,Season
grenada,2000,22 Jun,Thursday,Corpus Christi,Public Holiday
grenada,2000,7 Aug,Monday,Emancipation Day,Public Holiday
grenada,2000,22 Sep,Friday,September Equinox,Season
grenada,2000,25 Oct,Wednesday,Thanksgiving,Public Holiday
grenada,2000,21 Dec,Thursday,December Solstice,Season
grenada,2000,25 Dec,Monday,Christmas Day,Public Holiday
grenada,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
grenada,2001,1 Jan,Monday,New Year,Public Holiday
grenada,2001,7 Feb,Wednesday,Independence Day,Public Holiday
grenada,2001,20 Mar,Tuesday,March Equinox,Season
grenada,2001,13 Apr,Friday,Good Friday,Public Holiday
grenada,2001,15 Apr,Sunday,Easter Sunday,Observance
grenada,2001,16 Apr,Monday,Easter Monday,Public Holiday
grenada,2001,1 May,Tuesday,Labour Day,Public Holiday
grenada,2001,13 May,Sunday,Mother's Day,Observance
grenada,2001,4 Jun,Monday,Whit Monday,Public Holiday
grenada,2001,14 Jun,Thursday,Corpus Christi,Public Holiday
grenada,2001,21 Jun,Thursday,June Solstice,Season
grenada,2001,6 Aug,Monday,Emancipation Day,Public Holiday
grenada,2001,22 Sep,Saturday,September Equinox,Season
grenada,2001,25 Oct,Thursday,Thanksgiving,Public Holiday
grenada,2001,21 Dec,Friday,December Solstice,Season
grenada,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
grenada,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
grenada,2002,1 Jan,Tuesday,New Year,Public Holiday
grenada,2002,7 Feb,Thursday,Independence Day,Public Holiday
grenada,2002,20 Mar,Wednesday,March Equinox,Season
grenada,2002,29 Mar,Friday,Good Friday,Public Holiday
grenada,2002,31 Mar,Sunday,Easter Sunday,Observance
grenada,2002,1 Apr,Monday,Easter Monday,Public Holiday
grenada,2002,1 May,Wednesday,Labour Day,Public Holiday
grenada,2002,12 May,Sunday,Mother's Day,Observance
grenada,2002,20 May,Monday,Whit Monday,Public Holiday
grenada,2002,30 May,Thursday,Corpus Christi,Public Holiday
grenada,2002,21 Jun,Friday,June Solstice,Season
grenada,2002,5 Aug,Monday,Emancipation Day,Public Holiday
grenada,2002,23 Sep,Monday,September Equinox,Season
grenada,2002,25 Oct,Friday,Thanksgiving,Public Holiday
grenada,2002,21 Dec,Saturday,December Solstice,Season
grenada,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
grenada,2002,26 Dec,Thursday,Boxing Day,Public Holiday
grenada,2003,1 Jan,Wednesday,New Year,Public Holiday
grenada,2003,7 Feb,Friday,Independence Day,Public Holiday
grenada,2003,20 Mar,Thursday,March Equinox,Season
grenada,2003,18 Apr,Friday,Good Friday,Public Holiday
grenada,2003,20 Apr,Sunday,Easter Sunday,Observance
grenada,2003,21 Apr,Monday,Easter Monday,Public Holiday
grenada,2003,1 May,Thursday,Labour Day,Public Holiday
grenada,2003,11 May,Sunday,Mother's Day,Observance
grenada,2003,9 Jun,Monday,Whit Monday,Public Holiday
grenada,2003,19 Jun,Thursday,Corpus Christi,Public Holiday
grenada,2003,21 Jun,Saturday,June Solstice,Season
grenada,2003,4 Aug,Monday,Emancipation Day,Public Holiday
grenada,2003,23 Sep,Tuesday,September Equinox,Season
grenada,2003,25 Oct,Saturday,Thanksgiving,Public Holiday
