Geo,Event Year,Date,Day,Name,Type
guam,2000,1 Jan,Saturday,New Year,Public Holiday
guam,2000,17 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
guam,2000,21 Feb,Monday,President's Day,Public Holiday
guam,2000,6 Mar,Monday,Guam History and Chamorro Heritage Day,Public Holiday
guam,2000,20 Mar,Monday,March Equinox,Season
guam,2000,22 May,Monday,Memorial Day,Public Holiday
guam,2000,21 Jun,Wednesday,June Solstice,Season
guam,2000,4 Jul,Tuesday,Independence Day,Public Holiday
guam,2000,21 Jul,Friday,Liberation Day,Public Holiday
guam,2000,4 Sep,Monday,Labor Day,Public Holiday
guam,2000,23 Sep,Saturday,September Equinox,Season
guam,2000,9 Oct,Monday,Columbus Day,Public Holiday
guam,2000,2 Nov,Thursday,All Souls' Day,Public Holiday
guam,2000,10 Nov,Friday,Veterans Day observed,Public Holiday
guam,2000,11 Nov,Saturday,Veterans Day,Public Holiday
guam,2000,23 Nov,Thursday,Thanksgiving,Public Holiday
guam,2000,8 Dec,Friday,Santa Marian Kamalen Day,Public Holiday
guam,2000,21 Dec,Thursday,December Solstice,Season
guam,2000,25 Dec,Monday,Christmas Day,Public Holiday
guam,2001,1 Jan,Monday,New Year,Public Holiday
guam,2001,15 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
guam,2001,19 Feb,Monday,President's Day,Public Holiday
guam,2001,5 Mar,Monday,Guam History and Chamorro Heritage Day,Public Holiday
guam,2001,20 Mar,Tuesday,March Equinox,Season
guam,2001,28 May,Monday,Memorial Day,Public Holiday
guam,2001,21 Jun,Thursday,June Solstice,Season
guam,2001,4 Jul,Wednesday,Independence Day,Public Holiday
guam,2001,20 Jul,Friday,Liberation Day observed,Public Holiday
guam,2001,21 Jul,Saturday,Liberation Day,Public Holiday
guam,2001,3 Sep,Monday,Labor Day,Public Holiday
guam,2001,23 Sep,Sunday,September Equinox,Season
guam,2001,8 Oct,Monday,Columbus Day,Public Holiday
guam,2001,2 Nov,Friday,All Souls' Day,Public Holiday
guam,2001,11 Nov,Sunday,Veterans Day,Public Holiday
guam,2001,12 Nov,Monday,Veterans Day observed,Public Holiday
guam,2001,22 Nov,Thursday,Thanksgiving,Public Holiday
guam,2001,7 Dec,Friday,Santa Marian Kamalen Day observed,Public Holiday
guam,2001,8 Dec,Saturday,Santa Marian Kamalen Day,Public Holiday
guam,2001,22 Dec,Saturday,December Solstice,Season
guam,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
guam,2002,1 Jan,Tuesday,New Year,Public Holiday
guam,2002,21 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
guam,2002,18 Feb,Monday,President's Day,Public Holiday
guam,2002,4 Mar,Monday,Guam History and Chamorro Heritage Day,Public Holiday
guam,2002,21 Mar,Thursday,March Equinox,Season
guam,2002,27 May,Monday,Memorial Day,Public Holiday
guam,2002,21 Jun,Friday,June Solstice,Season
guam,2002,4 Jul,Thursday,Independence Day,Public Holiday
guam,2002,21 Jul,Sunday,Liberation Day,Public Holiday
guam,2002,22 Jul,Monday,Liberation Day observed,Public Holiday
guam,2002,2 Sep,Monday,Labor Day,Public Holiday
guam,2002,23 Sep,Monday,September Equinox,Season
guam,2002,14 Oct,Monday,Columbus Day,Public Holiday
guam,2002,1 Nov,Friday,All Souls' Day observed,Public Holiday
guam,2002,2 Nov,Saturday,All Souls' Day,Public Holiday
guam,2002,11 Nov,Monday,Veterans Day,Public Holiday
guam,2002,28 Nov,Thursday,Thanksgiving,Public Holiday
guam,2002,8 Dec,Sunday,Santa Marian Kamalen Day,Public Holiday
guam,2002,9 Dec,Monday,Santa Marian Kamalen Day observed,Public Holiday
guam,2002,22 Dec,Sunday,December Solstice,Season
guam,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
guam,2003,1 Jan,Wednesday,New Year,Public Holiday
guam,2003,20 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
guam,2003,17 Feb,Monday,President's Day,Public Holiday
guam,2003,3 Mar,Monday,Guam History and Chamorro Heritage Day,Public Holiday
guam,2003,21 Mar,Friday,March Equinox,Season
guam,2003,26 May,Monday,Memorial Day,Public Holiday
guam,2003,22 Jun,Sunday,June Solstice,Season
guam,2003,4 Jul,Friday,Independence Day,Public Holiday
guam,2003,21 Jul,Monday,Liberation Day,Public Holiday
guam,2003,1 Sep,Monday,Labor Day,Public Holiday
guam,2003,23 Sep,Tuesday,September Equinox,Season
guam,2003,13 Oct,Monday,Columbus Day,Public Holiday
guam,2003,2 Nov,Sunday,All Souls' Day,Public Holiday
guam,2003,3 Nov,Monday,All Souls' Day observed,Public Holiday
guam,2003,11 Nov,Tuesday,Veterans Day,Public Holiday
guam,2003,27 Nov,Thursday,Thanksgiving,Public Holiday
guam,2003,8 Dec,Monday,Santa Marian Kamalen Day,Public Holiday
guam,2003,22 Dec,Monday,December Solstice,Season
