Geo,Event Year,Date,Day,Name,Type
guineaecuatorial,2000,1 Jan,Saturday,New Year's Day,National holiday
guineaecuatorial,2000,20 Mar,Monday,March Equinox,Season
guineaecuatorial,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
guineaecuatorial,2000,21 Apr,Friday,Good Friday,"Observance, Christian"
guineaecuatorial,2000,1 May,Monday,Labor Day / May Day,National holiday
guineaecuatorial,2000,5 Jun,Monday,President's Day,National holiday
guineaecuatorial,2000,21 Jun,Wednesday,June Solstice,Season
guineaecuatorial,2000,22 Jun,Thursday,Corpus Christi,Observance
guineaecuatorial,2000,3 Aug,Thursday,Freedom Day,National holiday
guineaecuatorial,2000,15 Aug,Tuesday,Constitution Day,National holiday
guineaecuatorial,2000,22 Sep,Friday,September Equinox,Season
guineaecuatorial,2000,12 Oct,Thursday,Independence Day,National holiday
guineaecuatorial,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
guineaecuatorial,2000,8 Dec,Friday,Columbus Day,Observance
guineaecuatorial,2000,10 Dec,Sunday,Human Rights Day,Observance
guineaecuatorial,2000,21 Dec,Thursday,December Solstice,Season
guineaecuatorial,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
guineaecuatorial,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
guineaecuatorial,2000,31 Dec,Sunday,New Year's Eve,Observance
guineaecuatorial,2001,1 Jan,Monday,New Year's Day,National holiday
guineaecuatorial,2001,20 Mar,Tuesday,March Equinox,Season
guineaecuatorial,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
guineaecuatorial,2001,13 Apr,Friday,Good Friday,"Observance, Christian"
guineaecuatorial,2001,1 May,Tuesday,Labor Day / May Day,National holiday
guineaecuatorial,2001,5 Jun,Tuesday,President's Day,National holiday
guineaecuatorial,2001,14 Jun,Thursday,Corpus Christi,Observance
guineaecuatorial,2001,21 Jun,Thursday,June Solstice,Season
guineaecuatorial,2001,3 Aug,Friday,Freedom Day,National holiday
guineaecuatorial,2001,15 Aug,Wednesday,Constitution Day,National holiday
guineaecuatorial,2001,23 Sep,Sunday,September Equinox,Season
guineaecuatorial,2001,12 Oct,Friday,Independence Day,National holiday
guineaecuatorial,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
guineaecuatorial,2001,8 Dec,Saturday,Columbus Day,Observance
guineaecuatorial,2001,10 Dec,Monday,Human Rights Day,Observance
guineaecuatorial,2001,21 Dec,Friday,December Solstice,Season
guineaecuatorial,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
guineaecuatorial,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
guineaecuatorial,2001,31 Dec,Monday,New Year's Eve,Observance
guineaecuatorial,2002,1 Jan,Tuesday,New Year's Day,National holiday
