Geo,Event Year,Date,Day,Name,Type
haiti,2012,1 Jan,Sunday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2012,2 Jan,Monday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2012,14 Feb,Tuesday,Valentine's Day,Observance
haiti,2012,21 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2012,22 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2012,20 Mar,Tuesday,March Equinox,Season
haiti,2012,6 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2012,8 Apr,Sunday,Easter Sunday,Observance
haiti,2012,1 May,Tuesday,Agriculture and Labor Day,National/Legal Holiday
haiti,2012,18 May,Friday,Flag Day/University Day,National/Legal Holiday
haiti,2012,27 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2012,7 Jun,Thursday,Corpus Christi,Local holiday
haiti,2012,20 Jun,Wednesday,June Solstice,Season
haiti,2012,24 Jun,Sunday,Father's Day,Observance
haiti,2012,15 Aug,Wednesday,Assumption of Mary,Local holiday
haiti,2012,22 Sep,Saturday,September Equinox,Season
haiti,2012,17 Oct,Wednesday,Dessalines Day,National/Legal Holiday
haiti,2012,1 Nov,Thursday,All Saints' Day,Local holiday
haiti,2012,2 Nov,Friday,All Souls' Day,Local holiday
haiti,2012,18 Nov,Sunday,Vertières Day,National/Legal Holiday
haiti,2012,21 Dec,Friday,December Solstice,Season
haiti,2012,24 Dec,Monday,Christmas Eve,Observance
haiti,2012,25 Dec,Tuesday,Christmas Day,National/Legal Holiday
haiti,2012,31 Dec,Monday,New Year's Eve,Observance
haiti,2013,1 Jan,Tuesday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2013,2 Jan,Wednesday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2013,12 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2013,13 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2013,14 Feb,Thursday,Valentine's Day,Observance
haiti,2013,20 Mar,Wednesday,March Equinox,Season
haiti,2013,29 Mar,Friday,Good Friday,National/Legal Holiday
haiti,2013,31 Mar,Sunday,Easter Sunday,Observance
haiti,2013,1 May,Wednesday,Agriculture and Labor Day,National/Legal Holiday
haiti,2013,18 May,Saturday,Flag Day/University Day,National/Legal Holiday
haiti,2013,26 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2013,30 May,Thursday,Corpus Christi,Local holiday
haiti,2013,21 Jun,Friday,June Solstice,Season
haiti,2013,30 Jun,Sunday,Father's Day,Observance
haiti,2013,15 Aug,Thursday,Assumption of Mary,Local holiday
haiti,2013,22 Sep,Sunday,September Equinox,Season
haiti,2013,17 Oct,Thursday,Dessalines Day,National/Legal Holiday
haiti,2013,1 Nov,Friday,All Saints' Day,Local holiday
haiti,2013,2 Nov,Saturday,All Souls' Day,Local holiday
haiti,2013,18 Nov,Monday,Vertières Day,National/Legal Holiday
haiti,2013,21 Dec,Saturday,December Solstice,Season
haiti,2013,24 Dec,Tuesday,Christmas Eve,Observance
haiti,2013,25 Dec,Wednesday,Christmas Day,National/Legal Holiday
haiti,2013,31 Dec,Tuesday,New Year's Eve,Observance
haiti,2014,1 Jan,Wednesday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2014,2 Jan,Thursday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2014,14 Feb,Friday,Valentine's Day,Observance
haiti,2014,4 Mar,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2014,5 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2014,20 Mar,Thursday,March Equinox,Season
haiti,2014,18 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2014,20 Apr,Sunday,Easter Sunday,Observance
haiti,2014,1 May,Thursday,Agriculture and Labor Day,National/Legal Holiday
haiti,2014,18 May,Sunday,Flag Day/University Day,National/Legal Holiday
haiti,2014,25 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2014,19 Jun,Thursday,Corpus Christi,Local holiday
haiti,2014,21 Jun,Saturday,June Solstice,Season
haiti,2014,29 Jun,Sunday,Father's Day,Observance
haiti,2014,15 Aug,Friday,Assumption of Mary,Local holiday
haiti,2014,22 Sep,Monday,September Equinox,Season
haiti,2014,17 Oct,Friday,Dessalines Day,National/Legal Holiday
haiti,2014,1 Nov,Saturday,All Saints' Day,Local holiday
haiti,2014,2 Nov,Sunday,All Souls' Day,Local holiday
haiti,2014,18 Nov,Tuesday,Vertières Day,National/Legal Holiday
haiti,2014,21 Dec,Sunday,December Solstice,Season
haiti,2014,24 Dec,Wednesday,Christmas Eve,Observance
haiti,2014,25 Dec,Thursday,Christmas Day,National/Legal Holiday
haiti,2014,31 Dec,Wednesday,New Year's Eve,Observance
haiti,2015,1 Jan,Thursday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2015,2 Jan,Friday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2015,14 Feb,Saturday,Valentine's Day,Observance
haiti,2015,17 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2015,18 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2015,20 Mar,Friday,March Equinox,Season
haiti,2015,3 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2015,5 Apr,Sunday,Easter Sunday,Observance
haiti,2015,1 May,Friday,Agriculture and Labor Day,National/Legal Holiday
haiti,2015,18 May,Monday,Flag Day/University Day,National/Legal Holiday
haiti,2015,31 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2015,4 Jun,Thursday,Corpus Christi,Local holiday
haiti,2015,21 Jun,Sunday,June Solstice,Season
haiti,2015,28 Jun,Sunday,Father's Day,Observance
haiti,2015,15 Aug,Saturday,Assumption of Mary,Local holiday
haiti,2015,23 Sep,Wednesday,September Equinox,Season
haiti,2015,17 Oct,Saturday,Dessalines Day,National/Legal Holiday
haiti,2015,1 Nov,Sunday,All Saints' Day,Local holiday
haiti,2015,2 Nov,Monday,All Souls' Day,Local holiday
haiti,2015,18 Nov,Wednesday,Vertières Day,National/Legal Holiday
haiti,2015,21 Dec,Monday,December Solstice,Season
haiti,2015,24 Dec,Thursday,Christmas Eve,Observance
haiti,2015,25 Dec,Friday,Christmas Day,National/Legal Holiday
haiti,2015,31 Dec,Thursday,New Year's Eve,Observance
haiti,2016,1 Jan,Friday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2016,2 Jan,Saturday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2016,9 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2016,10 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2016,14 Feb,Sunday,Valentine's Day,Observance
haiti,2016,19 Mar,Saturday,March Equinox,Season
haiti,2016,25 Mar,Friday,Good Friday,National/Legal Holiday
haiti,2016,27 Mar,Sunday,Easter Sunday,Observance
haiti,2016,1 May,Sunday,Agriculture and Labor Day,National/Legal Holiday
haiti,2016,18 May,Wednesday,Flag Day/University Day,National/Legal Holiday
haiti,2016,26 May,Thursday,Corpus Christi,Local holiday
haiti,2016,29 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2016,20 Jun,Monday,June Solstice,Season
haiti,2016,26 Jun,Sunday,Father's Day,Observance
haiti,2016,15 Aug,Monday,Assumption of Mary,Local holiday
haiti,2016,22 Sep,Thursday,September Equinox,Season
haiti,2016,17 Oct,Monday,Dessalines Day,National/Legal Holiday
haiti,2016,1 Nov,Tuesday,All Saints' Day,Local holiday
haiti,2016,2 Nov,Wednesday,All Souls' Day,Local holiday
haiti,2016,18 Nov,Friday,Vertières Day,National/Legal Holiday
haiti,2016,21 Dec,Wednesday,December Solstice,Season
haiti,2016,24 Dec,Saturday,Christmas Eve,Observance
haiti,2016,25 Dec,Sunday,Christmas Day,National/Legal Holiday
haiti,2016,31 Dec,Saturday,New Year's Eve,Observance
haiti,2017,1 Jan,Sunday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2017,2 Jan,Monday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2017,7 Feb,Tuesday,Inauguration of Jovenel Moïse,National/Legal Holiday
haiti,2017,14 Feb,Tuesday,Valentine's Day,Observance
haiti,2017,28 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2017,1 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2017,20 Mar,Monday,March Equinox,Season
haiti,2017,14 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2017,16 Apr,Sunday,Easter Sunday,Observance
haiti,2017,1 May,Monday,Agriculture and Labor Day,National/Legal Holiday
haiti,2017,18 May,Thursday,Flag Day/University Day,National/Legal Holiday
haiti,2017,30 May,Tuesday,Mother's Day,National/Legal Holiday
haiti,2017,15 Jun,Thursday,Corpus Christi,Local holiday
haiti,2017,21 Jun,Wednesday,June Solstice,Season
haiti,2017,25 Jun,Sunday,Father's Day,Observance
haiti,2017,15 Aug,Tuesday,Assumption of Mary,Local holiday
haiti,2017,22 Sep,Friday,September Equinox,Season
haiti,2017,17 Oct,Tuesday,Dessalines Day,National/Legal Holiday
haiti,2017,1 Nov,Wednesday,All Saints' Day,Local holiday
haiti,2017,2 Nov,Thursday,All Souls' Day,Local holiday
haiti,2017,18 Nov,Saturday,Vertières Day,National/Legal Holiday
haiti,2017,21 Dec,Thursday,December Solstice,Season
haiti,2017,24 Dec,Sunday,Christmas Eve,Observance
haiti,2017,25 Dec,Monday,Christmas Day,National/Legal Holiday
haiti,2017,31 Dec,Sunday,New Year's Eve,Observance
haiti,2018,1 Jan,Monday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2018,2 Jan,Tuesday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2018,13 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2018,14 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2018,14 Feb,Wednesday,Valentine's Day,Observance
haiti,2018,20 Mar,Tuesday,March Equinox,Season
haiti,2018,30 Mar,Friday,Good Friday,National/Legal Holiday
haiti,2018,1 Apr,Sunday,Easter Sunday,Observance
haiti,2018,1 May,Tuesday,Agriculture and Labor Day,National/Legal Holiday
haiti,2018,18 May,Friday,Flag Day/University Day,National/Legal Holiday
haiti,2018,27 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2018,31 May,Thursday,Corpus Christi,Local holiday
haiti,2018,21 Jun,Thursday,June Solstice,Season
haiti,2018,24 Jun,Sunday,Father's Day,Observance
haiti,2018,15 Aug,Wednesday,Assumption of Mary,Local holiday
haiti,2018,22 Sep,Saturday,September Equinox,Season
haiti,2018,17 Oct,Wednesday,Dessalines Day,National/Legal Holiday
haiti,2018,1 Nov,Thursday,All Saints' Day,Local holiday
haiti,2018,2 Nov,Friday,All Souls' Day,Local holiday
haiti,2018,18 Nov,Sunday,Vertières Day,National/Legal Holiday
haiti,2018,21 Dec,Friday,December Solstice,Season
haiti,2018,24 Dec,Monday,Christmas Eve,Observance
haiti,2018,25 Dec,Tuesday,Christmas Day,National/Legal Holiday
haiti,2018,31 Dec,Monday,New Year's Eve,Observance
haiti,2019,1 Jan,Tuesday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2019,2 Jan,Wednesday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2019,14 Feb,Thursday,Valentine's Day,Observance
haiti,2019,5 Mar,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2019,6 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2019,20 Mar,Wednesday,March Equinox,Season
haiti,2019,19 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2019,21 Apr,Sunday,Easter Sunday,Observance
haiti,2019,1 May,Wednesday,Agriculture and Labor Day,National/Legal Holiday
haiti,2019,18 May,Saturday,Flag Day/University Day,National/Legal Holiday
haiti,2019,26 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2019,20 Jun,Thursday,Corpus Christi,Local holiday
haiti,2019,21 Jun,Friday,June Solstice,Season
haiti,2019,30 Jun,Sunday,Father's Day,Observance
haiti,2019,15 Aug,Thursday,Assumption of Mary,Local holiday
haiti,2019,23 Sep,Monday,September Equinox,Season
haiti,2019,17 Oct,Thursday,Dessalines Day,National/Legal Holiday
haiti,2019,1 Nov,Friday,All Saints' Day,Local holiday
haiti,2019,2 Nov,Saturday,All Souls' Day,Local holiday
haiti,2019,18 Nov,Monday,Vertières Day,National/Legal Holiday
haiti,2019,21 Dec,Saturday,December Solstice,Season
haiti,2019,24 Dec,Tuesday,Christmas Eve,Observance
haiti,2019,25 Dec,Wednesday,Christmas Day,National/Legal Holiday
haiti,2019,31 Dec,Tuesday,New Year's Eve,Observance
haiti,2020,1 Jan,Wednesday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2020,2 Jan,Thursday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2020,14 Feb,Friday,Valentine's Day,Observance
haiti,2020,25 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2020,26 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2020,19 Mar,Thursday,March Equinox,Season
haiti,2020,10 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2020,12 Apr,Sunday,Easter Sunday,Observance
haiti,2020,1 May,Friday,Agriculture and Labor Day,National/Legal Holiday
haiti,2020,18 May,Monday,Flag Day/University Day,National/Legal Holiday
haiti,2020,31 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2020,11 Jun,Thursday,Corpus Christi,Local holiday
haiti,2020,20 Jun,Saturday,June Solstice,Season
haiti,2020,28 Jun,Sunday,Father's Day,Observance
haiti,2020,15 Aug,Saturday,Assumption of Mary,Local holiday
haiti,2020,22 Sep,Tuesday,September Equinox,Season
haiti,2020,17 Oct,Saturday,Dessalines Day,National/Legal Holiday
haiti,2020,1 Nov,Sunday,All Saints' Day,Local holiday
haiti,2020,2 Nov,Monday,All Souls' Day,Local holiday
haiti,2020,18 Nov,Wednesday,Vertières Day,National/Legal Holiday
haiti,2020,21 Dec,Monday,December Solstice,Season
haiti,2020,24 Dec,Thursday,Christmas Eve,Observance
haiti,2020,25 Dec,Friday,Christmas Day,National/Legal Holiday
haiti,2020,31 Dec,Thursday,New Year's Eve,Observance
haiti,2021,1 Jan,Friday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2021,2 Jan,Saturday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2021,14 Feb,Sunday,Valentine's Day,Observance
haiti,2021,16 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2021,17 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2021,20 Mar,Saturday,March Equinox,Season
haiti,2021,2 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2021,4 Apr,Sunday,Easter Sunday,Observance
haiti,2021,1 May,Saturday,Agriculture and Labor Day,National/Legal Holiday
haiti,2021,18 May,Tuesday,Flag Day/University Day,National/Legal Holiday
haiti,2021,30 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2021,3 Jun,Thursday,Corpus Christi,Local holiday
haiti,2021,20 Jun,Sunday,June Solstice,Season
haiti,2021,27 Jun,Sunday,Father's Day,Observance
haiti,2021,22 Jul,Thursday,Public Holiday,National/Legal Holiday
haiti,2021,23 Jul,Friday,Public Holiday,National/Legal Holiday
haiti,2021,15 Aug,Sunday,Assumption of Mary,Local holiday
haiti,2021,22 Sep,Wednesday,September Equinox,Season
haiti,2021,17 Oct,Sunday,Dessalines Day,National/Legal Holiday
haiti,2021,1 Nov,Monday,All Saints' Day,Local holiday
haiti,2021,2 Nov,Tuesday,All Souls' Day,Local holiday
haiti,2021,18 Nov,Thursday,Vertières Day,National/Legal Holiday
haiti,2021,21 Dec,Tuesday,December Solstice,Season
haiti,2021,24 Dec,Friday,Christmas Eve,Observance
haiti,2021,25 Dec,Saturday,Christmas Day,National/Legal Holiday
haiti,2021,31 Dec,Friday,New Year's Eve,Observance
haiti,2022,1 Jan,Saturday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2022,2 Jan,Sunday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2022,14 Feb,Monday,Valentine's Day,Observance
haiti,2022,28 Feb,Monday,Carnival (From Noon),National/Legal Holiday
haiti,2022,1 Mar,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2022,2 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2022,20 Mar,Sunday,March Equinox,Season
haiti,2022,15 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2022,17 Apr,Sunday,Easter Sunday,Observance
haiti,2022,1 May,Sunday,Agriculture and Labor Day,National/Legal Holiday
haiti,2022,18 May,Wednesday,Flag Day/University Day,National/Legal Holiday
haiti,2022,29 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2022,16 Jun,Thursday,Corpus Christi,National/Legal Holiday
haiti,2022,21 Jun,Tuesday,June Solstice,Season
haiti,2022,26 Jun,Sunday,Father's Day,Observance
haiti,2022,15 Aug,Monday,Assumption of Mary,Local holiday
haiti,2022,22 Sep,Thursday,September Equinox,Season
haiti,2022,17 Oct,Monday,Dessalines Day,National/Legal Holiday
haiti,2022,1 Nov,Tuesday,All Saints' Day,Local holiday
haiti,2022,2 Nov,Wednesday,All Souls' Day,Local holiday
haiti,2022,18 Nov,Friday,Vertières Day,National/Legal Holiday
haiti,2022,21 Dec,Wednesday,December Solstice,Season
haiti,2022,24 Dec,Saturday,Christmas Eve,Observance
haiti,2022,25 Dec,Sunday,Christmas Day,National/Legal Holiday
haiti,2022,31 Dec,Saturday,New Year's Eve,Observance
haiti,2023,1 Jan,Sunday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2023,2 Jan,Monday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2023,14 Feb,Tuesday,Valentine's Day,Observance
haiti,2023,21 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2023,22 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2023,20 Mar,Monday,March Equinox,Season
haiti,2023,7 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2023,9 Apr,Sunday,Easter Sunday,Observance
haiti,2023,1 May,Monday,Agriculture and Labor Day,National/Legal Holiday
haiti,2023,18 May,Thursday,Flag Day/University Day,National/Legal Holiday
haiti,2023,28 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2023,8 Jun,Thursday,Corpus Christi,Local holiday
haiti,2023,21 Jun,Wednesday,June Solstice,Season
haiti,2023,25 Jun,Sunday,Father's Day,Observance
haiti,2023,15 Aug,Tuesday,Assumption of Mary,Local holiday
haiti,2023,23 Sep,Saturday,September Equinox,Season
haiti,2023,17 Oct,Tuesday,Dessalines Day,National/Legal Holiday
haiti,2023,1 Nov,Wednesday,All Saints' Day,Local holiday
haiti,2023,2 Nov,Thursday,All Souls' Day,Local holiday
haiti,2023,18 Nov,Saturday,Vertières Day,National/Legal Holiday
haiti,2023,21 Dec,Thursday,December Solstice,Season
haiti,2023,24 Dec,Sunday,Christmas Eve,Observance
haiti,2023,25 Dec,Monday,Christmas Day,National/Legal Holiday
haiti,2023,31 Dec,Sunday,New Year's Eve,Observance
haiti,2024,1 Jan,Monday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2024,2 Jan,Tuesday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2024,13 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2024,14 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2024,14 Feb,Wednesday,Valentine's Day,Observance
haiti,2024,19 Mar,Tuesday,March Equinox,Season
haiti,2024,29 Mar,Friday,Good Friday,National/Legal Holiday
haiti,2024,31 Mar,Sunday,Easter Sunday,Observance
haiti,2024,1 May,Wednesday,Agriculture and Labor Day,National/Legal Holiday
haiti,2024,18 May,Saturday,Flag Day/University Day,National/Legal Holiday
haiti,2024,26 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2024,30 May,Thursday,Corpus Christi,Local holiday
haiti,2024,20 Jun,Thursday,June Solstice,Season
haiti,2024,30 Jun,Sunday,Father's Day,Observance
haiti,2024,15 Aug,Thursday,Assumption of Mary,Local holiday
haiti,2024,22 Sep,Sunday,September Equinox,Season
haiti,2024,17 Oct,Thursday,Dessalines Day,National/Legal Holiday
haiti,2024,1 Nov,Friday,All Saints' Day,Local holiday
haiti,2024,2 Nov,Saturday,All Souls' Day,Local holiday
haiti,2024,18 Nov,Monday,Vertières Day,National/Legal Holiday
haiti,2024,21 Dec,Saturday,December Solstice,Season
haiti,2024,24 Dec,Tuesday,Christmas Eve,Observance
haiti,2024,25 Dec,Wednesday,Christmas Day,National/Legal Holiday
haiti,2024,31 Dec,Tuesday,New Year's Eve,Observance
haiti,2025,1 Jan,Wednesday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2025,2 Jan,Thursday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2025,14 Feb,Friday,Valentine's Day,Observance
haiti,2025,4 Mar,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2025,5 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2025,20 Mar,Thursday,March Equinox,Season
haiti,2025,18 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2025,20 Apr,Sunday,Easter Sunday,Observance
haiti,2025,1 May,Thursday,Agriculture and Labor Day,National/Legal Holiday
haiti,2025,18 May,Sunday,Flag Day/University Day,National/Legal Holiday
haiti,2025,25 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2025,19 Jun,Thursday,Corpus Christi,Local holiday
haiti,2025,20 Jun,Friday,June Solstice,Season
haiti,2025,29 Jun,Sunday,Father's Day,Observance
haiti,2025,15 Aug,Friday,Assumption of Mary,Local holiday
haiti,2025,22 Sep,Monday,September Equinox,Season
haiti,2025,17 Oct,Friday,Dessalines Day,National/Legal Holiday
haiti,2025,1 Nov,Saturday,All Saints' Day,Local holiday
haiti,2025,2 Nov,Sunday,All Souls' Day,Local holiday
haiti,2025,18 Nov,Tuesday,Vertières Day,National/Legal Holiday
haiti,2025,21 Dec,Sunday,December Solstice,Season
haiti,2025,24 Dec,Wednesday,Christmas Eve,Observance
haiti,2025,25 Dec,Thursday,Christmas Day,National/Legal Holiday
haiti,2025,31 Dec,Wednesday,New Year's Eve,Observance
haiti,2026,1 Jan,Thursday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2026,2 Jan,Friday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2026,14 Feb,Saturday,Valentine's Day,Observance
haiti,2026,17 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2026,18 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2026,20 Mar,Friday,March Equinox,Season
haiti,2026,3 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2026,5 Apr,Sunday,Easter Sunday,Observance
haiti,2026,1 May,Friday,Agriculture and Labor Day,National/Legal Holiday
haiti,2026,18 May,Monday,Flag Day/University Day,National/Legal Holiday
haiti,2026,31 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2026,4 Jun,Thursday,Corpus Christi,Local holiday
haiti,2026,21 Jun,Sunday,June Solstice,Season
haiti,2026,28 Jun,Sunday,Father's Day,Observance
haiti,2026,15 Aug,Saturday,Assumption of Mary,Local holiday
haiti,2026,22 Sep,Tuesday,September Equinox,Season
haiti,2026,17 Oct,Saturday,Dessalines Day,National/Legal Holiday
haiti,2026,1 Nov,Sunday,All Saints' Day,Local holiday
haiti,2026,2 Nov,Monday,All Souls' Day,Local holiday
haiti,2026,18 Nov,Wednesday,Vertières Day,National/Legal Holiday
haiti,2026,21 Dec,Monday,December Solstice,Season
haiti,2026,24 Dec,Thursday,Christmas Eve,Observance
haiti,2026,25 Dec,Friday,Christmas Day,National/Legal Holiday
haiti,2026,31 Dec,Thursday,New Year's Eve,Observance
haiti,2027,1 Jan,Friday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2027,2 Jan,Saturday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2027,9 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2027,10 Feb,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2027,14 Feb,Sunday,Valentine's Day,Observance
haiti,2027,20 Mar,Saturday,March Equinox,Season
haiti,2027,26 Mar,Friday,Good Friday,National/Legal Holiday
haiti,2027,28 Mar,Sunday,Easter Sunday,Observance
haiti,2027,1 May,Saturday,Agriculture and Labor Day,National/Legal Holiday
haiti,2027,18 May,Tuesday,Flag Day/University Day,National/Legal Holiday
haiti,2027,27 May,Thursday,Corpus Christi,Local holiday
haiti,2027,30 May,Sunday,Mother's Day,National/Legal Holiday
haiti,2027,21 Jun,Monday,June Solstice,Season
haiti,2027,27 Jun,Sunday,Father's Day,Observance
haiti,2027,15 Aug,Sunday,Assumption of Mary,Local holiday
haiti,2027,23 Sep,Thursday,September Equinox,Season
haiti,2027,17 Oct,Sunday,Dessalines Day,National/Legal Holiday
haiti,2027,1 Nov,Monday,All Saints' Day,Local holiday
haiti,2027,2 Nov,Tuesday,All Souls' Day,Local holiday
haiti,2027,18 Nov,Thursday,Vertières Day,National/Legal Holiday
haiti,2027,21 Dec,Tuesday,December Solstice,Season
haiti,2027,24 Dec,Friday,Christmas Eve,Observance
haiti,2027,25 Dec,Saturday,Christmas Day,National/Legal Holiday
haiti,2027,31 Dec,Friday,New Year's Eve,Observance
haiti,2028,1 Jan,Saturday,New Year's Day/Independence Day,National/Legal Holiday
haiti,2028,2 Jan,Sunday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
haiti,2028,14 Feb,Monday,Valentine's Day,Observance
haiti,2028,29 Feb,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
haiti,2028,1 Mar,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
haiti,2028,19 Mar,Sunday,March Equinox,Season
haiti,2028,14 Apr,Friday,Good Friday,National/Legal Holiday
haiti,2028,16 Apr,Sunday,Easter Sunday,Observance
haiti,2028,1 May,Monday,Agriculture and Labor Day,National/Legal Holiday
haiti,2028,18 May,Thursday,Flag Day/University Day,National/Legal Holiday
