Geo,Event Year,Date,Day,Name,Type
honduras,2000,1 Jan,Saturday,New Year's Day,National holiday
honduras,2000,6 Jan,Thursday,The Three Wise Men Day,Observance
honduras,2000,3 Feb,Thursday,Our Lady of Suyapa,Observance
honduras,2000,19 Mar,Sunday,Father's Day,Observance
honduras,2000,20 Mar,Monday,March Equinox,Season
honduras,2000,14 Apr,Friday,America Day,National holiday
honduras,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
honduras,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
honduras,2000,22 Apr,Saturday,Holy Saturday,"National holiday, Christian"
honduras,2000,23 Apr,Sunday,Easter Sunday,Observance
honduras,2000,1 May,Monday,Labor Day / May Day,National holiday
honduras,2000,14 May,Sunday,Mothers' Day,Observance
honduras,2000,20 Jun,Tuesday,June Solstice,Season
honduras,2000,22 Jun,Thursday,Corpus Christi,Observance
honduras,2000,10 Sep,Sunday,Children's Day,Observance
honduras,2000,15 Sep,Friday,Independence Day,National holiday
honduras,2000,17 Sep,Sunday,Teacher's Day,Observance
honduras,2000,22 Sep,Friday,September Equinox,Season
honduras,2000,3 Oct,Tuesday,Morazan's Day,National holiday
honduras,2000,12 Oct,Thursday,Columbus Day,National holiday
honduras,2000,21 Oct,Saturday,Army Day,National holiday
honduras,2000,21 Dec,Thursday,December Solstice,Season
honduras,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
honduras,2000,31 Dec,Sunday,New Year's Eve,Observance
honduras,2001,1 Jan,Monday,New Year's Day,National holiday
honduras,2001,6 Jan,Saturday,The Three Wise Men Day,Observance
honduras,2001,3 Feb,Saturday,Our Lady of Suyapa,Observance
honduras,2001,19 Mar,Monday,Father's Day,Observance
honduras,2001,20 Mar,Tuesday,March Equinox,Season
honduras,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
honduras,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
honduras,2001,14 Apr,Saturday,Holy Saturday,"National holiday, Christian"
honduras,2001,14 Apr,Saturday,America Day,National holiday
honduras,2001,15 Apr,Sunday,Easter Sunday,Observance
honduras,2001,1 May,Tuesday,Labor Day / May Day,National holiday
honduras,2001,13 May,Sunday,Mothers' Day,Observance
honduras,2001,14 Jun,Thursday,Corpus Christi,Observance
honduras,2001,21 Jun,Thursday,June Solstice,Season
honduras,2001,10 Sep,Monday,Children's Day,Observance
honduras,2001,15 Sep,Saturday,Independence Day,National holiday
honduras,2001,17 Sep,Monday,Teacher's Day,Observance
honduras,2001,22 Sep,Saturday,September Equinox,Season
honduras,2001,3 Oct,Wednesday,Morazan's Day,National holiday
honduras,2001,12 Oct,Friday,Columbus Day,National holiday
honduras,2001,21 Oct,Sunday,Army Day,National holiday
honduras,2001,21 Dec,Friday,December Solstice,Season
honduras,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
honduras,2001,31 Dec,Monday,New Year's Eve,Observance
honduras,2002,1 Jan,Tuesday,New Year's Day,National holiday
honduras,2002,6 Jan,Sunday,The Three Wise Men Day,Observance
honduras,2002,3 Feb,Sunday,Our Lady of Suyapa,Observance
honduras,2002,19 Mar,Tuesday,Father's Day,Observance
honduras,2002,20 Mar,Wednesday,March Equinox,Season
honduras,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
honduras,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
honduras,2002,30 Mar,Saturday,Holy Saturday,"National holiday, Christian"
honduras,2002,31 Mar,Sunday,Easter Sunday,Observance
honduras,2002,14 Apr,Sunday,America Day,National holiday
honduras,2002,1 May,Wednesday,Labor Day / May Day,National holiday
honduras,2002,12 May,Sunday,Mothers' Day,Observance
honduras,2002,30 May,Thursday,Corpus Christi,Observance
honduras,2002,21 Jun,Friday,June Solstice,Season
