Geo,Event Year,Date,Day,Name,Type
hong-kong,2000,1 Jan,Saturday,New Year's Day,National holiday
hong-kong,2000,5 Feb,Saturday,Lunar New Year's Day,National holiday
hong-kong,2000,7 Feb,Monday,Second Day of Lunar New Year,National holiday
hong-kong,2000,14 Feb,Monday,Valentine's Day,Observance
hong-kong,2000,20 Mar,Monday,March Equinox,Season
hong-kong,2000,4 Apr,Tuesday,Tomb Sweeping Day,National holiday
hong-kong,2000,21 Apr,Friday,Good Friday,National holiday
hong-kong,2000,22 Apr,Saturday,Holy Saturday,National holiday
hong-kong,2000,23 Apr,Sunday,Easter Sunday,Observance
hong-kong,2000,24 Apr,Monday,Easter Monday,National holiday
hong-kong,2000,1 May,Monday,Labour Day,National holiday
hong-kong,2000,11 May,Thursday,Buddha's Birthday,National holiday
hong-kong,2000,14 May,Sunday,Mother's Day,Observance
hong-kong,2000,6 Jun,Tuesday,Dragon Boat Festival,National holiday
hong-kong,2000,18 Jun,Sunday,Father's Day,Observance
hong-kong,2000,21 Jun,Wednesday,June Solstice,Season
hong-kong,2000,1 Jul,Saturday,Hong Kong Special Administrative Region Establishment Day,National holiday
hong-kong,2000,14 Aug,Monday,Hungry Ghost Festival,Observance
hong-kong,2000,12 Sep,Tuesday,Mid-Autumn Festival,Observance
hong-kong,2000,13 Sep,Wednesday,Day after Mid-Autumn Festival,National holiday
hong-kong,2000,17 Sep,Sunday,Confucius' Birthday,Observance
hong-kong,2000,23 Sep,Saturday,September Equinox,Season
hong-kong,2000,1 Oct,Sunday,National Day,National holiday
hong-kong,2000,2 Oct,Monday,National Day observed,National holiday
hong-kong,2000,6 Oct,Friday,Chung Yeung Festival,National holiday
hong-kong,2000,31 Oct,Tuesday,Halloween,Observance
hong-kong,2000,21 Dec,Thursday,December Solstice,Season
hong-kong,2000,25 Dec,Monday,Christmas Day,National holiday
hong-kong,2000,26 Dec,Tuesday,First Weekday After Christmas Day,National holiday
hong-kong,2000,31 Dec,Sunday,New Year’s Eve,Observance
hong-kong,2001,1 Jan,Monday,New Year's Day,National holiday
hong-kong,2001,24 Jan,Wednesday,Lunar New Year's Day,National holiday
hong-kong,2001,25 Jan,Thursday,Second Day of Lunar New Year,National holiday
hong-kong,2001,14 Feb,Wednesday,Valentine's Day,Observance
hong-kong,2001,20 Mar,Tuesday,March Equinox,Season
hong-kong,2001,5 Apr,Thursday,Tomb Sweeping Day,National holiday
hong-kong,2001,13 Apr,Friday,Good Friday,National holiday
hong-kong,2001,14 Apr,Saturday,Holy Saturday,National holiday
hong-kong,2001,15 Apr,Sunday,Easter Sunday,Observance
hong-kong,2001,16 Apr,Monday,Easter Monday,National holiday
