Geo,Event Year,Date,Day,Name,Type
hungary,2000,1 Jan,Saturday,New Year's Day,National holiday
hungary,2000,15 Mar,Wednesday,1848 Revolution Memorial Day,National holiday
hungary,2000,20 Mar,Monday,March Equinox,Season
hungary,2000,23 Apr,Sunday,Easter Sunday,Observance
hungary,2000,24 Apr,Monday,Easter Monday,National holiday
hungary,2000,1 May,Monday,Labor Day / May Day,National holiday
hungary,2000,7 May,Sunday,Mother’s Day,Observance
hungary,2000,11 Jun,Sunday,Whit Sunday,Observance
hungary,2000,12 Jun,Monday,Whit Monday,National holiday
hungary,2000,18 Jun,Sunday,Father’s Day,Observance
hungary,2000,21 Jun,Wednesday,June Solstice,Season
hungary,2000,20 Aug,Sunday,Hungary National Day,National holiday
hungary,2000,22 Sep,Friday,September Equinox,Season
hungary,2000,23 Oct,Monday,1956 Revolution Memorial Day,National holiday
hungary,2000,1 Nov,Wednesday,All Saints' Day,National holiday
hungary,2000,6 Dec,Wednesday,Saint Nicholas Day,Observance
hungary,2000,21 Dec,Thursday,December Solstice,Season
hungary,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
hungary,2000,25 Dec,Monday,Christmas Day,National holiday
hungary,2000,26 Dec,Tuesday,Second Day of Christmas,National holiday
hungary,2000,31 Dec,Sunday,New Year's Eve,Observance
hungary,2001,1 Jan,Monday,New Year's Day,National holiday
hungary,2001,15 Mar,Thursday,1848 Revolution Memorial Day,National holiday
hungary,2001,20 Mar,Tuesday,March Equinox,Season
hungary,2001,15 Apr,Sunday,Easter Sunday,Observance
hungary,2001,16 Apr,Monday,Easter Monday,National holiday
hungary,2001,1 May,Tuesday,Labor Day / May Day,National holiday
hungary,2001,6 May,Sunday,Mother’s Day,Observance
hungary,2001,3 Jun,Sunday,Whit Sunday,Observance
hungary,2001,4 Jun,Monday,Whit Monday,National holiday
hungary,2001,17 Jun,Sunday,Father’s Day,Observance
hungary,2001,21 Jun,Thursday,June Solstice,Season
hungary,2001,20 Aug,Monday,Hungary National Day,National holiday
hungary,2001,23 Sep,Sunday,September Equinox,Season
hungary,2001,23 Oct,Tuesday,1956 Revolution Memorial Day,National holiday
hungary,2001,1 Nov,Thursday,All Saints' Day,National holiday
hungary,2001,6 Dec,Thursday,Saint Nicholas Day,Observance
hungary,2001,21 Dec,Friday,December Solstice,Season
hungary,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
hungary,2001,25 Dec,Tuesday,Christmas Day,National holiday
hungary,2001,26 Dec,Wednesday,Second Day of Christmas,National holiday
hungary,2001,31 Dec,Monday,New Year's Eve,Observance
hungary,2002,1 Jan,Tuesday,New Year's Day,National holiday
hungary,2002,15 Mar,Friday,1848 Revolution Memorial Day,National holiday
hungary,2002,20 Mar,Wednesday,March Equinox,Season
hungary,2002,31 Mar,Sunday,Easter Sunday,Observance
hungary,2002,1 Apr,Monday,Easter Monday,National holiday
hungary,2002,1 May,Wednesday,Labor Day / May Day,National holiday
hungary,2002,5 May,Sunday,Mother’s Day,Observance
hungary,2002,19 May,Sunday,Whit Sunday,Observance
hungary,2002,20 May,Monday,Whit Monday,National holiday
hungary,2002,16 Jun,Sunday,Father’s Day,Observance
hungary,2002,21 Jun,Friday,June Solstice,Season
hungary,2002,20 Aug,Tuesday,Hungary National Day,National holiday
hungary,2002,23 Sep,Monday,September Equinox,Season
hungary,2002,23 Oct,Wednesday,1956 Revolution Memorial Day,National holiday
hungary,2002,1 Nov,Friday,All Saints' Day,National holiday
hungary,2002,6 Dec,Friday,Saint Nicholas Day,Observance
hungary,2002,22 Dec,Sunday,December Solstice,Season
hungary,2002,24 Dec,Tuesday,Christmas Eve,"Observance, Christian"
hungary,2002,25 Dec,Wednesday,Christmas Day,National holiday
hungary,2002,26 Dec,Thursday,Second Day of Christmas,National holiday
hungary,2002,31 Dec,Tuesday,New Year's Eve,Observance
hungary,2003,1 Jan,Wednesday,New Year's Day,National holiday
hungary,2003,15 Mar,Saturday,1848 Revolution Memorial Day,National holiday
hungary,2003,21 Mar,Friday,March Equinox,Season
hungary,2003,20 Apr,Sunday,Easter Sunday,Observance
hungary,2003,21 Apr,Monday,Easter Monday,National holiday
hungary,2003,1 May,Thursday,Labor Day / May Day,National holiday
hungary,2003,4 May,Sunday,Mother’s Day,Observance
hungary,2003,8 Jun,Sunday,Whit Sunday,Observance
hungary,2003,9 Jun,Monday,Whit Monday,National holiday
hungary,2003,15 Jun,Sunday,Father’s Day,Observance
hungary,2003,21 Jun,Saturday,June Solstice,Season
hungary,2003,20 Aug,Wednesday,Hungary National Day,National holiday
hungary,2003,23 Sep,Tuesday,September Equinox,Season
hungary,2003,23 Oct,Thursday,1956 Revolution Memorial Day,National holiday
hungary,2003,1 Nov,Saturday,All Saints' Day,National holiday
hungary,2003,6 Dec,Saturday,Saint Nicholas Day,Observance
hungary,2003,22 Dec,Monday,December Solstice,Season
hungary,2003,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
hungary,2003,25 Dec,Thursday,Christmas Day,National holiday
hungary,2003,26 Dec,Friday,Second Day of Christmas,National holiday
hungary,2003,31 Dec,Wednesday,New Year's Eve,Observance
hungary,2004,1 Jan,Thursday,New Year's Day,National holiday
hungary,2004,15 Mar,Monday,1848 Revolution Memorial Day,National holiday
hungary,2004,20 Mar,Saturday,March Equinox,Season
hungary,2004,11 Apr,Sunday,Easter Sunday,Observance
hungary,2004,12 Apr,Monday,Easter Monday,National holiday
hungary,2004,1 May,Saturday,Labor Day / May Day,National holiday
hungary,2004,2 May,Sunday,Mother’s Day,Observance
hungary,2004,30 May,Sunday,Whit Sunday,Observance
hungary,2004,31 May,Monday,Whit Monday,National holiday
hungary,2004,20 Jun,Sunday,Father’s Day,Observance
hungary,2004,21 Jun,Monday,June Solstice,Season
hungary,2004,20 Aug,Friday,Hungary National Day,National holiday
hungary,2004,22 Sep,Wednesday,September Equinox,Season
hungary,2004,23 Oct,Saturday,1956 Revolution Memorial Day,National holiday
hungary,2004,1 Nov,Monday,All Saints' Day,National holiday
hungary,2004,6 Dec,Monday,Saint Nicholas Day,Observance
hungary,2004,21 Dec,Tuesday,December Solstice,Season
hungary,2004,24 Dec,Friday,Christmas Eve,"Observance, Christian"
hungary,2004,25 Dec,Saturday,Christmas Day,National holiday
hungary,2004,26 Dec,Sunday,Second Day of Christmas,National holiday
hungary,2004,31 Dec,Friday,New Year's Eve,Observance
hungary,2005,1 Jan,Saturday,New Year's Day,National holiday
hungary,2005,15 Mar,Tuesday,1848 Revolution Memorial Day,National holiday
hungary,2005,20 Mar,Sunday,March Equinox,Season
hungary,2005,27 Mar,Sunday,Easter Sunday,Observance
hungary,2005,28 Mar,Monday,Easter Monday,National holiday
hungary,2005,1 May,Sunday,Labor Day / May Day,National holiday
hungary,2005,1 May,Sunday,Mother’s Day,Observance
hungary,2005,15 May,Sunday,Whit Sunday,Observance
hungary,2005,16 May,Monday,Whit Monday,National holiday
hungary,2005,19 Jun,Sunday,Father’s Day,Observance
hungary,2005,21 Jun,Tuesday,June Solstice,Season
hungary,2005,20 Aug,Saturday,Hungary National Day,National holiday
hungary,2005,23 Sep,Friday,September Equinox,Season
hungary,2005,23 Oct,Sunday,1956 Revolution Memorial Day,National holiday
hungary,2005,1 Nov,Tuesday,All Saints' Day,National holiday
hungary,2005,6 Dec,Tuesday,Saint Nicholas Day,Observance
hungary,2005,21 Dec,Wednesday,December Solstice,Season
hungary,2005,24 Dec,Saturday,Christmas Eve,"Observance, Christian"
hungary,2005,25 Dec,Sunday,Christmas Day,National holiday
hungary,2005,26 Dec,Monday,Second Day of Christmas,National holiday
hungary,2005,31 Dec,Saturday,New Year's Eve,Observance
hungary,2006,1 Jan,Sunday,New Year's Day,National holiday
hungary,2006,15 Mar,Wednesday,1848 Revolution Memorial Day,National holiday
hungary,2006,20 Mar,Monday,March Equinox,Season
hungary,2006,16 Apr,Sunday,Easter Sunday,Observance
hungary,2006,17 Apr,Monday,Easter Monday,National holiday
hungary,2006,1 May,Monday,Labor Day / May Day,National holiday
hungary,2006,7 May,Sunday,Mother’s Day,Observance
hungary,2006,4 Jun,Sunday,Whit Sunday,Observance
hungary,2006,5 Jun,Monday,Whit Monday,National holiday
hungary,2006,18 Jun,Sunday,Father’s Day,Observance
hungary,2006,21 Jun,Wednesday,June Solstice,Season
hungary,2006,20 Aug,Sunday,Hungary National Day,National holiday
hungary,2006,23 Sep,Saturday,September Equinox,Season
hungary,2006,23 Oct,Monday,1956 Revolution Memorial Day,National holiday
hungary,2006,1 Nov,Wednesday,All Saints' Day,National holiday
