Geo,Event Year,Date,Day,Name,Type
india,2000,1 Jan,Saturday,New Year's Day,Restricted Holiday
india,2000,8 Jan,Saturday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
india,2000,15 Jan,Saturday,Pongal,Restricted Holiday
india,2000,15 Jan,Saturday,Makar Sankranti,Restricted Holiday
india,2000,26 Jan,Wednesday,Republic Day,Gazetted Holiday
india,2000,5 Feb,Saturday,Lunar New Year,Observance
india,2000,10 Feb,Thursday,Vasant Panchami,Restricted Holiday
india,2000,14 Feb,Monday,Valentine's Day,Observance
india,2000,4 Mar,Saturday,Maha Shivaratri/Shivaratri,Gazetted Holiday
india,2000,16 Mar,Thursday,Bakrid/Eid ul-Adha,Gazetted Holiday
india,2000,20 Mar,Monday,Holi,Restricted Holiday
india,2000,20 Mar,Monday,March Equinox,Season
india,2000,5 Apr,Wednesday,Ugadi,Restricted Holiday
india,2000,5 Apr,Wednesday,Gudi Padwa,Restricted Holiday
india,2000,12 Apr,Wednesday,Rama Navami,Gazetted Holiday
india,2000,20 Apr,Thursday,First day of Passover,Observance
india,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
india,2000,21 Apr,Friday,Good Friday,Gazetted Holiday
india,2000,23 Apr,Sunday,Easter Day,Restricted Holiday
india,2000,1 May,Monday,International Worker's Day,Observance
india,2000,8 May,Monday,Birthday of Rabindranath,Restricted Holiday
india,2000,14 May,Sunday,Mothers' Day,Observance
india,2000,18 Jun,Sunday,Fathers' Day,Observance
india,2000,21 Jun,Wednesday,June Solstice,Season
india,2000,3 Jul,Monday,Rath Yatra,Restricted Holiday
india,2000,6 Aug,Sunday,Friendship Day,Observance
india,2000,15 Aug,Tuesday,Independence Day,Gazetted Holiday
india,2000,15 Aug,Tuesday,Raksha Bandhan (Rakhi),Restricted Holiday
india,2000,23 Aug,Wednesday,Janmashtami,Gazetted Holiday
india,2000,23 Aug,Wednesday,Janmashtami (Smarta),Observance
india,2000,1 Sep,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
india,2000,10 Sep,Sunday,Onam,Restricted Holiday
india,2000,22 Sep,Friday,September Equinox,Season
