Geo,Event Year,Date,Day,Name,Type
indonesia,2000,1 Jan,Saturday,New Year's Day,Public Holiday
indonesia,2000,2 Jan,Sunday,January 2 Joint Holiday,Joint Holiday
indonesia,2000,8 Jan,Saturday,Idul Fitri,Public Holiday
indonesia,2000,9 Jan,Sunday,Idul Fitri Holiday,Public Holiday
indonesia,2000,5 Feb,Saturday,Lunar New Year's Day,Public Holiday
indonesia,2000,16 Mar,Thursday,Idul Adha,Public Holiday
indonesia,2000,20 Mar,Monday,March Equinox,Season
indonesia,2000,6 Apr,Thursday,Muharram / Islamic New Year,Public Holiday
indonesia,2000,21 Apr,Friday,Good Friday,Public Holiday
indonesia,2000,23 Apr,Sunday,Easter Sunday,Observance
indonesia,2000,1 Jun,Thursday,Ascension Day of Jesus Christ,Public Holiday
indonesia,2000,21 Jun,Wednesday,June Solstice,Season
indonesia,2000,17 Aug,Thursday,Indonesian Independence Day,Public Holiday
indonesia,2000,23 Sep,Saturday,September Equinox,Season
indonesia,2000,26 Oct,Thursday,Ascension of the Prophet Muhammad,Public Holiday
indonesia,2000,21 Dec,Thursday,December 21 Joint Holiday,Joint Holiday
indonesia,2000,21 Dec,Thursday,December Solstice,Season
indonesia,2000,24 Dec,Sunday,Christmas Eve,Observance
indonesia,2000,25 Dec,Monday,Christmas Day,Public Holiday
indonesia,2000,28 Dec,Thursday,Idul Fitri,Public Holiday
indonesia,2000,29 Dec,Friday,Idul Fitri Holiday,Public Holiday
indonesia,2000,31 Dec,Sunday,New Year's Eve,Observance
indonesia,2001,1 Jan,Monday,New Year's Day,Public Holiday
indonesia,2001,2 Jan,Tuesday,January 2 Joint Holiday,Joint Holiday
indonesia,2001,24 Jan,Wednesday,Lunar New Year's Day,Public Holiday
indonesia,2001,6 Mar,Tuesday,Idul Adha,Public Holiday
indonesia,2001,20 Mar,Tuesday,March Equinox,Season
indonesia,2001,26 Mar,Monday,Muharram / Islamic New Year,Public Holiday
indonesia,2001,13 Apr,Friday,Good Friday,Public Holiday
indonesia,2001,15 Apr,Sunday,Easter Sunday,Observance
indonesia,2001,24 May,Thursday,Ascension Day of Jesus Christ,Public Holiday
indonesia,2001,21 Jun,Thursday,June Solstice,Season
indonesia,2001,17 Aug,Friday,Indonesian Independence Day,Public Holiday
indonesia,2001,23 Sep,Sunday,September Equinox,Season
indonesia,2001,15 Oct,Monday,Ascension of the Prophet Muhammad,Public Holiday
indonesia,2001,17 Dec,Monday,Idul Fitri,Public Holiday
indonesia,2001,18 Dec,Tuesday,Idul Fitri Holiday,Public Holiday
indonesia,2001,21 Dec,Friday,December 21 Joint Holiday,Joint Holiday
indonesia,2001,22 Dec,Saturday,December Solstice,Season
indonesia,2001,24 Dec,Monday,Christmas Eve,Observance
indonesia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
indonesia,2001,31 Dec,Monday,New Year's Eve,Observance
indonesia,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
indonesia,2002,2 Jan,Wednesday,January 2 Joint Holiday,Joint Holiday
indonesia,2002,12 Feb,Tuesday,Lunar New Year's Day,Public Holiday
indonesia,2002,23 Feb,Saturday,Idul Adha,Public Holiday
indonesia,2002,15 Mar,Friday,Muharram / Islamic New Year,Public Holiday
indonesia,2002,21 Mar,Thursday,March Equinox,Season
indonesia,2002,29 Mar,Friday,Good Friday,Public Holiday
indonesia,2002,31 Mar,Sunday,Easter Sunday,Observance
indonesia,2002,9 May,Thursday,Ascension Day of Jesus Christ,Public Holiday
indonesia,2002,21 Jun,Friday,June Solstice,Season
indonesia,2002,17 Aug,Saturday,Indonesian Independence Day,Public Holiday
indonesia,2002,23 Sep,Monday,September Equinox,Season
indonesia,2002,4 Oct,Friday,Ascension of the Prophet Muhammad,Public Holiday
indonesia,2002,6 Dec,Friday,Idul Fitri,Public Holiday
indonesia,2002,7 Dec,Saturday,Idul Fitri Holiday,Public Holiday
indonesia,2002,21 Dec,Saturday,December 21 Joint Holiday,Joint Holiday
indonesia,2002,22 Dec,Sunday,December Solstice,Season
indonesia,2002,24 Dec,Tuesday,Christmas Eve,Observance
indonesia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
indonesia,2002,31 Dec,Tuesday,New Year's Eve,Observance
indonesia,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
indonesia,2003,2 Jan,Thursday,January 2 Joint Holiday,Joint Holiday
indonesia,2003,1 Feb,Saturday,Lunar New Year's Day,Public Holiday
indonesia,2003,12 Feb,Wednesday,Idul Adha,Public Holiday
indonesia,2003,5 Mar,Wednesday,Muharram / Islamic New Year,Public Holiday
indonesia,2003,21 Mar,Friday,March Equinox,Season
indonesia,2003,18 Apr,Friday,Good Friday,Public Holiday
indonesia,2003,20 Apr,Sunday,Easter Sunday,Observance
indonesia,2003,29 May,Thursday,Ascension Day of Jesus Christ,Public Holiday
indonesia,2003,22 Jun,Sunday,June Solstice,Season
indonesia,2003,17 Aug,Sunday,Indonesian Independence Day,Public Holiday
indonesia,2003,18 Aug,Monday,Indonesian Independence Day observed,Public Holiday
indonesia,2003,23 Sep,Tuesday,September Equinox,Season
indonesia,2003,24 Sep,Wednesday,Ascension of the Prophet Muhammad,Public Holiday
indonesia,2003,26 Nov,Wednesday,Idul Fitri,Public Holiday
indonesia,2003,27 Nov,Thursday,Idul Fitri Holiday,Public Holiday
indonesia,2003,21 Dec,Sunday,December 21 Joint Holiday,Joint Holiday
indonesia,2003,22 Dec,Monday,December Solstice,Season
indonesia,2003,24 Dec,Wednesday,Christmas Eve,Observance
indonesia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
indonesia,2003,31 Dec,Wednesday,New Year's Eve,Observance
indonesia,2004,1 Jan,Thursday,New Year's Day,Public Holiday
indonesia,2004,2 Jan,Friday,January 2 Joint Holiday,Joint Holiday
indonesia,2004,22 Jan,Thursday,Lunar New Year's Day,Public Holiday
indonesia,2004,2 Feb,Monday,Idul Adha,Public Holiday
indonesia,2004,22 Feb,Sunday,Muharram / Islamic New Year,Public Holiday
indonesia,2004,20 Mar,Saturday,March Equinox,Season
indonesia,2004,9 Apr,Friday,Good Friday,Public Holiday
indonesia,2004,11 Apr,Sunday,Easter Sunday,Observance
indonesia,2004,20 May,Thursday,Ascension Day of Jesus Christ,Public Holiday
indonesia,2004,21 Jun,Monday,June Solstice,Season
indonesia,2004,17 Aug,Tuesday,Indonesian Independence Day,Public Holiday
indonesia,2004,12 Sep,Sunday,Ascension of the Prophet Muhammad,Public Holiday
indonesia,2004,22 Sep,Wednesday,September Equinox,Season
indonesia,2004,14 Nov,Sunday,Idul Fitri,Public Holiday
indonesia,2004,15 Nov,Monday,Idul Fitri Holiday,Public Holiday
indonesia,2004,21 Dec,Tuesday,December 21 Joint Holiday,Joint Holiday
indonesia,2004,21 Dec,Tuesday,December Solstice,Season
indonesia,2004,24 Dec,Friday,Christmas Eve,Observance
indonesia,2004,25 Dec,Saturday,Christmas Day,Public Holiday
indonesia,2004,31 Dec,Friday,New Year's Eve,Observance
indonesia,2005,1 Jan,Saturday,New Year's Day,Public Holiday
indonesia,2005,2 Jan,Sunday,January 2 Joint Holiday,Joint Holiday
indonesia,2005,21 Jan,Friday,Idul Adha,Public Holiday
indonesia,2005,9 Feb,Wednesday,Lunar New Year's Day,Public Holiday
