Geo,Event Year,Date,Day,Name,Type
iraq,2013,1 Jan,Tuesday,New Year's Day,National holiday
iraq,2013,6 Jan,Sunday,Army Day,National holiday
iraq,2013,24 Jan,Thursday,The Prophet's Birthday,National holiday
iraq,2013,5 Mar,Tuesday,Rebellion Anniversary,Regional holiday
iraq,2013,20 Mar,Wednesday,March Equinox,Season
iraq,2013,21 Mar,Thursday,Nowruz,National holiday
iraq,2013,22 Mar,Friday,Nowruz Holiday,Regional holiday
iraq,2013,23 Mar,Saturday,Nowruz Holiday,Regional holiday
iraq,2013,9 Apr,Tuesday,Baghdad Liberation Day,Regional holiday
iraq,2013,1 May,Wednesday,Labor Day,National holiday
iraq,2013,21 Jun,Friday,June Solstice,Season
iraq,2013,14 Jul,Sunday,Republic Day,National holiday
iraq,2013,8 Aug,Thursday,Eid al-Fitr,National holiday
iraq,2013,9 Aug,Friday,Eid al-Fitr holiday,National holiday
iraq,2013,10 Aug,Saturday,Eid al-Fitr holiday,National holiday
iraq,2013,22 Sep,Sunday,September Equinox,Season
iraq,2013,3 Oct,Thursday,Iraqi Independence Day,National holiday
iraq,2013,15 Oct,Tuesday,Eid al-Adha,National holiday
iraq,2013,16 Oct,Wednesday,Eid al-Adha holiday,National holiday
iraq,2013,17 Oct,Thursday,Eid al-Adha holiday,National holiday
iraq,2013,18 Oct,Friday,Eid al-Adha holiday,National holiday
iraq,2013,5 Nov,Tuesday,Islamic New Year,National holiday
iraq,2013,14 Nov,Thursday,Ashura,National holiday
iraq,2013,21 Dec,Saturday,December Solstice,Season
iraq,2013,25 Dec,Wednesday,Christmas Day,Observance
iraq,2013,31 Dec,Tuesday,New Year's Eve,Observance
iraq,2014,1 Jan,Wednesday,New Year's Day,National holiday
iraq,2014,6 Jan,Monday,Army Day,National holiday
iraq,2014,14 Jan,Tuesday,The Prophet's Birthday,National holiday
iraq,2014,5 Mar,Wednesday,Rebellion Anniversary,Regional holiday
iraq,2014,20 Mar,Thursday,March Equinox,Season
iraq,2014,21 Mar,Friday,Nowruz,National holiday
iraq,2014,22 Mar,Saturday,Nowruz Holiday,Regional holiday
iraq,2014,23 Mar,Sunday,Nowruz Holiday,Regional holiday
iraq,2014,9 Apr,Wednesday,Baghdad Liberation Day,Regional holiday
iraq,2014,1 May,Thursday,Labor Day,National holiday
iraq,2014,21 Jun,Saturday,June Solstice,Season
iraq,2014,14 Jul,Monday,Republic Day,National holiday
iraq,2014,28 Jul,Monday,Eid al-Fitr,National holiday
iraq,2014,29 Jul,Tuesday,Eid al-Fitr holiday,National holiday
iraq,2014,30 Jul,Wednesday,Eid al-Fitr holiday,National holiday
iraq,2014,23 Sep,Tuesday,September Equinox,Season
iraq,2014,3 Oct,Friday,Iraqi Independence Day,National holiday
iraq,2014,4 Oct,Saturday,Eid al-Adha,National holiday
iraq,2014,5 Oct,Sunday,Eid al-Adha holiday,National holiday
iraq,2014,6 Oct,Monday,Eid al-Adha holiday,National holiday
iraq,2014,7 Oct,Tuesday,Eid al-Adha holiday,National holiday
iraq,2014,25 Oct,Saturday,Islamic New Year,National holiday
iraq,2014,3 Nov,Monday,Ashura,National holiday
iraq,2014,22 Dec,Monday,December Solstice,Season
iraq,2014,25 Dec,Thursday,Christmas Day,Observance
iraq,2014,31 Dec,Wednesday,New Year's Eve,Observance
iraq,2015,1 Jan,Thursday,New Year's Day,National holiday
iraq,2015,3 Jan,Saturday,The Prophet's Birthday,National holiday
iraq,2015,6 Jan,Tuesday,Army Day,National holiday
iraq,2015,5 Mar,Thursday,Rebellion Anniversary,Regional holiday
iraq,2015,21 Mar,Saturday,Nowruz,National holiday
iraq,2015,21 Mar,Saturday,March Equinox,Season
