Geo,Event Year,Date,Day,Name,Type
ireland,2000,1 Jan,Saturday,New Year's Day,National holiday
ireland,2000,17 Mar,Friday,St. Patrick's Day,National holiday
ireland,2000,20 Mar,Monday,March Equinox,Season
ireland,2000,2 Apr,Sunday,Mother's Day,Observance
ireland,2000,21 Apr,Friday,Good Friday,Observance
ireland,2000,23 Apr,Sunday,Easter,Observance
ireland,2000,24 Apr,Monday,Easter Monday,National holiday
ireland,2000,1 May,Monday,May Day,National holiday
ireland,2000,5 Jun,Monday,June Bank Holiday,National holiday
ireland,2000,18 Jun,Sunday,Father’s Day,Observance
ireland,2000,21 Jun,Wednesday,June Solstice,Season
ireland,2000,7 Aug,Monday,August Bank Holiday,National holiday
ireland,2000,22 Sep,Friday,September Equinox,Season
ireland,2000,30 Oct,Monday,October Bank Holiday,National holiday
ireland,2000,21 Dec,Thursday,December Solstice,Season
ireland,2000,24 Dec,Sunday,Christmas Eve,Observance
ireland,2000,25 Dec,Monday,Christmas Day,National holiday
ireland,2000,26 Dec,Tuesday,St. Stephen's Day,National holiday
ireland,2000,31 Dec,Sunday,New Year's Eve,Observance
ireland,2001,1 Jan,Monday,New Year's Day,National holiday
ireland,2001,17 Mar,Saturday,St. Patrick's Day,National holiday
ireland,2001,20 Mar,Tuesday,March Equinox,Season
ireland,2001,25 Mar,Sunday,Mother's Day,Observance
ireland,2001,13 Apr,Friday,Good Friday,Observance
ireland,2001,15 Apr,Sunday,Easter,Observance
ireland,2001,16 Apr,Monday,Easter Monday,National holiday
ireland,2001,7 May,Monday,May Day,National holiday
ireland,2001,4 Jun,Monday,June Bank Holiday,National holiday
ireland,2001,17 Jun,Sunday,Father’s Day,Observance
ireland,2001,21 Jun,Thursday,June Solstice,Season
ireland,2001,6 Aug,Monday,August Bank Holiday,National holiday
ireland,2001,23 Sep,Sunday,September Equinox,Season
ireland,2001,29 Oct,Monday,October Bank Holiday,National holiday
ireland,2001,21 Dec,Friday,December Solstice,Season
ireland,2001,24 Dec,Monday,Christmas Eve,Observance
ireland,2001,25 Dec,Tuesday,Christmas Day,National holiday
ireland,2001,26 Dec,Wednesday,St. Stephen's Day,National holiday
ireland,2001,31 Dec,Monday,New Year's Eve,Observance
ireland,2002,1 Jan,Tuesday,New Year's Day,National holiday
ireland,2002,10 Mar,Sunday,Mother's Day,Observance
ireland,2002,17 Mar,Sunday,St. Patrick's Day,National holiday
ireland,2002,20 Mar,Wednesday,March Equinox,Season
ireland,2002,29 Mar,Friday,Good Friday,Observance
ireland,2002,31 Mar,Sunday,Easter,Observance
ireland,2002,1 Apr,Monday,Easter Monday,National holiday
ireland,2002,6 May,Monday,May Day,National holiday
ireland,2002,3 Jun,Monday,June Bank Holiday,National holiday
ireland,2002,16 Jun,Sunday,Father’s Day,Observance
ireland,2002,21 Jun,Friday,June Solstice,Season
ireland,2002,5 Aug,Monday,August Bank Holiday,National holiday
ireland,2002,23 Sep,Monday,September Equinox,Season
ireland,2002,28 Oct,Monday,October Bank Holiday,National holiday
