Geo,Event Year,Date,Day,Name,Type
ivory-coast,2000,1 Jan,Saturday,New Year,Public Holiday
ivory-coast,2000,4 Jan,Tuesday,Day After Laila tou-Kadr,Public Holiday
ivory-coast,2000,8 Jan,Saturday,Aid el-Fitr,Public Holiday
ivory-coast,2000,16 Mar,Thursday,Aid el-Kebir,Public Holiday
ivory-coast,2000,20 Mar,Monday,March Equinox,Season
ivory-coast,2000,24 Apr,Monday,Easter Monday,Public Holiday
ivory-coast,2000,1 May,Monday,Labor Day,Public Holiday
ivory-coast,2000,1 Jun,Thursday,Ascension Day,Public Holiday
ivory-coast,2000,12 Jun,Monday,Whit Monday,Public Holiday
ivory-coast,2000,15 Jun,Thursday,The Day After Prophet's Birthday,Public Holiday
ivory-coast,2000,21 Jun,Wednesday,June Solstice,Season
ivory-coast,2000,7 Aug,Monday,Independence Day,Public Holiday
ivory-coast,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
ivory-coast,2000,22 Sep,Friday,September Equinox,Season
ivory-coast,2000,1 Nov,Wednesday,All Saints Day,Public Holiday
ivory-coast,2000,15 Nov,Wednesday,National Peace Day,Public Holiday
ivory-coast,2000,7 Dec,Thursday,Death of Félix Houphouët-Boigny,Public Holiday
ivory-coast,2000,21 Dec,Thursday,December Solstice,Season
ivory-coast,2000,24 Dec,Sunday,Day After Laila tou-Kadr,Public Holiday
ivory-coast,2000,25 Dec,Monday,Christmas Day,Public Holiday
ivory-coast,2000,28 Dec,Thursday,Aid el-Fitr,Public Holiday
ivory-coast,2001,1 Jan,Monday,New Year,Public Holiday
ivory-coast,2001,6 Mar,Tuesday,Aid el-Kebir,Public Holiday
ivory-coast,2001,20 Mar,Tuesday,March Equinox,Season
ivory-coast,2001,16 Apr,Monday,Easter Monday,Public Holiday
ivory-coast,2001,1 May,Tuesday,Labor Day,Public Holiday
ivory-coast,2001,24 May,Thursday,Ascension Day,Public Holiday
ivory-coast,2001,4 Jun,Monday,Whit Monday,Public Holiday
ivory-coast,2001,4 Jun,Monday,The Day After Prophet's Birthday,Public Holiday
ivory-coast,2001,21 Jun,Thursday,June Solstice,Season
ivory-coast,2001,7 Aug,Tuesday,Independence Day,Public Holiday
ivory-coast,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
ivory-coast,2001,22 Sep,Saturday,September Equinox,Season
ivory-coast,2001,1 Nov,Thursday,All Saints Day,Public Holiday
ivory-coast,2001,15 Nov,Thursday,National Peace Day,Public Holiday
ivory-coast,2001,13 Dec,Thursday,Day After Laila tou-Kadr,Public Holiday
ivory-coast,2001,17 Dec,Monday,Aid el-Fitr,Public Holiday
ivory-coast,2001,21 Dec,Friday,December Solstice,Season
ivory-coast,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
ivory-coast,2002,1 Jan,Tuesday,New Year,Public Holiday
ivory-coast,2002,23 Feb,Saturday,Aid el-Kebir,Public Holiday
ivory-coast,2002,20 Mar,Wednesday,March Equinox,Season
