Geo,Event Year,Date,Day,Name,Type
japan,2000,1 Jan,Saturday,New Year's Day,National holiday
japan,2000,1 Jan,Saturday,January 1 Bank Holiday,Bank holiday
japan,2000,2 Jan,Sunday,January 2 Bank Holiday,Bank holiday
japan,2000,3 Jan,Monday,January 3 Bank Holiday,Bank holiday
japan,2000,10 Jan,Monday,Coming of Age Day,National holiday
japan,2000,3 Feb,Thursday,Setsubun,Observance
japan,2000,11 Feb,Friday,National Foundation Day,National holiday
japan,2000,14 Feb,Monday,Valentine's Day,Observance
japan,2000,3 Mar,Friday,Dolls' Festival/Girls' Festival,Observance
japan,2000,20 Mar,Monday,Spring Equinox,National holiday
japan,2000,20 Mar,Monday,March Equinox,Season
japan,2000,29 Apr,Saturday,Greenery Day,National holiday
japan,2000,3 May,Wednesday,Constitution Memorial Day,National holiday
japan,2000,4 May,Thursday,Between Day,National holiday
japan,2000,5 May,Friday,Children's Day,National holiday
japan,2000,14 May,Sunday,Mother's Day,Observance
japan,2000,21 Jun,Wednesday,June Solstice,Season
japan,2000,7 Jul,Friday,Star Festival,Observance
japan,2000,20 Jul,Thursday,Sea Day,National holiday
japan,2000,6 Aug,Sunday,Hiroshima Memorial Day,Observance
japan,2000,9 Aug,Wednesday,Nagasaki Memorial Day,Observance
japan,2000,15 Sep,Friday,Respect for the Aged Day,National holiday
japan,2000,23 Sep,Saturday,Autumn Equinox,National holiday
japan,2000,23 Sep,Saturday,September Equinox,Season
japan,2000,9 Oct,Monday,Health and Sports Day,National holiday
japan,2000,3 Nov,Friday,Culture Day,National holiday
japan,2000,15 Nov,Wednesday,7-5-3 Day,Observance
japan,2000,23 Nov,Thursday,Labor Thanksgiving Day,National holiday
japan,2000,21 Dec,Thursday,December Solstice,Season
japan,2000,23 Dec,Saturday,Emperor's Birthday,National holiday
japan,2000,25 Dec,Monday,Christmas,Observance
japan,2000,31 Dec,Sunday,December 31 Bank Holiday,Bank holiday
japan,2001,1 Jan,Monday,New Year's Day,National holiday
japan,2001,1 Jan,Monday,January 1 Bank Holiday,Bank holiday
japan,2001,2 Jan,Tuesday,January 2 Bank Holiday,Bank holiday
japan,2001,3 Jan,Wednesday,January 3 Bank Holiday,Bank holiday
japan,2001,8 Jan,Monday,Coming of Age Day,National holiday
japan,2001,3 Feb,Saturday,Setsubun,Observance
japan,2001,11 Feb,Sunday,National Foundation Day,National holiday
japan,2001,12 Feb,Monday,National Foundation Day observed,National holiday
japan,2001,14 Feb,Wednesday,Valentine's Day,Observance
japan,2001,3 Mar,Saturday,Dolls' Festival/Girls' Festival,Observance
japan,2001,20 Mar,Tuesday,Spring Equinox,National holiday
japan,2001,20 Mar,Tuesday,March Equinox,Season
japan,2001,29 Apr,Sunday,Greenery Day,National holiday
japan,2001,30 Apr,Monday,Greenery Day observed,National holiday
japan,2001,3 May,Thursday,Constitution Memorial Day,National holiday
japan,2001,4 May,Friday,Between Day,National holiday
japan,2001,5 May,Saturday,Children's Day,National holiday
japan,2001,13 May,Sunday,Mother's Day,Observance
japan,2001,21 Jun,Thursday,June Solstice,Season
japan,2001,7 Jul,Saturday,Star Festival,Observance
japan,2001,20 Jul,Friday,Sea Day,National holiday
japan,2001,6 Aug,Monday,Hiroshima Memorial Day,Observance
japan,2001,9 Aug,Thursday,Nagasaki Memorial Day,Observance
japan,2001,15 Sep,Saturday,Respect for the Aged Day,National holiday
japan,2001,23 Sep,Sunday,Autumn Equinox,National holiday
japan,2001,23 Sep,Sunday,September Equinox,Season
japan,2001,24 Sep,Monday,Autumn Equinox observed,National holiday
japan,2001,8 Oct,Monday,Health and Sports Day,National holiday
japan,2001,3 Nov,Saturday,Culture Day,National holiday
japan,2001,15 Nov,Thursday,7-5-3 Day,Observance
japan,2001,23 Nov,Friday,Labor Thanksgiving Day,National holiday
japan,2001,22 Dec,Saturday,December Solstice,Season
japan,2001,23 Dec,Sunday,Emperor's Birthday,National holiday
japan,2001,24 Dec,Monday,Emperor's Birthday observed,National holiday
japan,2001,25 Dec,Tuesday,Christmas,Observance
japan,2001,31 Dec,Monday,December 31 Bank Holiday,Bank holiday
japan,2002,1 Jan,Tuesday,New Year's Day,National holiday
japan,2002,1 Jan,Tuesday,January 1 Bank Holiday,Bank holiday
japan,2002,2 Jan,Wednesday,January 2 Bank Holiday,Bank holiday
japan,2002,3 Jan,Thursday,January 3 Bank Holiday,Bank holiday
japan,2002,14 Jan,Monday,Coming of Age Day,National holiday
japan,2002,3 Feb,Sunday,Setsubun,Observance
japan,2002,11 Feb,Monday,National Foundation Day,National holiday
japan,2002,14 Feb,Thursday,Valentine's Day,Observance
japan,2002,3 Mar,Sunday,Dolls' Festival/Girls' Festival,Observance
japan,2002,21 Mar,Thursday,Spring Equinox,National holiday
japan,2002,21 Mar,Thursday,March Equinox,Season
japan,2002,29 Apr,Monday,Greenery Day,National holiday
japan,2002,3 May,Friday,Constitution Memorial Day,National holiday
japan,2002,4 May,Saturday,Between Day,National holiday
japan,2002,5 May,Sunday,Children's Day,National holiday
japan,2002,6 May,Monday,Children's Day observed,National holiday
japan,2002,12 May,Sunday,Mother's Day,Observance
japan,2002,21 Jun,Friday,June Solstice,Season
japan,2002,7 Jul,Sunday,Star Festival,Observance
japan,2002,20 Jul,Saturday,Sea Day,National holiday
japan,2002,6 Aug,Tuesday,Hiroshima Memorial Day,Observance
japan,2002,9 Aug,Friday,Nagasaki Memorial Day,Observance
japan,2002,15 Sep,Sunday,Respect for the Aged Day,National holiday
japan,2002,16 Sep,Monday,Respect for the Aged Day observed,National holiday
japan,2002,23 Sep,Monday,Autumn Equinox,National holiday
japan,2002,23 Sep,Monday,September Equinox,Season
japan,2002,14 Oct,Monday,Health and Sports Day,National holiday
japan,2002,3 Nov,Sunday,Culture Day,National holiday
