Geo,Event Year,Date,Day,Name,Type
jordan,2000,1 Jan,Saturday,New Year's Day,National holiday
jordan,2000,8 Jan,Saturday,Eid al-Fitr,National holiday
jordan,2000,30 Jan,Sunday,King Abdullah's Birthday,National holiday
jordan,2000,16 Mar,Thursday,Eid al-Adha,National holiday
jordan,2000,20 Mar,Monday,March Equinox,Season
jordan,2000,6 Apr,Thursday,Muharram/New Year,National holiday
jordan,2000,16 Apr,Sunday,Palm Sunday,Optional Holiday
jordan,2000,21 Apr,Friday,Good Friday,Observance
jordan,2000,23 Apr,Sunday,Easter Sunday,Observance
jordan,2000,24 Apr,Monday,Easter Monday,Observance
jordan,2000,28 Apr,Friday,Orthodox Good Friday,Observance
jordan,2000,30 Apr,Sunday,Orthodox Easter Day,Optional Holiday
jordan,2000,1 May,Monday,Labour Day,National holiday
jordan,2000,1 May,Monday,Orthodox Easter Monday,Optional Holiday
jordan,2000,25 May,Thursday,Independence Day,National holiday
jordan,2000,9 Jun,Friday,King Abdullah's accession to the throne,National holiday
jordan,2000,15 Jun,Thursday,Prophet's Birthday,National holiday
jordan,2000,21 Jun,Wednesday,June Solstice,Season
jordan,2000,22 Sep,Friday,September Equinox,Season
jordan,2000,25 Oct,Wednesday,Al Isra' wal Miraj,National holiday
jordan,2000,14 Nov,Tuesday,Loyalty to Hussein's day,National holiday
jordan,2000,28 Nov,Tuesday,Ramadan begins,Observance
jordan,2000,21 Dec,Thursday,December Solstice,Season
jordan,2000,25 Dec,Monday,Christmas Day,National holiday
jordan,2000,26 Dec,Tuesday,Boxing Day,Optional Holiday
jordan,2000,28 Dec,Thursday,Eid al-Fitr,National holiday
jordan,2001,1 Jan,Monday,New Year's Day,National holiday
jordan,2001,30 Jan,Tuesday,King Abdullah's Birthday,National holiday
jordan,2001,6 Mar,Tuesday,Eid al-Adha,National holiday
jordan,2001,20 Mar,Tuesday,March Equinox,Season
jordan,2001,26 Mar,Monday,Muharram/New Year,National holiday
jordan,2001,8 Apr,Sunday,Palm Sunday,Optional Holiday
jordan,2001,13 Apr,Friday,Orthodox Good Friday,Observance
jordan,2001,13 Apr,Friday,Good Friday,Observance
jordan,2001,15 Apr,Sunday,Easter Sunday,Observance
jordan,2001,15 Apr,Sunday,Orthodox Easter Day,Optional Holiday
jordan,2001,16 Apr,Monday,Easter Monday,Observance
jordan,2001,16 Apr,Monday,Orthodox Easter Monday,Optional Holiday
jordan,2001,1 May,Tuesday,Labour Day,National holiday
jordan,2001,25 May,Friday,Independence Day,National holiday
jordan,2001,4 Jun,Monday,Prophet's Birthday,National holiday
jordan,2001,9 Jun,Saturday,King Abdullah's accession to the throne,National holiday
jordan,2001,21 Jun,Thursday,June Solstice,Season
jordan,2001,23 Sep,Sunday,September Equinox,Season
jordan,2001,14 Oct,Sunday,Al Isra' wal Miraj,National holiday
jordan,2001,14 Nov,Wednesday,Loyalty to Hussein's day,National holiday
jordan,2001,16 Nov,Friday,Ramadan begins,Observance
jordan,2001,17 Dec,Monday,Eid al-Fitr,National holiday
jordan,2001,21 Dec,Friday,December Solstice,Season
jordan,2001,25 Dec,Tuesday,Christmas Day,National holiday
jordan,2001,26 Dec,Wednesday,Boxing Day,Optional Holiday
jordan,2002,1 Jan,Tuesday,New Year's Day,National holiday
jordan,2002,30 Jan,Wednesday,King Abdullah's Birthday,National holiday
jordan,2002,23 Feb,Saturday,Eid al-Adha,National holiday
jordan,2002,15 Mar,Friday,Muharram/New Year,National holiday
jordan,2002,20 Mar,Wednesday,March Equinox,Season
jordan,2002,24 Mar,Sunday,Palm Sunday,Optional Holiday
jordan,2002,29 Mar,Friday,Good Friday,Observance
jordan,2002,31 Mar,Sunday,Easter Sunday,Observance
jordan,2002,1 Apr,Monday,Easter Monday,Observance
jordan,2002,1 May,Wednesday,Labour Day,National holiday
jordan,2002,3 May,Friday,Orthodox Good Friday,Observance
jordan,2002,5 May,Sunday,Orthodox Easter Day,Optional Holiday
jordan,2002,6 May,Monday,Orthodox Easter Monday,Optional Holiday
jordan,2002,24 May,Friday,Prophet's Birthday,National holiday
jordan,2002,25 May,Saturday,Independence Day,National holiday
jordan,2002,9 Jun,Sunday,King Abdullah's accession to the throne,National holiday
jordan,2002,21 Jun,Friday,June Solstice,Season
jordan,2002,23 Sep,Monday,September Equinox,Season
jordan,2002,3 Oct,Thursday,Al Isra' wal Miraj,National holiday
jordan,2002,6 Nov,Wednesday,Ramadan begins,Observance
jordan,2002,14 Nov,Thursday,Loyalty to Hussein's day,National holiday
jordan,2002,6 Dec,Friday,Eid al-Fitr,National holiday
jordan,2002,22 Dec,Sunday,December Solstice,Season
jordan,2002,25 Dec,Wednesday,Christmas Day,National holiday
jordan,2002,26 Dec,Thursday,Boxing Day,Optional Holiday
jordan,2003,1 Jan,Wednesday,New Year's Day,National holiday
jordan,2003,30 Jan,Thursday,King Abdullah's Birthday,National holiday
jordan,2003,12 Feb,Wednesday,Eid al-Adha,National holiday
jordan,2003,5 Mar,Wednesday,Muharram/New Year,National holiday
jordan,2003,21 Mar,Friday,March Equinox,Season
jordan,2003,13 Apr,Sunday,Palm Sunday,Optional Holiday
jordan,2003,18 Apr,Friday,Good Friday,Observance
jordan,2003,20 Apr,Sunday,Easter Sunday,Observance
jordan,2003,21 Apr,Monday,Easter Monday,Observance
jordan,2003,25 Apr,Friday,Orthodox Good Friday,Observance
jordan,2003,27 Apr,Sunday,Orthodox Easter Day,Optional Holiday
jordan,2003,28 Apr,Monday,Orthodox Easter Monday,Optional Holiday
jordan,2003,1 May,Thursday,Labour Day,National holiday
jordan,2003,14 May,Wednesday,Prophet's Birthday,National holiday
jordan,2003,25 May,Sunday,Independence Day,National holiday
jordan,2003,9 Jun,Monday,King Abdullah's accession to the throne,National holiday
jordan,2003,21 Jun,Saturday,June Solstice,Season
jordan,2003,23 Sep,Tuesday,Al Isra' wal Miraj,National holiday
jordan,2003,23 Sep,Tuesday,September Equinox,Season
jordan,2003,26 Oct,Sunday,Ramadan begins,Observance
jordan,2003,14 Nov,Friday,Loyalty to Hussein's day,National holiday
jordan,2003,26 Nov,Wednesday,Eid al-Fitr,National holiday
jordan,2003,22 Dec,Monday,December Solstice,Season
jordan,2003,25 Dec,Thursday,Christmas Day,National holiday
jordan,2003,26 Dec,Friday,Boxing Day,Optional Holiday
jordan,2004,1 Jan,Thursday,New Year's Day,National holiday
jordan,2004,30 Jan,Friday,King Abdullah's Birthday,National holiday
jordan,2004,2 Feb,Monday,Eid al-Adha,National holiday
jordan,2004,22 Feb,Sunday,Muharram/New Year,National holiday
jordan,2004,20 Mar,Saturday,March Equinox,Season
jordan,2004,4 Apr,Sunday,Palm Sunday,Optional Holiday
jordan,2004,9 Apr,Friday,Orthodox Good Friday,Observance
jordan,2004,9 Apr,Friday,Good Friday,Observance
jordan,2004,11 Apr,Sunday,Easter Sunday,Observance
jordan,2004,11 Apr,Sunday,Orthodox Easter Day,Optional Holiday
jordan,2004,12 Apr,Monday,Easter Monday,Observance
jordan,2004,12 Apr,Monday,Orthodox Easter Monday,Optional Holiday
jordan,2004,1 May,Saturday,Labour Day,National holiday
jordan,2004,2 May,Sunday,Prophet's Birthday,National holiday
jordan,2004,25 May,Tuesday,Independence Day,National holiday
jordan,2004,9 Jun,Wednesday,King Abdullah's accession to the throne,National holiday
jordan,2004,21 Jun,Monday,June Solstice,Season
jordan,2004,11 Sep,Saturday,Al Isra' wal Miraj,National holiday
jordan,2004,22 Sep,Wednesday,September Equinox,Season
jordan,2004,16 Oct,Saturday,Ramadan begins,Observance
jordan,2004,14 Nov,Sunday,Loyalty to Hussein's day,National holiday
jordan,2004,14 Nov,Sunday,Eid al-Fitr,National holiday
