Geo,Event Year,Date,Day,Name,Type
kazakhstan,2012,1 Jan,Sunday,New Year's Day,Public holiday
kazakhstan,2012,2 Jan,Monday,New Year Holiday,Public holiday
kazakhstan,2012,3 Jan,Tuesday,Day off for New Year's Day,Public holiday
kazakhstan,2012,7 Jan,Saturday,Orthodox Christmas Day,Public holiday
kazakhstan,2012,8 Mar,Thursday,International Women's Day,Public holiday
kazakhstan,2012,20 Mar,Tuesday,March Equinox,Season
kazakhstan,2012,21 Mar,Wednesday,Nauryz,Public holiday
kazakhstan,2012,22 Mar,Thursday,Nauryz Holiday,Public holiday
kazakhstan,2012,23 Mar,Friday,Nauryz Holiday,Public holiday
kazakhstan,2012,1 May,Tuesday,Unity Day,Public holiday
kazakhstan,2012,9 May,Wednesday,Victory Day,Public holiday
kazakhstan,2012,21 Jun,Thursday,June Solstice,Season
kazakhstan,2012,6 Jul,Friday,Day of the Capital,Public holiday
kazakhstan,2012,30 Aug,Thursday,Constitution Day,Public holiday
kazakhstan,2012,22 Sep,Saturday,September Equinox,Season
kazakhstan,2012,26 Oct,Friday,Kurban Ait,Public holiday
kazakhstan,2012,1 Dec,Saturday,Day of the First President of the Republic of Kazakhstan,Public holiday
kazakhstan,2012,3 Dec,Monday,Day off for Day of the First President of the Republic of Kazakhstan,Public holiday
kazakhstan,2012,16 Dec,Sunday,Independence Day,Public holiday
kazakhstan,2012,17 Dec,Monday,Independence Day observed,Public holiday
kazakhstan,2012,17 Dec,Monday,Independence Day Holiday,Public holiday
kazakhstan,2012,21 Dec,Friday,December Solstice,Season
kazakhstan,2012,31 Dec,Monday,New Year's Eve,Observance
kazakhstan,2013,1 Jan,Tuesday,New Year's Day,Public holiday
kazakhstan,2013,2 Jan,Wednesday,New Year Holiday,Public holiday
kazakhstan,2013,7 Jan,Monday,Orthodox Christmas Day,Public holiday
kazakhstan,2013,8 Mar,Friday,International Women's Day,Public holiday
kazakhstan,2013,20 Mar,Wednesday,March Equinox,Season
kazakhstan,2013,21 Mar,Thursday,Nauryz,Public holiday
kazakhstan,2013,22 Mar,Friday,Nauryz Holiday,Public holiday
kazakhstan,2013,23 Mar,Saturday,Nauryz Holiday,Public holiday
kazakhstan,2013,25 Mar,Monday,Nauryz Holiday observed,Public holiday
kazakhstan,2013,1 May,Wednesday,Unity Day,Public holiday
kazakhstan,2013,7 May,Tuesday,Defender of the Fatherland Day,Public holiday
kazakhstan,2013,9 May,Thursday,Victory Day,Public holiday
kazakhstan,2013,10 May,Friday,One-off Public Holiday,Public holiday
kazakhstan,2013,21 Jun,Friday,June Solstice,Season
kazakhstan,2013,6 Jul,Saturday,Day of the Capital,Public holiday
kazakhstan,2013,8 Jul,Monday,Day off for Day of the Capital,Public holiday
kazakhstan,2013,30 Aug,Friday,Constitution Day,Public holiday
kazakhstan,2013,23 Sep,Monday,September Equinox,Season
kazakhstan,2013,15 Oct,Tuesday,Kurban Ait,Public holiday
kazakhstan,2013,1 Dec,Sunday,Day of the First President of the Republic of Kazakhstan,Public holiday
kazakhstan,2013,2 Dec,Monday,Day off for Day of the First President of the Republic of Kazakhstan,Public holiday
kazakhstan,2013,16 Dec,Monday,Independence Day,Public holiday
kazakhstan,2013,17 Dec,Tuesday,Independence Day Holiday,Public holiday
kazakhstan,2013,21 Dec,Saturday,December Solstice,Season
kazakhstan,2013,31 Dec,Tuesday,New Year's Eve,Observance
kazakhstan,2014,1 Jan,Wednesday,New Year's Day,Public holiday
kazakhstan,2014,2 Jan,Thursday,New Year Holiday,Public holiday
kazakhstan,2014,7 Jan,Tuesday,Orthodox Christmas Day,Public holiday
kazakhstan,2014,8 Mar,Saturday,International Women's Day,Public holiday
