Geo,Event Year,Date,Day,Name,Type
kenya,2012,1 Jan,Sunday,New Year's Day,Public holiday
kenya,2012,2 Jan,Monday,New Year's Day observed,Public holiday
kenya,2012,20 Mar,Tuesday,March Equinox,Season
kenya,2012,6 Apr,Friday,Good Friday,Public holiday
kenya,2012,8 Apr,Sunday,Easter Sunday,Observance
kenya,2012,9 Apr,Monday,Easter Monday,Public holiday
kenya,2012,1 May,Tuesday,Labour Day/May Day,Public holiday
kenya,2012,13 May,Sunday,Mother's Day,Observance
kenya,2012,1 Jun,Friday,Madaraka Day,Public holiday
kenya,2012,21 Jun,Thursday,June Solstice,Season
kenya,2012,20 Aug,Monday,Idd ul-Fitr,Public holiday
kenya,2012,22 Sep,Saturday,September Equinox,Season
kenya,2012,20 Oct,Saturday,Mashujaa Day,Public holiday
kenya,2012,12 Dec,Wednesday,Jamhuri Day,Public holiday
kenya,2012,21 Dec,Friday,December Solstice,Season
kenya,2012,24 Dec,Monday,Christmas Eve,Observance
kenya,2012,25 Dec,Tuesday,Christmas Day,Public holiday
kenya,2012,26 Dec,Wednesday,Boxing Day,Public holiday
kenya,2012,31 Dec,Monday,New Year's Eve,Observance
kenya,2013,1 Jan,Tuesday,New Year's Day,Public holiday
kenya,2013,20 Mar,Wednesday,March Equinox,Season
kenya,2013,29 Mar,Friday,Good Friday,Public holiday
kenya,2013,31 Mar,Sunday,Easter Sunday,Observance
kenya,2013,1 Apr,Monday,Easter Monday,Public holiday
kenya,2013,1 May,Wednesday,Labour Day/May Day,Public holiday
kenya,2013,12 May,Sunday,Mother's Day,Observance
kenya,2013,1 Jun,Saturday,Madaraka Day,Public holiday
kenya,2013,21 Jun,Friday,June Solstice,Season
kenya,2013,9 Aug,Friday,Idd ul-Fitr,Public holiday
kenya,2013,22 Sep,Sunday,September Equinox,Season
kenya,2013,20 Oct,Sunday,Mashujaa Day,Public holiday
kenya,2013,21 Oct,Monday,Mashujaa Day observed,Public holiday
kenya,2013,12 Dec,Thursday,Jamhuri Day,Public holiday
kenya,2013,21 Dec,Saturday,December Solstice,Season
kenya,2013,24 Dec,Tuesday,Christmas Eve,Observance
kenya,2013,25 Dec,Wednesday,Christmas Day,Public holiday
kenya,2013,26 Dec,Thursday,Boxing Day,Public holiday
kenya,2013,31 Dec,Tuesday,New Year's Eve,Observance
