Geo,Event Year,Date,Day,Name,Type
kuwait,2011,1 Jan,Saturday,New Year's Day,Official holiday
kuwait,2011,15 Feb,Tuesday,The Prophet's Birthday,Official holiday
kuwait,2011,25 Feb,Friday,National Day,Official holiday
kuwait,2011,26 Feb,Saturday,Liberation Day,Official holiday
kuwait,2011,21 Mar,Monday,March Equinox,Season
kuwait,2011,21 Jun,Tuesday,June Solstice,Season
kuwait,2011,29 Jun,Wednesday,Isra and Miraj,Official holiday
kuwait,2011,30 Aug,Tuesday,Eid al-Fitr,Official holiday
kuwait,2011,31 Aug,Wednesday,Eid al-Fitr holiday,Official holiday
kuwait,2011,1 Sep,Thursday,Eid al-Fitr holiday,Official holiday
kuwait,2011,23 Sep,Friday,September Equinox,Season
kuwait,2011,5 Nov,Saturday,Waqfat Arafat Day,Official holiday
kuwait,2011,6 Nov,Sunday,Eid al-Adha,Official holiday
kuwait,2011,7 Nov,Monday,Eid al-Adha holiday,Official holiday
kuwait,2011,8 Nov,Tuesday,Eid al-Adha holiday,Official holiday
kuwait,2011,26 Nov,Saturday,Islamic New Year,Official holiday
kuwait,2011,22 Dec,Thursday,December Solstice,Season
kuwait,2011,31 Dec,Saturday,New Year's Eve,Observance
kuwait,2012,1 Jan,Sunday,New Year's Day,Official holiday
kuwait,2012,5 Feb,Sunday,The Prophet's Birthday,Official holiday
kuwait,2012,25 Feb,Saturday,National Day,Official holiday
kuwait,2012,26 Feb,Sunday,Liberation Day,Official holiday
kuwait,2012,27 Feb,Monday,National Day holiday,Official holiday
kuwait,2012,20 Mar,Tuesday,March Equinox,Season
kuwait,2012,17 Jun,Sunday,Isra and Miraj,Official holiday
kuwait,2012,21 Jun,Thursday,June Solstice,Season
kuwait,2012,19 Aug,Sunday,Eid al-Fitr,Official holiday
kuwait,2012,20 Aug,Monday,Eid al-Fitr holiday,Official holiday
kuwait,2012,21 Aug,Tuesday,Eid al-Fitr holiday,Official holiday
kuwait,2012,22 Sep,Saturday,September Equinox,Season
kuwait,2012,25 Oct,Thursday,Waqfat Arafat Day,Official holiday
kuwait,2012,26 Oct,Friday,Eid al-Adha,Official holiday
kuwait,2012,27 Oct,Saturday,Eid al-Adha holiday,Official holiday
kuwait,2012,28 Oct,Sunday,Eid al-Adha holiday,Official holiday
kuwait,2012,29 Oct,Monday,Eid al-Adha holiday,Official holiday
