Geo,Event Year,Date,Day,Name,Type
kyrgyzstan,2000,1 Jan,Saturday,New Year,Public Holiday
kyrgyzstan,2000,3 Jan,Monday,Day off for New Year,Public Holiday
kyrgyzstan,2000,7 Jan,Friday,Orthodox Christmas Day,Public Holiday
kyrgyzstan,2000,8 Jan,Saturday,Orozo Ait,Public Holiday
kyrgyzstan,2000,10 Jan,Monday,Day off for Orozo Ait,Public Holiday
kyrgyzstan,2000,23 Feb,Wednesday,Defender of the Fatherland Day,Public Holiday
kyrgyzstan,2000,8 Mar,Wednesday,International Women's Day,Public Holiday
kyrgyzstan,2000,16 Mar,Thursday,Kurman Ait,Public Holiday
kyrgyzstan,2000,20 Mar,Monday,March Equinox,Season
kyrgyzstan,2000,21 Mar,Tuesday,"National Holiday ""Nooruz""",Public Holiday
kyrgyzstan,2000,1 May,Monday,May Day,Public Holiday
kyrgyzstan,2000,5 May,Friday,Constitution Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2000,9 May,Tuesday,Victory Day,Public Holiday
kyrgyzstan,2000,21 Jun,Wednesday,June Solstice,Season
kyrgyzstan,2000,31 Aug,Thursday,Independence Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2000,22 Sep,Friday,September Equinox,Season
kyrgyzstan,2000,7 Nov,Tuesday,Day of the Great October Socialist Revolution,Public Holiday
kyrgyzstan,2000,21 Dec,Thursday,December Solstice,Season
kyrgyzstan,2000,28 Dec,Thursday,Orozo Ait,Public Holiday
kyrgyzstan,2001,1 Jan,Monday,New Year,Public Holiday
kyrgyzstan,2001,7 Jan,Sunday,Orthodox Christmas Day,Public Holiday
kyrgyzstan,2001,8 Jan,Monday,Day off for Orthodox Christmas Day,Public Holiday
kyrgyzstan,2001,23 Feb,Friday,Defender of the Fatherland Day,Public Holiday
kyrgyzstan,2001,6 Mar,Tuesday,Kurman Ait,Public Holiday
kyrgyzstan,2001,8 Mar,Thursday,International Women's Day,Public Holiday
kyrgyzstan,2001,20 Mar,Tuesday,March Equinox,Season
kyrgyzstan,2001,21 Mar,Wednesday,"National Holiday ""Nooruz""",Public Holiday
kyrgyzstan,2001,1 May,Tuesday,May Day,Public Holiday
kyrgyzstan,2001,5 May,Saturday,Constitution Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2001,7 May,Monday,Day off for Constitution Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2001,9 May,Wednesday,Victory Day,Public Holiday
kyrgyzstan,2001,21 Jun,Thursday,June Solstice,Season
kyrgyzstan,2001,31 Aug,Friday,Independence Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2001,23 Sep,Sunday,September Equinox,Season
kyrgyzstan,2001,7 Nov,Wednesday,Day of the Great October Socialist Revolution,Public Holiday
kyrgyzstan,2001,17 Dec,Monday,Orozo Ait,Public Holiday
kyrgyzstan,2001,22 Dec,Saturday,December Solstice,Season
kyrgyzstan,2002,1 Jan,Tuesday,New Year,Public Holiday
kyrgyzstan,2002,7 Jan,Monday,Orthodox Christmas Day,Public Holiday
kyrgyzstan,2002,23 Feb,Saturday,Kurman Ait,Public Holiday
kyrgyzstan,2002,23 Feb,Saturday,Defender of the Fatherland Day,Public Holiday
kyrgyzstan,2002,25 Feb,Monday,Day off for Kurman Ait,Public Holiday
kyrgyzstan,2002,25 Feb,Monday,Day off for Defender of the Fatherland Day,Public Holiday
kyrgyzstan,2002,8 Mar,Friday,International Women's Day,Public Holiday
kyrgyzstan,2002,21 Mar,Thursday,"National Holiday ""Nooruz""",Public Holiday
kyrgyzstan,2002,21 Mar,Thursday,March Equinox,Season
kyrgyzstan,2002,1 May,Wednesday,May Day,Public Holiday
kyrgyzstan,2002,5 May,Sunday,Constitution Day of the Kyrgyz Republic,Public Holiday
kyrgyzstan,2002,6 May,Monday,Day off for Constitution Day of the Kyrgyz Republic,Public Holiday
