Geo,Event Year,Date,Day,Name,Type
laos,2000,1 Jan,Saturday,New Year's Day,Public Holiday
laos,2000,8 Mar,Wednesday,International Women's Day (Women Only),Public Holiday
laos,2000,20 Mar,Monday,March Equinox,Season
laos,2000,1 May,Monday,Labor Day / May Day,Public Holiday
laos,2000,1 Jun,Thursday,Children's Day,Public Holiday
laos,2000,21 Jun,Wednesday,June Solstice,Season
laos,2000,23 Sep,Saturday,September Equinox,Season
laos,2000,2 Dec,Saturday,National Day,Public Holiday
laos,2000,21 Dec,Thursday,December Solstice,Season
laos,2001,1 Jan,Monday,New Year's Day,Public Holiday
laos,2001,8 Mar,Thursday,International Women's Day (Women Only),Public Holiday
laos,2001,20 Mar,Tuesday,March Equinox,Season
laos,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
laos,2001,1 Jun,Friday,Children's Day,Public Holiday
laos,2001,21 Jun,Thursday,June Solstice,Season
laos,2001,23 Sep,Sunday,September Equinox,Season
laos,2001,2 Dec,Sunday,National Day,Public Holiday
laos,2001,22 Dec,Saturday,December Solstice,Season
laos,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
laos,2002,8 Mar,Friday,International Women's Day (Women Only),Public Holiday
laos,2002,21 Mar,Thursday,March Equinox,Season
laos,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
laos,2002,1 Jun,Saturday,Children's Day,Public Holiday
laos,2002,21 Jun,Friday,June Solstice,Season
laos,2002,23 Sep,Monday,September Equinox,Season
laos,2002,2 Dec,Monday,National Day,Public Holiday
laos,2002,22 Dec,Sunday,December Solstice,Season
laos,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
laos,2003,8 Mar,Saturday,International Women's Day (Women Only),Public Holiday
laos,2003,21 Mar,Friday,March Equinox,Season
laos,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
laos,2003,1 Jun,Sunday,Children's Day,Public Holiday
laos,2003,22 Jun,Sunday,June Solstice,Season
laos,2003,23 Sep,Tuesday,September Equinox,Season
laos,2003,2 Dec,Tuesday,National Day,Public Holiday
laos,2003,22 Dec,Monday,December Solstice,Season
laos,2004,1 Jan,Thursday,New Year's Day,Public Holiday
laos,2004,8 Mar,Monday,International Women's Day (Women Only),Public Holiday
laos,2004,20 Mar,Saturday,March Equinox,Season
laos,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
laos,2004,1 Jun,Tuesday,Children's Day,Public Holiday
laos,2004,21 Jun,Monday,June Solstice,Season
laos,2004,22 Sep,Wednesday,September Equinox,Season
laos,2004,2 Dec,Thursday,National Day,Public Holiday
laos,2004,21 Dec,Tuesday,December Solstice,Season
laos,2005,1 Jan,Saturday,New Year's Day,Public Holiday
laos,2005,8 Mar,Tuesday,International Women's Day (Women Only),Public Holiday
laos,2005,20 Mar,Sunday,March Equinox,Season
laos,2005,1 May,Sunday,Labor Day / May Day,Public Holiday
laos,2005,1 Jun,Wednesday,Children's Day,Public Holiday
laos,2005,21 Jun,Tuesday,June Solstice,Season
laos,2005,23 Sep,Friday,September Equinox,Season
laos,2005,2 Dec,Friday,National Day,Public Holiday
laos,2005,22 Dec,Thursday,December Solstice,Season
laos,2006,1 Jan,Sunday,New Year's Day,Public Holiday
laos,2006,8 Mar,Wednesday,International Women's Day (Women Only),Public Holiday
laos,2006,21 Mar,Tuesday,March Equinox,Season
laos,2006,1 May,Monday,Labor Day / May Day,Public Holiday
laos,2006,1 Jun,Thursday,Children's Day,Public Holiday
laos,2006,21 Jun,Wednesday,June Solstice,Season
laos,2006,23 Sep,Saturday,September Equinox,Season
laos,2006,2 Dec,Saturday,National Day,Public Holiday
laos,2006,22 Dec,Friday,December Solstice,Season
laos,2007,1 Jan,Monday,New Year's Day,Public Holiday
laos,2007,8 Mar,Thursday,International Women's Day (Women Only),Public Holiday
laos,2007,21 Mar,Wednesday,March Equinox,Season
laos,2007,1 May,Tuesday,Labor Day / May Day,Public Holiday
laos,2007,1 Jun,Friday,Children's Day,Public Holiday
laos,2007,22 Jun,Friday,June Solstice,Season
laos,2007,23 Sep,Sunday,September Equinox,Season
laos,2007,2 Dec,Sunday,National Day,Public Holiday
laos,2007,22 Dec,Saturday,December Solstice,Season
laos,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
laos,2008,8 Mar,Saturday,International Women's Day (Women Only),Public Holiday
laos,2008,20 Mar,Thursday,March Equinox,Season
laos,2008,1 May,Thursday,Labor Day / May Day,Public Holiday
laos,2008,1 Jun,Sunday,Children's Day,Public Holiday
laos,2008,21 Jun,Saturday,June Solstice,Season
laos,2008,22 Sep,Monday,September Equinox,Season
laos,2008,2 Dec,Tuesday,National Day,Public Holiday
laos,2008,21 Dec,Sunday,December Solstice,Season
laos,2009,1 Jan,Thursday,New Year's Day,Public Holiday
laos,2009,8 Mar,Sunday,International Women's Day (Women Only),Public Holiday
laos,2009,20 Mar,Friday,March Equinox,Season
laos,2009,1 May,Friday,Labor Day / May Day,Public Holiday
laos,2009,1 Jun,Monday,Children's Day,Public Holiday
laos,2009,21 Jun,Sunday,June Solstice,Season
laos,2009,23 Sep,Wednesday,September Equinox,Season
laos,2009,2 Dec,Wednesday,National Day,Public Holiday
laos,2009,22 Dec,Tuesday,December Solstice,Season
laos,2010,1 Jan,Friday,New Year's Day,Public Holiday
laos,2010,8 Mar,Monday,International Women's Day (Women Only),Public Holiday
laos,2010,21 Mar,Sunday,March Equinox,Season
laos,2010,1 May,Saturday,Labor Day / May Day,Public Holiday
laos,2010,1 Jun,Tuesday,Children's Day,Public Holiday
laos,2010,21 Jun,Monday,June Solstice,Season
laos,2010,23 Sep,Thursday,September Equinox,Season
laos,2010,2 Dec,Thursday,National Day,Public Holiday
laos,2010,22 Dec,Wednesday,December Solstice,Season
laos,2011,1 Jan,Saturday,New Year's Day,Public Holiday
laos,2011,8 Mar,Tuesday,International Women's Day (Women Only),Public Holiday
laos,2011,21 Mar,Monday,March Equinox,Season
laos,2011,1 May,Sunday,Labor Day / May Day,Public Holiday
laos,2011,1 Jun,Wednesday,Children's Day,Public Holiday
laos,2011,22 Jun,Wednesday,June Solstice,Season
laos,2011,23 Sep,Friday,September Equinox,Season
laos,2011,2 Dec,Friday,National Day,Public Holiday
laos,2011,22 Dec,Thursday,December Solstice,Season
laos,2012,1 Jan,Sunday,New Year's Day,Public Holiday
laos,2012,8 Mar,Thursday,International Women's Day (Women Only),Public Holiday
laos,2012,20 Mar,Tuesday,March Equinox,Season
laos,2012,1 May,Tuesday,Labor Day / May Day,Public Holiday
laos,2012,1 Jun,Friday,Children's Day,Public Holiday
laos,2012,21 Jun,Thursday,June Solstice,Season
laos,2012,22 Sep,Saturday,September Equinox,Season
laos,2012,2 Dec,Sunday,National Day,Public Holiday
laos,2012,21 Dec,Friday,December Solstice,Season
laos,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
laos,2013,8 Mar,Friday,International Women's Day (Women Only),Public Holiday
laos,2013,20 Mar,Wednesday,March Equinox,Season
laos,2013,1 May,Wednesday,Labor Day / May Day,Public Holiday
laos,2013,1 Jun,Saturday,Children's Day,Public Holiday
laos,2013,21 Jun,Friday,June Solstice,Season
laos,2013,23 Sep,Monday,September Equinox,Season
laos,2013,2 Dec,Monday,National Day,Public Holiday
laos,2013,22 Dec,Sunday,December Solstice,Season
laos,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
laos,2014,8 Mar,Saturday,International Women's Day (Women Only),Public Holiday
laos,2014,20 Mar,Thursday,March Equinox,Season
laos,2014,1 May,Thursday,Labor Day / May Day,Public Holiday
laos,2014,1 Jun,Sunday,Children's Day,Public Holiday
laos,2014,21 Jun,Saturday,June Solstice,Season
laos,2014,23 Sep,Tuesday,September Equinox,Season
laos,2014,2 Dec,Tuesday,National Day,Public Holiday
laos,2014,22 Dec,Monday,December Solstice,Season
laos,2015,1 Jan,Thursday,New Year's Day,Public Holiday
laos,2015,8 Mar,Sunday,International Women's Day (Women Only),Public Holiday
laos,2015,21 Mar,Saturday,March Equinox,Season
laos,2015,1 May,Friday,Labor Day / May Day,Public Holiday
laos,2015,1 Jun,Monday,Children's Day,Public Holiday
laos,2015,21 Jun,Sunday,June Solstice,Season
laos,2015,23 Sep,Wednesday,September Equinox,Season
laos,2015,2 Dec,Wednesday,National Day,Public Holiday
laos,2015,22 Dec,Tuesday,December Solstice,Season
laos,2016,1 Jan,Friday,New Year's Day,Public Holiday
laos,2016,8 Mar,Tuesday,International Women's Day (Women Only),Public Holiday
laos,2016,20 Mar,Sunday,March Equinox,Season
laos,2016,13 Apr,Wednesday,Lao New Year,Public Holiday
laos,2016,14 Apr,Thursday,Lao New Year Holiday,Public Holiday
laos,2016,15 Apr,Friday,Lao New Year Holiday,Public Holiday
laos,2016,1 May,Sunday,Labor Day / May Day,Public Holiday
laos,2016,1 Jun,Wednesday,Children's Day,Public Holiday
laos,2016,21 Jun,Tuesday,June Solstice,Season
laos,2016,19 Jul,Tuesday,Khao Pansa,Public Holiday
laos,2016,22 Sep,Thursday,September Equinox,Season
laos,2016,16 Oct,Sunday,Bouk Ok Pansa,Public Holiday
