Geo,Event Year,Date,Day,Name,Type
lesotho,2015,1 Jan,Thursday,New Year,Public Holiday
lesotho,2015,11 Mar,Wednesday,Moshoeshoe's Birthday,Public Holiday
lesotho,2015,21 Mar,Saturday,March Equinox,Season
lesotho,2015,3 Apr,Friday,Good Friday,Public Holiday
lesotho,2015,6 Apr,Monday,Easter Monday,Public Holiday
lesotho,2015,1 May,Friday,May Day,Public Holiday
lesotho,2015,14 May,Thursday,Ascension Day,Public Holiday
lesotho,2015,25 May,Monday,Africa/Heroes Day,Public Holiday
lesotho,2015,21 Jun,Sunday,June Solstice,Season
lesotho,2015,17 Jul,Friday,King's Birthday,Public Holiday
lesotho,2015,23 Sep,Wednesday,September Equinox,Season
lesotho,2015,4 Oct,Sunday,Independence Day,Public Holiday
lesotho,2015,22 Dec,Tuesday,December Solstice,Season
lesotho,2015,25 Dec,Friday,Christmas Day,Public Holiday
lesotho,2015,26 Dec,Saturday,Boxing Day,Public Holiday
lesotho,2016,1 Jan,Friday,New Year,Public Holiday
lesotho,2016,11 Mar,Friday,Moshoeshoe's Birthday,Public Holiday
lesotho,2016,20 Mar,Sunday,March Equinox,Season
lesotho,2016,25 Mar,Friday,Good Friday,Public Holiday
lesotho,2016,28 Mar,Monday,Easter Monday,Public Holiday
lesotho,2016,1 May,Sunday,May Day,Public Holiday
lesotho,2016,5 May,Thursday,Ascension Day,Public Holiday
lesotho,2016,25 May,Wednesday,Africa/Heroes Day,Public Holiday
lesotho,2016,21 Jun,Tuesday,June Solstice,Season
lesotho,2016,17 Jul,Sunday,King's Birthday,Public Holiday
lesotho,2016,22 Sep,Thursday,September Equinox,Season
lesotho,2016,4 Oct,Tuesday,Independence Day,Public Holiday
lesotho,2016,21 Dec,Wednesday,December Solstice,Season
lesotho,2016,25 Dec,Sunday,Christmas Day,Public Holiday
lesotho,2016,26 Dec,Monday,Boxing Day,Public Holiday
lesotho,2017,1 Jan,Sunday,New Year,Public Holiday
lesotho,2017,11 Mar,Saturday,Moshoeshoe's Birthday,Public Holiday
lesotho,2017,20 Mar,Monday,March Equinox,Season
lesotho,2017,14 Apr,Friday,Good Friday,Public Holiday
lesotho,2017,17 Apr,Monday,Easter Monday,Public Holiday
lesotho,2017,1 May,Monday,May Day,Public Holiday
lesotho,2017,25 May,Thursday,Ascension Day,Public Holiday
lesotho,2017,25 May,Thursday,Africa/Heroes Day,Public Holiday
lesotho,2017,21 Jun,Wednesday,June Solstice,Season
lesotho,2017,17 Jul,Monday,King's Birthday,Public Holiday
lesotho,2017,22 Sep,Friday,September Equinox,Season
lesotho,2017,4 Oct,Wednesday,Independence Day,Public Holiday
lesotho,2017,21 Dec,Thursday,December Solstice,Season
lesotho,2017,25 Dec,Monday,Christmas Day,Public Holiday
lesotho,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
lesotho,2018,1 Jan,Monday,New Year,Public Holiday
lesotho,2018,11 Mar,Sunday,Moshoeshoe's Birthday,Public Holiday
lesotho,2018,20 Mar,Tuesday,March Equinox,Season
lesotho,2018,30 Mar,Friday,Good Friday,Public Holiday
lesotho,2018,2 Apr,Monday,Easter Monday,Public Holiday
lesotho,2018,1 May,Tuesday,May Day,Public Holiday
lesotho,2018,10 May,Thursday,Ascension Day,Public Holiday
lesotho,2018,25 May,Friday,Africa/Heroes Day,Public Holiday
lesotho,2018,21 Jun,Thursday,June Solstice,Season
lesotho,2018,17 Jul,Tuesday,King's Birthday,Public Holiday
lesotho,2018,23 Sep,Sunday,September Equinox,Season
lesotho,2018,4 Oct,Thursday,Independence Day,Public Holiday
lesotho,2018,22 Dec,Saturday,December Solstice,Season
lesotho,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
lesotho,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
lesotho,2019,1 Jan,Tuesday,New Year,Public Holiday
lesotho,2019,11 Mar,Monday,Moshoeshoe's Birthday,Public Holiday
lesotho,2019,20 Mar,Wednesday,March Equinox,Season
lesotho,2019,19 Apr,Friday,Good Friday,Public Holiday
lesotho,2019,22 Apr,Monday,Easter Monday,Public Holiday
lesotho,2019,1 May,Wednesday,May Day,Public Holiday
lesotho,2019,25 May,Saturday,Africa/Heroes Day,Public Holiday
lesotho,2019,30 May,Thursday,Ascension Day,Public Holiday
lesotho,2019,21 Jun,Friday,June Solstice,Season
lesotho,2019,17 Jul,Wednesday,King's Birthday,Public Holiday
lesotho,2019,23 Sep,Monday,September Equinox,Season
lesotho,2019,4 Oct,Friday,Independence Day,Public Holiday
lesotho,2019,22 Dec,Sunday,December Solstice,Season
lesotho,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
lesotho,2019,26 Dec,Thursday,Boxing Day,Public Holiday
lesotho,2020,1 Jan,Wednesday,New Year,Public Holiday
lesotho,2020,11 Mar,Wednesday,Moshoeshoe's Birthday,Public Holiday
lesotho,2020,20 Mar,Friday,March Equinox,Season
lesotho,2020,10 Apr,Friday,Good Friday,Public Holiday
lesotho,2020,13 Apr,Monday,Easter Monday,Public Holiday
lesotho,2020,1 May,Friday,May Day,Public Holiday
lesotho,2020,21 May,Thursday,Ascension Day,Public Holiday
lesotho,2020,25 May,Monday,Africa/Heroes Day,Public Holiday
lesotho,2020,20 Jun,Saturday,June Solstice,Season
lesotho,2020,17 Jul,Friday,King's Birthday,Public Holiday
lesotho,2020,22 Sep,Tuesday,September Equinox,Season
lesotho,2020,4 Oct,Sunday,Independence Day,Public Holiday
lesotho,2020,21 Dec,Monday,December Solstice,Season
lesotho,2020,25 Dec,Friday,Christmas Day,Public Holiday
lesotho,2020,26 Dec,Saturday,Boxing Day,Public Holiday
lesotho,2021,1 Jan,Friday,New Year,Public Holiday
lesotho,2021,11 Mar,Thursday,Moshoeshoe's Birthday,Public Holiday
lesotho,2021,20 Mar,Saturday,March Equinox,Season
lesotho,2021,2 Apr,Friday,Good Friday,Public Holiday
lesotho,2021,5 Apr,Monday,Easter Monday,Public Holiday
lesotho,2021,1 May,Saturday,May Day,Public Holiday
lesotho,2021,13 May,Thursday,Ascension Day,Public Holiday
lesotho,2021,25 May,Tuesday,Africa/Heroes Day,Public Holiday
lesotho,2021,21 Jun,Monday,June Solstice,Season
lesotho,2021,17 Jul,Saturday,King's Birthday,Public Holiday
lesotho,2021,22 Sep,Wednesday,September Equinox,Season
lesotho,2021,4 Oct,Monday,Independence Day,Public Holiday
lesotho,2021,21 Dec,Tuesday,December Solstice,Season
lesotho,2021,25 Dec,Saturday,Christmas Day,Public Holiday
lesotho,2021,26 Dec,Sunday,Boxing Day,Public Holiday
lesotho,2022,1 Jan,Saturday,New Year,Public Holiday
lesotho,2022,11 Mar,Friday,Moshoeshoe's Birthday,Public Holiday
lesotho,2022,20 Mar,Sunday,March Equinox,Season
lesotho,2022,15 Apr,Friday,Good Friday,Public Holiday
lesotho,2022,18 Apr,Monday,Easter Monday,Public Holiday
lesotho,2022,1 May,Sunday,May Day,Public Holiday
lesotho,2022,25 May,Wednesday,Africa/Heroes Day,Public Holiday
lesotho,2022,26 May,Thursday,Ascension Day,Public Holiday
lesotho,2022,21 Jun,Tuesday,June Solstice,Season
lesotho,2022,17 Jul,Sunday,King's Birthday,Public Holiday
lesotho,2022,23 Sep,Friday,September Equinox,Season
lesotho,2022,4 Oct,Tuesday,Independence Day,Public Holiday
lesotho,2022,7 Oct,Friday,Election Day Holiday,Public Holiday
lesotho,2022,21 Dec,Wednesday,December Solstice,Season
lesotho,2022,25 Dec,Sunday,Christmas Day,Public Holiday
lesotho,2022,26 Dec,Monday,Boxing Day,Public Holiday
lesotho,2023,1 Jan,Sunday,New Year,Public Holiday
lesotho,2023,11 Mar,Saturday,Moshoeshoe's Birthday,Public Holiday
lesotho,2023,20 Mar,Monday,March Equinox,Season
lesotho,2023,7 Apr,Friday,Good Friday,Public Holiday
