Geo,Event Year,Date,Day,Name,Type
libya,2012,5 Feb,Sunday,The Prophet's Birthday,Public Holiday
libya,2012,17 Feb,Friday,Libyan Revolution Day,Public Holiday
libya,2012,20 Mar,Tuesday,March Equinox,Season
libya,2012,1 May,Tuesday,May Day,Public Holiday
libya,2012,21 Jun,Thursday,June Solstice,Season
libya,2012,19 Aug,Sunday,Eid al-Fitr,Public Holiday
libya,2012,20 Aug,Monday,Eid al-Fitr Holiday,Public Holiday
libya,2012,21 Aug,Tuesday,Eid al-Fitr Holiday,Public Holiday
libya,2012,16 Sep,Sunday,Martyrs' Day,Public Holiday
libya,2012,22 Sep,Saturday,September Equinox,Season
libya,2012,23 Oct,Tuesday,Liberation Day,Public Holiday
libya,2012,25 Oct,Thursday,Day of Arafah,Public Holiday
libya,2012,26 Oct,Friday,Eid al-Adha,Public Holiday
libya,2012,27 Oct,Saturday,Eid al-Adha Holiday,Public Holiday
libya,2012,28 Oct,Sunday,Eid al-Adha Holiday,Public Holiday
libya,2012,15 Nov,Thursday,Muharram,Public Holiday
libya,2012,21 Dec,Friday,December Solstice,Season
libya,2012,24 Dec,Monday,Independence Day,Public Holiday
libya,2013,24 Jan,Thursday,The Prophet's Birthday,Public Holiday
libya,2013,17 Feb,Sunday,Libyan Revolution Day,Public Holiday
libya,2013,20 Mar,Wednesday,March Equinox,Season
libya,2013,29 Mar,Friday,Daylight Saving Time starts,Clock change/Daylight Saving Time
libya,2013,1 May,Wednesday,May Day,Public Holiday
libya,2013,21 Jun,Friday,June Solstice,Season
libya,2013,8 Aug,Thursday,Eid al-Fitr,Public Holiday
libya,2013,9 Aug,Friday,Eid al-Fitr Holiday,Public Holiday
libya,2013,10 Aug,Saturday,Eid al-Fitr Holiday,Public Holiday
libya,2013,16 Sep,Monday,Martyrs' Day,Public Holiday
libya,2013,22 Sep,Sunday,September Equinox,Season
libya,2013,14 Oct,Monday,Day of Arafah,Public Holiday
libya,2013,15 Oct,Tuesday,Eid al-Adha,Public Holiday
libya,2013,16 Oct,Wednesday,Eid al-Adha Holiday,Public Holiday
libya,2013,17 Oct,Thursday,Eid al-Adha Holiday,Public Holiday
libya,2013,23 Oct,Wednesday,Liberation Day,Public Holiday
libya,2013,25 Oct,Friday,Daylight Saving Time ends,Clock change/Daylight Saving Time
libya,2013,5 Nov,Tuesday,Muharram,Public Holiday
