Geo,Event Year,Date,Day,Name,Type
macau,2000,1 Jan,Saturday,New Year's Day,Obligatory Holiday
macau,2000,5 Feb,Saturday,Lunar New Year (First Day),Obligatory Holiday
macau,2000,6 Feb,Sunday,Lunar New Year (Second Day),Obligatory Holiday
macau,2000,7 Feb,Monday,Lunar New Year (Third Day),Obligatory Holiday
macau,2000,20 Mar,Monday,March Equinox,Season
macau,2000,4 Apr,Tuesday,Cheng Ming Festival,Obligatory Holiday
macau,2000,21 Apr,Friday,Good Friday,Public Holiday
macau,2000,22 Apr,Saturday,Holy Saturday,Public Holiday
macau,2000,1 May,Monday,Labor Day / May Day,Obligatory Holiday
macau,2000,11 May,Thursday,Buddha's Birthday,Public Holiday
macau,2000,6 Jun,Tuesday,Dragon Boat Festival,Public Holiday
macau,2000,21 Jun,Wednesday,June Solstice,Season
macau,2000,13 Sep,Wednesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
macau,2000,23 Sep,Saturday,September Equinox,Season
macau,2000,1 Oct,Sunday,National Day of the People's Republic of China,Obligatory Holiday
macau,2000,2 Oct,Monday,Day after PRC National Day,Public Holiday
macau,2000,6 Oct,Friday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
macau,2000,2 Nov,Thursday,All Souls' Day,Public Holiday
macau,2000,8 Dec,Friday,Feast of the Immaculate Conception,Public Holiday
macau,2000,20 Dec,Wednesday,Macau S.A.R. Establishment Day,Obligatory Holiday
macau,2000,21 Dec,Thursday,December Solstice,Season
macau,2000,21 Dec,Thursday,Winter Solstice,Public Holiday
macau,2000,24 Dec,Sunday,Christmas Eve,Public Holiday
macau,2000,25 Dec,Monday,Christmas Day,Public Holiday
macau,2000,31 Dec,Sunday,New Year's Eve,Observance
macau,2001,1 Jan,Monday,New Year's Day,Obligatory Holiday
macau,2001,24 Jan,Wednesday,Lunar New Year (First Day),Obligatory Holiday
macau,2001,25 Jan,Thursday,Lunar New Year (Second Day),Obligatory Holiday
macau,2001,26 Jan,Friday,Lunar New Year (Third Day),Obligatory Holiday
macau,2001,20 Mar,Tuesday,March Equinox,Season
macau,2001,4 Apr,Wednesday,Cheng Ming Festival,Obligatory Holiday
macau,2001,13 Apr,Friday,Good Friday,Public Holiday
macau,2001,14 Apr,Saturday,Holy Saturday,Public Holiday
macau,2001,30 Apr,Monday,Buddha's Birthday,Public Holiday
macau,2001,1 May,Tuesday,Labor Day / May Day,Obligatory Holiday
macau,2001,21 Jun,Thursday,June Solstice,Season
macau,2001,25 Jun,Monday,Dragon Boat Festival,Public Holiday
macau,2001,23 Sep,Sunday,September Equinox,Season
macau,2001,1 Oct,Monday,National Day of the People's Republic of China,Obligatory Holiday
macau,2001,2 Oct,Tuesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
macau,2001,2 Oct,Tuesday,Day after PRC National Day,Public Holiday
macau,2001,25 Oct,Thursday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
macau,2001,2 Nov,Friday,All Souls' Day,Public Holiday
macau,2001,8 Dec,Saturday,Feast of the Immaculate Conception,Public Holiday
macau,2001,20 Dec,Thursday,Macau S.A.R. Establishment Day,Obligatory Holiday
macau,2001,22 Dec,Saturday,December Solstice,Season
macau,2001,22 Dec,Saturday,Winter Solstice,Public Holiday
macau,2001,24 Dec,Monday,Christmas Eve,Public Holiday
macau,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
macau,2001,31 Dec,Monday,New Year's Eve,Observance
macau,2002,1 Jan,Tuesday,New Year's Day,Obligatory Holiday
macau,2002,12 Feb,Tuesday,Lunar New Year (First Day),Obligatory Holiday
macau,2002,13 Feb,Wednesday,Lunar New Year (Second Day),Obligatory Holiday
macau,2002,14 Feb,Thursday,Lunar New Year (Third Day),Obligatory Holiday
macau,2002,21 Mar,Thursday,March Equinox,Season
macau,2002,29 Mar,Friday,Good Friday,Public Holiday
macau,2002,30 Mar,Saturday,Holy Saturday,Public Holiday
macau,2002,5 Apr,Friday,Cheng Ming Festival,Obligatory Holiday
macau,2002,1 May,Wednesday,Labor Day / May Day,Obligatory Holiday
macau,2002,19 May,Sunday,Buddha's Birthday,Public Holiday
macau,2002,15 Jun,Saturday,Dragon Boat Festival,Public Holiday
macau,2002,21 Jun,Friday,June Solstice,Season
macau,2002,22 Sep,Sunday,Day after the Mid-Autumn-Festival,Obligatory Holiday
macau,2002,23 Sep,Monday,September Equinox,Season
macau,2002,1 Oct,Tuesday,National Day of the People's Republic of China,Obligatory Holiday
macau,2002,2 Oct,Wednesday,Day after PRC National Day,Public Holiday
macau,2002,14 Oct,Monday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
macau,2002,2 Nov,Saturday,All Souls' Day,Public Holiday
macau,2002,8 Dec,Sunday,Feast of the Immaculate Conception,Public Holiday
macau,2002,20 Dec,Friday,Macau S.A.R. Establishment Day,Obligatory Holiday
macau,2002,22 Dec,Sunday,December Solstice,Season
macau,2002,22 Dec,Sunday,Winter Solstice,Public Holiday
macau,2002,24 Dec,Tuesday,Christmas Eve,Public Holiday
macau,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
macau,2002,31 Dec,Tuesday,New Year's Eve,Observance
macau,2003,1 Jan,Wednesday,New Year's Day,Obligatory Holiday
macau,2003,1 Feb,Saturday,Lunar New Year (First Day),Obligatory Holiday
macau,2003,2 Feb,Sunday,Lunar New Year (Second Day),Obligatory Holiday
macau,2003,3 Feb,Monday,Lunar New Year (Third Day),Obligatory Holiday
macau,2003,21 Mar,Friday,March Equinox,Season
macau,2003,5 Apr,Saturday,Cheng Ming Festival,Obligatory Holiday
macau,2003,18 Apr,Friday,Good Friday,Public Holiday
macau,2003,19 Apr,Saturday,Holy Saturday,Public Holiday
macau,2003,1 May,Thursday,Labor Day / May Day,Obligatory Holiday
macau,2003,8 May,Thursday,Buddha's Birthday,Public Holiday
macau,2003,4 Jun,Wednesday,Dragon Boat Festival,Public Holiday
macau,2003,22 Jun,Sunday,June Solstice,Season
macau,2003,12 Sep,Friday,Day after the Mid-Autumn-Festival,Obligatory Holiday
macau,2003,23 Sep,Tuesday,September Equinox,Season
macau,2003,1 Oct,Wednesday,National Day of the People's Republic of China,Obligatory Holiday
macau,2003,2 Oct,Thursday,Day after PRC National Day,Public Holiday
macau,2003,4 Oct,Saturday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
macau,2003,2 Nov,Sunday,All Souls' Day,Public Holiday
macau,2003,8 Dec,Monday,Feast of the Immaculate Conception,Public Holiday
macau,2003,20 Dec,Saturday,Macau S.A.R. Establishment Day,Obligatory Holiday
