Geo,Event Year,Date,Day,Name,Type
madagascar,2010,1 Jan,Friday,New Year's Day,Public Holiday
madagascar,2010,8 Mar,Monday,International Women's Day,National holiday
madagascar,2010,20 Mar,Saturday,March Equinox,Season
madagascar,2010,29 Mar,Monday,Martyrs' Day,Public Holiday
madagascar,2010,4 Apr,Sunday,Easter Sunday,Public Holiday
madagascar,2010,5 Apr,Monday,Easter Monday,Public Holiday
madagascar,2010,1 May,Saturday,Labor Day,Public Holiday
madagascar,2010,13 May,Thursday,Ascension Day,Public Holiday
madagascar,2010,23 May,Sunday,Whit Sunday,Public Holiday
madagascar,2010,24 May,Monday,Whit Monday,Public Holiday
madagascar,2010,21 Jun,Monday,June Solstice,Season
madagascar,2010,26 Jun,Saturday,Independence Day,Public Holiday
madagascar,2010,15 Aug,Sunday,Assumption of Mary,Public Holiday
madagascar,2010,23 Sep,Thursday,September Equinox,Season
madagascar,2010,1 Nov,Monday,All Saints' Day,Public Holiday
madagascar,2010,17 Nov,Wednesday,Eid al-Adha,Observance
madagascar,2010,22 Dec,Wednesday,December Solstice,Season
madagascar,2010,25 Dec,Saturday,Christmas Day,Public Holiday
madagascar,2010,31 Dec,Friday,New Year's Eve,Observance
madagascar,2011,1 Jan,Saturday,New Year's Day,Public Holiday
madagascar,2011,8 Mar,Tuesday,International Women's Day,National holiday
madagascar,2011,21 Mar,Monday,March Equinox,Season
madagascar,2011,29 Mar,Tuesday,Martyrs' Day,Public Holiday
madagascar,2011,24 Apr,Sunday,Easter Sunday,Public Holiday
madagascar,2011,25 Apr,Monday,Easter Monday,Public Holiday
madagascar,2011,1 May,Sunday,Labor Day,Public Holiday
madagascar,2011,2 Jun,Thursday,Ascension Day,Public Holiday
madagascar,2011,12 Jun,Sunday,Whit Sunday,Public Holiday
madagascar,2011,13 Jun,Monday,Whit Monday,Public Holiday
madagascar,2011,21 Jun,Tuesday,June Solstice,Season
madagascar,2011,26 Jun,Sunday,Independence Day,Public Holiday
madagascar,2011,15 Aug,Monday,Assumption of Mary,Public Holiday
madagascar,2011,23 Sep,Friday,September Equinox,Season
madagascar,2011,1 Nov,Tuesday,All Saints' Day,Public Holiday
madagascar,2011,7 Nov,Monday,Eid al-Adha,Observance
madagascar,2011,22 Dec,Thursday,December Solstice,Season
madagascar,2011,25 Dec,Sunday,Christmas Day,Public Holiday
madagascar,2011,31 Dec,Saturday,New Year's Eve,Observance
madagascar,2012,1 Jan,Sunday,New Year's Day,Public Holiday
madagascar,2012,8 Mar,Thursday,International Women's Day,National holiday
madagascar,2012,20 Mar,Tuesday,March Equinox,Season
madagascar,2012,29 Mar,Thursday,Martyrs' Day,Public Holiday
madagascar,2012,8 Apr,Sunday,Easter Sunday,Public Holiday
madagascar,2012,9 Apr,Monday,Easter Monday,Public Holiday
madagascar,2012,1 May,Tuesday,Labor Day,Public Holiday
madagascar,2012,17 May,Thursday,Ascension Day,Public Holiday
madagascar,2012,27 May,Sunday,Whit Sunday,Public Holiday
madagascar,2012,28 May,Monday,Whit Monday,Public Holiday
madagascar,2012,21 Jun,Thursday,June Solstice,Season
madagascar,2012,26 Jun,Tuesday,Independence Day,Public Holiday
madagascar,2012,15 Aug,Wednesday,Assumption of Mary,Public Holiday
madagascar,2012,22 Sep,Saturday,September Equinox,Season
madagascar,2012,26 Oct,Friday,Eid al-Adha,Observance
madagascar,2012,1 Nov,Thursday,All Saints' Day,Public Holiday
madagascar,2012,21 Dec,Friday,December Solstice,Season
madagascar,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
madagascar,2012,31 Dec,Monday,New Year's Eve,Observance
madagascar,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
madagascar,2013,8 Mar,Friday,International Women's Day,National holiday
madagascar,2013,20 Mar,Wednesday,March Equinox,Season
madagascar,2013,29 Mar,Friday,Martyrs' Day,Public Holiday
madagascar,2013,31 Mar,Sunday,Easter Sunday,Public Holiday
madagascar,2013,1 Apr,Monday,Easter Monday,Public Holiday
madagascar,2013,1 May,Wednesday,Labor Day,Public Holiday
madagascar,2013,9 May,Thursday,Ascension Day,Public Holiday
madagascar,2013,19 May,Sunday,Whit Sunday,Public Holiday
madagascar,2013,20 May,Monday,Whit Monday,Public Holiday
madagascar,2013,21 Jun,Friday,June Solstice,Season
madagascar,2013,26 Jun,Wednesday,Independence Day,Public Holiday
madagascar,2013,15 Aug,Thursday,Assumption of Mary,Public Holiday
madagascar,2013,22 Sep,Sunday,September Equinox,Season
madagascar,2013,15 Oct,Tuesday,Eid al-Adha,Observance
madagascar,2013,1 Nov,Friday,All Saints' Day,Public Holiday
madagascar,2013,21 Dec,Saturday,December Solstice,Season
madagascar,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
madagascar,2013,31 Dec,Tuesday,New Year's Eve,Observance
madagascar,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
madagascar,2014,8 Mar,Saturday,International Women's Day,National holiday
madagascar,2014,20 Mar,Thursday,March Equinox,Season
madagascar,2014,29 Mar,Saturday,Martyrs' Day,Public Holiday
madagascar,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
madagascar,2014,21 Apr,Monday,Easter Monday,Public Holiday
madagascar,2014,1 May,Thursday,Labor Day,Public Holiday
madagascar,2014,29 May,Thursday,Ascension Day,Public Holiday
madagascar,2014,8 Jun,Sunday,Whit Sunday,Public Holiday
madagascar,2014,9 Jun,Monday,Whit Monday,Public Holiday
madagascar,2014,21 Jun,Saturday,June Solstice,Season
madagascar,2014,26 Jun,Thursday,Independence Day,Public Holiday
madagascar,2014,15 Aug,Friday,Assumption of Mary,Public Holiday
madagascar,2014,23 Sep,Tuesday,September Equinox,Season
madagascar,2014,5 Oct,Sunday,Eid al-Adha,Observance
madagascar,2014,1 Nov,Saturday,All Saints' Day,Public Holiday
madagascar,2014,22 Dec,Monday,December Solstice,Season
madagascar,2014,25 Dec,Thursday,Christmas Day,Public Holiday
madagascar,2014,31 Dec,Wednesday,New Year's Eve,Observance
madagascar,2015,1 Jan,Thursday,New Year's Day,Public Holiday
madagascar,2015,8 Mar,Sunday,International Women's Day,National holiday
madagascar,2015,21 Mar,Saturday,March Equinox,Season
madagascar,2015,29 Mar,Sunday,Martyrs' Day,Public Holiday
madagascar,2015,5 Apr,Sunday,Easter Sunday,Public Holiday
madagascar,2015,6 Apr,Monday,Easter Monday,Public Holiday
madagascar,2015,1 May,Friday,Labor Day,Public Holiday
madagascar,2015,14 May,Thursday,Ascension Day,Public Holiday
madagascar,2015,24 May,Sunday,Whit Sunday,Public Holiday
madagascar,2015,25 May,Monday,Whit Monday,Public Holiday
madagascar,2015,21 Jun,Sunday,June Solstice,Season
madagascar,2015,26 Jun,Friday,Independence Day,Public Holiday
madagascar,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
