Geo,Event Year,Date,Day,Name,Type
malawi,2015,1 Jan,Thursday,New Year,Public Holiday
malawi,2015,15 Jan,Thursday,John Chilembwe Day,Public Holiday
malawi,2015,3 Mar,Tuesday,Martyrs' Day,Public Holiday
malawi,2015,21 Mar,Saturday,March Equinox,Season
malawi,2015,3 Apr,Friday,Good Friday,Public Holiday
malawi,2015,4 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2015,6 Apr,Monday,Easter Monday,Public Holiday
malawi,2015,1 May,Friday,May Day,Public Holiday
malawi,2015,14 May,Thursday,Kamuzu Day,Public Holiday
malawi,2015,21 Jun,Sunday,June Solstice,Season
malawi,2015,6 Jul,Monday,Independence Day,Public Holiday
malawi,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
malawi,2015,20 Jul,Monday,Day off for Eid al-Fitr,Public Holiday
malawi,2015,23 Sep,Wednesday,September Equinox,Season
malawi,2015,15 Oct,Thursday,Mother's Day,Public Holiday
malawi,2015,22 Dec,Tuesday,December Solstice,Season
malawi,2015,25 Dec,Friday,Christmas Day,Public Holiday
malawi,2015,26 Dec,Saturday,Boxing Day,Public Holiday
malawi,2015,28 Dec,Monday,Day off for Boxing Day,Public Holiday
malawi,2016,1 Jan,Friday,New Year,Public Holiday
malawi,2016,15 Jan,Friday,John Chilembwe Day,Public Holiday
malawi,2016,3 Mar,Thursday,Martyrs' Day,Public Holiday
malawi,2016,20 Mar,Sunday,March Equinox,Season
malawi,2016,25 Mar,Friday,Good Friday,Public Holiday
malawi,2016,26 Mar,Saturday,Easter Saturday,Public Holiday
malawi,2016,28 Mar,Monday,Easter Monday,Public Holiday
malawi,2016,1 May,Sunday,May Day,Public Holiday
malawi,2016,2 May,Monday,Day off for May Day,Public Holiday
malawi,2016,14 May,Saturday,Kamuzu Day,Public Holiday
malawi,2016,16 May,Monday,Day off for Kamuzu Day,Public Holiday
malawi,2016,21 Jun,Tuesday,June Solstice,Season
malawi,2016,6 Jul,Wednesday,Independence Day,Public Holiday
malawi,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
malawi,2016,22 Sep,Thursday,September Equinox,Season
malawi,2016,15 Oct,Saturday,Mother's Day,Public Holiday
malawi,2016,17 Oct,Monday,Day off for Mother's Day,Public Holiday
malawi,2016,21 Dec,Wednesday,December Solstice,Season
malawi,2016,25 Dec,Sunday,Christmas Day,Public Holiday
malawi,2016,26 Dec,Monday,Day off for Christmas Day,Public Holiday
malawi,2016,26 Dec,Monday,Boxing Day,Public Holiday
malawi,2016,27 Dec,Tuesday,Day off for Boxing Day,Public Holiday
malawi,2017,1 Jan,Sunday,New Year,Public Holiday
malawi,2017,2 Jan,Monday,Day off for New Year,Public Holiday
malawi,2017,15 Jan,Sunday,John Chilembwe Day,Public Holiday
malawi,2017,16 Jan,Monday,Day off for John Chilembwe Day,Public Holiday
malawi,2017,3 Mar,Friday,Martyrs' Day,Public Holiday
malawi,2017,20 Mar,Monday,March Equinox,Season
malawi,2017,14 Apr,Friday,Good Friday,Public Holiday
malawi,2017,15 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2017,17 Apr,Monday,Easter Monday,Public Holiday
malawi,2017,1 May,Monday,May Day,Public Holiday
malawi,2017,14 May,Sunday,Kamuzu Day,Public Holiday
malawi,2017,15 May,Monday,Day off for Kamuzu Day,Public Holiday
malawi,2017,21 Jun,Wednesday,June Solstice,Season
malawi,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
malawi,2017,6 Jul,Thursday,Independence Day,Public Holiday
malawi,2017,22 Sep,Friday,September Equinox,Season
malawi,2017,15 Oct,Sunday,Mother's Day,Public Holiday
malawi,2017,16 Oct,Monday,Day off for Mother's Day,Public Holiday
malawi,2017,21 Dec,Thursday,December Solstice,Season
malawi,2017,25 Dec,Monday,Christmas Day,Public Holiday
malawi,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
malawi,2018,1 Jan,Monday,New Year,Public Holiday
malawi,2018,15 Jan,Monday,John Chilembwe Day,Public Holiday
malawi,2018,3 Mar,Saturday,Martyrs' Day,Public Holiday
malawi,2018,5 Mar,Monday,Day off for Martyrs' Day,Public Holiday
malawi,2018,20 Mar,Tuesday,March Equinox,Season
malawi,2018,30 Mar,Friday,Good Friday,Public Holiday
malawi,2018,31 Mar,Saturday,Easter Saturday,Public Holiday
malawi,2018,2 Apr,Monday,Easter Monday,Public Holiday
malawi,2018,1 May,Tuesday,May Day,Public Holiday
malawi,2018,14 May,Monday,Kamuzu Day,Public Holiday
malawi,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
malawi,2018,21 Jun,Thursday,June Solstice,Season
malawi,2018,6 Jul,Friday,Independence Day,Public Holiday
malawi,2018,23 Sep,Sunday,September Equinox,Season
malawi,2018,15 Oct,Monday,Mother's Day,Public Holiday
malawi,2018,22 Dec,Saturday,December Solstice,Season
malawi,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
malawi,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
malawi,2019,1 Jan,Tuesday,New Year,Public Holiday
malawi,2019,15 Jan,Tuesday,John Chilembwe Day,Public Holiday
malawi,2019,3 Mar,Sunday,Martyrs' Day,Public Holiday
malawi,2019,4 Mar,Monday,Day off for Martyrs' Day,Public Holiday
malawi,2019,20 Mar,Wednesday,March Equinox,Season
malawi,2019,19 Apr,Friday,Good Friday,Public Holiday
malawi,2019,20 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2019,22 Apr,Monday,Easter Monday,Public Holiday
malawi,2019,1 May,Wednesday,May Day,Public Holiday
malawi,2019,14 May,Tuesday,Kamuzu Day,Public Holiday
malawi,2019,5 Jun,Wednesday,Eid al-Fitr,Public Holiday
malawi,2019,21 Jun,Friday,June Solstice,Season
malawi,2019,6 Jul,Saturday,Independence Day,Public Holiday
malawi,2019,8 Jul,Monday,Day off for Independence Day,Public Holiday
malawi,2019,23 Sep,Monday,September Equinox,Season
malawi,2019,15 Oct,Tuesday,Mother's Day,Public Holiday
malawi,2019,22 Dec,Sunday,December Solstice,Season
malawi,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
malawi,2019,26 Dec,Thursday,Boxing Day,Public Holiday
malawi,2020,1 Jan,Wednesday,New Year,Public Holiday
malawi,2020,15 Jan,Wednesday,John Chilembwe Day,Public Holiday
malawi,2020,3 Mar,Tuesday,Martyrs' Day,Public Holiday
malawi,2020,20 Mar,Friday,March Equinox,Season
malawi,2020,10 Apr,Friday,Good Friday,Public Holiday
malawi,2020,11 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2020,13 Apr,Monday,Easter Monday,Public Holiday
malawi,2020,1 May,Friday,May Day,Public Holiday
malawi,2020,14 May,Thursday,Kamuzu Day,Public Holiday
malawi,2020,24 May,Sunday,Eid al-Fitr,Public Holiday
malawi,2020,25 May,Monday,Day off for Eid al-Fitr,Public Holiday
malawi,2020,20 Jun,Saturday,June Solstice,Season
malawi,2020,6 Jul,Monday,Independence Day,Public Holiday
malawi,2020,22 Sep,Tuesday,September Equinox,Season
malawi,2020,15 Oct,Thursday,Mother's Day,Public Holiday
malawi,2020,21 Dec,Monday,December Solstice,Season
malawi,2020,25 Dec,Friday,Christmas Day,Public Holiday
malawi,2020,26 Dec,Saturday,Boxing Day,Public Holiday
malawi,2020,28 Dec,Monday,Day off for Boxing Day,Public Holiday
malawi,2021,1 Jan,Friday,New Year,Public Holiday
malawi,2021,15 Jan,Friday,John Chilembwe Day,Public Holiday
malawi,2021,3 Mar,Wednesday,Martyrs' Day,Public Holiday
malawi,2021,20 Mar,Saturday,March Equinox,Season
malawi,2021,2 Apr,Friday,Good Friday,Public Holiday
malawi,2021,3 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2021,5 Apr,Monday,Easter Monday,Public Holiday
malawi,2021,1 May,Saturday,May Day,Public Holiday
malawi,2021,3 May,Monday,Day off for May Day,Public Holiday
malawi,2021,14 May,Friday,Eid al-Fitr,Public Holiday
malawi,2021,14 May,Friday,Kamuzu Day,Public Holiday
malawi,2021,17 May,Monday,Day off for Eid al-Fitr,Public Holiday
malawi,2021,21 Jun,Monday,June Solstice,Season
malawi,2021,6 Jul,Tuesday,Independence Day,Public Holiday
malawi,2021,22 Sep,Wednesday,September Equinox,Season
malawi,2021,15 Oct,Friday,Mother's Day,Public Holiday
malawi,2021,21 Dec,Tuesday,December Solstice,Season
malawi,2021,24 Dec,Friday,Christmas Eve,Civil Service Holiday
malawi,2021,25 Dec,Saturday,Christmas Day,Public Holiday
malawi,2021,26 Dec,Sunday,Boxing Day,Public Holiday
malawi,2021,27 Dec,Monday,Day off for Christmas Day,Public Holiday
malawi,2021,28 Dec,Tuesday,Day off for Boxing Day,Public Holiday
malawi,2021,29 Dec,Wednesday,Civil Service Holiday,Civil Service Holiday
malawi,2021,30 Dec,Thursday,Civil Service Holiday,Civil Service Holiday
malawi,2021,31 Dec,Friday,New Year's Eve,Civil Service Holiday
malawi,2022,1 Jan,Saturday,New Year,Public Holiday
malawi,2022,2 Jan,Sunday,Civil Service Holiday,Civil Service Holiday
malawi,2022,3 Jan,Monday,Day off for New Year,Public Holiday
malawi,2022,15 Jan,Saturday,John Chilembwe Day,Public Holiday
malawi,2022,17 Jan,Monday,Day off for John Chilembwe Day,Public Holiday
malawi,2022,3 Mar,Thursday,Martyrs' Day,Public Holiday
malawi,2022,20 Mar,Sunday,March Equinox,Season
malawi,2022,15 Apr,Friday,Good Friday,Public Holiday
malawi,2022,16 Apr,Saturday,Easter Saturday,Public Holiday
malawi,2022,18 Apr,Monday,Easter Monday,Public Holiday
malawi,2022,1 May,Sunday,May Day,Public Holiday
malawi,2022,2 May,Monday,Day off for May Day,Public Holiday
malawi,2022,2 May,Monday,Eid al-Fitr,Observance
