Geo,Event Year,Date,Day,Name,Type
maldives,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
maldives,2008,10 Jan,Thursday,Muharram/Islamic New Year,Public Holiday
maldives,2008,20 Mar,Thursday,Milad un Nabi (Mawlid),Public Holiday
maldives,2008,20 Mar,Thursday,March Equinox,Season
maldives,2008,1 May,Thursday,Labor Day / May Day,Public Holiday
maldives,2008,21 Jun,Saturday,June Solstice,Season
maldives,2008,26 Jul,Saturday,Independence Day,Public Holiday
maldives,2008,27 Jul,Sunday,Independence Day Holiday,Public Holiday
maldives,2008,2 Sep,Tuesday,Ramadan Start,Public Holiday
maldives,2008,22 Sep,Monday,September Equinox,Season
maldives,2008,2 Oct,Thursday,Eid-ul-Fithr,Public Holiday
maldives,2008,3 Oct,Friday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2008,4 Oct,Saturday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2008,3 Nov,Monday,Victory Day,Public Holiday
maldives,2008,11 Nov,Tuesday,Republic Day,Public Holiday
maldives,2008,8 Dec,Monday,Hajj Day,Public Holiday
maldives,2008,9 Dec,Tuesday,Eid-ul Al'haa,Public Holiday
maldives,2008,21 Dec,Sunday,December Solstice,Season
maldives,2008,29 Dec,Monday,Muharram/Islamic New Year,Public Holiday
maldives,2009,1 Jan,Thursday,New Year's Day,Public Holiday
maldives,2009,9 Mar,Monday,Milad un Nabi (Mawlid),Public Holiday
maldives,2009,20 Mar,Friday,March Equinox,Season
maldives,2009,1 May,Friday,Labor Day / May Day,Public Holiday
maldives,2009,21 Jun,Sunday,June Solstice,Season
maldives,2009,26 Jul,Sunday,Independence Day,Public Holiday
maldives,2009,27 Jul,Monday,Independence Day Holiday,Public Holiday
maldives,2009,22 Aug,Saturday,Ramadan Start,Public Holiday
maldives,2009,21 Sep,Monday,Eid-ul-Fithr,Public Holiday
maldives,2009,22 Sep,Tuesday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2009,23 Sep,Wednesday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2009,23 Sep,Wednesday,September Equinox,Season
maldives,2009,3 Nov,Tuesday,Victory Day,Public Holiday
maldives,2009,11 Nov,Wednesday,Republic Day,Public Holiday
maldives,2009,27 Nov,Friday,Hajj Day,Public Holiday
maldives,2009,28 Nov,Saturday,Eid-ul Al'haa,Public Holiday
maldives,2009,18 Dec,Friday,Muharram/Islamic New Year,Public Holiday
maldives,2009,21 Dec,Monday,December Solstice,Season
maldives,2010,1 Jan,Friday,New Year's Day,Public Holiday
maldives,2010,26 Feb,Friday,Milad un Nabi (Mawlid),Public Holiday
maldives,2010,20 Mar,Saturday,March Equinox,Season
maldives,2010,1 May,Saturday,Labor Day / May Day,Public Holiday
maldives,2010,21 Jun,Monday,June Solstice,Season
maldives,2010,26 Jul,Monday,Independence Day,Public Holiday
maldives,2010,27 Jul,Tuesday,Independence Day Holiday,Public Holiday
maldives,2010,11 Aug,Wednesday,Ramadan Start,Public Holiday
maldives,2010,10 Sep,Friday,Eid-ul-Fithr,Public Holiday
maldives,2010,11 Sep,Saturday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2010,12 Sep,Sunday,Eid-ul-Fithr Holiday,Public Holiday
maldives,2010,23 Sep,Thursday,September Equinox,Season
maldives,2010,3 Nov,Wednesday,Victory Day,Public Holiday
maldives,2010,11 Nov,Thursday,Republic Day,Public Holiday
maldives,2010,16 Nov,Tuesday,Hajj Day,Public Holiday
maldives,2010,17 Nov,Wednesday,Eid-ul Al'haa,Public Holiday
maldives,2010,8 Dec,Wednesday,Muharram/Islamic New Year,Public Holiday
maldives,2010,22 Dec,Wednesday,December Solstice,Season
maldives,2011,1 Jan,Saturday,New Year's Day,Public Holiday
maldives,2011,16 Feb,Wednesday,Milad un Nabi (Mawlid),Public Holiday
maldives,2011,21 Mar,Monday,March Equinox,Season
maldives,2011,1 May,Sunday,Labor Day / May Day,Public Holiday
maldives,2011,21 Jun,Tuesday,June Solstice,Season
maldives,2011,26 Jul,Tuesday,Independence Day,Public Holiday
