Geo,Event Year,Date,Day,Name,Type
mali,2015,1 Jan,Thursday,New Year,Public Holiday
mali,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
mali,2015,20 Jan,Tuesday,Army Day,Public Holiday
mali,2015,20 Mar,Friday,March Equinox,Season
mali,2015,26 Mar,Thursday,Martyrs' Day,Public Holiday
mali,2015,6 Apr,Monday,Easter Monday,Public Holiday
mali,2015,1 May,Friday,Workers' Day,Public Holiday
mali,2015,25 May,Monday,Whit Monday,Public Holiday
mali,2015,25 May,Monday,Africa Day,Public Holiday
mali,2015,21 Jun,Sunday,June Solstice,Season
mali,2015,14 Jul,Tuesday,Leylatoul Qadr,Observance
mali,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
mali,2015,22 Sep,Tuesday,Independence Day,Public Holiday
mali,2015,23 Sep,Wednesday,September Equinox,Season
mali,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
mali,2015,22 Dec,Tuesday,December Solstice,Season
mali,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
mali,2015,25 Dec,Friday,Christmas Day,Public Holiday
mali,2016,1 Jan,Friday,New Year,Public Holiday
mali,2016,20 Jan,Wednesday,Army Day,Public Holiday
mali,2016,20 Mar,Sunday,March Equinox,Season
mali,2016,26 Mar,Saturday,Martyrs' Day,Public Holiday
mali,2016,28 Mar,Monday,Easter Monday,Public Holiday
mali,2016,1 May,Sunday,Workers' Day,Public Holiday
mali,2016,16 May,Monday,Whit Monday,Public Holiday
mali,2016,25 May,Wednesday,Africa Day,Public Holiday
mali,2016,20 Jun,Monday,June Solstice,Season
mali,2016,3 Jul,Sunday,Leylatoul Qadr,Observance
mali,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
mali,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
mali,2016,22 Sep,Thursday,Independence Day,Public Holiday
mali,2016,22 Sep,Thursday,September Equinox,Season
mali,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
mali,2016,21 Dec,Wednesday,December Solstice,Season
mali,2016,25 Dec,Sunday,Christmas Day,Public Holiday
mali,2017,1 Jan,Sunday,New Year,Public Holiday
mali,2017,20 Jan,Friday,Army Day,Public Holiday
mali,2017,20 Mar,Monday,March Equinox,Season
mali,2017,26 Mar,Sunday,Martyrs' Day,Public Holiday
mali,2017,17 Apr,Monday,Easter Monday,Public Holiday
mali,2017,1 May,Monday,Workers' Day,Public Holiday
mali,2017,25 May,Thursday,Africa Day,Public Holiday
mali,2017,5 Jun,Monday,Whit Monday,Public Holiday
mali,2017,21 Jun,Wednesday,June Solstice,Season
mali,2017,22 Jun,Thursday,Leylatoul Qadr,Observance
mali,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
mali,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
mali,2017,22 Sep,Friday,Independence Day,Public Holiday
mali,2017,22 Sep,Friday,September Equinox,Season
mali,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
mali,2017,21 Dec,Thursday,December Solstice,Season
mali,2017,25 Dec,Monday,Christmas Day,Public Holiday
mali,2018,1 Jan,Monday,New Year,Public Holiday
mali,2018,20 Jan,Saturday,Army Day,Public Holiday
mali,2018,20 Mar,Tuesday,March Equinox,Season
mali,2018,26 Mar,Monday,Martyrs' Day,Public Holiday
mali,2018,2 Apr,Monday,Easter Monday,Public Holiday
mali,2018,1 May,Tuesday,Workers' Day,Public Holiday
mali,2018,21 May,Monday,Whit Monday,Observance
mali,2018,25 May,Friday,Africa Day,Public Holiday
mali,2018,11 Jun,Monday,Leylatoul Qadr,Observance
mali,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
mali,2018,21 Jun,Thursday,June Solstice,Season
mali,2018,22 Aug,Wednesday,Eid al-Adha,Public Holiday
mali,2018,22 Sep,Saturday,Independence Day,Public Holiday
mali,2018,23 Sep,Sunday,September Equinox,Season
mali,2018,21 Nov,Wednesday,The Prophet's Birthday,Public Holiday
mali,2018,27 Nov,Tuesday,Baptism of the Prophet,Public Holiday
mali,2018,21 Dec,Friday,December Solstice,Season
mali,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
mali,2019,1 Jan,Tuesday,New Year,Public Holiday
mali,2019,20 Jan,Sunday,Army Day,Public Holiday
mali,2019,20 Mar,Wednesday,March Equinox,Season
mali,2019,26 Mar,Tuesday,Martyrs' Day,Public Holiday
mali,2019,22 Apr,Monday,Easter Monday,Public Holiday
mali,2019,1 May,Wednesday,Workers' Day,Public Holiday
mali,2019,25 May,Saturday,Africa Day,Public Holiday
mali,2019,1 Jun,Saturday,Leylatoul Qadr,Observance
mali,2019,3 Jun,Monday,Eid al-Fitr,Public Holiday
mali,2019,10 Jun,Monday,Whit Monday,Observance
mali,2019,21 Jun,Friday,June Solstice,Season
mali,2019,11 Aug,Sunday,Eid al-Adha,Public Holiday
mali,2019,22 Sep,Sunday,Independence Day,Public Holiday
mali,2019,23 Sep,Monday,September Equinox,Season
mali,2019,10 Nov,Sunday,The Prophet's Birthday,Public Holiday
mali,2019,16 Nov,Saturday,Baptism of the Prophet,Public Holiday
mali,2019,22 Dec,Sunday,December Solstice,Season
mali,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
mali,2020,1 Jan,Wednesday,New Year,Public Holiday
mali,2020,20 Jan,Monday,Army Day,Public Holiday
mali,2020,20 Mar,Friday,March Equinox,Season
mali,2020,26 Mar,Thursday,Martyrs' Day,Public Holiday
mali,2020,13 Apr,Monday,Easter Monday,Public Holiday
mali,2020,1 May,Friday,Workers' Day,Public Holiday
mali,2020,20 May,Wednesday,Leylatoul Qadr,Observance
mali,2020,23 May,Saturday,Eid al-Fitr,Public Holiday
mali,2020,25 May,Monday,Africa Day,Public Holiday
mali,2020,1 Jun,Monday,Whit Monday,Observance
mali,2020,20 Jun,Saturday,June Solstice,Season
mali,2020,31 Jul,Friday,Eid al-Adha,Public Holiday
mali,2020,22 Sep,Tuesday,Independence Day,Public Holiday
mali,2020,22 Sep,Tuesday,September Equinox,Season
mali,2020,29 Oct,Thursday,The Prophet's Birthday,Public Holiday
mali,2020,5 Nov,Thursday,Baptism of the Prophet,Public Holiday
mali,2020,21 Dec,Monday,December Solstice,Season
mali,2020,25 Dec,Friday,Christmas Day,Public Holiday
mali,2021,1 Jan,Friday,New Year,Public Holiday
mali,2021,20 Jan,Wednesday,Army Day,Public Holiday
mali,2021,20 Mar,Saturday,March Equinox,Season
mali,2021,26 Mar,Friday,Martyrs' Day,Public Holiday
mali,2021,5 Apr,Monday,Easter Monday,Public Holiday
mali,2021,1 May,Saturday,Workers' Day,Public Holiday
mali,2021,9 May,Sunday,Leylatoul Qadr,Observance
mali,2021,12 May,Wednesday,Eid al-Fitr,Public Holiday
mali,2021,24 May,Monday,Whit Monday,Observance
mali,2021,25 May,Tuesday,Africa Day,Public Holiday
mali,2021,21 Jun,Monday,June Solstice,Season
mali,2021,21 Jul,Wednesday,Eid al-Adha,Public Holiday
mali,2021,19 Aug,Thursday,Ashura Holiday,Public Holiday
mali,2021,22 Sep,Wednesday,Independence Day,Public Holiday
mali,2021,22 Sep,Wednesday,September Equinox,Season
mali,2021,19 Oct,Tuesday,The Prophet's Birthday,Public Holiday
mali,2021,25 Oct,Monday,Baptism of the Prophet,Public Holiday
mali,2021,21 Dec,Tuesday,December Solstice,Season
mali,2021,25 Dec,Saturday,Christmas Day,Public Holiday
mali,2022,1 Jan,Saturday,New Year,Public Holiday
mali,2022,20 Jan,Thursday,Army Day,Public Holiday
mali,2022,20 Mar,Sunday,March Equinox,Season
mali,2022,26 Mar,Saturday,Martyrs' Day,Public Holiday
mali,2022,18 Apr,Monday,Easter Monday,Public Holiday
mali,2022,28 Apr,Thursday,Leylatoul Qadr,Public Holiday
mali,2022,1 May,Sunday,Eid al-Fitr,Public Holiday
mali,2022,1 May,Sunday,Workers' Day,Public Holiday
mali,2022,25 May,Wednesday,Africa Day,Public Holiday
mali,2022,6 Jun,Monday,Whit Monday,Observance
mali,2022,21 Jun,Tuesday,June Solstice,Season
mali,2022,9 Jul,Saturday,Eid al-Adha,Public Holiday
mali,2022,8 Aug,Monday,Ashura Holiday,Public Holiday
mali,2022,22 Sep,Thursday,Independence Day,Public Holiday
mali,2022,23 Sep,Friday,Independence Day Holiday,Public Holiday
mali,2022,23 Sep,Friday,September Equinox,Season
mali,2022,9 Oct,Sunday,The Prophet's Birthday,Public Holiday
mali,2022,15 Oct,Saturday,Baptism of the Prophet,Public Holiday
mali,2022,21 Dec,Wednesday,December Solstice,Season
mali,2022,25 Dec,Sunday,Christmas Day,Public Holiday
mali,2023,1 Jan,Sunday,New Year,Public Holiday
mali,2023,14 Jan,Saturday,Day of Regained Sovereignty,Public Holiday
mali,2023,20 Jan,Friday,Army Day,Public Holiday
mali,2023,20 Mar,Monday,March Equinox,Season
mali,2023,23 Mar,Thursday,Ramadan Start,Observance
mali,2023,26 Mar,Sunday,Martyrs' Day,Public Holiday
mali,2023,10 Apr,Monday,Easter Monday,Public Holiday
mali,2023,18 Apr,Tuesday,Leylatoul Qadr,Observance
mali,2023,21 Apr,Friday,Eid al-Fitr,Public Holiday
mali,2023,1 May,Monday,Workers' Day,Public Holiday
mali,2023,25 May,Thursday,Africa Day,Public Holiday
mali,2023,29 May,Monday,Whit Monday,Observance
mali,2023,21 Jun,Wednesday,June Solstice,Season
mali,2023,28 Jun,Wednesday,Eid al-Adha,Public Holiday
mali,2023,28 Jul,Friday,Ashura Holiday,Public Holiday
mali,2023,22 Sep,Friday,Independence Day,Public Holiday
mali,2023,23 Sep,Saturday,September Equinox,Season
mali,2023,28 Sep,Thursday,The Prophet's Birthday,Public Holiday
mali,2023,4 Oct,Wednesday,Baptism of the Prophet,Public Holiday
mali,2023,22 Dec,Friday,December Solstice,Season
mali,2023,25 Dec,Monday,Christmas Day,Public Holiday
mali,2024,1 Jan,Monday,New Year,Public Holiday
mali,2024,20 Jan,Saturday,Army Day,Public Holiday
mali,2024,11 Mar,Monday,Ramadan Start,Observance
mali,2024,20 Mar,Wednesday,March Equinox,Season
mali,2024,26 Mar,Tuesday,Martyrs' Day,Public Holiday
mali,2024,1 Apr,Monday,Easter Monday,Public Holiday
mali,2024,6 Apr,Saturday,Leylatoul Qadr,Observance
mali,2024,10 Apr,Wednesday,Eid al-Fitr (Tentative Date),Public Holiday
mali,2024,1 May,Wednesday,Workers' Day,Public Holiday
mali,2024,20 May,Monday,Whit Monday,Observance
mali,2024,25 May,Saturday,Africa Day,Public Holiday
mali,2024,17 Jun,Monday,Eid al-Adha (Tentative Date),Public Holiday
mali,2024,20 Jun,Thursday,June Solstice,Season
mali,2024,17 Jul,Wednesday,Ashura Holiday (Tentative Date),Public Holiday
mali,2024,16 Sep,Monday,The Prophet's Birthday (Tentative Date),Public Holiday
mali,2024,22 Sep,Sunday,Independence Day,Public Holiday
