Geo,Event Year,Date,Day,Name,Type
marshall-islands,2000,1 Jan,Saturday,New Year's Day,Public Holiday
marshall-islands,2000,1 Mar,Wednesday,Remembrance Day,Public Holiday
marshall-islands,2000,20 Mar,Monday,March Equinox,Season
marshall-islands,2000,21 Apr,Friday,Good Friday,Public Holiday
marshall-islands,2000,1 May,Monday,Constitution Day,Public Holiday
marshall-islands,2000,2 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2000,21 Jun,Wednesday,June Solstice,Season
marshall-islands,2000,7 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2000,1 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2000,23 Sep,Saturday,September Equinox,Season
marshall-islands,2000,29 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2000,17 Nov,Friday,President's Day,Public Holiday
marshall-islands,2000,1 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2000,22 Dec,Friday,December Solstice,Season
marshall-islands,2000,25 Dec,Monday,Christmas Day,Public Holiday
marshall-islands,2000,31 Dec,Sunday,New Year's Eve,Observance
marshall-islands,2001,1 Jan,Monday,New Year's Day,Public Holiday
marshall-islands,2001,1 Mar,Thursday,Remembrance Day,Public Holiday
marshall-islands,2001,21 Mar,Wednesday,March Equinox,Season
marshall-islands,2001,13 Apr,Friday,Good Friday,Public Holiday
marshall-islands,2001,1 May,Tuesday,Constitution Day,Public Holiday
marshall-islands,2001,1 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2001,21 Jun,Thursday,June Solstice,Season
marshall-islands,2001,6 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2001,7 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2001,23 Sep,Sunday,September Equinox,Season
marshall-islands,2001,28 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2001,16 Nov,Friday,Day off for President's Day,Public Holiday
marshall-islands,2001,17 Nov,Saturday,President's Day,Public Holiday
marshall-islands,2001,7 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2001,22 Dec,Saturday,December Solstice,Season
marshall-islands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
marshall-islands,2001,31 Dec,Monday,New Year's Eve,Observance
marshall-islands,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
marshall-islands,2002,1 Mar,Friday,Remembrance Day,Public Holiday
marshall-islands,2002,21 Mar,Thursday,March Equinox,Season
marshall-islands,2002,29 Mar,Friday,Good Friday,Public Holiday
marshall-islands,2002,1 May,Wednesday,Constitution Day,Public Holiday
marshall-islands,2002,7 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2002,22 Jun,Saturday,June Solstice,Season
marshall-islands,2002,5 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2002,6 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2002,23 Sep,Monday,September Equinox,Season
marshall-islands,2002,27 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2002,17 Nov,Sunday,President's Day,Public Holiday
marshall-islands,2002,18 Nov,Monday,Day off for President's Day,Public Holiday
marshall-islands,2002,6 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2002,22 Dec,Sunday,December Solstice,Season
marshall-islands,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
marshall-islands,2002,31 Dec,Tuesday,New Year's Eve,Observance
marshall-islands,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
marshall-islands,2003,28 Feb,Friday,Remembrance Day observed,Public Holiday
marshall-islands,2003,1 Mar,Saturday,Remembrance Day,Public Holiday
marshall-islands,2003,21 Mar,Friday,March Equinox,Season
marshall-islands,2003,18 Apr,Friday,Good Friday,Public Holiday
marshall-islands,2003,1 May,Thursday,Constitution Day,Public Holiday
marshall-islands,2003,6 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2003,22 Jun,Sunday,June Solstice,Season
marshall-islands,2003,4 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2003,5 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2003,23 Sep,Tuesday,September Equinox,Season
marshall-islands,2003,26 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2003,17 Nov,Monday,President's Day,Public Holiday
marshall-islands,2003,5 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2003,22 Dec,Monday,December Solstice,Season
marshall-islands,2003,25 Dec,Thursday,Christmas Day,Public Holiday
marshall-islands,2003,31 Dec,Wednesday,New Year's Eve,Observance
marshall-islands,2004,1 Jan,Thursday,New Year's Day,Public Holiday
marshall-islands,2004,1 Mar,Monday,Remembrance Day,Public Holiday
marshall-islands,2004,20 Mar,Saturday,March Equinox,Season
marshall-islands,2004,9 Apr,Friday,Good Friday,Public Holiday
marshall-islands,2004,30 Apr,Friday,Day off for Constitution Day,Public Holiday
marshall-islands,2004,1 May,Saturday,Constitution Day,Public Holiday
marshall-islands,2004,4 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2004,21 Jun,Monday,June Solstice,Season
marshall-islands,2004,2 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2004,3 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2004,23 Sep,Thursday,September Equinox,Season
marshall-islands,2004,24 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2004,17 Nov,Wednesday,President's Day,Public Holiday
marshall-islands,2004,3 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2004,22 Dec,Wednesday,December Solstice,Season
marshall-islands,2004,24 Dec,Friday,Day off for Christmas Day,Public Holiday
marshall-islands,2004,25 Dec,Saturday,Christmas Day,Public Holiday
marshall-islands,2004,31 Dec,Friday,Day off for New Year's Day,Public Holiday
marshall-islands,2004,31 Dec,Friday,New Year's Eve,Observance
marshall-islands,2005,1 Jan,Saturday,New Year's Day,Public Holiday
marshall-islands,2005,1 Mar,Tuesday,Remembrance Day,Public Holiday
marshall-islands,2005,21 Mar,Monday,March Equinox,Season
marshall-islands,2005,25 Mar,Friday,Good Friday,Public Holiday
marshall-islands,2005,1 May,Sunday,Constitution Day,Public Holiday
marshall-islands,2005,2 May,Monday,Day off for Constitution Day,Public Holiday
marshall-islands,2005,3 Jun,Friday,Youth Day,Public Holiday
marshall-islands,2005,21 Jun,Tuesday,June Solstice,Season
marshall-islands,2005,1 Jul,Friday,Fishermen's Day,Public Holiday
marshall-islands,2005,2 Sep,Friday,Labor Day,Public Holiday
marshall-islands,2005,23 Sep,Friday,September Equinox,Season
marshall-islands,2005,30 Sep,Friday,Manit Day,Public Holiday
marshall-islands,2005,17 Nov,Thursday,President's Day,Public Holiday
marshall-islands,2005,2 Dec,Friday,Gospel Day,Public Holiday
marshall-islands,2005,22 Dec,Thursday,December Solstice,Season
marshall-islands,2005,25 Dec,Sunday,Christmas Day,Public Holiday
marshall-islands,2005,26 Dec,Monday,Day off for Christmas Day,Public Holiday
marshall-islands,2005,31 Dec,Saturday,New Year's Eve,Observance
