Geo,Event Year,Date,Day,Name,Type
mauritius,2000,1 Jan,Saturday,New Year,Public Holiday
mauritius,2000,2 Jan,Sunday,New Year (Day 2),Public Holiday
mauritius,2000,1 Feb,Tuesday,Abolition of Slavery,Public Holiday
mauritius,2000,3 Feb,Thursday,Thaipoosam Cavadee,Public Holiday
mauritius,2000,19 Feb,Saturday,Chinese Spring Festival,Public Holiday
mauritius,2000,12 Mar,Sunday,National Day,Public Holiday
mauritius,2000,20 Mar,Monday,March Equinox,Season
mauritius,2000,1 May,Monday,Labour Day,Public Holiday
mauritius,2000,28 May,Sunday,Mother's Day,Observance
mauritius,2000,18 Jun,Sunday,Father's Day,Observance
mauritius,2000,21 Jun,Wednesday,June Solstice,Season
mauritius,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
mauritius,2000,22 Sep,Friday,September Equinox,Season
mauritius,2000,2 Nov,Thursday,Arrival of Indentured Labourers,Public Holiday
mauritius,2000,21 Dec,Thursday,December Solstice,Season
mauritius,2000,25 Dec,Monday,Christmas Day,Public Holiday
mauritius,2001,1 Jan,Monday,New Year,Public Holiday
mauritius,2001,2 Jan,Tuesday,New Year (Day 2),Public Holiday
mauritius,2001,1 Feb,Thursday,Abolition of Slavery,Public Holiday
mauritius,2001,3 Feb,Saturday,Thaipoosam Cavadee,Public Holiday
mauritius,2001,19 Feb,Monday,Chinese Spring Festival,Public Holiday
mauritius,2001,12 Mar,Monday,National Day,Public Holiday
mauritius,2001,20 Mar,Tuesday,March Equinox,Season
mauritius,2001,1 May,Tuesday,Labour Day,Public Holiday
mauritius,2001,27 May,Sunday,Mother's Day,Observance
mauritius,2001,17 Jun,Sunday,Father's Day,Observance
mauritius,2001,21 Jun,Thursday,June Solstice,Season
mauritius,2001,23 Sep,Sunday,September Equinox,Season
mauritius,2001,1 Nov,Thursday,All Saints Day,Public Holiday
mauritius,2001,2 Nov,Friday,Arrival of Indentured Labourers,Public Holiday
mauritius,2001,21 Dec,Friday,December Solstice,Season
mauritius,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
mauritius,2002,1 Jan,Tuesday,New Year,Public Holiday
mauritius,2002,2 Jan,Wednesday,New Year (Day 2),Public Holiday
mauritius,2002,1 Feb,Friday,Abolition of Slavery,Public Holiday
mauritius,2002,3 Feb,Sunday,Thaipoosam Cavadee,Public Holiday
mauritius,2002,19 Feb,Tuesday,Chinese Spring Festival,Public Holiday
mauritius,2002,12 Mar,Tuesday,National Day,Public Holiday
mauritius,2002,20 Mar,Wednesday,March Equinox,Season
mauritius,2002,1 May,Wednesday,Labour Day,Public Holiday
mauritius,2002,26 May,Sunday,Mother's Day,Observance
mauritius,2002,16 Jun,Sunday,Father's Day,Observance
mauritius,2002,21 Jun,Friday,June Solstice,Season
mauritius,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
mauritius,2002,23 Sep,Monday,September Equinox,Season
mauritius,2002,2 Nov,Saturday,Arrival of Indentured Labourers,Public Holiday
mauritius,2002,22 Dec,Sunday,December Solstice,Season
mauritius,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
mauritius,2003,1 Jan,Wednesday,New Year,Public Holiday
mauritius,2003,2 Jan,Thursday,New Year (Day 2),Public Holiday
mauritius,2003,1 Feb,Saturday,Abolition of Slavery,Public Holiday
mauritius,2003,3 Feb,Monday,Thaipoosam Cavadee,Public Holiday
mauritius,2003,19 Feb,Wednesday,Chinese Spring Festival,Public Holiday
mauritius,2003,12 Mar,Wednesday,National Day,Public Holiday
mauritius,2003,21 Mar,Friday,March Equinox,Season
mauritius,2003,1 May,Thursday,Labour Day,Public Holiday
mauritius,2003,25 May,Sunday,Mother's Day,Observance
mauritius,2003,15 Jun,Sunday,Father's Day,Observance
mauritius,2003,21 Jun,Saturday,June Solstice,Season
mauritius,2003,23 Sep,Tuesday,September Equinox,Season
mauritius,2003,1 Nov,Saturday,All Saints Day,Public Holiday
mauritius,2003,2 Nov,Sunday,Arrival of Indentured Labourers,Public Holiday
mauritius,2003,22 Dec,Monday,December Solstice,Season
mauritius,2003,25 Dec,Thursday,Christmas Day,Public Holiday
mauritius,2004,1 Jan,Thursday,New Year,Public Holiday
mauritius,2004,2 Jan,Friday,New Year (Day 2),Public Holiday
mauritius,2004,1 Feb,Sunday,Abolition of Slavery,Public Holiday
mauritius,2004,3 Feb,Tuesday,Thaipoosam Cavadee,Public Holiday
mauritius,2004,19 Feb,Thursday,Chinese Spring Festival,Public Holiday
mauritius,2004,12 Mar,Friday,National Day,Public Holiday
mauritius,2004,20 Mar,Saturday,March Equinox,Season
mauritius,2004,1 May,Saturday,Labour Day,Public Holiday
mauritius,2004,30 May,Sunday,Mother's Day,Observance
mauritius,2004,20 Jun,Sunday,Father's Day,Observance
mauritius,2004,21 Jun,Monday,June Solstice,Season
mauritius,2004,15 Aug,Sunday,Assumption of Mary,Public Holiday
mauritius,2004,22 Sep,Wednesday,September Equinox,Season
mauritius,2004,2 Nov,Tuesday,Arrival of Indentured Labourers,Public Holiday
mauritius,2004,21 Dec,Tuesday,December Solstice,Season
mauritius,2004,25 Dec,Saturday,Christmas Day,Public Holiday
mauritius,2005,1 Jan,Saturday,New Year,Public Holiday
mauritius,2005,2 Jan,Sunday,New Year (Day 2),Public Holiday
mauritius,2005,1 Feb,Tuesday,Abolition of Slavery,Public Holiday
mauritius,2005,3 Feb,Thursday,Thaipoosam Cavadee,Public Holiday
mauritius,2005,19 Feb,Saturday,Chinese Spring Festival,Public Holiday
mauritius,2005,12 Mar,Saturday,National Day,Public Holiday
mauritius,2005,20 Mar,Sunday,March Equinox,Season
mauritius,2005,1 May,Sunday,Labour Day,Public Holiday
mauritius,2005,29 May,Sunday,Mother's Day,Observance
mauritius,2005,19 Jun,Sunday,Father's Day,Observance
mauritius,2005,21 Jun,Tuesday,June Solstice,Season
mauritius,2005,23 Sep,Friday,September Equinox,Season
mauritius,2005,1 Nov,Tuesday,All Saints Day,Public Holiday
mauritius,2005,2 Nov,Wednesday,Arrival of Indentured Labourers,Public Holiday
mauritius,2005,21 Dec,Wednesday,December Solstice,Season
mauritius,2005,25 Dec,Sunday,Christmas Day,Public Holiday
mauritius,2006,1 Jan,Sunday,New Year,Public Holiday
mauritius,2006,2 Jan,Monday,New Year (Day 2),Public Holiday
mauritius,2006,1 Feb,Wednesday,Abolition of Slavery,Public Holiday
mauritius,2006,3 Feb,Friday,Thaipoosam Cavadee,Public Holiday
mauritius,2006,19 Feb,Sunday,Chinese Spring Festival,Public Holiday
mauritius,2006,12 Mar,Sunday,National Day,Public Holiday
mauritius,2006,20 Mar,Monday,March Equinox,Season
mauritius,2006,1 May,Monday,Labour Day,Public Holiday
mauritius,2006,28 May,Sunday,Mother's Day,Observance
mauritius,2006,18 Jun,Sunday,Father's Day,Observance
mauritius,2006,21 Jun,Wednesday,June Solstice,Season
mauritius,2006,15 Aug,Tuesday,Assumption of Mary,Public Holiday
mauritius,2006,23 Sep,Saturday,September Equinox,Season
mauritius,2006,2 Nov,Thursday,Arrival of Indentured Labourers,Public Holiday
mauritius,2006,22 Dec,Friday,December Solstice,Season
mauritius,2006,25 Dec,Monday,Christmas Day,Public Holiday
mauritius,2007,1 Jan,Monday,New Year,Public Holiday
mauritius,2007,2 Jan,Tuesday,New Year (Day 2),Public Holiday
mauritius,2007,1 Feb,Thursday,Abolition of Slavery,Public Holiday
mauritius,2007,3 Feb,Saturday,Thaipoosam Cavadee,Public Holiday
mauritius,2007,19 Feb,Monday,Chinese Spring Festival,Public Holiday
mauritius,2007,12 Mar,Monday,National Day,Public Holiday
mauritius,2007,21 Mar,Wednesday,March Equinox,Season
mauritius,2007,1 May,Tuesday,Labour Day,Public Holiday
mauritius,2007,27 May,Sunday,Mother's Day,Observance
mauritius,2007,17 Jun,Sunday,Father's Day,Observance
mauritius,2007,21 Jun,Thursday,June Solstice,Season
mauritius,2007,23 Sep,Sunday,September Equinox,Season
mauritius,2007,1 Nov,Thursday,All Saints Day,Public Holiday
mauritius,2007,2 Nov,Friday,Arrival of Indentured Labourers,Public Holiday
mauritius,2007,22 Dec,Saturday,December Solstice,Season
mauritius,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
mauritius,2008,1 Jan,Tuesday,New Year,Public Holiday
mauritius,2008,2 Jan,Wednesday,New Year (Day 2),Public Holiday
mauritius,2008,1 Feb,Friday,Abolition of Slavery,Public Holiday
mauritius,2008,3 Feb,Sunday,Thaipoosam Cavadee,Public Holiday
mauritius,2008,19 Feb,Tuesday,Chinese Spring Festival,Public Holiday
mauritius,2008,5 Mar,Wednesday,Maha Shivaratri,Hindu Holiday
mauritius,2008,12 Mar,Wednesday,National Day,Public Holiday
mauritius,2008,20 Mar,Thursday,March Equinox,Season
mauritius,2008,22 Mar,Saturday,Holi,Hindu Holiday
mauritius,2008,1 May,Thursday,Labour Day,Public Holiday
mauritius,2008,25 May,Sunday,Mother's Day,Observance
mauritius,2008,15 Jun,Sunday,Father's Day,Observance
mauritius,2008,21 Jun,Saturday,June Solstice,Season
mauritius,2008,15 Aug,Friday,Assumption of Mary,Public Holiday
mauritius,2008,16 Aug,Saturday,Raksha Bandhan,Hindu Holiday
mauritius,2008,24 Aug,Sunday,Janmashtami,Hindu Holiday
mauritius,2008,3 Sep,Wednesday,Ganesh Chaturthi,Hindu Holiday
mauritius,2008,22 Sep,Monday,September Equinox,Season
mauritius,2008,9 Oct,Thursday,Dussehra,Hindu Holiday
mauritius,2008,2 Nov,Sunday,Arrival of Indentured Labourers,Public Holiday
mauritius,2008,21 Dec,Sunday,December Solstice,Season
mauritius,2008,25 Dec,Thursday,Christmas Day,Public Holiday
mauritius,2009,1 Jan,Thursday,New Year,Public Holiday
mauritius,2009,2 Jan,Friday,New Year (Day 2),Public Holiday
mauritius,2009,1 Feb,Sunday,Abolition of Slavery,Public Holiday
mauritius,2009,3 Feb,Tuesday,Thaipoosam Cavadee,Public Holiday
mauritius,2009,19 Feb,Thursday,Chinese Spring Festival,Public Holiday
mauritius,2009,22 Feb,Sunday,Maha Shivaratri,Hindu Holiday
mauritius,2009,11 Mar,Wednesday,Holi,Hindu Holiday
mauritius,2009,12 Mar,Thursday,National Day,Public Holiday
mauritius,2009,20 Mar,Friday,March Equinox,Season
mauritius,2009,1 May,Friday,Labour Day,Public Holiday
mauritius,2009,31 May,Sunday,Mother's Day,Observance
mauritius,2009,21 Jun,Sunday,Father's Day,Observance
mauritius,2009,21 Jun,Sunday,June Solstice,Season
mauritius,2009,5 Aug,Wednesday,Raksha Bandhan,Hindu Holiday
mauritius,2009,13 Aug,Thursday,Janmashtami,Hindu Holiday
mauritius,2009,23 Aug,Sunday,Ganesh Chaturthi,Hindu Holiday
mauritius,2009,23 Sep,Wednesday,September Equinox,Season
mauritius,2009,28 Sep,Monday,Dussehra,Hindu Holiday
mauritius,2009,1 Nov,Sunday,All Saints Day,Public Holiday
mauritius,2009,2 Nov,Monday,Arrival of Indentured Labourers,Public Holiday
mauritius,2009,21 Dec,Monday,December Solstice,Season
mauritius,2009,25 Dec,Friday,Christmas Day,Public Holiday
mauritius,2010,1 Jan,Friday,New Year,Public Holiday
mauritius,2010,2 Jan,Saturday,New Year (Day 2),Public Holiday
mauritius,2010,1 Feb,Monday,Abolition of Slavery,Public Holiday
mauritius,2010,3 Feb,Wednesday,Thaipoosam Cavadee,Public Holiday
mauritius,2010,12 Feb,Friday,Maha Shivaratree,Public Holiday
mauritius,2010,19 Feb,Friday,Chinese Spring Festival,Public Holiday
mauritius,2010,28 Feb,Sunday,Holi,Hindu Holiday
mauritius,2010,12 Mar,Friday,National Day,Public Holiday
mauritius,2010,20 Mar,Saturday,March Equinox,Season
mauritius,2010,1 May,Saturday,Labour Day,Public Holiday
mauritius,2010,30 May,Sunday,Mother's Day,Observance
mauritius,2010,20 Jun,Sunday,Father's Day,Observance
mauritius,2010,21 Jun,Monday,June Solstice,Season
mauritius,2010,15 Aug,Sunday,Assumption of Mary,Public Holiday
mauritius,2010,24 Aug,Tuesday,Raksha Bandhan,Hindu Holiday
mauritius,2010,1 Sep,Wednesday,Janmashtami,Hindu Holiday
mauritius,2010,11 Sep,Saturday,Ganesh Chaturthi,Hindu Holiday
mauritius,2010,23 Sep,Thursday,September Equinox,Season
mauritius,2010,16 Oct,Saturday,Dussehra,Hindu Holiday
mauritius,2010,2 Nov,Tuesday,Arrival of Indentured Labourers,Public Holiday
mauritius,2010,22 Dec,Wednesday,December Solstice,Season
mauritius,2010,25 Dec,Saturday,Christmas Day,Public Holiday
mauritius,2011,1 Jan,Saturday,New Year,Public Holiday
mauritius,2011,2 Jan,Sunday,New Year (Day 2),Public Holiday
mauritius,2011,1 Feb,Tuesday,Abolition of Slavery,Public Holiday
mauritius,2011,3 Feb,Thursday,Thaipoosam Cavadee,Public Holiday
mauritius,2011,19 Feb,Saturday,Chinese Spring Festival,Public Holiday
mauritius,2011,2 Mar,Wednesday,Maha Shivaratree,Public Holiday
mauritius,2011,12 Mar,Saturday,National Day,Public Holiday
mauritius,2011,20 Mar,Sunday,Holi,Hindu Holiday
mauritius,2011,21 Mar,Monday,March Equinox,Season
mauritius,2011,1 May,Sunday,Labour Day,Public Holiday
mauritius,2011,29 May,Sunday,Mother's Day,Observance
mauritius,2011,19 Jun,Sunday,Father's Day,Observance
mauritius,2011,21 Jun,Tuesday,June Solstice,Season
mauritius,2011,13 Aug,Saturday,Raksha Bandhan,Hindu Holiday
mauritius,2011,22 Aug,Monday,Janmashtami,Hindu Holiday
mauritius,2011,1 Sep,Thursday,Ganesh Chaturthi,Hindu Holiday
mauritius,2011,23 Sep,Friday,September Equinox,Season
mauritius,2011,6 Oct,Thursday,Dussehra,Hindu Holiday
mauritius,2011,1 Nov,Tuesday,All Saints Day,Public Holiday
mauritius,2011,2 Nov,Wednesday,Arrival of Indentured Labourers,Public Holiday
mauritius,2011,22 Dec,Thursday,December Solstice,Season
mauritius,2011,25 Dec,Sunday,Christmas Day,Public Holiday
mauritius,2012,1 Jan,Sunday,New Year,Public Holiday
mauritius,2012,2 Jan,Monday,New Year (Day 2),Public Holiday
mauritius,2012,1 Feb,Wednesday,Abolition of Slavery,Public Holiday
mauritius,2012,3 Feb,Friday,Thaipoosam Cavadee,Public Holiday
mauritius,2012,19 Feb,Sunday,Chinese Spring Festival,Public Holiday
mauritius,2012,20 Feb,Monday,Maha Shivaratree,Public Holiday
mauritius,2012,8 Mar,Thursday,Holi,Hindu Holiday
mauritius,2012,12 Mar,Monday,National Day,Public Holiday
mauritius,2012,20 Mar,Tuesday,March Equinox,Season
mauritius,2012,1 May,Tuesday,Labour Day,Public Holiday
mauritius,2012,27 May,Sunday,Mother's Day,Observance
mauritius,2012,17 Jun,Sunday,Father's Day,Observance
mauritius,2012,21 Jun,Thursday,June Solstice,Season
mauritius,2012,1 Aug,Wednesday,Raksha Bandhan,Hindu Holiday
mauritius,2012,9 Aug,Thursday,Janmashtami,Hindu Holiday
mauritius,2012,15 Aug,Wednesday,Assumption of Mary,Public Holiday
mauritius,2012,19 Sep,Wednesday,Ganesh Chaturthi,Hindu Holiday
mauritius,2012,22 Sep,Saturday,September Equinox,Season
mauritius,2012,23 Oct,Tuesday,Dussehra,Hindu Holiday
mauritius,2012,2 Nov,Friday,Arrival of Indentured Labourers,Public Holiday
mauritius,2012,21 Dec,Friday,December Solstice,Season
mauritius,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
mauritius,2013,1 Jan,Tuesday,New Year,Public Holiday
mauritius,2013,2 Jan,Wednesday,New Year (Day 2),Public Holiday
mauritius,2013,1 Feb,Friday,Abolition of Slavery,Public Holiday
mauritius,2013,3 Feb,Sunday,Thaipoosam Cavadee,Public Holiday
mauritius,2013,19 Feb,Tuesday,Chinese Spring Festival,Public Holiday
mauritius,2013,10 Mar,Sunday,Maha Shivaratree,Public Holiday
mauritius,2013,12 Mar,Tuesday,National Day,Public Holiday
mauritius,2013,20 Mar,Wednesday,March Equinox,Season
mauritius,2013,27 Mar,Wednesday,Holi,Hindu Holiday
mauritius,2013,1 May,Wednesday,Labour Day,Public Holiday
mauritius,2013,26 May,Sunday,Mother's Day,Observance
mauritius,2013,16 Jun,Sunday,Father's Day,Observance
mauritius,2013,21 Jun,Friday,June Solstice,Season
mauritius,2013,20 Aug,Tuesday,Raksha Bandhan,Hindu Holiday
mauritius,2013,28 Aug,Wednesday,Janmashtami,Hindu Holiday
mauritius,2013,8 Sep,Sunday,Ganesh Chaturthi,Hindu Holiday
mauritius,2013,23 Sep,Monday,September Equinox,Season
mauritius,2013,13 Oct,Sunday,Dussehra,Hindu Holiday
mauritius,2013,1 Nov,Friday,All Saints Day,Public Holiday
mauritius,2013,2 Nov,Saturday,Arrival of Indentured Labourers,Public Holiday
mauritius,2013,21 Dec,Saturday,December Solstice,Season
mauritius,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
mauritius,2014,1 Jan,Wednesday,New Year,Public Holiday
