Geo,Event Year,Date,Day,Name,Type
mayotte,2015,1 Jan,Thursday,New Year's Day,Public Holiday
mayotte,2015,3 Jan,Saturday,The Prophet's Birthday,Optional Holiday
mayotte,2015,21 Mar,Saturday,March Equinox,Season
mayotte,2015,6 Apr,Monday,Easter Monday,Public Holiday
mayotte,2015,27 Apr,Monday,Abolition Day,Public Holiday
mayotte,2015,1 May,Friday,Labour Day,Public Holiday
mayotte,2015,8 May,Friday,Victory Day,Optional Holiday
mayotte,2015,14 May,Thursday,Ascension Day,Optional Holiday
mayotte,2015,16 May,Saturday,Mi'raj,Optional Holiday
mayotte,2015,24 May,Sunday,Whit Sunday,Optional Holiday
mayotte,2015,25 May,Monday,Whit Monday,Optional Holiday
mayotte,2015,21 Jun,Sunday,June Solstice,Season
mayotte,2015,14 Jul,Tuesday,French National Day,Optional Holiday
mayotte,2015,18 Jul,Saturday,Eid al-Fitr,Optional Holiday
mayotte,2015,15 Aug,Saturday,Assumption of Mary,Optional Holiday
mayotte,2015,23 Sep,Wednesday,September Equinox,Season
mayotte,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
mayotte,2015,1 Nov,Sunday,All Saints' Day,Optional Holiday
mayotte,2015,11 Nov,Wednesday,Armistice Day,Optional Holiday
mayotte,2015,22 Dec,Tuesday,December Solstice,Season
mayotte,2015,24 Dec,Thursday,The Prophet's Birthday,Optional Holiday
mayotte,2015,25 Dec,Friday,Christmas Day,Optional Holiday
mayotte,2016,1 Jan,Friday,New Year's Day,Public Holiday
mayotte,2016,20 Mar,Sunday,March Equinox,Season
mayotte,2016,28 Mar,Monday,Easter Monday,Public Holiday
mayotte,2016,27 Apr,Wednesday,Abolition Day,Public Holiday
mayotte,2016,1 May,Sunday,Labour Day,Public Holiday
mayotte,2016,5 May,Thursday,Ascension Day,Optional Holiday
mayotte,2016,5 May,Thursday,Mi'raj,Optional Holiday
mayotte,2016,8 May,Sunday,Victory Day,Optional Holiday
mayotte,2016,15 May,Sunday,Whit Sunday,Optional Holiday
mayotte,2016,16 May,Monday,Whit Monday,Optional Holiday
mayotte,2016,21 Jun,Tuesday,June Solstice,Season
mayotte,2016,7 Jul,Thursday,Eid al-Fitr,Optional Holiday
mayotte,2016,14 Jul,Thursday,French National Day,Optional Holiday
mayotte,2016,15 Aug,Monday,Assumption of Mary,Optional Holiday
mayotte,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
mayotte,2016,22 Sep,Thursday,September Equinox,Season
mayotte,2016,1 Nov,Tuesday,All Saints' Day,Optional Holiday
mayotte,2016,11 Nov,Friday,Armistice Day,Optional Holiday
mayotte,2016,12 Dec,Monday,The Prophet's Birthday,Optional Holiday
mayotte,2016,21 Dec,Wednesday,December Solstice,Season
mayotte,2016,25 Dec,Sunday,Christmas Day,Optional Holiday
mayotte,2017,1 Jan,Sunday,New Year's Day,Public Holiday
mayotte,2017,20 Mar,Monday,March Equinox,Season
mayotte,2017,17 Apr,Monday,Easter Monday,Public Holiday
mayotte,2017,24 Apr,Monday,Mi'raj,Optional Holiday
mayotte,2017,27 Apr,Thursday,Abolition Day,Public Holiday
mayotte,2017,1 May,Monday,Labour Day,Public Holiday
