Geo,Event Year,Date,Day,Name,Type
mexico,2000,1 Jan,Saturday,New Year's Day,National holiday
mexico,2000,6 Jan,Thursday,Day of the Holy Kings,Observance
mexico,2000,2 Feb,Wednesday,Candlemas,Observance
mexico,2000,5 Feb,Saturday,Constitution Day,National holiday
mexico,2000,14 Feb,Monday,Valentine's Day,Observance
mexico,2000,24 Feb,Thursday,Flag Day,Observance
mexico,2000,8 Mar,Wednesday,Ash Wednesday,"Observance, Christian"
mexico,2000,18 Mar,Saturday,Oil Expropriation Day,Observance
mexico,2000,20 Mar,Monday,March Equinox,Season
mexico,2000,21 Mar,Tuesday,Benito Juárez's Birthday Memorial,National holiday
mexico,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
mexico,2000,20 Apr,Thursday,Maundy Thursday,Bank holiday
mexico,2000,21 Apr,Friday,Good Friday,Bank holiday
mexico,2000,22 Apr,Saturday,Holy Saturday,Observance
mexico,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
mexico,2000,30 Apr,Sunday,Children's Day,Observance
mexico,2000,1 May,Monday,Labor Day / May Day,National holiday
mexico,2000,5 May,Friday,Battle of Puebla (Cinco de Mayo),Common local holiday
mexico,2000,10 May,Wednesday,Mothers' Day,Observance
mexico,2000,15 May,Monday,Teacher's Day,Observance
mexico,2000,1 Jun,Thursday,Ascension Day,Observance
mexico,2000,11 Jun,Sunday,Whit Sunday,Observance
mexico,2000,18 Jun,Sunday,Fathers' Day,Observance
mexico,2000,20 Jun,Tuesday,June Solstice,Season
mexico,2000,22 Jun,Thursday,Corpus Christi,Observance
mexico,2000,2 Jul,Sunday,General Election Day,National holiday
mexico,2000,15 Aug,Tuesday,Assumption of Mary,Observance
mexico,2000,15 Sep,Friday,Shout of Dolores,Observance
mexico,2000,16 Sep,Saturday,Independence Day,National holiday
mexico,2000,22 Sep,Friday,September Equinox,Season
mexico,2000,12 Oct,Thursday,Day of Race,Observance
mexico,2000,31 Oct,Tuesday,Halloween,Observance
mexico,2000,1 Nov,Wednesday,All Saints' Day,Observance
mexico,2000,2 Nov,Thursday,All Souls' Day,Observance
mexico,2000,20 Nov,Monday,Revolution Day Memorial,National holiday
mexico,2000,26 Nov,Sunday,Christ the King Day,Observance
mexico,2000,1 Dec,Friday,Inauguration day,National holiday
mexico,2000,8 Dec,Friday,Feast of the Immaculate Conception,Observance
mexico,2000,12 Dec,Tuesday,Day of the Virgin of Guadalupe,Observance
