Geo,Event Year,Date,Day,Name,Type
moldova,2010,1 Jan,Friday,New Year's Day,National holiday
moldova,2010,7 Jan,Thursday,Orthodox Christmas Day,"National holiday, Orthodox"
moldova,2010,8 Jan,Friday,Orthodox Christmas Day holiday,"National holiday, Orthodox"
moldova,2010,15 Jan,Friday,Mihai Eminescu Commemoration Day,Observance
moldova,2010,27 Jan,Wednesday,Holocaust Remembrance Day,Observance
moldova,2010,14 Feb,Sunday,Valentine's Day,Observance
moldova,2010,15 Feb,Monday,Day of Commemoration of the Victims of the Afghanistan War,Observance
moldova,2010,1 Mar,Monday,Martisor (first day of spring),Observance
moldova,2010,2 Mar,Tuesday,Remembrance and Gratitude Day,Observance
moldova,2010,8 Mar,Monday,International Women's Day,National holiday
moldova,2010,20 Mar,Saturday,March Equinox,Season
moldova,2010,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
moldova,2010,2 Apr,Friday,Orthodox Good Friday,"Observance, Orthodox"
moldova,2010,3 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
moldova,2010,4 Apr,Sunday,Orthodox Easter Sunday,"National holiday, Orthodox"
moldova,2010,5 Apr,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
moldova,2010,7 Apr,Wednesday,Remembrance and Freedom Day,Observance
moldova,2010,12 Apr,Monday,Memorial Day/Parents' Day,National holiday
moldova,2010,17 Apr,Saturday,Day of Victims of Organized Famine of 1946-1947,Observance
moldova,2010,26 Apr,Monday,Day of Victims of Nuclear Accidents,Observance
moldova,2010,27 Apr,Tuesday,State Flag Day,Observance
moldova,2010,28 Apr,Wednesday,Occupational Health and Safety Day,Observance
moldova,2010,1 May,Saturday,International Day of Solidarity of Workers,National holiday
moldova,2010,9 May,Sunday,Victory Day,National holiday
moldova,2010,9 May,Sunday,Europe Day,Observance
moldova,2010,15 May,Saturday,Family Day,Observance
moldova,2010,22 May,Saturday,Bălți Day,Local holiday
moldova,2010,30 May,Sunday,Dniester Day,Observance
moldova,2010,1 Jun,Tuesday,International Children's Day,Observance
moldova,2010,5 Jun,Saturday,World Environment Day,Observance
moldova,2010,21 Jun,Monday,June Solstice,Season
moldova,2010,22 Jun,Tuesday,Victims of Fascism Day,Observance
moldova,2010,23 Jun,Wednesday,Statehood Day,Observance
moldova,2010,26 Jun,Saturday,Day Against Illicit Drug Consumption and Trafficking,Observance
moldova,2010,27 Jun,Sunday,Peoples Port Day,Observance
moldova,2010,30 Jun,Wednesday,Competition Day,Observance
moldova,2010,2 Jul,Friday,Stephen the Great Day,Observance
moldova,2010,6 Jul,Tuesday,Victims of Stalinism Day,Observance
moldova,2010,29 Jul,Thursday,Constitution Day,Observance
moldova,2010,27 Aug,Friday,Independence Day,National holiday
moldova,2010,31 Aug,Tuesday,Language Day,National holiday
moldova,2010,23 Sep,Thursday,September Equinox,Season
moldova,2010,25 Sep,Saturday,National Apple Festival,Observance
moldova,2010,26 Sep,Sunday,National Apple Festival,Observance
moldova,2010,10 Oct,Sunday,Wine Day,Observance
moldova,2010,14 Oct,Thursday,Chișinău Day,Local holiday
moldova,2010,16 Oct,Saturday,National Food Day,Observance
moldova,2010,31 Oct,Sunday,Halloween,Observance
moldova,2010,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
moldova,2010,21 Nov,Sunday,Cahul Day,Local holiday
moldova,2010,10 Dec,Friday,International Human Rights Day,Observance
moldova,2010,22 Dec,Wednesday,December Solstice,Season
moldova,2010,24 Dec,Friday,Christmas Eve,Observance
moldova,2010,25 Dec,Saturday,Christmas Day,National holiday
moldova,2010,31 Dec,Friday,New Year's Eve,Observance
moldova,2011,1 Jan,Saturday,New Year's Day,National holiday
moldova,2011,7 Jan,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
moldova,2011,8 Jan,Saturday,Orthodox Christmas Day holiday,"National holiday, Orthodox"
moldova,2011,15 Jan,Saturday,Mihai Eminescu Commemoration Day,Observance
moldova,2011,27 Jan,Thursday,Holocaust Remembrance Day,Observance
moldova,2011,14 Feb,Monday,Valentine's Day,Observance
moldova,2011,15 Feb,Tuesday,Day of Commemoration of the Victims of the Afghanistan War,Observance
moldova,2011,1 Mar,Tuesday,Martisor (first day of spring),Observance
moldova,2011,2 Mar,Wednesday,Remembrance and Gratitude Day,Observance
moldova,2011,8 Mar,Tuesday,International Women's Day,National holiday
moldova,2011,21 Mar,Monday,March Equinox,Season
moldova,2011,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
moldova,2011,7 Apr,Thursday,Remembrance and Freedom Day,Observance
moldova,2011,16 Apr,Saturday,Day of Victims of Organized Famine of 1946-1947,Observance
moldova,2011,22 Apr,Friday,Orthodox Good Friday,"Observance, Orthodox"
moldova,2011,23 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
moldova,2011,24 Apr,Sunday,Orthodox Easter Sunday,"National holiday, Orthodox"
moldova,2011,25 Apr,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
moldova,2011,26 Apr,Tuesday,Day of Victims of Nuclear Accidents,Observance
moldova,2011,27 Apr,Wednesday,State Flag Day,Observance
moldova,2011,28 Apr,Thursday,Occupational Health and Safety Day,Observance
moldova,2011,1 May,Sunday,International Day of Solidarity of Workers,National holiday
moldova,2011,2 May,Monday,Memorial Day/Parents' Day,National holiday
moldova,2011,9 May,Monday,Victory Day,National holiday
moldova,2011,9 May,Monday,Europe Day,Observance
moldova,2011,15 May,Sunday,Family Day,Observance
moldova,2011,22 May,Sunday,Bălți Day,Local holiday
moldova,2011,29 May,Sunday,Dniester Day,Observance
moldova,2011,1 Jun,Wednesday,International Children's Day,Observance
moldova,2011,5 Jun,Sunday,World Environment Day,Observance
moldova,2011,21 Jun,Tuesday,June Solstice,Season
moldova,2011,22 Jun,Wednesday,Victims of Fascism Day,Observance
moldova,2011,23 Jun,Thursday,Statehood Day,Observance
moldova,2011,26 Jun,Sunday,Day Against Illicit Drug Consumption and Trafficking,Observance
moldova,2011,26 Jun,Sunday,Peoples Port Day,Observance
moldova,2011,30 Jun,Thursday,Competition Day,Observance
moldova,2011,2 Jul,Saturday,Stephen the Great Day,Observance
moldova,2011,6 Jul,Wednesday,Victims of Stalinism Day,Observance
moldova,2011,29 Jul,Friday,Constitution Day,Observance
moldova,2011,27 Aug,Saturday,Independence Day,National holiday
moldova,2011,31 Aug,Wednesday,Language Day,National holiday
moldova,2011,23 Sep,Friday,September Equinox,Season
moldova,2011,24 Sep,Saturday,National Apple Festival,Observance
moldova,2011,25 Sep,Sunday,National Apple Festival,Observance
moldova,2011,9 Oct,Sunday,Wine Day,Observance
moldova,2011,14 Oct,Friday,Chișinău Day,Local holiday
moldova,2011,16 Oct,Sunday,National Food Day,Observance
moldova,2011,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
moldova,2011,31 Oct,Monday,Halloween,Observance
moldova,2011,21 Nov,Monday,Cahul Day,Local holiday
moldova,2011,10 Dec,Saturday,International Human Rights Day,Observance
moldova,2011,22 Dec,Thursday,December Solstice,Season
moldova,2011,24 Dec,Saturday,Christmas Eve,Observance
moldova,2011,25 Dec,Sunday,Christmas Day,National holiday
moldova,2011,31 Dec,Saturday,New Year's Eve,Observance
moldova,2012,1 Jan,Sunday,New Year's Day,National holiday
moldova,2012,7 Jan,Saturday,Orthodox Christmas Day,"National holiday, Orthodox"
moldova,2012,8 Jan,Sunday,Orthodox Christmas Day holiday,"National holiday, Orthodox"
moldova,2012,15 Jan,Sunday,Mihai Eminescu Commemoration Day,Observance
moldova,2012,27 Jan,Friday,Holocaust Remembrance Day,Observance
moldova,2012,14 Feb,Tuesday,Valentine's Day,Observance
moldova,2012,15 Feb,Wednesday,Day of Commemoration of the Victims of the Afghanistan War,Observance
moldova,2012,1 Mar,Thursday,Martisor (first day of spring),Observance
moldova,2012,2 Mar,Friday,Remembrance and Gratitude Day,Observance
moldova,2012,8 Mar,Thursday,International Women's Day,National holiday
moldova,2012,20 Mar,Tuesday,March Equinox,Season
moldova,2012,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
moldova,2012,7 Apr,Saturday,Remembrance and Freedom Day,Observance
moldova,2012,13 Apr,Friday,Orthodox Good Friday,"Observance, Orthodox"
moldova,2012,14 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
moldova,2012,15 Apr,Sunday,Orthodox Easter Sunday,"National holiday, Orthodox"
