Geo,Event Year,Date,Day,Name,Type
morocco,2003,1 Jan,Wednesday,New Year's Day,National holiday
morocco,2003,11 Jan,Saturday,Anniversary of the Independence Manifesto,National holiday
morocco,2003,14 Jan,Tuesday,Amazigh New Year,Observance
morocco,2003,12 Feb,Wednesday,Eid al-Adha,National holiday
morocco,2003,13 Feb,Thursday,Eid al-Adha Holiday,National holiday
morocco,2003,5 Mar,Wednesday,Hijra New Year,National holiday
morocco,2003,21 Mar,Friday,March Equinox,Season
morocco,2003,1 May,Thursday,Labour Day/May Day,National holiday
morocco,2003,14 May,Wednesday,The Prophet Muhammad's Birthday,National holiday
morocco,2003,21 Jun,Saturday,June Solstice,Season
morocco,2003,30 Jul,Wednesday,Feast of the Throne,National holiday
morocco,2003,14 Aug,Thursday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
morocco,2003,20 Aug,Wednesday,Anniversary of the Revolution of the King and the People,National holiday
morocco,2003,21 Aug,Thursday,Youth Day,National holiday
morocco,2003,23 Sep,Tuesday,September Equinox,Season
morocco,2003,27 Oct,Monday,Ramadan Start,Observance
morocco,2003,6 Nov,Thursday,Anniversary of the Green March,National holiday
morocco,2003,18 Nov,Tuesday,Independence Day,National holiday
morocco,2003,26 Nov,Wednesday,Eid al-Fitr,National holiday
morocco,2003,27 Nov,Thursday,Eid al-Fitr holiday,National holiday
morocco,2003,22 Dec,Monday,December Solstice,Season
morocco,2004,1 Jan,Thursday,New Year's Day,National holiday
morocco,2004,11 Jan,Sunday,Anniversary of the Independence Manifesto,National holiday
morocco,2004,14 Jan,Wednesday,Amazigh New Year,Observance
morocco,2004,2 Feb,Monday,Eid al-Adha,National holiday
morocco,2004,3 Feb,Tuesday,Eid al-Adha Holiday,National holiday
morocco,2004,22 Feb,Sunday,Hijra New Year,National holiday
morocco,2004,20 Mar,Saturday,March Equinox,Season
morocco,2004,1 May,Saturday,Labour Day/May Day,National holiday
morocco,2004,2 May,Sunday,The Prophet Muhammad's Birthday,National holiday
morocco,2004,21 Jun,Monday,June Solstice,Season
morocco,2004,30 Jul,Friday,Feast of the Throne,National holiday
morocco,2004,14 Aug,Saturday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
morocco,2004,20 Aug,Friday,Anniversary of the Revolution of the King and the People,National holiday
morocco,2004,21 Aug,Saturday,Youth Day,National holiday
morocco,2004,22 Sep,Wednesday,September Equinox,Season
morocco,2004,15 Oct,Friday,Ramadan Start,Observance
morocco,2004,6 Nov,Saturday,Anniversary of the Green March,National holiday
morocco,2004,14 Nov,Sunday,Eid al-Fitr,National holiday
morocco,2004,15 Nov,Monday,Eid al-Fitr holiday,National holiday
morocco,2004,18 Nov,Thursday,Independence Day,National holiday
morocco,2004,21 Dec,Tuesday,December Solstice,Season
morocco,2005,1 Jan,Saturday,New Year's Day,National holiday
morocco,2005,11 Jan,Tuesday,Anniversary of the Independence Manifesto,National holiday
morocco,2005,14 Jan,Friday,Amazigh New Year,Observance
morocco,2005,21 Jan,Friday,Eid al-Adha,National holiday
morocco,2005,22 Jan,Saturday,Eid al-Adha Holiday,National holiday
morocco,2005,10 Feb,Thursday,Hijra New Year,National holiday
morocco,2005,20 Mar,Sunday,March Equinox,Season
morocco,2005,21 Apr,Thursday,The Prophet Muhammad's Birthday,National holiday
morocco,2005,1 May,Sunday,Labour Day/May Day,National holiday
morocco,2005,21 Jun,Tuesday,June Solstice,Season
morocco,2005,30 Jul,Saturday,Feast of the Throne,National holiday
morocco,2005,14 Aug,Sunday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
morocco,2005,20 Aug,Saturday,Anniversary of the Revolution of the King and the People,National holiday
morocco,2005,21 Aug,Sunday,Youth Day,National holiday
morocco,2005,22 Sep,Thursday,September Equinox,Season
morocco,2005,5 Oct,Wednesday,Ramadan Start,Observance
morocco,2005,4 Nov,Friday,Eid al-Fitr,National holiday
morocco,2005,5 Nov,Saturday,Eid al-Fitr holiday,National holiday
morocco,2005,6 Nov,Sunday,Anniversary of the Green March,National holiday
morocco,2005,18 Nov,Friday,Independence Day,National holiday
