Geo,Event Year,Date,Day,Name,Type
mozambique,2000,1 Jan,Saturday,New Year,Public Holiday
mozambique,2000,3 Feb,Thursday,Mozambican Heroes Day,Public Holiday
mozambique,2000,20 Mar,Monday,March Equinox,Season
mozambique,2000,7 Apr,Friday,Mozambican Woman's Day,Public Holiday
mozambique,2000,21 Apr,Friday,Good Friday,Observance
mozambique,2000,1 May,Monday,May Day,Public Holiday
mozambique,2000,21 Jun,Wednesday,June Solstice,Season
mozambique,2000,25 Jun,Sunday,Independence Day,Public Holiday
mozambique,2000,26 Jun,Monday,Independence Day observed,Public Holiday
mozambique,2000,7 Sep,Thursday,Victory Day,Public Holiday
mozambique,2000,22 Sep,Friday,September Equinox,Season
mozambique,2000,25 Sep,Monday,Armed Forces Day,Public Holiday
mozambique,2000,4 Oct,Wednesday,Peace and Reconciliation Day,Public Holiday
mozambique,2000,21 Dec,Thursday,December Solstice,Season
mozambique,2000,25 Dec,Monday,Family Day,Public Holiday
mozambique,2001,1 Jan,Monday,New Year,Public Holiday
mozambique,2001,3 Feb,Saturday,Mozambican Heroes Day,Public Holiday
mozambique,2001,20 Mar,Tuesday,March Equinox,Season
mozambique,2001,7 Apr,Saturday,Mozambican Woman's Day,Public Holiday
mozambique,2001,13 Apr,Friday,Good Friday,Observance
mozambique,2001,1 May,Tuesday,May Day,Public Holiday
mozambique,2001,21 Jun,Thursday,June Solstice,Season
mozambique,2001,25 Jun,Monday,Independence Day,Public Holiday
mozambique,2001,7 Sep,Friday,Victory Day,Public Holiday
mozambique,2001,23 Sep,Sunday,September Equinox,Season
mozambique,2001,25 Sep,Tuesday,Armed Forces Day,Public Holiday
mozambique,2001,4 Oct,Thursday,Peace and Reconciliation Day,Public Holiday
mozambique,2001,21 Dec,Friday,December Solstice,Season
mozambique,2001,25 Dec,Tuesday,Family Day,Public Holiday
mozambique,2002,1 Jan,Tuesday,New Year,Public Holiday
mozambique,2002,3 Feb,Sunday,Mozambican Heroes Day,Public Holiday
mozambique,2002,4 Feb,Monday,Mozambican Heroes Day observed,Public Holiday
mozambique,2002,20 Mar,Wednesday,March Equinox,Season
