Geo,Event Year,Date,Day,Name,Type
myanmar,2000,1 Jan,Saturday,New Year Holiday,Public Holiday
myanmar,2000,4 Jan,Tuesday,Independence Day,Public Holiday
myanmar,2000,12 Feb,Saturday,Union Day,Public Holiday
myanmar,2000,3 Mar,Friday,Peasants' Day,Public Holiday
myanmar,2000,20 Mar,Monday,March Equinox,Season
myanmar,2000,27 Mar,Monday,Armed Forces' Day,Public Holiday
myanmar,2000,1 May,Monday,Labor Day / May Day,Public Holiday
myanmar,2000,21 Jun,Wednesday,June Solstice,Season
myanmar,2000,19 Jul,Wednesday,Martyrs' Day,Public Holiday
myanmar,2000,22 Sep,Friday,September Equinox,Season
myanmar,2000,21 Dec,Thursday,December Solstice,Season
myanmar,2000,25 Dec,Monday,Christmas Day,Public Holiday
myanmar,2000,31 Dec,Sunday,New Year Holiday,Public Holiday
myanmar,2001,1 Jan,Monday,New Year Holiday,Public Holiday
myanmar,2001,4 Jan,Thursday,Independence Day,Public Holiday
myanmar,2001,12 Feb,Monday,Union Day,Public Holiday
myanmar,2001,3 Mar,Saturday,Peasants' Day,Public Holiday
myanmar,2001,20 Mar,Tuesday,March Equinox,Season
myanmar,2001,27 Mar,Tuesday,Armed Forces' Day,Public Holiday
myanmar,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
myanmar,2001,21 Jun,Thursday,June Solstice,Season
myanmar,2001,19 Jul,Thursday,Martyrs' Day,Public Holiday
myanmar,2001,23 Sep,Sunday,September Equinox,Season
myanmar,2001,22 Dec,Saturday,December Solstice,Season
myanmar,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
myanmar,2001,31 Dec,Monday,New Year Holiday,Public Holiday
myanmar,2002,1 Jan,Tuesday,New Year Holiday,Public Holiday
myanmar,2002,4 Jan,Friday,Independence Day,Public Holiday
myanmar,2002,12 Feb,Tuesday,Union Day,Public Holiday
myanmar,2002,3 Mar,Sunday,Peasants' Day,Public Holiday
myanmar,2002,21 Mar,Thursday,March Equinox,Season
myanmar,2002,27 Mar,Wednesday,Armed Forces' Day,Public Holiday
myanmar,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
myanmar,2002,21 Jun,Friday,June Solstice,Season
myanmar,2002,19 Jul,Friday,Martyrs' Day,Public Holiday
myanmar,2002,23 Sep,Monday,September Equinox,Season
myanmar,2002,22 Dec,Sunday,December Solstice,Season
myanmar,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
myanmar,2002,31 Dec,Tuesday,New Year Holiday,Public Holiday
myanmar,2003,1 Jan,Wednesday,New Year Holiday,Public Holiday
myanmar,2003,4 Jan,Saturday,Independence Day,Public Holiday
myanmar,2003,12 Feb,Wednesday,Union Day,Public Holiday
