Geo,Event Year,Date,Day,Name,Type
nepal,2015,21 Mar,Saturday,March Equinox,Season
nepal,2015,14 Apr,Tuesday,Nepali New Year,Public Holiday
nepal,2015,24 Apr,Friday,Loktantra Diwas,Public Holiday
nepal,2015,4 May,Monday,Birth Anniversary of Lord Gautama Buddha,Public Holiday
nepal,2015,28 May,Thursday,National Day,Public Holiday
nepal,2015,21 Jun,Sunday,June Solstice,Season
nepal,2015,8 Sep,Tuesday,Civil Service Day,Public Holiday
nepal,2015,23 Sep,Wednesday,September Equinox,Season
nepal,2015,22 Oct,Thursday,Maha Nawami (Dashain Festival),Public Holiday
nepal,2015,23 Oct,Friday,Bijaya Dashami (Dashain Festival),Public Holiday
nepal,2015,12 Nov,Thursday,Gobardhan Pooja (Tihar Festival),Public Holiday
nepal,2015,13 Nov,Friday,Bhai Tika (Tihar Festival),Public Holiday
nepal,2015,14 Nov,Saturday,Bhai Tika (Tihar Festival),Public Holiday
nepal,2015,22 Dec,Tuesday,December Solstice,Season
nepal,2015,25 Dec,Friday,Christmas Day,Public Holiday
nepal,2016,15 Jan,Friday,Maghe Sankranti,Optional Holiday
nepal,2016,30 Jan,Saturday,Martyrs' Memorial Day,Public Holiday
nepal,2016,9 Feb,Tuesday,Sonam Losar (Tamang New Year),Optional Holiday
nepal,2016,10 Feb,Wednesday,Sushil Koirala Funeral Day,Public Holiday
nepal,2016,19 Feb,Friday,National Democracy Day,Public Holiday
nepal,2016,7 Mar,Monday,Maha Shivaratri,Public Holiday
nepal,2016,8 Mar,Tuesday,Nari Dibas,Public Holiday
nepal,2016,9 Mar,Wednesday,Gyalpo Losar,Optional Holiday
nepal,2016,20 Mar,Sunday,March Equinox,Season
nepal,2016,22 Mar,Tuesday,Holi Purnima (Hill region),Local holiday
nepal,2016,23 Mar,Wednesday,Holi Purnima (Terai region),Local holiday
nepal,2016,7 Apr,Thursday,Godhe Yatra,Local holiday
nepal,2016,13 Apr,Wednesday,Nepali New Year,Public Holiday
nepal,2016,15 Apr,Friday,Ram Nawami,Public Holiday
nepal,2016,24 Apr,Sunday,Loktantra Diwas,Public Holiday
nepal,2016,1 May,Sunday,Majdoor Divas,Public Holiday
nepal,2016,20 May,Friday,Buddha Jayanti,Public Holiday
nepal,2016,27 May,Friday,Ganatantra Diwas (Republic Day),Public Holiday
nepal,2016,21 Jun,Tuesday,June Solstice,Season
nepal,2016,6 Jul,Wednesday,Ramjan Edul Fikra,Optional Holiday
nepal,2016,18 Aug,Thursday,Janai Purnima,Public Holiday
nepal,2016,19 Aug,Friday,Gai Jatra,Public Holiday
nepal,2016,25 Aug,Thursday,Gaura Parba,Optional Holiday
nepal,2016,25 Aug,Thursday,Shree Krishna Janamashtami,Public Holiday
nepal,2016,7 Sep,Wednesday,Civil Service Day,Public Holiday
nepal,2016,12 Sep,Monday,Edul Aajaha,Optional Holiday
nepal,2016,15 Sep,Thursday,Indra Jatra,Local holiday
nepal,2016,19 Sep,Monday,Constitution Day,Public Holiday
