Geo,Event Year,Date,Day,Name,Type
niger,2000,1 Jan,Saturday,New Year,Public Holiday
niger,2000,4 Jan,Tuesday,Lailat al-Qadr,Public Holiday
niger,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
niger,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
niger,2000,17 Mar,Friday,Eid al-Adha Holiday,Public Holiday
niger,2000,20 Mar,Monday,March Equinox,Season
niger,2000,6 Apr,Thursday,Muharram,Public Holiday
niger,2000,24 Apr,Monday,Easter Monday,Public Holiday
niger,2000,24 Apr,Monday,Concord Day,Public Holiday
niger,2000,1 May,Monday,Labour Day,Public Holiday
niger,2000,15 Jun,Thursday,The Prophet's Birthday,Public Holiday
niger,2000,18 Jun,Sunday,Father's Day,Observance
niger,2000,21 Jun,Wednesday,June Solstice,Season
niger,2000,3 Aug,Thursday,Nigerien Independence Day,Public Holiday
niger,2000,22 Sep,Friday,September Equinox,Season
niger,2000,18 Dec,Monday,Nigerien Republic Day,Public Holiday
niger,2000,21 Dec,Thursday,December Solstice,Season
niger,2000,24 Dec,Sunday,Lailat al-Qadr,Public Holiday
niger,2000,25 Dec,Monday,Christmas Day,Public Holiday
niger,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
niger,2001,1 Jan,Monday,New Year,Public Holiday
niger,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
niger,2001,7 Mar,Wednesday,Eid al-Adha Holiday,Public Holiday
niger,2001,20 Mar,Tuesday,March Equinox,Season
niger,2001,26 Mar,Monday,Muharram,Public Holiday
niger,2001,16 Apr,Monday,Easter Monday,Public Holiday
niger,2001,24 Apr,Tuesday,Concord Day,Public Holiday
niger,2001,1 May,Tuesday,Labour Day,Public Holiday
niger,2001,4 Jun,Monday,The Prophet's Birthday,Public Holiday
niger,2001,17 Jun,Sunday,Father's Day,Observance
niger,2001,21 Jun,Thursday,June Solstice,Season
niger,2001,3 Aug,Friday,Nigerien Independence Day,Public Holiday
niger,2001,23 Sep,Sunday,September Equinox,Season
niger,2001,13 Dec,Thursday,Lailat al-Qadr,Public Holiday
niger,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
niger,2001,18 Dec,Tuesday,Nigerien Republic Day,Public Holiday
niger,2001,21 Dec,Friday,December Solstice,Season
niger,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
niger,2002,1 Jan,Tuesday,New Year,Public Holiday
niger,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
niger,2002,24 Feb,Sunday,Eid al-Adha Holiday,Public Holiday
niger,2002,15 Mar,Friday,Muharram,Public Holiday
niger,2002,20 Mar,Wednesday,March Equinox,Season
niger,2002,1 Apr,Monday,Easter Monday,Public Holiday
niger,2002,24 Apr,Wednesday,Concord Day,Public Holiday
niger,2002,1 May,Wednesday,Labour Day,Public Holiday
niger,2002,24 May,Friday,The Prophet's Birthday,Public Holiday
niger,2002,16 Jun,Sunday,Father's Day,Observance
niger,2002,21 Jun,Friday,June Solstice,Season
niger,2002,3 Aug,Saturday,Nigerien Independence Day,Public Holiday
niger,2002,23 Sep,Monday,September Equinox,Season
niger,2002,2 Dec,Monday,Lailat al-Qadr,Public Holiday
niger,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
niger,2002,18 Dec,Wednesday,Nigerien Republic Day,Public Holiday
niger,2002,22 Dec,Sunday,December Solstice,Season
niger,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
niger,2003,1 Jan,Wednesday,New Year,Public Holiday
niger,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
niger,2003,13 Feb,Thursday,Eid al-Adha Holiday,Public Holiday
niger,2003,5 Mar,Wednesday,Muharram,Public Holiday
niger,2003,21 Mar,Friday,March Equinox,Season
niger,2003,21 Apr,Monday,Easter Monday,Public Holiday
niger,2003,24 Apr,Thursday,Concord Day,Public Holiday
niger,2003,1 May,Thursday,Labour Day,Public Holiday
niger,2003,14 May,Wednesday,The Prophet's Birthday,Public Holiday
niger,2003,15 Jun,Sunday,Father's Day,Observance
niger,2003,21 Jun,Saturday,June Solstice,Season
niger,2003,3 Aug,Sunday,Nigerien Independence Day,Public Holiday
niger,2003,23 Sep,Tuesday,September Equinox,Season
niger,2003,22 Nov,Saturday,Lailat al-Qadr,Public Holiday
niger,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
niger,2003,18 Dec,Thursday,Nigerien Republic Day,Public Holiday
niger,2003,22 Dec,Monday,December Solstice,Season
niger,2003,25 Dec,Thursday,Christmas Day,Public Holiday
niger,2004,1 Jan,Thursday,New Year,Public Holiday
niger,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
niger,2004,3 Feb,Tuesday,Eid al-Adha Holiday,Public Holiday
niger,2004,22 Feb,Sunday,Muharram,Public Holiday
niger,2004,20 Mar,Saturday,March Equinox,Season
niger,2004,12 Apr,Monday,Easter Monday,Public Holiday
niger,2004,24 Apr,Saturday,Concord Day,Public Holiday
niger,2004,1 May,Saturday,Labour Day,Public Holiday
niger,2004,2 May,Sunday,The Prophet's Birthday,Public Holiday
niger,2004,20 Jun,Sunday,Father's Day,Observance
niger,2004,21 Jun,Monday,June Solstice,Season
niger,2004,3 Aug,Tuesday,Nigerien Independence Day,Public Holiday
niger,2004,22 Sep,Wednesday,September Equinox,Season
niger,2004,11 Nov,Thursday,Lailat al-Qadr,Public Holiday
niger,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
niger,2004,18 Dec,Saturday,Nigerien Republic Day,Public Holiday
niger,2004,21 Dec,Tuesday,December Solstice,Season
niger,2004,25 Dec,Saturday,Christmas Day,Public Holiday
niger,2005,1 Jan,Saturday,New Year,Public Holiday
niger,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
niger,2005,22 Jan,Saturday,Eid al-Adha Holiday,Public Holiday
niger,2005,10 Feb,Thursday,Muharram,Public Holiday
niger,2005,20 Mar,Sunday,March Equinox,Season
niger,2005,28 Mar,Monday,Easter Monday,Public Holiday
niger,2005,21 Apr,Thursday,The Prophet's Birthday,Public Holiday
niger,2005,24 Apr,Sunday,Concord Day,Public Holiday
niger,2005,1 May,Sunday,Labour Day,Public Holiday
niger,2005,19 Jun,Sunday,Father's Day,Observance
niger,2005,21 Jun,Tuesday,June Solstice,Season
niger,2005,3 Aug,Wednesday,Nigerien Independence Day,Public Holiday
niger,2005,22 Sep,Thursday,September Equinox,Season
niger,2005,31 Oct,Monday,Lailat al-Qadr,Public Holiday
niger,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
niger,2005,18 Dec,Sunday,Nigerien Republic Day,Public Holiday
niger,2005,21 Dec,Wednesday,December Solstice,Season
niger,2005,25 Dec,Sunday,Christmas Day,Public Holiday
niger,2006,1 Jan,Sunday,New Year,Public Holiday
niger,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
niger,2006,11 Jan,Wednesday,Eid al-Adha Holiday,Public Holiday
niger,2006,31 Jan,Tuesday,Muharram,Public Holiday
niger,2006,20 Mar,Monday,March Equinox,Season
niger,2006,11 Apr,Tuesday,The Prophet's Birthday,Public Holiday
niger,2006,17 Apr,Monday,Easter Monday,Public Holiday
niger,2006,24 Apr,Monday,Concord Day,Public Holiday
niger,2006,1 May,Monday,Labour Day,Public Holiday
niger,2006,18 Jun,Sunday,Father's Day,Observance
niger,2006,21 Jun,Wednesday,June Solstice,Season
niger,2006,3 Aug,Thursday,Nigerien Independence Day,Public Holiday
niger,2006,23 Sep,Saturday,September Equinox,Season
niger,2006,20 Oct,Friday,Lailat al-Qadr,Public Holiday
niger,2006,24 Oct,Tuesday,Eid al-Fitr,Public Holiday
niger,2006,18 Dec,Monday,Nigerien Republic Day,Public Holiday
niger,2006,22 Dec,Friday,December Solstice,Season
niger,2006,25 Dec,Monday,Christmas Day,Public Holiday
niger,2006,31 Dec,Sunday,Eid al-Adha,Public Holiday
niger,2007,1 Jan,Monday,New Year,Public Holiday
niger,2007,1 Jan,Monday,Eid al-Adha Holiday,Public Holiday
niger,2007,20 Jan,Saturday,Muharram,Public Holiday
niger,2007,21 Mar,Wednesday,March Equinox,Season
niger,2007,31 Mar,Saturday,The Prophet's Birthday,Public Holiday
niger,2007,9 Apr,Monday,Easter Monday,Public Holiday
niger,2007,24 Apr,Tuesday,Concord Day,Public Holiday
niger,2007,1 May,Tuesday,Labour Day,Public Holiday
niger,2007,17 Jun,Sunday,Father's Day,Observance
niger,2007,21 Jun,Thursday,June Solstice,Season
niger,2007,3 Aug,Friday,Nigerien Independence Day,Public Holiday
niger,2007,23 Sep,Sunday,September Equinox,Season
niger,2007,9 Oct,Tuesday,Lailat al-Qadr,Public Holiday
niger,2007,13 Oct,Saturday,Eid al-Fitr,Public Holiday
niger,2007,18 Dec,Tuesday,Nigerien Republic Day,Public Holiday
niger,2007,20 Dec,Thursday,Eid al-Adha,Public Holiday
niger,2007,21 Dec,Friday,Eid al-Adha Holiday,Public Holiday
niger,2007,22 Dec,Saturday,December Solstice,Season
niger,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
niger,2008,1 Jan,Tuesday,New Year,Public Holiday
niger,2008,10 Jan,Thursday,Muharram,Public Holiday
niger,2008,20 Mar,Thursday,The Prophet's Birthday,Public Holiday
niger,2008,20 Mar,Thursday,March Equinox,Season
niger,2008,24 Mar,Monday,Easter Monday,Public Holiday
niger,2008,24 Apr,Thursday,Concord Day,Public Holiday
niger,2008,1 May,Thursday,Labour Day,Public Holiday
niger,2008,15 Jun,Sunday,Father's Day,Observance
niger,2008,21 Jun,Saturday,June Solstice,Season
