Geo,Event Year,Date,Day,Name,Type
nigeria,2000,1 Jan,Saturday,New Year's Day,Public Holiday
nigeria,2000,8 Jan,Saturday,Id el Fitr,Public Holiday
nigeria,2000,14 Feb,Monday,Valentine's Day,Observance
nigeria,2000,8 Mar,Wednesday,Ash Wednesday,"Observance, Christian"
nigeria,2000,8 Mar,Wednesday,Women's Day,Observance
nigeria,2000,16 Mar,Thursday,Id el Kabir,Public Holiday
nigeria,2000,20 Mar,Monday,March Equinox,Season
nigeria,2000,2 Apr,Sunday,Mothering Sunday,Observance
nigeria,2000,21 Apr,Friday,Good Friday,Public Holiday
nigeria,2000,22 Apr,Saturday,Holy Saturday,"Observance, Christian"
nigeria,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
nigeria,2000,24 Apr,Monday,Easter Monday,Public Holiday
nigeria,2000,1 May,Monday,Workers' Day,Public Holiday
nigeria,2000,27 May,Saturday,Children's Day,Observance
nigeria,2000,29 May,Monday,Democracy Day,Public Holiday
nigeria,2000,15 Jun,Thursday,Id el Maulud,Public Holiday
nigeria,2000,18 Jun,Sunday,Father's Day,Observance
nigeria,2000,21 Jun,Wednesday,June Solstice,Season
nigeria,2000,22 Sep,Friday,September Equinox,Season
nigeria,2000,1 Oct,Sunday,National Day,Public Holiday
nigeria,2000,21 Dec,Thursday,December Solstice,Season
nigeria,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
nigeria,2000,25 Dec,Monday,Christmas Day,Public Holiday
nigeria,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
nigeria,2000,28 Dec,Thursday,Id el Fitr,Public Holiday
nigeria,2000,31 Dec,Sunday,New Year's Eve,Observance
nigeria,2001,1 Jan,Monday,New Year's Day,Public Holiday
nigeria,2001,14 Feb,Wednesday,Valentine's Day,Observance
nigeria,2001,28 Feb,Wednesday,Ash Wednesday,"Observance, Christian"
nigeria,2001,6 Mar,Tuesday,Id el Kabir,Public Holiday
nigeria,2001,8 Mar,Thursday,Women's Day,Observance
nigeria,2001,20 Mar,Tuesday,March Equinox,Season
nigeria,2001,25 Mar,Sunday,Mothering Sunday,Observance
nigeria,2001,13 Apr,Friday,Good Friday,Public Holiday
nigeria,2001,14 Apr,Saturday,Holy Saturday,"Observance, Christian"
nigeria,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
nigeria,2001,16 Apr,Monday,Easter Monday,Public Holiday
nigeria,2001,1 May,Tuesday,Workers' Day,Public Holiday
nigeria,2001,27 May,Sunday,Children's Day,Observance
nigeria,2001,29 May,Tuesday,Democracy Day,Public Holiday
nigeria,2001,4 Jun,Monday,Id el Maulud,Public Holiday
nigeria,2001,17 Jun,Sunday,Father's Day,Observance
nigeria,2001,21 Jun,Thursday,June Solstice,Season
nigeria,2001,23 Sep,Sunday,September Equinox,Season
nigeria,2001,1 Oct,Monday,National Day,Public Holiday
nigeria,2001,17 Dec,Monday,Id el Fitr,Public Holiday
nigeria,2001,21 Dec,Friday,December Solstice,Season
nigeria,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
nigeria,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
nigeria,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
nigeria,2001,31 Dec,Monday,New Year's Eve,Observance
nigeria,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
nigeria,2002,13 Feb,Wednesday,Ash Wednesday,"Observance, Christian"
nigeria,2002,14 Feb,Thursday,Valentine's Day,Observance
nigeria,2002,23 Feb,Saturday,Id el Kabir,Public Holiday
nigeria,2002,8 Mar,Friday,Women's Day,Observance
nigeria,2002,10 Mar,Sunday,Mothering Sunday,Observance
nigeria,2002,20 Mar,Wednesday,March Equinox,Season
nigeria,2002,29 Mar,Friday,Good Friday,Public Holiday
nigeria,2002,30 Mar,Saturday,Holy Saturday,"Observance, Christian"
nigeria,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
nigeria,2002,1 Apr,Monday,Easter Monday,Public Holiday
nigeria,2002,1 May,Wednesday,Workers' Day,Public Holiday
nigeria,2002,24 May,Friday,Id el Maulud,Public Holiday
nigeria,2002,27 May,Monday,Children's Day,Observance
nigeria,2002,29 May,Wednesday,Democracy Day,Public Holiday
nigeria,2002,16 Jun,Sunday,Father's Day,Observance
nigeria,2002,21 Jun,Friday,June Solstice,Season
nigeria,2002,23 Sep,Monday,September Equinox,Season
nigeria,2002,1 Oct,Tuesday,National Day,Public Holiday
nigeria,2002,6 Dec,Friday,Id el Fitr,Public Holiday
nigeria,2002,22 Dec,Sunday,December Solstice,Season
nigeria,2002,24 Dec,Tuesday,Christmas Eve,"Observance, Christian"
nigeria,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
nigeria,2002,26 Dec,Thursday,Boxing Day,Public Holiday
nigeria,2002,31 Dec,Tuesday,New Year's Eve,Observance
nigeria,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
nigeria,2003,12 Feb,Wednesday,Id el Kabir,Public Holiday
nigeria,2003,14 Feb,Friday,Valentine's Day,Observance
nigeria,2003,5 Mar,Wednesday,Ash Wednesday,"Observance, Christian"
nigeria,2003,8 Mar,Saturday,Women's Day,Observance
nigeria,2003,21 Mar,Friday,March Equinox,Season
nigeria,2003,30 Mar,Sunday,Mothering Sunday,Observance
nigeria,2003,18 Apr,Friday,Good Friday,Public Holiday
nigeria,2003,19 Apr,Saturday,Holy Saturday,"Observance, Christian"
nigeria,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
nigeria,2003,21 Apr,Monday,Easter Monday,Public Holiday
nigeria,2003,1 May,Thursday,Workers' Day,Public Holiday
nigeria,2003,14 May,Wednesday,Id el Maulud,Public Holiday
nigeria,2003,27 May,Tuesday,Children's Day,Observance
nigeria,2003,29 May,Thursday,Democracy Day,Public Holiday
nigeria,2003,15 Jun,Sunday,Father's Day,Observance
nigeria,2003,21 Jun,Saturday,June Solstice,Season
nigeria,2003,23 Sep,Tuesday,September Equinox,Season
nigeria,2003,1 Oct,Wednesday,National Day,Public Holiday
nigeria,2003,26 Nov,Wednesday,Id el Fitr,Public Holiday
nigeria,2003,22 Dec,Monday,December Solstice,Season
nigeria,2003,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
nigeria,2003,25 Dec,Thursday,Christmas Day,Public Holiday
nigeria,2003,26 Dec,Friday,Boxing Day,Public Holiday
nigeria,2003,31 Dec,Wednesday,New Year's Eve,Observance
nigeria,2004,1 Jan,Thursday,New Year's Day,Public Holiday
nigeria,2004,2 Feb,Monday,Id el Kabir,Public Holiday
nigeria,2004,14 Feb,Saturday,Valentine's Day,Observance
nigeria,2004,25 Feb,Wednesday,Ash Wednesday,"Observance, Christian"
nigeria,2004,8 Mar,Monday,Women's Day,Observance
nigeria,2004,20 Mar,Saturday,March Equinox,Season
nigeria,2004,21 Mar,Sunday,Mothering Sunday,Observance
nigeria,2004,9 Apr,Friday,Good Friday,Public Holiday
nigeria,2004,10 Apr,Saturday,Holy Saturday,"Observance, Christian"
nigeria,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
nigeria,2004,12 Apr,Monday,Easter Monday,Public Holiday
nigeria,2004,1 May,Saturday,Workers' Day,Public Holiday
nigeria,2004,2 May,Sunday,Id el Maulud,Public Holiday
