Geo,Event Year,Date,Day,Name,Type
norfolk-island,2000,1 Jan,Saturday,New Year's Day,Public Holiday
norfolk-island,2000,26 Jan,Wednesday,Australia Day,Public Holiday
norfolk-island,2000,6 Mar,Monday,Foundation Day,Public Holiday
norfolk-island,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2000,8 Mar,Wednesday,Ash Wednesday,Observance
norfolk-island,2000,20 Mar,Monday,March Equinox,Season
norfolk-island,2000,16 Apr,Sunday,Palm Sunday,Observance
norfolk-island,2000,20 Apr,Thursday,Maundy Thursday,Observance
norfolk-island,2000,21 Apr,Friday,Good Friday,Public Holiday
norfolk-island,2000,23 Apr,Sunday,Easter Sunday,Public Holiday
norfolk-island,2000,24 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2000,8 Jun,Thursday,Bounty Day,Public Holiday
norfolk-island,2000,12 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2000,21 Jun,Wednesday,June Solstice,Season
norfolk-island,2000,2 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2000,23 Sep,Saturday,September Equinox,Season
norfolk-island,2000,9 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2000,29 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2000,22 Dec,Friday,December Solstice,Season
norfolk-island,2000,24 Dec,Sunday,Christmas Eve,Observance
norfolk-island,2000,25 Dec,Monday,Christmas Day,Public Holiday
norfolk-island,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
norfolk-island,2000,31 Dec,Sunday,New Year's Eve,Observance
norfolk-island,2001,1 Jan,Monday,New Year's Day,Public Holiday
norfolk-island,2001,26 Jan,Friday,Australia Day,Public Holiday
norfolk-island,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2001,28 Feb,Wednesday,Ash Wednesday,Observance
norfolk-island,2001,6 Mar,Tuesday,Foundation Day,Public Holiday
norfolk-island,2001,21 Mar,Wednesday,March Equinox,Season
norfolk-island,2001,8 Apr,Sunday,Palm Sunday,Observance
norfolk-island,2001,12 Apr,Thursday,Maundy Thursday,Observance
norfolk-island,2001,13 Apr,Friday,Good Friday,Public Holiday
norfolk-island,2001,15 Apr,Sunday,Easter Sunday,Public Holiday
norfolk-island,2001,16 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2001,8 Jun,Friday,Bounty Day,Public Holiday
norfolk-island,2001,11 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2001,21 Jun,Thursday,June Solstice,Season
norfolk-island,2001,1 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2001,23 Sep,Sunday,September Equinox,Season
norfolk-island,2001,8 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2001,28 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2001,22 Dec,Saturday,December Solstice,Season
norfolk-island,2001,24 Dec,Monday,Christmas Eve,Observance
norfolk-island,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
norfolk-island,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
norfolk-island,2001,31 Dec,Monday,New Year's Eve,Observance
norfolk-island,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
norfolk-island,2002,26 Jan,Saturday,Australia Day,Public Holiday
norfolk-island,2002,12 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2002,13 Feb,Wednesday,Ash Wednesday,Observance
norfolk-island,2002,6 Mar,Wednesday,Foundation Day,Public Holiday
norfolk-island,2002,21 Mar,Thursday,March Equinox,Season
norfolk-island,2002,24 Mar,Sunday,Palm Sunday,Observance
norfolk-island,2002,28 Mar,Thursday,Maundy Thursday,Observance
norfolk-island,2002,29 Mar,Friday,Good Friday,Public Holiday
norfolk-island,2002,31 Mar,Sunday,Easter Sunday,Public Holiday
norfolk-island,2002,1 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2002,8 Jun,Saturday,Bounty Day,Public Holiday
norfolk-island,2002,10 Jun,Monday,Day off for Bounty Day,Public Holiday
norfolk-island,2002,10 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2002,22 Jun,Saturday,June Solstice,Season
norfolk-island,2002,7 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2002,23 Sep,Monday,September Equinox,Season
norfolk-island,2002,14 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2002,27 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2002,22 Dec,Sunday,December Solstice,Season
norfolk-island,2002,24 Dec,Tuesday,Christmas Eve,Observance
norfolk-island,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
norfolk-island,2002,26 Dec,Thursday,Boxing Day,Public Holiday
norfolk-island,2002,31 Dec,Tuesday,New Year's Eve,Observance
norfolk-island,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
norfolk-island,2003,26 Jan,Sunday,Australia Day,Public Holiday
norfolk-island,2003,4 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2003,5 Mar,Wednesday,Ash Wednesday,Observance
norfolk-island,2003,6 Mar,Thursday,Foundation Day,Public Holiday
norfolk-island,2003,21 Mar,Friday,March Equinox,Season
norfolk-island,2003,13 Apr,Sunday,Palm Sunday,Observance
norfolk-island,2003,17 Apr,Thursday,Maundy Thursday,Observance
norfolk-island,2003,18 Apr,Friday,Good Friday,Public Holiday
norfolk-island,2003,20 Apr,Sunday,Easter Sunday,Public Holiday
norfolk-island,2003,21 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2003,8 Jun,Sunday,Bounty Day,Public Holiday
norfolk-island,2003,9 Jun,Monday,Day off for Bounty Day,Public Holiday
norfolk-island,2003,9 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2003,22 Jun,Sunday,June Solstice,Season
norfolk-island,2003,6 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2003,23 Sep,Tuesday,September Equinox,Season
norfolk-island,2003,13 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2003,26 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2003,22 Dec,Monday,December Solstice,Season
norfolk-island,2003,24 Dec,Wednesday,Christmas Eve,Observance
norfolk-island,2003,25 Dec,Thursday,Christmas Day,Public Holiday
norfolk-island,2003,26 Dec,Friday,Boxing Day,Public Holiday
norfolk-island,2003,31 Dec,Wednesday,New Year's Eve,Observance
norfolk-island,2004,1 Jan,Thursday,New Year's Day,Public Holiday
norfolk-island,2004,26 Jan,Monday,Australia Day,Public Holiday
norfolk-island,2004,24 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2004,25 Feb,Wednesday,Ash Wednesday,Observance
norfolk-island,2004,6 Mar,Saturday,Foundation Day,Public Holiday
norfolk-island,2004,20 Mar,Saturday,March Equinox,Season
norfolk-island,2004,4 Apr,Sunday,Palm Sunday,Observance
norfolk-island,2004,8 Apr,Thursday,Maundy Thursday,Observance
norfolk-island,2004,9 Apr,Friday,Good Friday,Public Holiday
norfolk-island,2004,11 Apr,Sunday,Easter Sunday,Public Holiday
norfolk-island,2004,12 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2004,8 Jun,Tuesday,Bounty Day,Public Holiday
norfolk-island,2004,14 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2004,21 Jun,Monday,June Solstice,Season
norfolk-island,2004,4 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2004,23 Sep,Thursday,September Equinox,Season
norfolk-island,2004,11 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2004,24 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2004,22 Dec,Wednesday,December Solstice,Season
norfolk-island,2004,24 Dec,Friday,Christmas Eve,Observance
norfolk-island,2004,25 Dec,Saturday,Christmas Day,Public Holiday
norfolk-island,2004,26 Dec,Sunday,Boxing Day,Public Holiday
norfolk-island,2004,31 Dec,Friday,New Year's Eve,Observance
norfolk-island,2005,1 Jan,Saturday,New Year's Day,Public Holiday
norfolk-island,2005,26 Jan,Wednesday,Australia Day,Public Holiday
norfolk-island,2005,8 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2005,9 Feb,Wednesday,Ash Wednesday,Observance
norfolk-island,2005,6 Mar,Sunday,Foundation Day,Public Holiday
norfolk-island,2005,7 Mar,Monday,Day off for Foundation Day,Public Holiday
norfolk-island,2005,20 Mar,Sunday,Palm Sunday,Observance
norfolk-island,2005,21 Mar,Monday,March Equinox,Season
norfolk-island,2005,24 Mar,Thursday,Maundy Thursday,Observance
norfolk-island,2005,25 Mar,Friday,Good Friday,Public Holiday
norfolk-island,2005,27 Mar,Sunday,Easter Sunday,Public Holiday
norfolk-island,2005,28 Mar,Monday,Easter Monday,Public Holiday
norfolk-island,2005,8 Jun,Wednesday,Bounty Day,Public Holiday
norfolk-island,2005,13 Jun,Monday,Sovereign's Birthday,Public Holiday
norfolk-island,2005,21 Jun,Tuesday,June Solstice,Season
norfolk-island,2005,3 Jul,Sunday,First Day of NAIDOC Week,Observance
norfolk-island,2005,23 Sep,Friday,September Equinox,Season
norfolk-island,2005,10 Oct,Monday,Norfolk Island Agricultural Show Day,Public Holiday
norfolk-island,2005,30 Nov,Wednesday,Thanksgiving Day,Public Holiday
norfolk-island,2005,22 Dec,Thursday,December Solstice,Season
norfolk-island,2005,24 Dec,Saturday,Christmas Eve,Observance
norfolk-island,2005,25 Dec,Sunday,Christmas Day,Public Holiday
norfolk-island,2005,26 Dec,Monday,Boxing Day,Public Holiday
norfolk-island,2005,31 Dec,Saturday,New Year's Eve,Observance
norfolk-island,2006,1 Jan,Sunday,New Year's Day,Public Holiday
norfolk-island,2006,26 Jan,Thursday,Australia Day,Public Holiday
norfolk-island,2006,28 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
norfolk-island,2006,1 Mar,Wednesday,Ash Wednesday,Observance
norfolk-island,2006,6 Mar,Monday,Foundation Day,Public Holiday
norfolk-island,2006,21 Mar,Tuesday,March Equinox,Season
norfolk-island,2006,9 Apr,Sunday,Palm Sunday,Observance
norfolk-island,2006,13 Apr,Thursday,Maundy Thursday,Observance
norfolk-island,2006,14 Apr,Friday,Good Friday,Public Holiday
norfolk-island,2006,16 Apr,Sunday,Easter Sunday,Public Holiday
norfolk-island,2006,17 Apr,Monday,Easter Monday,Public Holiday
norfolk-island,2006,8 Jun,Thursday,Bounty Day,Public Holiday
