Geo,Event Year,Date,Day,Name,Type
norway,2000,1 Jan,Saturday,New Year's Day,National holiday
norway,2000,13 Feb,Sunday,Mothers' Day,Observance
norway,2000,14 Feb,Monday,Valentine's Day,Observance
norway,2000,21 Feb,Monday,King Harald V's Day,Flag day
norway,2000,5 Mar,Sunday,Carnival,Observance
norway,2000,20 Mar,Monday,March Equinox,Season
norway,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
norway,2000,16 Apr,Sunday,Palm Sunday,Observance
norway,2000,20 Apr,Thursday,Maundy Thursday,National holiday
norway,2000,21 Apr,Friday,Good Friday,National holiday
norway,2000,22 Apr,Saturday,Holy Saturday,Observance
norway,2000,23 Apr,Sunday,Easter Sunday,National holiday
norway,2000,24 Apr,Monday,Easter Monday,National holiday
norway,2000,1 May,Monday,Labor Day,"National holiday, Flag day"
norway,2000,8 May,Monday,Day of Liberation,"Observance, Flag day"
norway,2000,17 May,Wednesday,17 May Constitution Day (1814),"National holiday, Flag day"
norway,2000,1 Jun,Thursday,Ascension Day,National holiday
norway,2000,7 Jun,Wednesday,Dissolution of Union With Sweden (1905),Flag day
norway,2000,10 Jun,Saturday,Whit Saturday,Observance
norway,2000,11 Jun,Sunday,Whit Sunday,National holiday
norway,2000,12 Jun,Monday,Whit Monday,National holiday
norway,2000,21 Jun,Wednesday,June Solstice,Season
norway,2000,23 Jun,Friday,Midsummer Eve,Observance
norway,2000,24 Jun,Saturday,St. John's Day,Observance
norway,2000,4 Jul,Tuesday,Queen Sonja's Day,Flag day
norway,2000,20 Jul,Thursday,Crown Prince Haakon's Day,Flag day
norway,2000,29 Jul,Saturday,St. Olaf's Day,Flag day
norway,2000,22 Sep,Friday,Princess Märtha's Day,Flag day
norway,2000,22 Sep,Friday,September Equinox,Season
norway,2000,24 Oct,Tuesday,United Nations Day,Observance
norway,2000,29 Oct,Sunday,Repentance Day,Observance
norway,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
norway,2000,31 Oct,Tuesday,Halloween,Observance
norway,2000,5 Nov,Sunday,All Saints' Day,Observance
norway,2000,12 Nov,Sunday,Fathers' Day,Observance
norway,2000,3 Dec,Sunday,First Advent Sunday,Observance
norway,2000,10 Dec,Sunday,Second Advent Sunday,Observance
norway,2000,17 Dec,Sunday,Third Advent Sunday,Observance
norway,2000,21 Dec,Thursday,December Solstice,Season
norway,2000,24 Dec,Sunday,Fourth Advent Sunday,Observance
norway,2000,24 Dec,Sunday,Christmas Eve,Bank Holiday / Observance
norway,2000,25 Dec,Monday,Christmas Day,National holiday
norway,2000,26 Dec,Tuesday,Boxing Day,National holiday
norway,2000,31 Dec,Sunday,New Year's Eve,Observance
norway,2001,1 Jan,Monday,New Year's Day,National holiday
norway,2001,11 Feb,Sunday,Mothers' Day,Observance
norway,2001,14 Feb,Wednesday,Valentine's Day,Observance
norway,2001,21 Feb,Wednesday,King Harald V's Day,Flag day
norway,2001,25 Feb,Sunday,Carnival,Observance
norway,2001,20 Mar,Tuesday,March Equinox,Season
norway,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
norway,2001,8 Apr,Sunday,Palm Sunday,Observance
norway,2001,12 Apr,Thursday,Maundy Thursday,National holiday
norway,2001,13 Apr,Friday,Good Friday,National holiday
norway,2001,14 Apr,Saturday,Holy Saturday,Observance
norway,2001,15 Apr,Sunday,Easter Sunday,National holiday
norway,2001,16 Apr,Monday,Easter Monday,National holiday
norway,2001,1 May,Tuesday,Labor Day,"National holiday, Flag day"
norway,2001,8 May,Tuesday,Day of Liberation,"Observance, Flag day"
norway,2001,17 May,Thursday,17 May Constitution Day (1814),"National holiday, Flag day"
norway,2001,24 May,Thursday,Ascension Day,National holiday
norway,2001,2 Jun,Saturday,Whit Saturday,Observance
norway,2001,3 Jun,Sunday,Whit Sunday,National holiday
norway,2001,4 Jun,Monday,Whit Monday,National holiday
norway,2001,7 Jun,Thursday,Dissolution of Union With Sweden (1905),Flag day
norway,2001,21 Jun,Thursday,June Solstice,Season
norway,2001,23 Jun,Saturday,Midsummer Eve,Observance
norway,2001,24 Jun,Sunday,St. John's Day,Observance
norway,2001,4 Jul,Wednesday,Queen Sonja's Day,Flag day
norway,2001,20 Jul,Friday,Crown Prince Haakon's Day,Flag day
norway,2001,29 Jul,Sunday,St. Olaf's Day,Flag day
norway,2001,10 Sep,Monday,Election Day,Flag day
norway,2001,22 Sep,Saturday,Princess Märtha's Day,Flag day
norway,2001,23 Sep,Sunday,September Equinox,Season
norway,2001,24 Oct,Wednesday,United Nations Day,Observance
norway,2001,28 Oct,Sunday,Repentance Day,Observance
norway,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
norway,2001,31 Oct,Wednesday,Halloween,Observance
norway,2001,4 Nov,Sunday,All Saints' Day,Observance
norway,2001,11 Nov,Sunday,Fathers' Day,Observance
norway,2001,2 Dec,Sunday,First Advent Sunday,Observance
norway,2001,9 Dec,Sunday,Second Advent Sunday,Observance
norway,2001,16 Dec,Sunday,Third Advent Sunday,Observance
norway,2001,21 Dec,Friday,December Solstice,Season
norway,2001,23 Dec,Sunday,Fourth Advent Sunday,Observance
norway,2001,24 Dec,Monday,Christmas Eve,Bank Holiday / Observance
norway,2001,25 Dec,Tuesday,Christmas Day,National holiday
norway,2001,26 Dec,Wednesday,Boxing Day,National holiday
norway,2001,31 Dec,Monday,New Year's Eve,Observance
norway,2002,1 Jan,Tuesday,New Year's Day,National holiday
norway,2002,10 Feb,Sunday,Mothers' Day,Observance
norway,2002,10 Feb,Sunday,Carnival,Observance
norway,2002,14 Feb,Thursday,Valentine's Day,Observance
norway,2002,21 Feb,Thursday,King Harald V's Day,Flag day
norway,2002,20 Mar,Wednesday,March Equinox,Season
norway,2002,24 Mar,Sunday,Palm Sunday,Observance
norway,2002,28 Mar,Thursday,Maundy Thursday,National holiday
norway,2002,29 Mar,Friday,Good Friday,National holiday
norway,2002,30 Mar,Saturday,Holy Saturday,Observance
norway,2002,31 Mar,Sunday,Easter Sunday,National holiday
norway,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
norway,2002,1 Apr,Monday,Easter Monday,National holiday
norway,2002,1 May,Wednesday,Labor Day,"National holiday, Flag day"
norway,2002,8 May,Wednesday,Day of Liberation,"Observance, Flag day"
norway,2002,9 May,Thursday,Ascension Day,National holiday
norway,2002,17 May,Friday,17 May Constitution Day (1814),"National holiday, Flag day"
norway,2002,18 May,Saturday,Whit Saturday,Observance
norway,2002,19 May,Sunday,Whit Sunday,National holiday
norway,2002,20 May,Monday,Whit Monday,National holiday
norway,2002,7 Jun,Friday,Dissolution of Union With Sweden (1905),Flag day
norway,2002,21 Jun,Friday,June Solstice,Season
norway,2002,23 Jun,Sunday,Midsummer Eve,Observance
norway,2002,24 Jun,Monday,St. John's Day,Observance
norway,2002,4 Jul,Thursday,Queen Sonja's Day,Flag day
norway,2002,20 Jul,Saturday,Crown Prince Haakon's Day,Flag day
norway,2002,29 Jul,Monday,St. Olaf's Day,Flag day
norway,2002,19 Aug,Monday,Crown Princess Mette-Marit's Day,Flag day
norway,2002,22 Sep,Sunday,Princess Märtha's Day,Flag day
norway,2002,23 Sep,Monday,September Equinox,Season
norway,2002,24 Oct,Thursday,United Nations Day,Observance
norway,2002,27 Oct,Sunday,Repentance Day,Observance
norway,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
norway,2002,31 Oct,Thursday,Halloween,Observance
norway,2002,3 Nov,Sunday,All Saints' Day,Observance
norway,2002,10 Nov,Sunday,Fathers' Day,Observance
norway,2002,1 Dec,Sunday,First Advent Sunday,Observance
norway,2002,8 Dec,Sunday,Second Advent Sunday,Observance
norway,2002,15 Dec,Sunday,Third Advent Sunday,Observance
norway,2002,22 Dec,Sunday,Fourth Advent Sunday,Observance
norway,2002,22 Dec,Sunday,December Solstice,Season
norway,2002,24 Dec,Tuesday,Christmas Eve,Bank Holiday / Observance
norway,2002,25 Dec,Wednesday,Christmas Day,National holiday
norway,2002,26 Dec,Thursday,Boxing Day,National holiday
norway,2002,31 Dec,Tuesday,New Year's Eve,Observance
norway,2003,1 Jan,Wednesday,New Year's Day,National holiday
norway,2003,9 Feb,Sunday,Mothers' Day,Observance
norway,2003,14 Feb,Friday,Valentine's Day,Observance
norway,2003,21 Feb,Friday,King Harald V's Day,Flag day
norway,2003,2 Mar,Sunday,Carnival,Observance
norway,2003,21 Mar,Friday,March Equinox,Season
norway,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
norway,2003,13 Apr,Sunday,Palm Sunday,Observance
norway,2003,17 Apr,Thursday,Maundy Thursday,National holiday
norway,2003,18 Apr,Friday,Good Friday,National holiday
norway,2003,19 Apr,Saturday,Holy Saturday,Observance
norway,2003,20 Apr,Sunday,Easter Sunday,National holiday
norway,2003,21 Apr,Monday,Easter Monday,National holiday
