Geo,Event Year,Date,Day,Name,Type
palau,2000,1 Jan,Saturday,New Year's Day,Public Holiday
palau,2000,15 Mar,Wednesday,Youth Day,Public Holiday
palau,2000,20 Mar,Monday,March Equinox,Season
palau,2000,5 May,Friday,Senior Citizens Day,Public Holiday
palau,2000,1 Jun,Thursday,President's Day,Public Holiday
palau,2000,21 Jun,Wednesday,June Solstice,Season
palau,2000,9 Jul,Sunday,Constitution Day,Public Holiday
palau,2000,10 Jul,Monday,Day off for Constitution Day,Public Holiday
palau,2000,4 Sep,Monday,Labor Day,Public Holiday
palau,2000,23 Sep,Saturday,September Equinox,Season
palau,2000,1 Oct,Sunday,Independence Day,Public Holiday
palau,2000,2 Oct,Monday,Day off for Independence Day,Public Holiday
palau,2000,24 Oct,Tuesday,United Nations Day,Public Holiday
palau,2000,23 Nov,Thursday,Thanksgiving,Public Holiday
palau,2000,21 Dec,Thursday,December Solstice,Season
palau,2000,25 Dec,Monday,Christmas Day,Public Holiday
palau,2001,1 Jan,Monday,New Year's Day,Public Holiday
palau,2001,15 Mar,Thursday,Youth Day,Public Holiday
palau,2001,20 Mar,Tuesday,March Equinox,Season
palau,2001,4 May,Friday,Day off for Senior Citizens Day,Public Holiday
palau,2001,5 May,Saturday,Senior Citizens Day,Public Holiday
palau,2001,1 Jun,Friday,President's Day,Public Holiday
palau,2001,21 Jun,Thursday,June Solstice,Season
palau,2001,9 Jul,Monday,Constitution Day,Public Holiday
palau,2001,3 Sep,Monday,Labor Day,Public Holiday
palau,2001,23 Sep,Sunday,September Equinox,Season
palau,2001,1 Oct,Monday,Independence Day,Public Holiday
palau,2001,24 Oct,Wednesday,United Nations Day,Public Holiday
palau,2001,22 Nov,Thursday,Thanksgiving,Public Holiday
palau,2001,22 Dec,Saturday,December Solstice,Season
palau,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
palau,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
palau,2002,15 Mar,Friday,Youth Day,Public Holiday
palau,2002,21 Mar,Thursday,March Equinox,Season
palau,2002,5 May,Sunday,Senior Citizens Day,Public Holiday
palau,2002,6 May,Monday,Day off for Senior Citizens Day,Public Holiday
palau,2002,31 May,Friday,Day off for President's Day,Public Holiday
palau,2002,1 Jun,Saturday,President's Day,Public Holiday
palau,2002,21 Jun,Friday,June Solstice,Season
palau,2002,9 Jul,Tuesday,Constitution Day,Public Holiday
palau,2002,2 Sep,Monday,Labor Day,Public Holiday
palau,2002,23 Sep,Monday,September Equinox,Season
palau,2002,1 Oct,Tuesday,Independence Day,Public Holiday
palau,2002,24 Oct,Thursday,United Nations Day,Public Holiday
palau,2002,28 Nov,Thursday,Thanksgiving,Public Holiday
palau,2002,22 Dec,Sunday,December Solstice,Season
palau,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
palau,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
palau,2003,14 Mar,Friday,Day off for Youth Day,Public Holiday
palau,2003,15 Mar,Saturday,Youth Day,Public Holiday
palau,2003,21 Mar,Friday,March Equinox,Season
palau,2003,5 May,Monday,Senior Citizens Day,Public Holiday
palau,2003,1 Jun,Sunday,President's Day,Public Holiday
palau,2003,2 Jun,Monday,Day off for President's Day,Public Holiday
palau,2003,22 Jun,Sunday,June Solstice,Season
palau,2003,9 Jul,Wednesday,Constitution Day,Public Holiday
palau,2003,1 Sep,Monday,Labor Day,Public Holiday
palau,2003,23 Sep,Tuesday,September Equinox,Season
palau,2003,1 Oct,Wednesday,Independence Day,Public Holiday
palau,2003,24 Oct,Friday,United Nations Day,Public Holiday
palau,2003,27 Nov,Thursday,Thanksgiving,Public Holiday
palau,2003,22 Dec,Monday,December Solstice,Season
palau,2003,25 Dec,Thursday,Christmas Day,Public Holiday
palau,2004,1 Jan,Thursday,New Year's Day,Public Holiday
palau,2004,15 Mar,Monday,Youth Day,Public Holiday
palau,2004,20 Mar,Saturday,March Equinox,Season
palau,2004,5 May,Wednesday,Senior Citizens Day,Public Holiday
palau,2004,1 Jun,Tuesday,President's Day,Public Holiday
palau,2004,21 Jun,Monday,June Solstice,Season
palau,2004,9 Jul,Friday,Constitution Day,Public Holiday
palau,2004,6 Sep,Monday,Labor Day,Public Holiday
palau,2004,23 Sep,Thursday,September Equinox,Season
palau,2004,1 Oct,Friday,Independence Day,Public Holiday
palau,2004,24 Oct,Sunday,United Nations Day,Public Holiday
palau,2004,25 Oct,Monday,Day off for United Nations Day,Public Holiday
palau,2004,25 Nov,Thursday,Thanksgiving,Public Holiday
palau,2004,21 Dec,Tuesday,December Solstice,Season
palau,2004,24 Dec,Friday,Day off for Christmas Day,Public Holiday
palau,2004,25 Dec,Saturday,Christmas Day,Public Holiday
palau,2004,31 Dec,Friday,Day off for New Year's Day,Public Holiday
palau,2005,1 Jan,Saturday,New Year's Day,Public Holiday
palau,2005,15 Mar,Tuesday,Youth Day,Public Holiday
palau,2005,20 Mar,Sunday,March Equinox,Season
palau,2005,5 May,Thursday,Senior Citizens Day,Public Holiday
palau,2005,1 Jun,Wednesday,President's Day,Public Holiday
palau,2005,21 Jun,Tuesday,June Solstice,Season
palau,2005,8 Jul,Friday,Day off for Constitution Day,Public Holiday
palau,2005,9 Jul,Saturday,Constitution Day,Public Holiday
palau,2005,5 Sep,Monday,Labor Day,Public Holiday
palau,2005,23 Sep,Friday,September Equinox,Season
palau,2005,30 Sep,Friday,Day off for Independence Day,Public Holiday
palau,2005,1 Oct,Saturday,Independence Day,Public Holiday
palau,2005,24 Oct,Monday,United Nations Day,Public Holiday
palau,2005,24 Nov,Thursday,Thanksgiving,Public Holiday
palau,2005,22 Dec,Thursday,December Solstice,Season
palau,2005,25 Dec,Sunday,Christmas Day,Public Holiday
palau,2005,26 Dec,Monday,Day off for Christmas Day,Public Holiday
palau,2006,1 Jan,Sunday,New Year's Day,Public Holiday
palau,2006,2 Jan,Monday,Day off for New Year's Day,Public Holiday
palau,2006,15 Mar,Wednesday,Youth Day,Public Holiday
palau,2006,21 Mar,Tuesday,March Equinox,Season
palau,2006,5 May,Friday,Senior Citizens Day,Public Holiday
palau,2006,1 Jun,Thursday,President's Day,Public Holiday
palau,2006,21 Jun,Wednesday,June Solstice,Season
palau,2006,9 Jul,Sunday,Constitution Day,Public Holiday
palau,2006,10 Jul,Monday,Day off for Constitution Day,Public Holiday
palau,2006,4 Sep,Monday,Labor Day,Public Holiday
palau,2006,23 Sep,Saturday,September Equinox,Season
palau,2006,1 Oct,Sunday,Independence Day,Public Holiday
palau,2006,2 Oct,Monday,Day off for Independence Day,Public Holiday
palau,2006,24 Oct,Tuesday,United Nations Day,Public Holiday
palau,2006,23 Nov,Thursday,Thanksgiving,Public Holiday
palau,2006,22 Dec,Friday,December Solstice,Season
palau,2006,25 Dec,Monday,Christmas Day,Public Holiday
palau,2007,1 Jan,Monday,New Year's Day,Public Holiday
palau,2007,15 Mar,Thursday,Youth Day,Public Holiday
palau,2007,21 Mar,Wednesday,March Equinox,Season
palau,2007,4 May,Friday,Day off for Senior Citizens Day,Public Holiday
palau,2007,5 May,Saturday,Senior Citizens Day,Public Holiday
palau,2007,1 Jun,Friday,President's Day,Public Holiday
palau,2007,22 Jun,Friday,June Solstice,Season
palau,2007,9 Jul,Monday,Constitution Day,Public Holiday
palau,2007,3 Sep,Monday,Labor Day,Public Holiday
palau,2007,23 Sep,Sunday,September Equinox,Season
palau,2007,1 Oct,Monday,Independence Day,Public Holiday
palau,2007,24 Oct,Wednesday,United Nations Day,Public Holiday
palau,2007,22 Nov,Thursday,Thanksgiving,Public Holiday
palau,2007,22 Dec,Saturday,December Solstice,Season
palau,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
palau,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
palau,2008,14 Mar,Friday,Day off for Youth Day,Public Holiday
palau,2008,15 Mar,Saturday,Youth Day,Public Holiday
palau,2008,20 Mar,Thursday,March Equinox,Season
palau,2008,5 May,Monday,Senior Citizens Day,Public Holiday
palau,2008,1 Jun,Sunday,President's Day,Public Holiday
palau,2008,2 Jun,Monday,Day off for President's Day,Public Holiday
palau,2008,21 Jun,Saturday,June Solstice,Season
palau,2008,9 Jul,Wednesday,Constitution Day,Public Holiday
palau,2008,1 Sep,Monday,Labor Day,Public Holiday
palau,2008,23 Sep,Tuesday,September Equinox,Season
palau,2008,1 Oct,Wednesday,Independence Day,Public Holiday
palau,2008,24 Oct,Friday,United Nations Day,Public Holiday
palau,2008,27 Nov,Thursday,Thanksgiving,Public Holiday
palau,2008,21 Dec,Sunday,December Solstice,Season
palau,2008,25 Dec,Thursday,Christmas Day,Public Holiday
palau,2009,1 Jan,Thursday,New Year's Day,Public Holiday
palau,2009,15 Mar,Sunday,Youth Day,Public Holiday
palau,2009,16 Mar,Monday,Day off for Youth Day,Public Holiday
palau,2009,20 Mar,Friday,March Equinox,Season
palau,2009,5 May,Tuesday,Senior Citizens Day,Public Holiday
