Geo,Event Year,Date,Day,Name,Type
papua-new-guinea,2000,1 Jan,Saturday,New Year's Day,Public Holiday
papua-new-guinea,2000,20 Mar,Monday,March Equinox,Season
papua-new-guinea,2000,21 Apr,Friday,Good Friday,Public Holiday
papua-new-guinea,2000,22 Apr,Saturday,Holy Saturday,Public Holiday
papua-new-guinea,2000,23 Apr,Sunday,Easter Sunday,Public Holiday
papua-new-guinea,2000,24 Apr,Monday,Easter Monday,Public Holiday
papua-new-guinea,2000,12 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
papua-new-guinea,2000,21 Jun,Wednesday,June Solstice,Season
papua-new-guinea,2000,23 Jul,Sunday,National Remembrance Day,Public Holiday
papua-new-guinea,2000,26 Aug,Saturday,National Day of Repentance,Public Holiday
papua-new-guinea,2000,16 Sep,Saturday,Independence Day,Public Holiday
papua-new-guinea,2000,23 Sep,Saturday,September Equinox,Season
papua-new-guinea,2000,21 Dec,Thursday,December Solstice,Season
papua-new-guinea,2000,25 Dec,Monday,Christmas Day,Public Holiday
papua-new-guinea,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
papua-new-guinea,2001,1 Jan,Monday,New Year's Day,Public Holiday
papua-new-guinea,2001,20 Mar,Tuesday,March Equinox,Season
papua-new-guinea,2001,13 Apr,Friday,Good Friday,Public Holiday
papua-new-guinea,2001,14 Apr,Saturday,Holy Saturday,Public Holiday
papua-new-guinea,2001,15 Apr,Sunday,Easter Sunday,Public Holiday
papua-new-guinea,2001,16 Apr,Monday,Easter Monday,Public Holiday
papua-new-guinea,2001,11 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
papua-new-guinea,2001,21 Jun,Thursday,June Solstice,Season
papua-new-guinea,2001,23 Jul,Monday,National Remembrance Day,Public Holiday
papua-new-guinea,2001,26 Aug,Sunday,National Day of Repentance,Public Holiday
papua-new-guinea,2001,16 Sep,Sunday,Independence Day,Public Holiday
papua-new-guinea,2001,23 Sep,Sunday,September Equinox,Season
papua-new-guinea,2001,22 Dec,Saturday,December Solstice,Season
papua-new-guinea,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
