Geo,Event Year,Date,Day,Name,Type
paraguay,2000,1 Jan,Saturday,New Year's Day,National holiday
paraguay,2000,1 Mar,Wednesday,Heroes' Day,National holiday
paraguay,2000,5 Mar,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
paraguay,2000,20 Mar,Monday,March Equinox,Season
paraguay,2000,20 Apr,Thursday,Maundy Thursday,National holiday
paraguay,2000,21 Apr,Friday,Good Friday,National holiday
paraguay,2000,1 May,Monday,Labor Day / May Day,National holiday
paraguay,2000,15 May,Monday,Independence Day,National holiday
paraguay,2000,20 Jun,Tuesday,June Solstice,Season
paraguay,2000,15 Aug,Tuesday,Founding of Asuncion,National holiday
paraguay,2000,22 Sep,Friday,September Equinox,Season
paraguay,2000,29 Sep,Friday,Boqueron Battle Victory Day,National holiday
paraguay,2000,1 Oct,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
paraguay,2000,8 Dec,Friday,Virgin of Caacupé Day,National holiday
paraguay,2000,21 Dec,Thursday,December Solstice,Season
paraguay,2000,25 Dec,Monday,Christmas Day,National holiday
paraguay,2001,1 Jan,Monday,New Year's Day,National holiday
paraguay,2001,1 Mar,Thursday,Heroes' Day,National holiday
paraguay,2001,4 Mar,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
paraguay,2001,20 Mar,Tuesday,March Equinox,Season
paraguay,2001,12 Apr,Thursday,Maundy Thursday,National holiday
paraguay,2001,13 Apr,Friday,Good Friday,National holiday
paraguay,2001,1 May,Tuesday,Labor Day / May Day,National holiday
paraguay,2001,15 May,Tuesday,Independence Day,National holiday
paraguay,2001,21 Jun,Thursday,June Solstice,Season
paraguay,2001,15 Aug,Wednesday,Founding of Asuncion,National holiday
paraguay,2001,22 Sep,Saturday,September Equinox,Season
paraguay,2001,29 Sep,Saturday,Boqueron Battle Victory Day,National holiday
paraguay,2001,7 Oct,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
paraguay,2001,8 Dec,Saturday,Virgin of Caacupé Day,National holiday
paraguay,2001,21 Dec,Friday,December Solstice,Season
paraguay,2001,25 Dec,Tuesday,Christmas Day,National holiday
paraguay,2002,1 Jan,Tuesday,New Year's Day,National holiday
paraguay,2002,1 Mar,Friday,Heroes' Day,National holiday
paraguay,2002,20 Mar,Wednesday,March Equinox,Season
paraguay,2002,28 Mar,Thursday,Maundy Thursday,National holiday
paraguay,2002,29 Mar,Friday,Good Friday,National holiday
paraguay,2002,7 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
paraguay,2002,1 May,Wednesday,Labor Day / May Day,National holiday
paraguay,2002,15 May,Wednesday,Independence Day,National holiday
paraguay,2002,21 Jun,Friday,June Solstice,Season
paraguay,2002,15 Aug,Thursday,Founding of Asuncion,National holiday
