Geo,Event Year,Date,Day,Name,Type
philippines,2000,1 Jan,Saturday,New Year's Day,Regular Holiday
philippines,2000,8 Jan,Saturday,Eidul-Fitar,Common local holiday
philippines,2000,5 Feb,Saturday,Lunar New Year's Day,Observance
philippines,2000,25 Feb,Friday,People Power Anniversary,Special Non-working Holiday
philippines,2000,16 Mar,Thursday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
philippines,2000,20 Mar,Monday,March Equinox,Season
philippines,2000,6 Apr,Thursday,Amun Jadid,"Muslim, Common local holiday"
philippines,2000,9 Apr,Sunday,The Day of Valor,Regular Holiday
philippines,2000,20 Apr,Thursday,Maundy Thursday,Regular Holiday
philippines,2000,21 Apr,Friday,Good Friday,Regular Holiday
philippines,2000,22 Apr,Saturday,Black Saturday,Observance
philippines,2000,23 Apr,Sunday,Easter Sunday,Observance
philippines,2000,1 May,Monday,Labor Day,Regular Holiday
philippines,2000,12 Jun,Monday,Independence Day,Regular Holiday
philippines,2000,15 Jun,Thursday,Maulid un-Nabi,Common local holiday
philippines,2000,21 Jun,Wednesday,June Solstice,Season
philippines,2000,28 Aug,Monday,National Heroes Day,Regular Holiday
philippines,2000,23 Sep,Saturday,September Equinox,Season
philippines,2000,26 Oct,Thursday,Lailatul Isra Wal Mi Raj,Common local holiday
philippines,2000,1 Nov,Wednesday,All Saints' Day,Special Non-working Holiday
philippines,2000,2 Nov,Thursday,All Souls' Day,Observance
philippines,2000,30 Nov,Thursday,Bonifacio Day,Regular Holiday
philippines,2000,21 Dec,Thursday,December Solstice,Season
philippines,2000,24 Dec,Sunday,Christmas Eve,Observance
philippines,2000,25 Dec,Monday,Christmas Day,Regular Holiday
philippines,2000,28 Dec,Thursday,Eidul-Fitar,Common local holiday
philippines,2000,30 Dec,Saturday,Rizal Day,Regular Holiday
philippines,2000,31 Dec,Sunday,New Year's Eve,Special Non-working Holiday
philippines,2001,1 Jan,Monday,New Year's Day,Regular Holiday
philippines,2001,24 Jan,Wednesday,Lunar New Year's Day,Observance
philippines,2001,25 Feb,Sunday,People Power Anniversary,Special Non-working Holiday
philippines,2001,6 Mar,Tuesday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
philippines,2001,20 Mar,Tuesday,March Equinox,Season
philippines,2001,26 Mar,Monday,Amun Jadid,"Muslim, Common local holiday"
philippines,2001,9 Apr,Monday,The Day of Valor,Regular Holiday
philippines,2001,12 Apr,Thursday,Maundy Thursday,Regular Holiday
philippines,2001,13 Apr,Friday,Good Friday,Regular Holiday
philippines,2001,14 Apr,Saturday,Black Saturday,Observance
philippines,2001,15 Apr,Sunday,Easter Sunday,Observance
philippines,2001,30 Apr,Monday,Labor Day,Regular Holiday
philippines,2001,4 Jun,Monday,Maulid un-Nabi,Common local holiday
philippines,2001,12 Jun,Tuesday,Independence Day,Regular Holiday
philippines,2001,21 Jun,Thursday,June Solstice,Season
philippines,2001,27 Aug,Monday,National Heroes Day,Regular Holiday
philippines,2001,23 Sep,Sunday,September Equinox,Season
philippines,2001,15 Oct,Monday,Lailatul Isra Wal Mi Raj,Common local holiday
philippines,2001,1 Nov,Thursday,All Saints' Day,Special Non-working Holiday
philippines,2001,2 Nov,Friday,All Souls' Day,Observance
philippines,2001,30 Nov,Friday,Bonifacio Day,Regular Holiday
philippines,2001,17 Dec,Monday,Eidul-Fitar,Common local holiday
philippines,2001,22 Dec,Saturday,December Solstice,Season
philippines,2001,24 Dec,Monday,Christmas Eve,Observance
philippines,2001,25 Dec,Tuesday,Christmas Day,Regular Holiday
philippines,2001,30 Dec,Sunday,Rizal Day,Regular Holiday
philippines,2001,31 Dec,Monday,New Year's Eve,Special Non-working Holiday
philippines,2002,1 Jan,Tuesday,New Year's Day,Regular Holiday
philippines,2002,12 Feb,Tuesday,Lunar New Year's Day,Observance
philippines,2002,23 Feb,Saturday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
philippines,2002,25 Feb,Monday,People Power Anniversary,Special Non-working Holiday
philippines,2002,15 Mar,Friday,Amun Jadid,"Muslim, Common local holiday"
